,Date,NAV
1,2019-05-30,20.04
2,2019-05-29,20.17
3,2019-05-28,20.15
4,2019-05-24,20.27
5,2019-05-23,20.33
6,2019-05-22,20.36
7,2019-05-21,20.52
8,2019-05-20,20.54
9,2019-05-17,20.55
10,2019-05-16,20.62
11,2019-05-15,20.80
12,2019-05-14,20.86
13,2019-05-13,20.95
14,2019-05-10,21.00
15,2019-05-09,21.10
16,2019-05-08,21.02
17,2019-05-07,21.15
18,2019-05-06,21.15
19,2019-05-03,21.36
20,2019-05-02,21.14
21,2019-05-01,21.37
22,2019-04-30,21.23
23,2019-04-29,21.25
24,2019-04-26,21.24
25,2019-04-25,21.27
26,2019-04-24,21.36
27,2019-04-23,21.37
28,2019-04-22,21.43
29,2019-04-18,21.50
30,2019-04-17,21.60
31,2019-04-16,21.38
32,2019-04-15,21.40
33,2019-04-12,21.41
34,2019-04-11,21.38
35,2019-04-10,21.25
36,2019-04-09,21.36
37,2019-04-08,21.47
38,2019-04-05,21.45
39,2019-04-04,21.52
40,2019-04-03,21.17
41,2019-04-02,21.13
42,2019-04-01,21.12
43,2019-03-29,21.12
44,2019-03-28,21.19
45,2019-03-27,21.13
46,2019-03-26,21.14
47,2019-03-25,21.14
48,2019-03-22,21.11
49,2019-03-21,21.16
50,2019-03-20,21.25
51,2019-03-19,21.46
52,2019-03-18,21.42
53,2019-03-15,21.38
54,2019-03-14,21.41
55,2019-03-13,21.41
56,2019-03-12,21.43
57,2019-03-11,21.48
58,2019-03-08,21.49
59,2019-03-07,21.54
60,2019-03-06,21.63
61,2019-03-05,21.95
62,2019-03-04,22.45
63,2019-03-01,21.72
64,2019-02-28,21.60
65,2019-02-27,21.75
66,2019-02-26,21.76
67,2019-02-25,21.98
68,2019-02-22,21.85
69,2019-02-21,22.18
70,2019-02-20,22.11
71,2019-02-19,21.91
72,2019-02-15,21.95
73,2019-02-14,21.96
74,2019-02-13,21.92
75,2019-02-12,21.53
76,2019-02-11,21.51
77,2019-02-08,21.51
78,2019-02-07,21.92
79,2019-02-06,22.00
80,2019-02-05,21.89
81,2019-02-04,21.87
82,2019-02-01,22.00
83,2019-01-31,22.07
84,2019-01-30,22.34
