,Date,NAV
1,2019-05-30,44.65
2,2019-05-29,44.63
3,2019-05-28,44.70
4,2019-05-24,44.76
5,2019-05-23,44.67
6,2019-05-22,44.91
7,2019-05-21,44.83
8,2019-05-20,44.79
9,2019-05-17,44.97
10,2019-05-16,45.00
11,2019-05-15,44.77
12,2019-05-14,44.76
13,2019-05-13,44.73
14,2019-05-10,45.08
15,2019-05-09,45.17
16,2019-05-08,45.21
17,2019-05-07,45.31
18,2019-05-06,45.69
19,2019-05-03,45.60
20,2019-05-02,45.45
21,2019-05-01,45.58
22,2019-04-30,45.58
23,2019-04-29,45.66
24,2019-04-26,45.55
25,2019-04-25,45.54
26,2019-04-24,45.51
27,2019-04-23,45.53
28,2019-04-22,45.54
29,2019-04-18,45.58
30,2019-04-17,45.58
31,2019-04-16,45.57
32,2019-04-15,45.51
33,2019-04-12,45.50
34,2019-04-11,45.51
35,2019-04-10,45.46
36,2019-04-09,45.49
37,2019-04-08,45.49
38,2019-04-05,45.56
39,2019-04-04,45.39
40,2019-04-03,45.28
41,2019-04-02,45.25
42,2019-04-01,45.12
43,2019-03-29,44.94
44,2019-03-28,44.84
45,2019-03-27,44.90
46,2019-03-26,44.82
47,2019-03-25,44.76
48,2019-03-22,44.85
49,2019-03-21,45.23
50,2019-03-20,45.14
51,2019-03-19,45.18
52,2019-03-18,45.08
53,2019-03-15,44.97
54,2019-03-14,44.96
55,2019-03-13,44.91
56,2019-03-12,44.85
57,2019-03-11,44.68
58,2019-03-08,44.63
59,2019-03-07,44.73
60,2019-03-06,44.97
61,2019-03-05,44.94
62,2019-03-04,44.98
63,2019-03-01,44.93
64,2019-02-28,45.00
65,2019-02-27,45.04
66,2019-02-26,45.09
67,2019-02-25,45.05
68,2019-02-22,44.93
69,2019-02-21,44.92
70,2019-02-20,44.88
71,2019-02-19,44.82
72,2019-02-15,44.70
73,2019-02-14,44.62
74,2019-02-13,44.64
75,2019-02-12,44.53
76,2019-02-11,44.32
77,2019-02-08,44.45
78,2019-02-07,44.57
79,2019-02-06,44.73
80,2019-02-05,44.63
81,2019-02-04,44.53
82,2019-02-01,44.51
83,2019-01-31,44.42
84,2019-01-30,44.38
85,2019-01-29,44.11
86,2019-01-28,44.12
87,2019-01-25,44.16
88,2019-01-24,43.98
89,2019-01-23,43.89
90,2019-01-22,43.98
