,Date,NAV
1,2019-05-30,25.76
2,2019-05-29,25.74
3,2019-05-28,25.75
4,2019-05-24,25.74
5,2019-05-23,25.72
6,2019-05-22,25.82
7,2019-05-21,25.85
8,2019-05-20,25.78
9,2019-05-17,25.87
10,2019-05-16,25.97
11,2019-05-15,25.94
12,2019-05-14,25.90
13,2019-05-13,25.79
14,2019-05-10,26.00
15,2019-05-09,25.96
16,2019-05-08,26.03
17,2019-05-07,26.00
18,2019-05-06,26.16
19,2019-05-03,26.27
20,2019-05-02,26.16
21,2019-05-01,26.18
22,2019-04-30,26.24
23,2019-04-29,26.25
24,2019-04-26,26.24
25,2019-04-25,26.21
26,2019-04-24,26.23
27,2019-04-23,26.30
28,2019-04-22,26.28
29,2019-04-18,26.31
30,2019-04-17,26.31
31,2019-04-16,26.29
32,2019-04-15,26.25
33,2019-04-12,26.28
34,2019-04-11,26.22
35,2019-04-10,26.27
36,2019-04-09,26.25
37,2019-04-08,26.28
38,2019-04-05,26.28
39,2019-04-04,26.23
40,2019-04-03,26.20
41,2019-04-02,26.17
42,2019-04-01,26.18
43,2019-03-29,26.06
44,2019-03-28,26.00
45,2019-03-27,25.96
46,2019-03-26,26.00
47,2019-03-25,25.97
48,2019-03-22,25.95
49,2019-03-21,26.15
50,2019-03-20,26.14
51,2019-03-19,26.12
52,2019-03-18,26.12
53,2019-03-15,26.04
54,2019-03-14,25.96
55,2019-03-13,26.00
56,2019-03-12,25.98
57,2019-03-11,25.93
58,2019-03-08,25.82
59,2019-03-07,25.87
60,2019-03-06,26.00
61,2019-03-05,26.07
62,2019-03-04,25.98
63,2019-03-01,25.99
64,2019-02-28,25.96
65,2019-02-27,26.00
66,2019-02-26,26.05
67,2019-02-25,26.05
68,2019-02-22,25.99
69,2019-02-21,25.91
70,2019-02-20,25.94
71,2019-02-19,25.91
72,2019-02-15,25.84
73,2019-02-14,25.81
74,2019-02-13,25.80
75,2019-02-12,25.76
76,2019-02-11,25.69
77,2019-02-08,25.68
78,2019-02-07,25.72
79,2019-02-06,25.79
80,2019-02-05,25.87
81,2019-02-04,25.76
82,2019-02-01,25.74
83,2019-01-31,25.77
84,2019-01-30,25.68
85,2019-01-29,25.54
86,2019-01-28,25.52
87,2019-01-25,25.61
88,2019-01-24,25.40
89,2019-01-23,25.40
90,2019-01-22,25.40
91,2019-01-18,25.55
92,2019-01-17,25.45
93,2019-01-16,25.41
94,2019-01-15,25.36
95,2019-01-14,25.29
96,2019-01-11,25.39
97,2019-01-10,25.39
98,2019-01-09,25.35
99,2019-01-08,25.23
