,Date,NAV
1,2019-05-30,25.35
2,2019-05-29,25.23
3,2019-05-28,25.15
4,2019-05-24,24.83
5,2019-05-23,25.03
6,2019-05-22,24.89
7,2019-05-21,24.77
8,2019-05-20,24.83
9,2019-05-17,24.51
10,2019-05-16,24.55
11,2019-05-15,24.40
12,2019-05-14,24.32
13,2019-05-13,24.47
14,2019-05-10,24.32
15,2019-05-09,24.03
16,2019-05-08,24.05
17,2019-05-07,23.89
18,2019-05-06,23.94
19,2019-05-03,23.88
20,2019-05-02,23.86
21,2019-05-01,23.82
22,2019-04-30,23.82
23,2019-04-29,23.63
24,2019-04-26,23.63
25,2019-04-25,23.67
26,2019-04-24,23.49
27,2019-04-23,23.41
28,2019-04-22,23.34
29,2019-04-18,23.27
30,2019-04-17,23.18
31,2019-04-16,23.32
32,2019-04-15,23.46
33,2019-04-12,23.45
34,2019-04-11,23.64
35,2019-04-10,23.59
36,2019-04-09,23.52
37,2019-04-08,23.40
38,2019-04-05,23.41
39,2019-04-04,23.61
40,2019-04-03,23.77
41,2019-04-02,23.83
42,2019-04-01,24.00
43,2019-03-29,24.06
44,2019-03-28,23.85
45,2019-03-27,23.76
46,2019-03-26,24.17
47,2019-03-25,24.01
48,2019-03-22,23.90
49,2019-03-21,23.75
50,2019-03-20,23.71
51,2019-03-19,23.57
52,2019-03-18,23.77
53,2019-03-15,23.66
54,2019-03-14,23.75
55,2019-03-13,23.76
56,2019-03-12,23.76
57,2019-03-11,23.76
58,2019-03-08,23.62
59,2019-03-07,23.60
60,2019-03-06,23.55
61,2019-03-05,23.53
62,2019-03-04,23.43
63,2019-03-01,23.48
64,2019-02-28,23.57
65,2019-02-27,23.32
66,2019-02-26,23.33
67,2019-02-25,23.30
68,2019-02-22,23.26
69,2019-02-21,23.35
70,2019-02-20,23.28
71,2019-02-19,23.24
72,2019-02-15,23.50
73,2019-02-14,23.56
74,2019-02-13,23.48
75,2019-02-12,23.37
76,2019-02-11,23.70
77,2019-02-08,23.54
78,2019-02-07,23.51
79,2019-02-06,23.32
80,2019-02-05,23.43
81,2019-02-04,23.40
82,2019-02-01,23.36
83,2019-01-31,23.35
84,2019-01-30,23.32
85,2019-01-29,23.37
86,2019-01-28,23.47
87,2019-01-25,23.45
88,2019-01-24,23.60
89,2019-01-23,23.68
90,2019-01-22,23.75
91,2019-01-18,23.71
92,2019-01-17,23.87
93,2019-01-16,23.78
94,2019-01-15,23.87
95,2019-01-14,23.64
96,2019-01-11,23.80
97,2019-01-10,23.80
98,2019-01-09,25.14
99,2019-01-08,23.99
100,2019-01-07,23.95
101,2019-01-04,24.04
102,2019-01-03,24.04
103,2019-01-02,24.16
104,2018-12-31,24.72
105,2018-12-28,24.70
106,2018-12-27,24.64
107,2018-12-26,26.07
108,2018-12-24,25.30
109,2018-12-21,30.48
110,2018-12-20,24.75
111,2018-12-19,24.68
112,2018-12-18,25.33
113,2018-12-17,24.66
114,2018-12-14,24.60
115,2018-12-13,24.58
116,2018-12-12,24.64
117,2018-12-11,24.58
118,2018-12-10,24.08
119,2018-12-07,24.06
120,2018-12-06,23.99
121,2018-12-04,24.03
122,2018-12-03,24.03
123,2018-11-30,24.03
124,2018-11-29,24.17
125,2018-11-28,24.03
126,2018-11-27,23.84
127,2018-11-26,23.84
128,2018-11-23,23.99
129,2018-11-21,23.99
130,2018-11-20,23.99
131,2018-11-19,23.99
132,2018-11-16,24.44
133,2018-11-15,24.44
134,2018-11-14,24.44
135,2018-11-13,24.44
136,2018-11-12,24.31
137,2018-11-09,24.44
138,2018-11-08,24.44
139,2018-11-07,24.44
140,2018-11-06,24.32
141,2018-11-05,23.71
142,2018-11-02,23.71
143,2018-11-01,23.71
144,2018-10-31,23.71
145,2018-10-30,23.71
146,2018-10-29,23.71
147,2018-10-26,23.71
148,2018-10-25,23.71
149,2018-10-24,24.25
150,2018-10-23,24.28
151,2018-10-22,24.11
152,2018-10-19,24.11
153,2018-10-18,24.39
154,2018-10-17,24.40
155,2018-10-16,24.54
156,2018-10-15,24.54
157,2018-10-12,24.72
158,2018-10-11,24.25
159,2018-10-10,24.42
160,2018-10-09,24.77
161,2018-10-08,24.87
162,2018-10-05,24.87
163,2018-10-04,25.03
164,2018-10-03,25.03
165,2018-10-02,24.94
166,2018-10-01,25.08
167,2018-09-28,25.14
168,2018-09-27,25.14
169,2018-09-26,25.00
170,2018-09-25,24.92
171,2018-09-24,24.53
172,2018-09-21,24.53
173,2018-09-20,24.61
174,2018-09-19,24.59
175,2018-09-18,24.84
176,2018-09-17,25.08
177,2018-09-14,25.39
178,2018-09-13,25.39
179,2018-09-12,25.39
180,2018-09-11,25.39
181,2018-09-10,25.20
182,2018-09-07,25.20
183,2018-09-06,25.20
184,2018-09-05,25.26
185,2018-09-04,25.50
186,2018-08-31,25.30
187,2018-08-30,24.93
188,2018-08-29,24.93
189,2018-08-28,24.93
190,2018-08-27,24.93
191,2018-08-24,24.93
192,2018-08-23,24.93
193,2018-08-22,24.83
194,2018-08-21,24.83
195,2018-08-20,24.83
196,2018-08-17,24.83
197,2018-08-16,24.83
198,2018-08-15,24.88
199,2018-08-14,25.13
200,2018-08-13,25.13
201,2018-08-10,25.14
202,2018-08-09,24.96
203,2018-08-08,24.96
204,2018-08-07,24.88
205,2018-08-06,24.75
206,2018-08-03,24.61
207,2018-08-02,24.61
208,2018-08-01,24.61
209,2018-07-31,24.83
210,2018-07-30,24.83
211,2018-07-27,24.83
212,2018-07-26,25.13
213,2018-07-25,25.00
214,2018-07-24,25.00
215,2018-07-23,25.00
216,2018-07-20,25.00
217,2018-07-19,25.00
218,2018-07-18,25.00
219,2018-07-17,24.80
220,2018-07-16,24.23
221,2018-07-13,24.23
222,2018-07-12,24.34
223,2018-07-11,24.34
224,2018-07-10,24.45
225,2018-07-09,24.45
226,2018-07-06,24.41
227,2018-07-05,24.70
228,2018-07-03,24.70
229,2018-07-02,24.70
230,2018-06-29,24.38
231,2018-06-28,24.38
232,2018-06-27,24.37
233,2018-06-26,24.87
234,2018-06-25,24.87
235,2018-06-22,24.99
236,2018-06-21,25.33
237,2018-06-20,25.33
238,2018-06-19,25.38
239,2018-06-18,25.58
240,2018-06-15,25.47
241,2018-06-14,25.68
242,2018-06-13,25.72
243,2018-06-12,25.77
244,2018-06-11,25.77
245,2018-06-08,25.88
246,2018-06-07,25.88
247,2018-06-06,25.93
248,2018-06-05,25.79
249,2018-06-04,25.79
250,2018-06-01,25.96
251,2018-05-31,25.67
252,2018-05-30,25.67
253,2018-05-29,25.67
254,2018-05-25,25.85
255,2018-05-24,25.85
256,2018-05-23,25.85
257,2018-05-22,25.85
258,2018-05-21,25.99
259,2018-05-18,26.03
260,2018-05-17,25.93
261,2018-05-16,25.87
262,2018-05-15,25.86
263,2018-05-14,25.80
264,2018-05-11,25.78
265,2018-05-10,25.78
266,2018-05-09,25.57
267,2018-05-08,25.58
268,2018-05-07,25.29
269,2018-05-04,25.29
270,2018-05-03,25.29
271,2018-05-02,25.29
272,2018-05-01,25.29
273,2018-04-30,25.29
274,2018-04-27,25.24
275,2018-04-26,25.44
276,2018-04-25,25.44
277,2018-04-24,25.64
278,2018-04-23,25.94
279,2018-04-20,25.98
280,2018-04-19,25.90
281,2018-04-18,25.80
282,2018-04-17,25.72
283,2018-04-16,25.51
284,2018-04-13,25.51
285,2018-04-12,25.51
286,2018-04-11,25.44
287,2018-04-10,25.32
288,2018-04-09,25.32
289,2018-04-06,25.32
290,2018-04-05,25.32
291,2018-04-04,25.19
292,2018-04-03,25.27
293,2018-04-02,25.37
294,2018-03-29,25.36
295,2018-03-28,25.23
296,2018-03-27,25.74
297,2018-03-26,25.74
298,2018-03-23,25.74
299,2018-03-22,25.74
300,2018-03-21,25.91
301,2018-03-20,25.94
302,2018-03-19,25.51
303,2018-03-16,25.65
304,2018-03-15,25.47
305,2018-03-14,25.47
306,2018-03-13,25.48
