,Date,NAV
1,2019-05-30,29.90
2,2019-05-29,29.87
3,2019-05-28,29.90
4,2019-05-24,29.90
5,2019-05-23,29.89
6,2019-05-22,29.93
7,2019-05-21,29.96
8,2019-05-20,29.92
9,2019-05-17,29.96
10,2019-05-16,30.03
11,2019-05-15,30.04
12,2019-05-14,30.00
13,2019-05-13,29.87
14,2019-05-10,30.08
15,2019-05-09,30.02
16,2019-05-08,30.08
17,2019-05-07,30.12
18,2019-05-06,30.26
19,2019-05-03,30.33
20,2019-05-02,30.21
21,2019-05-01,30.22
22,2019-04-30,30.27
23,2019-04-29,30.30
24,2019-04-26,30.26
25,2019-04-25,30.24
26,2019-04-24,30.27
27,2019-04-23,30.32
28,2019-04-22,30.27
29,2019-04-18,30.27
30,2019-04-17,30.29
31,2019-04-16,30.28
32,2019-04-15,30.29
33,2019-04-12,30.26
34,2019-04-11,30.23
35,2019-04-10,30.26
36,2019-04-09,30.21
37,2019-04-08,30.27
38,2019-04-05,30.24
39,2019-04-04,30.21
40,2019-04-03,30.18
41,2019-04-02,30.14
42,2019-04-01,30.13
43,2019-03-29,30.07
44,2019-03-28,30.03
45,2019-03-27,30.03
46,2019-03-26,30.02
47,2019-03-25,29.99
48,2019-03-22,29.97
49,2019-03-21,30.14
50,2019-03-20,30.14
51,2019-03-19,30.07
52,2019-03-18,30.07
53,2019-03-15,30.02
54,2019-03-14,29.96
55,2019-03-13,29.98
56,2019-03-12,29.93
57,2019-03-11,29.90
58,2019-03-08,29.82
59,2019-03-07,29.85
60,2019-03-06,29.94
61,2019-03-05,29.98
62,2019-03-04,29.95
63,2019-03-01,29.97
64,2019-02-28,29.94
65,2019-02-27,29.96
66,2019-02-26,30.00
67,2019-02-25,29.95
68,2019-02-22,29.95
69,2019-02-21,29.85
70,2019-02-20,29.87
71,2019-02-19,29.85
72,2019-02-15,29.81
73,2019-02-14,29.75
74,2019-02-13,29.71
75,2019-02-12,29.72
76,2019-02-11,29.63
77,2019-02-08,29.66
78,2019-02-07,29.67
79,2019-02-06,29.76
80,2019-02-05,29.79
81,2019-02-04,29.71
82,2019-02-01,29.69
83,2019-01-31,29.68
84,2019-01-30,29.64
85,2019-01-29,29.51
86,2019-01-28,29.48
87,2019-01-25,29.56
88,2019-01-24,29.48
89,2019-01-23,29.40
90,2019-01-22,29.37
91,2019-01-18,29.47
92,2019-01-17,29.40
93,2019-01-16,29.36
94,2019-01-15,29.31
95,2019-01-14,29.25
96,2019-01-11,29.32
97,2019-01-10,29.34
98,2019-01-09,29.34
99,2019-01-08,29.24
100,2019-01-07,29.19
101,2019-01-04,29.13
102,2019-01-03,28.88
103,2019-01-02,28.91
104,2018-12-31,28.88
105,2018-12-28,28.94
106,2018-12-27,28.81
107,2018-12-26,28.85
108,2018-12-24,28.64
109,2018-12-21,28.72
110,2018-12-20,28.81
111,2018-12-19,28.89
112,2018-12-18,29.02
113,2018-12-17,29.03
114,2018-12-14,29.10
115,2018-12-13,29.18
116,2018-12-12,29.20
117,2018-12-11,29.15
118,2018-12-10,29.12
119,2018-12-07,29.15
120,2018-12-06,29.26
121,2018-12-04,29.35
122,2018-12-03,29.56
123,2018-11-30,29.39
124,2018-11-29,29.41
125,2018-11-28,29.42
126,2018-11-27,29.27
127,2018-11-26,29.28
128,2018-11-23,29.16
129,2018-11-21,29.24
130,2018-11-20,29.17
131,2018-11-19,29.23
132,2018-11-16,29.36
133,2018-11-15,29.36
134,2018-11-14,29.34
135,2018-11-13,29.33
136,2018-11-12,29.27
137,2018-11-09,29.41
138,2018-11-08,29.54
139,2018-11-07,29.59
140,2018-11-06,29.47
141,2018-11-05,29.46
142,2018-11-02,29.46
143,2018-11-01,29.46
144,2018-10-31,29.31
145,2018-10-30,29.18
146,2018-10-29,29.11
147,2018-10-26,29.14
148,2018-10-25,29.22
149,2018-10-24,29.17
150,2018-10-23,29.35
151,2018-10-22,29.48
152,2018-10-19,29.47
153,2018-10-18,29.44
154,2018-10-17,29.64
155,2018-10-16,29.69
156,2018-10-15,29.48
157,2018-10-12,29.46
158,2018-10-11,29.41
159,2018-10-10,29.46
160,2018-10-09,29.73
161,2018-10-08,29.75
162,2018-10-05,29.81
163,2018-10-04,29.90
164,2018-10-03,30.07
165,2018-10-02,30.11
166,2018-10-01,30.12
167,2018-09-28,30.15
168,2018-09-27,30.14
169,2018-09-26,30.17
170,2018-09-25,30.16
171,2018-09-24,30.10
172,2018-09-21,30.19
173,2018-09-20,30.18
174,2018-09-19,30.06
175,2018-09-18,30.08
176,2018-09-17,30.01
177,2018-09-14,30.06
178,2018-09-13,30.01
179,2018-09-12,29.97
180,2018-09-11,29.94
181,2018-09-10,29.90
182,2018-09-07,29.90
183,2018-09-06,29.97
184,2018-09-05,30.00
185,2018-09-04,30.11
186,2018-08-31,30.17
187,2018-08-30,30.14
188,2018-08-29,30.23
189,2018-08-28,30.20
190,2018-08-27,30.22
191,2018-08-24,30.12
192,2018-08-23,30.03
193,2018-08-22,30.06
194,2018-08-21,30.07
195,2018-08-20,29.99
196,2018-08-17,29.92
197,2018-08-16,29.88
198,2018-08-15,29.81
199,2018-08-14,29.93
200,2018-08-13,29.91
201,2018-08-10,30.02
202,2018-08-09,30.08
203,2018-08-08,30.09
204,2018-08-07,30.09
205,2018-08-06,30.07
206,2018-08-03,30.09
207,2018-08-02,30.03
208,2018-08-01,30.03
209,2018-07-31,30.09
210,2018-07-30,30.04
211,2018-07-27,30.10
212,2018-07-26,30.16
213,2018-07-25,30.15
214,2018-07-24,30.04
215,2018-07-23,30.03
216,2018-07-20,30.04
217,2018-07-19,30.02
218,2018-07-18,30.04
219,2018-07-17,30.04
220,2018-07-16,30.01
221,2018-07-13,30.04
222,2018-07-12,30.01
223,2018-07-11,29.92
224,2018-07-10,30.04
225,2018-07-09,30.02
226,2018-07-06,29.96
227,2018-07-05,29.84
228,2018-07-03,29.78
229,2018-07-02,29.78
230,2018-06-29,29.82
231,2018-06-28,29.76
232,2018-06-27,29.72
233,2018-06-26,29.87
234,2018-06-25,29.81
235,2018-06-22,30.00
236,2018-06-21,29.96
237,2018-06-20,30.07
238,2018-06-19,30.07
239,2018-06-18,30.14
240,2018-06-15,30.15
241,2018-06-14,30.19
242,2018-06-13,30.19
243,2018-06-12,30.23
244,2018-06-11,30.22
245,2018-06-08,30.20
246,2018-06-07,30.19
247,2018-06-06,30.22
248,2018-06-05,30.14
249,2018-06-04,30.11
250,2018-06-01,30.09
251,2018-05-31,30.03
252,2018-05-30,30.06
253,2018-05-29,29.98
254,2018-05-25,30.06
255,2018-05-24,30.04
256,2018-05-23,30.04
257,2018-05-22,30.03
258,2018-05-21,30.05
259,2018-05-18,29.99
260,2018-05-17,30.02
261,2018-05-16,30.02
262,2018-05-15,29.95
263,2018-05-14,30.08
264,2018-05-11,30.10
265,2018-05-10,30.05
266,2018-05-09,29.98
267,2018-05-08,29.92
268,2018-05-07,29.90
269,2018-05-04,29.83
270,2018-05-03,29.75
271,2018-05-02,29.78
272,2018-05-01,29.82
273,2018-04-30,29.83
274,2018-04-27,29.89
275,2018-04-26,29.83
276,2018-04-25,29.74
277,2018-04-24,29.78
278,2018-04-23,29.87
279,2018-04-20,29.90
280,2018-04-19,30.01
281,2018-04-18,30.11
282,2018-04-17,30.10
283,2018-04-16,30.02
284,2018-04-13,30.01
285,2018-04-12,30.03
286,2018-04-11,29.93
287,2018-04-10,29.95
288,2018-04-09,29.83
289,2018-04-06,29.74
290,2018-04-05,29.91
291,2018-04-04,29.85
292,2018-04-03,29.82
293,2018-04-02,29.74
294,2018-03-29,29.91
295,2018-03-28,29.76
296,2018-03-27,29.82
297,2018-03-26,29.91
298,2018-03-23,29.65
299,2018-03-22,29.88
300,2018-03-21,30.09
301,2018-03-20,30.11
302,2018-03-19,30.09
303,2018-03-16,30.18
304,2018-03-15,30.22
305,2018-03-14,30.20
306,2018-03-13,30.21
307,2018-03-12,30.25
308,2018-03-09,30.23
309,2018-03-08,30.11
310,2018-03-07,30.09
311,2018-03-06,30.05
312,2018-03-05,30.00
