,Date,NAV
1,2019-05-30,34.92
2,2019-05-29,34.92
3,2019-05-28,34.96
4,2019-05-24,35.02
5,2019-05-23,35.01
6,2019-05-22,35.03
7,2019-05-21,35.14
8,2019-05-20,35.10
9,2019-05-17,35.00
10,2019-05-16,35.03
11,2019-05-15,35.09
12,2019-05-14,35.10
13,2019-05-13,35.13
14,2019-05-10,35.04
15,2019-05-09,35.12
16,2019-05-08,35.07
17,2019-05-07,35.03
18,2019-05-06,35.10
19,2019-05-03,35.12
20,2019-05-02,35.13
21,2019-05-01,35.13
22,2019-04-30,35.08
23,2019-04-29,35.07
24,2019-04-26,35.05
25,2019-04-25,35.14
26,2019-04-24,35.03
27,2019-04-23,35.25
28,2019-04-22,35.32
29,2019-04-18,35.34
30,2019-04-17,35.28
31,2019-04-16,35.20
32,2019-04-15,35.23
33,2019-04-12,35.22
34,2019-04-11,35.18
35,2019-04-10,35.19
36,2019-04-09,35.26
37,2019-04-08,35.25
38,2019-04-05,35.28
39,2019-04-04,35.13
40,2019-04-03,35.14
41,2019-04-02,35.22
42,2019-04-01,35.09
43,2019-03-29,35.22
44,2019-03-28,35.05
45,2019-03-27,35.28
46,2019-03-26,35.16
47,2019-03-25,35.21
48,2019-03-22,35.20
49,2019-03-21,35.24
50,2019-03-20,35.21
51,2019-03-19,35.13
52,2019-03-18,35.35
53,2019-03-15,35.36
54,2019-03-14,35.25
55,2019-03-13,35.49
56,2019-03-12,35.39
57,2019-03-11,35.47
58,2019-03-08,35.43
59,2019-03-07,35.43
60,2019-03-06,35.26
61,2019-03-05,35.37
62,2019-03-04,35.51
63,2019-03-01,35.60
64,2019-02-28,35.49
65,2019-02-27,35.49
66,2019-02-26,35.48
67,2019-02-25,35.59
68,2019-02-22,35.63
69,2019-02-21,35.58
70,2019-02-20,35.69
71,2019-02-19,35.70
72,2019-02-15,35.66
73,2019-02-14,35.59
74,2019-02-13,35.50
75,2019-02-12,35.37
76,2019-02-11,35.63
77,2019-02-08,35.56
78,2019-02-07,35.65
79,2019-02-06,35.34
80,2019-02-05,35.50
81,2019-02-04,35.57
82,2019-02-01,35.66
83,2019-01-31,35.65
84,2019-01-30,35.74
85,2019-01-29,35.62
86,2019-01-28,35.47
87,2019-01-25,35.79
88,2019-01-24,35.79
89,2019-01-23,35.79
90,2019-01-22,35.74
91,2019-01-18,35.79
92,2019-01-17,35.72
93,2019-01-16,35.62
94,2019-01-15,35.74
95,2019-01-14,35.65
96,2019-01-11,35.65
97,2019-01-10,35.65
98,2019-01-09,35.82
99,2019-01-08,35.88
100,2019-01-07,35.92
101,2019-01-04,35.93
102,2019-01-03,35.99
103,2019-01-02,36.17
104,2018-12-31,35.72
105,2018-12-28,36.05
106,2018-12-27,35.71
107,2018-12-26,36.86
108,2018-12-24,36.26
109,2018-12-21,35.72
110,2018-12-20,35.83
111,2018-12-19,35.71
112,2018-12-18,37.36
113,2018-12-17,35.87
114,2018-12-14,35.61
115,2018-12-13,35.57
116,2018-12-12,34.74
117,2018-12-11,35.19
118,2018-12-10,35.79
119,2018-12-07,35.74
120,2018-12-06,35.16
121,2018-12-04,35.68
122,2018-12-03,35.16
123,2018-11-30,35.91
124,2018-11-29,35.97
125,2018-11-28,35.97
126,2018-11-27,36.23
127,2018-11-26,36.04
128,2018-11-23,36.12
129,2018-11-21,36.12
130,2018-11-20,36.55
131,2018-11-19,36.28
132,2018-11-16,36.19
133,2018-11-15,35.84
134,2018-11-14,35.99
135,2018-11-13,36.02
136,2018-11-12,36.04
137,2018-11-09,35.97
138,2018-11-08,35.73
139,2018-11-07,35.92
140,2018-11-06,36.05
141,2018-11-05,36.16
142,2018-11-02,35.94
143,2018-11-01,35.72
144,2018-10-31,36.09
145,2018-10-30,36.15
146,2018-10-29,36.21
147,2018-10-26,35.99
148,2018-10-25,35.99
149,2018-10-24,35.94
150,2018-10-23,35.96
151,2018-10-22,36.02
152,2018-10-19,35.98
153,2018-10-18,35.89
154,2018-10-17,35.89
155,2018-10-16,35.94
156,2018-10-15,35.96
157,2018-10-12,36.02
158,2018-10-11,36.10
159,2018-10-10,36.10
160,2018-10-09,36.10
161,2018-10-08,36.01
162,2018-10-05,35.73
163,2018-10-04,35.81
164,2018-10-03,35.65
165,2018-10-02,35.65
166,2018-10-01,35.68
167,2018-09-28,35.68
168,2018-09-27,35.55
169,2018-09-26,35.64
170,2018-09-25,35.64
171,2018-09-24,35.79
172,2018-09-21,35.78
173,2018-09-20,35.83
174,2018-09-19,35.85
175,2018-09-18,35.73
176,2018-09-17,35.68
177,2018-09-14,35.54
178,2018-09-13,35.53
179,2018-09-12,35.66
180,2018-09-11,35.66
181,2018-09-10,35.66
182,2018-09-07,35.75
183,2018-09-06,35.67
184,2018-09-05,35.70
185,2018-09-04,35.52
186,2018-08-31,35.52
187,2018-08-30,35.65
188,2018-08-29,35.60
189,2018-08-28,35.83
190,2018-08-27,35.83
191,2018-08-24,35.88
192,2018-08-23,35.82
193,2018-08-22,35.85
194,2018-08-21,36.02
195,2018-08-20,35.89
196,2018-08-17,35.85
197,2018-08-16,35.75
198,2018-08-15,35.75
