,Date,NAV
1,2019-05-30,24.37
2,2019-05-29,24.41
3,2019-05-28,24.52
4,2019-05-24,24.56
5,2019-05-23,24.42
6,2019-05-22,24.71
7,2019-05-21,24.84
8,2019-05-20,24.73
9,2019-05-17,24.78
10,2019-05-16,24.93
11,2019-05-15,24.87
12,2019-05-14,24.83
13,2019-05-13,24.60
14,2019-05-10,24.87
15,2019-05-09,24.69
16,2019-05-08,24.74
17,2019-05-07,24.76
18,2019-05-06,25.06
19,2019-05-03,25.20
20,2019-05-02,24.91
21,2019-05-01,25.12
22,2019-04-30,25.28
23,2019-04-29,25.28
24,2019-04-26,25.28
25,2019-04-25,25.33
26,2019-04-24,25.38
27,2019-04-23,25.40
28,2019-04-22,25.35
29,2019-04-18,25.39
30,2019-04-17,25.31
31,2019-04-16,25.42
32,2019-04-15,25.45
33,2019-04-12,25.53
34,2019-04-11,25.50
35,2019-04-10,25.60
36,2019-04-09,25.44
37,2019-04-08,25.59
38,2019-04-05,25.49
39,2019-04-04,25.42
40,2019-04-03,25.35
41,2019-04-02,25.38
42,2019-04-01,25.32
43,2019-03-29,25.13
44,2019-03-28,25.09
45,2019-03-27,25.17
46,2019-03-26,25.15
47,2019-03-25,25.13
48,2019-03-22,25.03
49,2019-03-21,25.37
50,2019-03-20,25.32
51,2019-03-19,25.17
52,2019-03-18,25.19
53,2019-03-15,25.04
54,2019-03-14,25.00
55,2019-03-13,25.04
56,2019-03-12,24.87
57,2019-03-11,24.78
58,2019-03-08,24.59
59,2019-03-07,24.65
60,2019-03-06,24.75
61,2019-03-05,24.86
62,2019-03-04,24.82
63,2019-03-01,24.82
64,2019-02-28,24.87
65,2019-02-27,25.06
66,2019-02-26,25.04
67,2019-02-25,25.01
68,2019-02-22,25.13
69,2019-02-21,24.94
70,2019-02-20,25.01
71,2019-02-19,24.91
72,2019-02-15,24.79
73,2019-02-14,24.56
74,2019-02-13,24.52
75,2019-02-12,24.47
76,2019-02-11,24.36
77,2019-02-08,24.41
78,2019-02-07,24.45
79,2019-02-06,24.64
80,2019-02-05,24.66
81,2019-02-04,24.64
82,2019-02-01,24.69
83,2019-01-31,24.56
84,2019-01-30,24.48
85,2019-01-29,24.22
86,2019-01-28,24.03
87,2019-01-25,24.26
88,2019-01-24,23.96
89,2019-01-23,23.95
90,2019-01-22,23.89
91,2019-01-18,24.12
92,2019-01-17,24.05
93,2019-01-16,23.88
94,2019-01-15,23.80
95,2019-01-14,23.74
96,2019-01-11,23.85
97,2019-01-10,23.98
98,2019-01-09,23.81
99,2019-01-08,23.57
100,2019-01-07,23.38
101,2019-01-04,23.29
102,2019-01-03,22.83
103,2019-01-02,22.76
104,2018-12-31,22.71
105,2018-12-28,22.66
106,2018-12-27,22.71
107,2018-12-26,22.91
108,2018-12-24,22.26
109,2018-12-21,22.59
110,2018-12-20,22.81
111,2018-12-19,23.06
112,2018-12-18,23.10
113,2018-12-17,23.21
114,2018-12-14,23.44
115,2018-12-13,23.66
116,2018-12-12,23.71
117,2018-12-11,23.64
118,2018-12-10,23.62
119,2018-12-07,23.79
120,2018-12-06,23.90
121,2018-12-04,23.95
122,2018-12-03,24.18
123,2018-11-30,23.84
124,2018-11-29,23.96
125,2018-11-28,23.94
126,2018-11-27,23.65
127,2018-11-26,23.86
128,2018-11-23,23.65
129,2018-11-21,24.14
130,2018-11-20,23.84
131,2018-11-19,24.45
132,2018-11-16,24.46
133,2018-11-15,24.32
134,2018-11-14,24.18
135,2018-11-13,24.23
136,2018-11-12,24.43
137,2018-11-09,24.60
138,2018-11-08,24.90
139,2018-11-07,25.08
140,2018-11-06,24.86
141,2018-11-05,24.79
142,2018-11-02,24.70
143,2018-11-01,24.78
144,2018-10-31,24.66
145,2018-10-30,24.57
146,2018-10-29,24.45
147,2018-10-26,24.56
148,2018-10-25,24.62
149,2018-10-24,24.59
150,2018-10-23,25.00
151,2018-10-22,25.26
152,2018-10-19,25.38
153,2018-10-18,25.34
154,2018-10-17,25.44
155,2018-10-16,25.74
156,2018-10-15,25.41
157,2018-10-12,25.49
158,2018-10-11,25.41
159,2018-10-10,25.54
160,2018-10-09,26.18
161,2018-10-08,26.05
162,2018-10-05,25.99
163,2018-10-04,26.15
164,2018-10-03,26.30
165,2018-10-02,26.34
166,2018-10-01,26.35
167,2018-09-28,26.09
168,2018-09-27,26.04
169,2018-09-26,26.14
170,2018-09-25,26.15
171,2018-09-24,26.14
172,2018-09-21,26.01
173,2018-09-20,26.06
174,2018-09-19,25.89
175,2018-09-18,25.81
176,2018-09-17,25.60
177,2018-09-14,25.59
178,2018-09-13,25.57
179,2018-09-12,25.69
180,2018-09-11,25.52
181,2018-09-10,25.43
182,2018-09-07,25.37
183,2018-09-06,25.43
184,2018-09-05,25.49
185,2018-09-04,25.54
186,2018-08-31,25.80
187,2018-08-30,25.91
188,2018-08-29,26.06
189,2018-08-28,25.91
190,2018-08-27,25.90
191,2018-08-24,25.82
192,2018-08-23,25.59
193,2018-08-22,25.67
194,2018-08-21,25.61
195,2018-08-20,25.44
196,2018-08-17,25.39
197,2018-08-16,25.27
198,2018-08-15,25.07
199,2018-08-14,25.51
200,2018-08-13,25.56
201,2018-08-10,25.75
202,2018-08-09,25.95
203,2018-08-08,25.93
204,2018-08-07,26.11
205,2018-08-06,25.99
206,2018-08-03,26.02
207,2018-08-02,25.92
208,2018-08-01,26.00
209,2018-07-31,26.21
210,2018-07-30,26.08
211,2018-07-27,26.05
212,2018-07-26,26.13
213,2018-07-25,26.13
214,2018-07-24,25.94
215,2018-07-23,25.76
216,2018-07-20,25.81
217,2018-07-19,25.74
218,2018-07-18,25.84
219,2018-07-17,25.72
220,2018-07-16,25.79
221,2018-07-13,26.02
222,2018-07-12,26.00
223,2018-07-11,25.93
224,2018-07-10,26.43
225,2018-07-09,26.37
226,2018-07-06,26.17
227,2018-07-05,26.03
228,2018-07-03,25.96
229,2018-07-02,25.82
230,2018-06-29,26.17
231,2018-06-28,25.95
232,2018-06-27,25.92
233,2018-06-26,25.91
234,2018-06-25,25.86
235,2018-06-22,26.04
236,2018-06-21,25.78
237,2018-06-20,25.84
238,2018-06-19,25.85
239,2018-06-18,26.07
240,2018-06-15,25.97
241,2018-06-14,26.38
242,2018-06-13,26.50
243,2018-06-12,26.51
244,2018-06-11,26.55
245,2018-06-08,26.51
246,2018-06-07,26.56
247,2018-06-06,26.54
248,2018-06-05,26.38
249,2018-06-04,26.29
250,2018-06-01,26.45
251,2018-05-31,26.43
252,2018-05-30,26.49
253,2018-05-29,26.09
254,2018-05-25,26.23
255,2018-05-24,26.59
256,2018-05-23,26.69
257,2018-05-22,26.66
258,2018-05-21,26.77
259,2018-05-18,26.63
260,2018-05-17,26.62
261,2018-05-16,26.61
262,2018-05-15,26.55
263,2018-05-14,26.62
264,2018-05-11,26.62
265,2018-05-10,26.61
266,2018-05-09,26.40
267,2018-05-08,26.17
268,2018-05-07,26.18
269,2018-05-04,26.21
270,2018-05-03,26.08
271,2018-05-02,26.06
272,2018-05-01,25.88
273,2018-04-30,26.10
274,2018-04-27,26.14
275,2018-04-26,26.17
276,2018-04-25,26.00
277,2018-04-24,26.00
278,2018-04-23,26.08
279,2018-04-20,26.13
280,2018-04-19,26.32
281,2018-04-18,26.37
282,2018-04-17,26.05
283,2018-04-16,25.94
284,2018-04-13,25.84
285,2018-04-12,25.81
286,2018-04-11,25.83
287,2018-04-10,25.73
288,2018-04-09,25.37
289,2018-04-06,25.22
290,2018-04-05,25.36
291,2018-04-04,25.27
292,2018-04-03,25.25
293,2018-04-02,25.08
294,2018-03-29,25.30
295,2018-03-28,25.09
296,2018-03-27,25.10
297,2018-03-26,25.31
298,2018-03-23,25.09
299,2018-03-22,25.15
300,2018-03-21,25.49
301,2018-03-20,25.16
302,2018-03-19,25.13
303,2018-03-16,25.38
304,2018-03-15,25.29
305,2018-03-14,25.37
306,2018-03-13,25.39
307,2018-03-12,25.48
308,2018-03-09,25.47
309,2018-03-08,25.30
310,2018-03-07,25.39
311,2018-03-06,25.47
312,2018-03-05,25.36
313,2018-03-02,25.14
314,2018-03-01,25.20
315,2018-02-28,25.11
316,2018-02-27,25.52
317,2018-02-26,25.83
318,2018-02-23,25.61
319,2018-02-22,25.34
320,2018-02-21,25.24
321,2018-02-20,25.39
322,2018-02-16,25.45
323,2018-02-15,25.47
