,Date,NAV
1,2019-05-30,64.70
2,2019-05-29,64.51
3,2019-05-28,64.65
4,2019-05-24,64.85
5,2019-05-23,64.68
6,2019-05-22,65.19
7,2019-05-21,65.38
8,2019-05-20,65.00
9,2019-05-17,64.71
10,2019-05-16,65.40
11,2019-05-15,65.29
12,2019-05-14,65.07
13,2019-05-13,64.38
14,2019-05-10,66.22
15,2019-05-09,65.82
16,2019-05-08,66.51
17,2019-05-07,66.68
18,2019-05-06,67.59
19,2019-05-03,68.68
20,2019-05-02,67.99
21,2019-05-01,68.00
22,2019-04-30,68.24
23,2019-04-29,68.47
24,2019-04-26,68.19
25,2019-04-25,68.04
26,2019-04-24,68.13
27,2019-04-23,68.90
28,2019-04-22,68.64
29,2019-04-18,68.97
30,2019-04-17,69.16
31,2019-04-16,69.05
32,2019-04-15,68.78
33,2019-04-12,69.00
34,2019-04-11,68.34
35,2019-04-10,68.84
36,2019-04-09,68.57
37,2019-04-08,68.85
38,2019-04-05,69.00
39,2019-04-04,68.77
40,2019-04-03,68.67
41,2019-04-02,67.98
42,2019-04-01,68.09
43,2019-03-29,67.30
44,2019-03-28,66.85
45,2019-03-27,66.37
46,2019-03-26,66.67
47,2019-03-25,66.49
48,2019-03-22,66.50
49,2019-03-21,67.74
50,2019-03-20,67.39
51,2019-03-19,67.32
52,2019-03-18,67.36
53,2019-03-15,66.90
54,2019-03-14,66.44
55,2019-03-13,66.42
56,2019-03-12,66.44
57,2019-03-11,66.19
58,2019-03-08,65.40
59,2019-03-07,65.84
60,2019-03-06,66.35
61,2019-03-05,66.54
62,2019-03-04,66.20
63,2019-03-01,66.38
64,2019-02-28,66.22
65,2019-02-27,66.94
66,2019-02-26,67.34
67,2019-02-25,67.52
68,2019-02-22,67.11
69,2019-02-21,66.43
70,2019-02-20,66.57
71,2019-02-19,66.26
72,2019-02-15,65.63
73,2019-02-14,65.60
74,2019-02-13,65.47
75,2019-02-12,65.63
76,2019-02-11,65.08
77,2019-02-08,65.02
78,2019-02-07,65.38
79,2019-02-06,65.93
80,2019-02-05,66.41
81,2019-02-04,65.61
82,2019-02-01,65.18
83,2019-01-31,65.68
84,2019-01-30,65.49
85,2019-01-29,64.34
86,2019-01-28,64.21
87,2019-01-25,64.60
88,2019-01-24,63.79
89,2019-01-23,63.14
90,2019-01-22,62.76
91,2019-01-18,63.88
92,2019-01-17,63.58
93,2019-01-16,63.31
94,2019-01-15,62.79
95,2019-01-14,62.29
96,2019-01-11,62.71
97,2019-01-10,62.86
98,2019-01-09,62.56
99,2019-01-08,61.65
100,2019-01-07,61.52
101,2019-01-04,61.19
102,2019-01-03,59.40
103,2019-01-02,60.39
104,2018-12-31,60.79
105,2018-12-28,60.94
106,2018-12-27,60.52
107,2018-12-26,60.83
108,2018-12-24,59.57
109,2018-12-21,59.96
110,2018-12-20,60.55
111,2018-12-19,60.51
112,2018-12-18,61.30
113,2018-12-17,60.95
114,2018-12-14,61.33
115,2018-12-13,62.15
116,2018-12-12,62.07
117,2018-12-11,61.25
118,2018-12-10,61.03
119,2018-12-07,61.54
120,2018-12-06,62.17
121,2018-12-04,62.79
122,2018-12-03,64.05
123,2018-11-30,62.67
124,2018-11-29,63.22
125,2018-11-28,63.54
126,2018-11-27,62.37
127,2018-11-26,62.30
128,2018-11-23,61.64
129,2018-11-21,62.03
130,2018-11-20,61.17
131,2018-11-19,62.10
