,Date,NAV
1,2019-05-30,50.71
2,2019-05-29,50.53
3,2019-05-28,50.70
4,2019-05-24,51.02
5,2019-05-23,50.61
6,2019-05-22,51.13
7,2019-05-21,51.30
8,2019-05-20,50.96
9,2019-05-17,51.16
10,2019-05-16,51.59
11,2019-05-15,51.35
12,2019-05-14,51.19
13,2019-05-13,50.68
14,2019-05-10,51.98
15,2019-05-09,51.60
16,2019-05-08,52.02
17,2019-05-07,51.97
18,2019-05-06,52.87
19,2019-05-03,53.52
20,2019-05-02,52.98
21,2019-05-01,53.06
22,2019-04-30,53.34
23,2019-04-29,53.35
24,2019-04-26,53.22
25,2019-04-25,52.94
26,2019-04-24,53.03
27,2019-04-23,53.54
28,2019-04-22,53.41
29,2019-04-18,53.51
30,2019-04-17,53.55
31,2019-04-16,53.49
32,2019-04-15,53.29
33,2019-04-12,53.34
34,2019-04-11,52.94
35,2019-04-10,53.12
36,2019-04-09,52.96
37,2019-04-08,53.13
38,2019-04-05,53.14
39,2019-04-04,53.00
40,2019-04-03,52.95
41,2019-04-02,52.62
42,2019-04-01,52.57
43,2019-03-29,51.90
44,2019-03-28,51.62
45,2019-03-27,51.59
46,2019-03-26,51.75
47,2019-03-25,51.45
48,2019-03-22,51.40
49,2019-03-21,52.53
50,2019-03-20,52.52
51,2019-03-19,52.51
52,2019-03-18,52.46
53,2019-03-15,52.16
54,2019-03-14,51.63
55,2019-03-13,51.71
56,2019-03-12,51.39
57,2019-03-11,51.31
58,2019-03-08,50.72
59,2019-03-07,50.83
60,2019-03-06,51.51
61,2019-03-05,51.68
62,2019-03-04,51.58
63,2019-03-01,51.64
64,2019-02-28,51.50
65,2019-02-27,51.71
66,2019-02-26,51.96
67,2019-02-25,51.78
68,2019-02-22,51.55
69,2019-02-21,51.23
70,2019-02-20,51.39
71,2019-02-19,51.15
72,2019-02-15,50.89
73,2019-02-14,50.38
74,2019-02-13,50.36
75,2019-02-12,50.43
76,2019-02-11,49.90
77,2019-02-08,50.00
78,2019-02-07,50.19
79,2019-02-06,50.86
80,2019-02-05,51.21
81,2019-02-04,50.77
82,2019-02-01,50.60
83,2019-01-31,50.68
84,2019-01-30,50.57
85,2019-01-29,49.97
86,2019-01-28,49.87
87,2019-01-25,50.14
88,2019-01-24,49.59
89,2019-01-23,49.41
90,2019-01-22,49.11
91,2019-01-18,49.87
92,2019-01-17,49.47
93,2019-01-16,49.25
94,2019-01-15,49.05
95,2019-01-14,48.74
96,2019-01-11,48.95
97,2019-01-10,49.27
98,2019-01-09,49.11
99,2019-01-08,48.46
100,2019-01-07,48.11
101,2019-01-04,47.97
102,2019-01-03,46.45
103,2019-01-02,46.98
104,2018-12-31,47.07
105,2018-12-28,46.96
106,2018-12-27,46.70
107,2018-12-26,46.69
108,2018-12-24,45.57
109,2018-12-21,46.06
110,2018-12-20,46.78
111,2018-12-19,46.83
112,2018-12-18,47.38
113,2018-12-17,47.32
114,2018-12-14,47.72
115,2018-12-13,48.39
116,2018-12-12,48.46
117,2018-12-11,47.71
118,2018-12-10,47.55
119,2018-12-07,47.97
120,2018-12-06,48.60
121,2018-12-04,49.00
122,2018-12-03,50.23
123,2018-11-30,49.52
124,2018-11-29,49.66
125,2018-11-28,49.91
126,2018-11-27,49.06
127,2018-11-26,49.18
128,2018-11-23,48.54
129,2018-11-21,48.85
130,2018-11-20,48.11
131,2018-11-19,49.10
132,2018-11-16,49.53
133,2018-11-15,49.53
134,2018-11-14,49.17
135,2018-11-13,49.02
136,2018-11-12,48.77
137,2018-11-09,49.56
138,2018-11-08,50.08
139,2018-11-07,50.65
140,2018-11-06,49.98
141,2018-11-05,49.87
142,2018-11-02,49.86
143,2018-11-01,49.59
144,2018-10-31,48.70
145,2018-10-30,48.29
146,2018-10-29,47.72
147,2018-10-26,48.00
148,2018-10-25,48.40
149,2018-10-24,47.79
150,2018-10-23,49.16
151,2018-10-22,49.68
152,2018-10-19,49.76
153,2018-10-18,49.48
154,2018-10-17,50.32
155,2018-10-16,50.74
156,2018-10-15,49.78
157,2018-10-12,49.99
158,2018-10-11,49.53
159,2018-10-10,50.20
160,2018-10-09,51.44
161,2018-10-08,51.62
162,2018-10-05,51.81
163,2018-10-04,52.09
164,2018-10-03,52.82
165,2018-10-02,53.02
166,2018-10-01,53.34
167,2018-09-28,53.25
168,2018-09-27,53.64
169,2018-09-26,53.70
170,2018-09-25,53.67
171,2018-09-24,53.37
172,2018-09-21,53.70
173,2018-09-20,53.67
174,2018-09-19,53.12
175,2018-09-18,52.82
176,2018-09-17,52.29
177,2018-09-14,52.33
178,2018-09-13,52.34
179,2018-09-12,51.87
180,2018-09-11,51.68
181,2018-09-10,51.60
182,2018-09-07,51.54
183,2018-09-06,51.91
184,2018-09-05,52.02
185,2018-09-04,52.50
186,2018-08-31,53.14
187,2018-08-30,53.37
188,2018-08-29,54.04
189,2018-08-28,53.80
190,2018-08-27,53.90
191,2018-08-24,53.20
192,2018-08-23,52.71
193,2018-08-22,53.21
194,2018-08-21,52.93
195,2018-08-20,52.55
196,2018-08-17,52.32
197,2018-08-16,51.97
198,2018-08-15,51.67
199,2018-08-14,52.52
200,2018-08-13,52.42
201,2018-08-10,52.83
202,2018-08-09,53.85
203,2018-08-08,53.99
204,2018-08-07,53.98
205,2018-08-06,53.68
206,2018-08-03,53.92
207,2018-08-02,53.79
208,2018-08-01,54.20
209,2018-07-31,54.45
210,2018-07-30,54.39
211,2018-07-27,54.36
212,2018-07-26,54.28
213,2018-07-25,54.56
214,2018-07-24,54.00
215,2018-07-23,53.60
216,2018-07-20,53.78
217,2018-07-19,53.37
218,2018-07-18,53.64
219,2018-07-17,53.65
220,2018-07-16,53.47
221,2018-07-13,53.58
222,2018-07-12,53.42
223,2018-07-11,52.96
224,2018-07-10,53.85
225,2018-07-09,53.85
226,2018-07-06,53.28
227,2018-07-05,52.99
228,2018-07-03,52.65
229,2018-07-02,52.53
230,2018-06-29,53.09
231,2018-06-28,52.60
232,2018-06-27,52.34
233,2018-06-26,52.99
234,2018-06-25,52.92
235,2018-06-22,53.66
236,2018-06-21,53.10
237,2018-06-20,53.59
238,2018-06-19,53.44
239,2018-06-18,54.00
240,2018-06-15,54.43
241,2018-06-14,54.80
242,2018-06-13,55.00
243,2018-06-12,55.04
244,2018-06-11,55.27
245,2018-06-08,55.03
246,2018-06-07,54.95
247,2018-06-06,55.39
248,2018-06-05,54.83
249,2018-06-04,54.94
250,2018-06-01,54.74
251,2018-05-31,54.24
252,2018-05-30,54.45
253,2018-05-29,53.75
254,2018-05-25,54.83
255,2018-05-24,55.03
256,2018-05-23,55.22
257,2018-05-22,55.70
258,2018-05-21,55.72
259,2018-05-18,55.35
260,2018-05-17,55.59
261,2018-05-16,55.72
262,2018-05-15,55.45
263,2018-05-14,55.97
264,2018-05-11,55.91
265,2018-05-10,55.85
266,2018-05-09,55.27
267,2018-05-08,55.21
268,2018-05-07,55.07
269,2018-05-04,55.16
270,2018-05-03,54.99
271,2018-05-02,54.87
272,2018-05-01,55.02
273,2018-04-30,55.15
274,2018-04-27,55.42
275,2018-04-26,55.28
276,2018-04-25,54.88
277,2018-04-24,55.06
278,2018-04-23,55.29
279,2018-04-20,55.46
280,2018-04-19,55.81
281,2018-04-18,56.05
282,2018-04-17,55.73
283,2018-04-16,55.49
284,2018-04-13,55.38
285,2018-04-12,55.47
286,2018-04-11,55.31
287,2018-04-10,55.48
288,2018-04-09,54.83
289,2018-04-06,54.42
290,2018-04-05,54.99
291,2018-04-04,54.63
292,2018-04-03,54.54
293,2018-04-02,54.04
294,2018-03-29,54.89
295,2018-03-28,54.28
296,2018-03-27,54.10
297,2018-03-26,54.69
298,2018-03-23,53.59
299,2018-03-22,54.21
300,2018-03-21,55.41
301,2018-03-20,55.26
302,2018-03-19,55.08
303,2018-03-16,55.57
304,2018-03-15,55.67
305,2018-03-14,55.75
306,2018-03-13,55.61
307,2018-03-12,56.00
308,2018-03-09,55.91
309,2018-03-08,55.38
310,2018-03-07,55.27
311,2018-03-06,55.32
312,2018-03-05,54.91
313,2018-03-02,54.69
314,2018-03-01,54.53
315,2018-02-28,55.10
316,2018-02-27,55.73
317,2018-02-26,56.70
318,2018-02-23,56.27
319,2018-02-22,55.66
320,2018-02-21,55.41
321,2018-02-20,55.55
322,2018-02-16,56.16
323,2018-02-15,56.08
324,2018-02-14,55.59
325,2018-02-13,54.61
326,2018-02-12,54.61
327,2018-02-09,53.85
328,2018-02-08,53.35
329,2018-02-07,54.86
330,2018-02-06,55.87
331,2018-02-05,54.55
332,2018-02-02,56.84
333,2018-02-01,58.10
334,2018-01-31,58.15
335,2018-01-30,58.06
336,2018-01-29,58.62
337,2018-01-26,59.23
338,2018-01-25,58.65
339,2018-01-24,58.86
340,2018-01-23,58.61
341,2018-01-22,58.37
342,2018-01-19,58.06
343,2018-01-18,57.79
344,2018-01-17,57.86
345,2018-01-16,57.46
