,Date,NAV
1,2019-05-30,22.25
2,2019-05-29,21.99
3,2019-05-28,21.75
4,2019-05-24,22.42
5,2019-05-23,22.50
6,2019-05-22,22.04
7,2019-05-21,22.06
8,2019-05-20,22.12
9,2019-05-17,21.99
10,2019-05-16,22.44
11,2019-05-15,23.21
12,2019-05-14,23.22
13,2019-05-13,23.12
14,2019-05-10,23.13
15,2019-05-09,23.09
16,2019-05-08,23.34
17,2019-05-07,23.61
18,2019-05-06,23.60
19,2019-05-03,23.63
20,2019-05-02,22.71
21,2019-05-01,22.81
22,2019-04-30,23.80
23,2019-04-29,23.70
24,2019-04-26,24.13
25,2019-04-25,23.79
26,2019-04-24,23.82
27,2019-04-23,23.43
28,2019-04-22,24.02
29,2019-04-18,24.00
30,2019-04-17,23.95
31,2019-04-16,23.97
32,2019-04-15,23.97
33,2019-04-12,23.97
34,2019-04-11,23.85
35,2019-04-10,24.79
36,2019-04-09,24.80
37,2019-04-08,24.91
38,2019-04-05,24.41
39,2019-04-04,24.60
40,2019-04-03,24.45
41,2019-04-02,24.40
42,2019-04-01,24.38
43,2019-03-29,24.48
44,2019-03-28,24.13
45,2019-03-27,25.05
46,2019-03-26,25.59
47,2019-03-25,25.98
48,2019-03-22,25.53
49,2019-03-21,25.74
50,2019-03-20,25.83
51,2019-03-19,25.39
52,2019-03-18,25.30
53,2019-03-15,25.12
54,2019-03-14,24.80
55,2019-03-13,25.76
56,2019-03-12,25.68
57,2019-03-11,25.24
58,2019-03-08,25.40
59,2019-03-07,24.30
60,2019-03-06,24.51
61,2019-03-05,24.71
62,2019-03-04,24.55
63,2019-03-01,24.73
64,2019-02-28,26.29
65,2019-02-27,26.76
66,2019-02-26,27.44
67,2019-02-25,27.35
68,2019-02-22,27.46
69,2019-02-21,27.12
70,2019-02-20,28.06
71,2019-02-19,27.82
72,2019-02-15,27.10
73,2019-02-14,26.52
74,2019-02-13,26.32
75,2019-02-12,26.84
76,2019-02-11,26.88
77,2019-02-08,27.31
78,2019-02-07,27.00
79,2019-02-06,26.79
80,2019-02-05,27.45
81,2019-02-04,27.47
82,2019-02-01,27.67
83,2019-01-31,28.15
84,2019-01-30,28.17
85,2019-01-29,27.39
86,2019-01-28,27.12
87,2019-01-25,27.01
88,2019-01-24,25.64
89,2019-01-23,25.80
90,2019-01-22,25.71
91,2019-01-18,25.75
92,2019-01-17,26.43
93,2019-01-16,26.64
94,2019-01-15,26.59
95,2019-01-14,26.82
96,2019-01-11,26.68
97,2019-01-10,26.54
98,2019-01-09,27.27
99,2019-01-08,26.93
100,2019-01-07,26.83
101,2019-01-04,27.10
102,2019-01-03,27.29
103,2019-01-02,26.38
104,2018-12-31,26.37
105,2018-12-28,26.08
106,2018-12-27,25.69
107,2018-12-26,24.99
108,2018-12-24,24.17
109,2018-12-21,23.65
110,2018-12-20,24.15
111,2018-12-19,23.51
112,2018-12-18,23.70
113,2018-12-17,23.84
114,2018-12-14,23.55
115,2018-12-13,24.17
116,2018-12-12,24.07
117,2018-12-11,23.50
118,2018-12-10,23.35
119,2018-12-07,23.75
120,2018-12-06,23.29
121,2018-12-04,23.39
122,2018-12-03,22.93
123,2018-11-30,22.35
124,2018-11-29,22.74
125,2018-11-28,22.75
126,2018-11-27,22.22
127,2018-11-26,22.61
128,2018-11-23,22.69
