,Date,NAV
1,2019-05-30,18.97
2,2019-05-29,19.75
3,2019-05-28,19.89
4,2019-05-24,19.73
5,2019-05-23,19.39
6,2019-05-22,20.29
7,2019-05-21,20.72
8,2019-05-20,20.69
9,2019-05-17,20.70
10,2019-05-16,20.88
11,2019-05-15,20.66
12,2019-05-14,20.43
13,2019-05-13,20.05
14,2019-05-10,20.27
15,2019-05-09,20.14
16,2019-05-08,20.12
17,2019-05-07,19.96
18,2019-05-06,20.55
19,2019-05-03,20.30
20,2019-05-02,20.22
21,2019-05-01,20.68
22,2019-04-30,20.65
23,2019-04-29,20.51
24,2019-04-26,20.41
25,2019-04-25,21.08
26,2019-04-24,21.16
27,2019-04-23,21.18
28,2019-04-22,21.06
29,2019-04-18,20.47
30,2019-04-17,20.38
31,2019-04-16,20.40
32,2019-04-15,20.27
33,2019-04-12,20.35
34,2019-04-11,20.18
35,2019-04-10,20.37
36,2019-04-09,20.09
37,2019-04-08,20.22
38,2019-04-05,20.04
39,2019-04-04,19.69
40,2019-04-03,19.74
41,2019-04-02,19.73
42,2019-04-01,19.64
43,2019-03-29,19.22
44,2019-03-28,19.10
45,2019-03-27,19.10
46,2019-03-26,19.19
47,2019-03-25,19.00
48,2019-03-22,18.93
49,2019-03-21,19.18
50,2019-03-20,19.36
51,2019-03-19,19.11
52,2019-03-18,19.10
53,2019-03-15,19.00
54,2019-03-14,19.03
55,2019-03-13,19.17
56,2019-03-12,18.89
57,2019-03-11,18.89
58,2019-03-08,18.64
59,2019-03-07,18.73
60,2019-03-06,18.67
61,2019-03-05,18.67
62,2019-03-04,18.59
63,2019-03-01,18.39
64,2019-02-28,18.79
65,2019-02-27,18.83
66,2019-02-26,18.58
67,2019-02-25,18.35
68,2019-02-22,19.00
69,2019-02-21,19.00
70,2019-02-20,18.98
71,2019-02-19,18.83
72,2019-02-15,18.77
73,2019-02-14,18.30
74,2019-02-13,18.01
75,2019-02-12,17.67
76,2019-02-11,17.48
77,2019-02-08,17.57
78,2019-02-07,17.45
79,2019-02-06,17.72
80,2019-02-05,17.54
81,2019-02-04,17.74
82,2019-02-01,17.78
83,2019-01-31,17.29
84,2019-01-30,17.43
85,2019-01-29,17.27
86,2019-01-28,16.93
87,2019-01-25,17.38
88,2019-01-24,17.28
89,2019-01-23,17.24
90,2019-01-22,17.36
91,2019-01-18,17.67
92,2019-01-17,17.27
93,2019-01-16,17.34
94,2019-01-15,17.12
