,Date,NAV
1,2019-05-30,19.13
2,2019-05-29,19.13
3,2019-05-28,19.13
4,2019-05-24,19.13
5,2019-05-23,19.13
6,2019-05-22,19.13
7,2019-05-21,19.13
8,2019-05-20,19.13
9,2019-05-17,19.13
10,2019-05-16,19.13
11,2019-05-15,19.13
12,2019-05-14,19.13
13,2019-05-13,19.13
14,2019-05-10,19.13
15,2019-05-09,19.13
16,2019-05-08,19.13
17,2019-05-07,19.13
18,2019-05-06,19.13
19,2019-05-03,19.13
20,2019-05-02,19.13
21,2019-05-01,19.13
22,2019-04-30,19.13
23,2019-04-29,19.13
24,2019-04-26,19.13
25,2019-04-25,19.13
26,2019-04-24,19.13
27,2019-04-23,19.13
28,2019-04-22,19.13
29,2019-04-18,19.13
30,2019-04-17,19.13
31,2019-04-16,19.13
32,2019-04-15,19.13
33,2019-04-12,19.13
34,2019-04-11,19.13
35,2019-04-10,19.13
36,2019-04-09,19.13
37,2019-04-08,19.13
38,2019-04-05,19.13
39,2019-04-04,19.13
40,2019-04-03,19.13
41,2019-04-02,19.13
42,2019-04-01,19.13
43,2019-03-29,19.13
44,2019-03-28,19.13
45,2019-03-27,19.13
46,2019-03-26,19.13
47,2019-03-25,19.13
48,2019-03-22,19.13
49,2019-03-21,19.13
50,2019-03-20,19.13
51,2019-03-19,19.13
52,2019-03-18,19.13
53,2019-03-15,19.13
54,2019-03-14,21.24
55,2019-03-13,21.24
56,2019-03-12,21.24
57,2019-03-11,21.24
58,2019-03-08,21.24
59,2019-03-07,19.32
60,2019-03-06,15.26
61,2019-03-05,15.26
62,2019-03-04,15.26
63,2019-03-01,15.26
64,2019-02-28,15.26
65,2019-02-27,15.26
66,2019-02-26,19.65
67,2019-02-25,19.65
68,2019-02-22,19.65
69,2019-02-21,19.65
70,2019-02-20,19.65
71,2019-02-19,19.65
72,2019-02-15,19.65
73,2019-02-14,19.65
74,2019-02-13,19.65
75,2019-02-12,19.65
76,2019-02-11,19.65
77,2019-02-08,19.65
78,2019-02-07,19.65
79,2019-02-06,19.65
80,2019-02-05,19.65
81,2019-02-04,19.65
82,2019-02-01,19.65
83,2019-01-31,19.65
84,2019-01-30,19.65
85,2019-01-29,20.69
86,2019-01-28,20.69
87,2019-01-25,20.69
88,2019-01-24,20.69
89,2019-01-23,20.69
90,2019-01-22,20.69
91,2019-01-18,20.69
92,2019-01-17,20.69
93,2019-01-16,20.69
94,2019-01-15,20.69
95,2019-01-14,20.69
96,2019-01-11,20.69
97,2019-01-10,20.69
98,2019-01-09,20.69
99,2019-01-08,20.69
100,2019-01-07,20.69
101,2019-01-04,20.69
102,2019-01-03,20.69
103,2019-01-02,20.69
104,2018-12-31,20.69
105,2018-12-28,20.69
106,2018-12-27,20.69
107,2018-12-26,19.07
108,2018-12-24,19.07
109,2018-12-21,19.07
110,2018-12-20,19.07
111,2018-12-19,19.07
112,2018-12-18,19.07
113,2018-12-17,19.07
114,2018-12-14,19.07
115,2018-12-13,19.07
116,2018-12-12,19.07
117,2018-12-11,19.07
