,Date,NAV
1,2019-05-30,17.02
2,2019-05-29,16.58
3,2019-05-28,16.64
4,2019-05-24,16.13
5,2019-05-23,15.78
6,2019-05-22,15.91
7,2019-05-21,15.85
8,2019-05-20,15.63
9,2019-05-17,15.46
10,2019-05-16,15.44
11,2019-05-15,15.15
12,2019-05-14,15.19
13,2019-05-13,14.87
14,2019-05-10,14.67
15,2019-05-09,14.70
16,2019-05-08,15.06
17,2019-05-07,15.23
18,2019-05-06,15.10
19,2019-05-03,15.35
20,2019-05-02,15.33
21,2019-05-01,15.30
22,2019-04-30,15.07
23,2019-04-29,15.01
24,2019-04-26,15.04
25,2019-04-25,14.85
26,2019-04-24,14.77
27,2019-04-23,14.98
28,2019-04-22,15.07
29,2019-04-18,15.24
30,2019-04-17,15.27
31,2019-04-16,15.26
32,2019-04-15,15.44
33,2019-04-12,15.35
34,2019-04-11,15.35
35,2019-04-10,15.40
36,2019-04-09,15.37
37,2019-04-08,15.36
38,2019-04-05,15.40
39,2019-04-04,15.56
40,2019-04-03,15.49
41,2019-04-02,15.43
42,2019-04-01,15.43
43,2019-03-29,15.23
44,2019-03-28,15.84
45,2019-03-27,15.85
46,2019-03-26,15.96
47,2019-03-25,16.03
48,2019-03-22,15.99
49,2019-03-21,15.90
50,2019-03-20,15.74
51,2019-03-19,15.72
52,2019-03-18,15.75
53,2019-03-15,15.75
54,2019-03-14,15.67
55,2019-03-13,15.58
56,2019-03-12,15.56
57,2019-03-11,15.40
58,2019-03-08,15.47
59,2019-03-07,15.49
60,2019-03-06,15.76
61,2019-03-05,15.89
62,2019-03-04,15.87
63,2019-03-01,15.76
64,2019-02-28,15.65
65,2019-02-27,15.76
66,2019-02-26,15.85
67,2019-02-25,16.03
68,2019-02-22,16.20
69,2019-02-21,16.16
70,2019-02-20,16.01
71,2019-02-19,15.94
72,2019-02-15,16.11
73,2019-02-14,16.14
74,2019-02-13,16.28
75,2019-02-12,16.22
76,2019-02-11,16.07
77,2019-02-08,16.07
78,2019-02-07,16.17
79,2019-02-06,16.31
80,2019-02-05,16.33
81,2019-02-04,16.28
82,2019-02-01,16.24
83,2019-01-31,16.19
84,2019-01-30,16.35
85,2019-01-29,16.26
86,2019-01-28,16.30
87,2019-01-25,16.31
88,2019-01-24,16.24
89,2019-01-23,16.28
90,2019-01-22,16.25
91,2019-01-18,16.35
92,2019-01-17,16.29
93,2019-01-16,16.13
94,2019-01-15,16.05
95,2019-01-14,16.32
96,2019-01-11,16.27
97,2019-01-10,16.20
98,2019-01-09,16.40
99,2019-01-08,16.33
100,2019-01-07,16.40
101,2019-01-04,16.40
102,2019-01-03,16.25
103,2019-01-02,16.12
104,2018-12-31,16.05
105,2018-12-28,16.10
106,2018-12-27,16.07
107,2018-12-26,15.98
108,2018-12-24,16.16
109,2018-12-21,16.18
110,2018-12-20,16.10
111,2018-12-19,16.32
112,2018-12-18,16.47
113,2018-12-17,16.38
114,2018-12-14,16.41
115,2018-12-13,16.41
116,2018-12-12,16.42
117,2018-12-11,16.43
118,2018-12-10,16.38
119,2018-12-07,16.45
120,2018-12-06,16.36
121,2018-12-04,16.41
122,2018-12-03,16.33
123,2018-11-30,16.17
124,2018-11-29,16.00
125,2018-11-28,16.04
126,2018-11-27,15.83
127,2018-11-26,15.81
128,2018-11-23,15.94
129,2018-11-21,16.01
130,2018-11-20,15.98
131,2018-11-19,16.02
132,2018-11-16,16.12
133,2018-11-15,16.17
134,2018-11-14,16.18
135,2018-11-13,16.17
136,2018-11-12,16.32
137,2018-11-09,16.30
138,2018-11-08,16.46
139,2018-11-07,16.40
140,2018-11-06,16.44
141,2018-11-05,16.47
142,2018-11-02,16.39
143,2018-11-01,16.21
144,2018-10-31,16.12
145,2018-10-30,16.19
146,2018-10-29,16.28
147,2018-10-26,16.33
148,2018-10-25,16.05
149,2018-10-24,16.29
150,2018-10-23,16.38
151,2018-10-22,16.35
152,2018-10-19,16.22
153,2018-10-18,16.38
154,2018-10-17,16.48
155,2018-10-16,16.55
156,2018-10-15,16.62
157,2018-10-12,16.50
158,2018-10-11,16.33
159,2018-10-10,16.05
160,2018-10-09,16.16
161,2018-10-08,16.21
162,2018-10-05,16.25
163,2018-10-04,16.28
164,2018-10-03,16.15
165,2018-10-02,16.29
166,2018-10-01,16.23
167,2018-09-28,15.87
168,2018-09-27,16.18
169,2018-09-26,16.06
170,2018-09-25,16.14
171,2018-09-24,16.03
172,2018-09-21,15.93
173,2018-09-20,15.75
174,2018-09-19,15.50
175,2018-09-18,15.40
176,2018-09-17,15.59
177,2018-09-14,15.71
178,2018-09-13,15.70
179,2018-09-12,15.78
180,2018-09-11,16.24
181,2018-09-10,16.28
182,2018-09-07,16.25
183,2018-09-06,16.22
184,2018-09-05,16.20
185,2018-09-04,16.29
186,2018-08-31,16.20
187,2018-08-30,15.85
188,2018-08-29,15.87
189,2018-08-28,15.86
190,2018-08-27,16.02
191,2018-08-24,16.09
192,2018-08-23,16.04
193,2018-08-22,16.26
194,2018-08-21,16.54
195,2018-08-20,16.67
196,2018-08-17,16.70
197,2018-08-16,16.78
198,2018-08-15,16.61
199,2018-08-14,16.66
200,2018-08-13,16.40
201,2018-08-10,16.42
202,2018-08-09,16.85
203,2018-08-08,16.98
204,2018-08-07,16.97
205,2018-08-06,16.98
206,2018-08-03,16.95
207,2018-08-02,16.82
208,2018-08-01,16.74
209,2018-07-31,16.96
210,2018-07-30,16.80
211,2018-07-27,16.57
212,2018-07-26,16.53
213,2018-07-25,16.53
214,2018-07-24,16.24
215,2018-07-23,16.41
216,2018-07-20,16.32
217,2018-07-19,16.20
218,2018-07-18,16.05
219,2018-07-17,16.04
220,2018-07-16,15.85
221,2018-07-13,15.77
222,2018-07-12,15.94
223,2018-07-11,15.76
224,2018-07-10,16.04
225,2018-07-09,16.29
226,2018-07-06,16.51
227,2018-07-05,16.14
228,2018-07-03,16.19
229,2018-07-02,16.01
230,2018-06-29,16.44
231,2018-06-28,16.21
232,2018-06-27,16.50
233,2018-06-26,16.52
234,2018-06-25,16.41
235,2018-06-22,16.71
236,2018-06-21,16.75
237,2018-06-20,16.63
238,2018-06-19,16.60
239,2018-06-18,16.65
240,2018-06-15,16.87
241,2018-06-14,16.95
242,2018-06-13,17.40
243,2018-06-12,17.46
244,2018-06-11,17.07
245,2018-06-08,17.49
246,2018-06-07,17.48
247,2018-06-06,17.53
248,2018-06-05,17.67
249,2018-06-04,17.55
250,2018-06-01,17.94
251,2018-05-31,18.03
252,2018-05-30,17.98
253,2018-05-29,18.20
254,2018-05-25,18.45
255,2018-05-24,18.34
256,2018-05-23,18.47
257,2018-05-22,18.36
258,2018-05-21,18.28
259,2018-05-18,18.21
260,2018-05-17,17.99
261,2018-05-16,18.11
262,2018-05-15,18.23
263,2018-05-14,18.07
264,2018-05-11,18.06
265,2018-05-10,18.18
266,2018-05-09,18.28
267,2018-05-08,18.32
268,2018-05-07,18.15
269,2018-05-04,18.42
270,2018-05-03,18.48
271,2018-05-02,18.38
272,2018-05-01,18.38
273,2018-04-30,18.19
274,2018-04-27,18.12
275,2018-04-26,17.96
276,2018-04-25,17.95
277,2018-04-24,17.74
278,2018-04-23,17.62
279,2018-04-20,17.56
280,2018-04-19,17.78
281,2018-04-18,17.78
282,2018-04-17,17.70
283,2018-04-16,17.76
284,2018-04-13,17.88
285,2018-04-12,18.06
286,2018-04-11,17.97
287,2018-04-10,18.10
