,Date,NAV
1,2019-05-30,2.0000
2,2019-05-29,2.0000
3,2019-05-28,2.0000
4,2019-05-24,2.0000
5,2019-05-23,2.0000
6,2019-05-22,2.0000
7,2019-05-21,2.0000
8,2019-05-20,2.0000
9,2019-05-17,2.0000
10,2019-05-16,2.0000
11,2019-05-15,2.0000
12,2019-05-14,2.0000
13,2019-05-13,2.0000
14,2019-05-10,2.0000
15,2019-05-09,2.0000
16,2019-05-08,2.0000
17,2019-05-07,2.0000
18,2019-05-06,2.0000
19,2019-05-03,2.0000
20,2019-05-02,2.0000
21,2019-05-01,2.0000
22,2019-04-30,2.0000
23,2019-04-29,2.0000
24,2019-04-26,2.0000
25,2019-04-25,2.0000
26,2019-04-24,2.0000
27,2019-04-23,2.0000
28,2019-04-22,2.0000
29,2019-04-18,2.0000
30,2019-04-17,2.0000
31,2019-04-16,2.0000
32,2019-04-15,2.0000
33,2019-04-12,2.0000
34,2019-04-11,2.0498
35,2019-04-10,2.0150
36,2019-04-09,2.0550
37,2019-04-08,2.0850
38,2019-04-05,2.0450
39,2019-04-04,2.0821
40,2019-04-03,2.0100
41,2019-04-02,2.1000
42,2019-04-01,2.0950
43,2019-03-29,2.0900
44,2019-03-28,2.1481
45,2019-03-27,2.1300
46,2019-03-26,2.2050
47,2019-03-25,2.1900
48,2019-03-22,2.1531
49,2019-03-21,2.1150
50,2019-03-20,2.1200
51,2019-03-19,2.1250
52,2019-03-18,2.1400
53,2019-03-15,2.1500
54,2019-03-14,2.1657
55,2019-03-13,2.1150
56,2019-03-12,2.1150
57,2019-03-11,2.0750
58,2019-03-08,2.1193
59,2019-03-07,2.1334
60,2019-03-06,2.1439
61,2019-03-05,2.1400
62,2019-03-04,2.1150
63,2019-03-01,2.1307
64,2019-02-28,2.1680
65,2019-02-27,2.1800
66,2019-02-26,2.1800
67,2019-02-25,2.2100
68,2019-02-22,2.2600
69,2019-02-21,2.2300
70,2019-02-20,2.2200
71,2019-02-19,2.2200
72,2019-02-15,2.2300
73,2019-02-14,2.2100
74,2019-02-13,2.2300
75,2019-02-12,2.2300
76,2019-02-11,2.2100
77,2019-02-08,2.2400
78,2019-02-07,2.2400
79,2019-02-06,2.2500
