,Date,NAV
1,2019-05-30,15.43
2,2019-05-29,15.47
3,2019-05-28,15.57
4,2019-05-24,15.57
5,2019-05-23,15.44
6,2019-05-22,15.40
7,2019-05-21,15.63
8,2019-05-20,15.63
9,2019-05-17,15.75
10,2019-05-16,15.95
11,2019-05-15,15.92
12,2019-05-14,15.76
13,2019-05-13,15.65
14,2019-05-10,15.90
15,2019-05-09,15.84
16,2019-05-08,15.85
17,2019-05-07,16.04
18,2019-05-06,16.29
19,2019-05-03,16.24
20,2019-05-02,16.17
21,2019-05-01,16.18
22,2019-04-30,16.55
23,2019-04-29,16.50
24,2019-04-26,16.47
25,2019-04-25,16.42
26,2019-04-24,16.56
27,2019-04-23,16.56
28,2019-04-22,16.64
29,2019-04-18,16.67
30,2019-04-17,16.70
31,2019-04-16,16.71
32,2019-04-15,16.89
33,2019-04-12,16.93
34,2019-04-11,16.78
35,2019-04-10,16.86
36,2019-04-09,16.85
37,2019-04-08,16.90
38,2019-04-05,16.89
39,2019-04-04,17.01
40,2019-04-03,17.02
41,2019-04-02,16.81
42,2019-04-01,16.94
43,2019-03-29,17.04
44,2019-03-28,16.80
45,2019-03-27,16.81
46,2019-03-26,16.82
47,2019-03-25,16.67
48,2019-03-22,16.66
49,2019-03-21,16.81
50,2019-03-20,17.01
51,2019-03-19,16.83
52,2019-03-18,16.72
53,2019-03-15,16.65
54,2019-03-14,16.71
55,2019-03-13,16.81
56,2019-03-12,16.78
57,2019-03-11,16.51
58,2019-03-08,16.42
59,2019-03-07,16.42
60,2019-03-06,16.60
61,2019-03-05,16.60
62,2019-03-04,16.49
63,2019-03-01,16.69
64,2019-02-28,16.69
65,2019-02-27,16.78
66,2019-02-26,16.68
67,2019-02-25,16.59
68,2019-02-22,16.57
69,2019-02-21,16.41
70,2019-02-20,16.38
71,2019-02-19,16.22
72,2019-02-15,16.14
73,2019-02-14,15.85
74,2019-02-13,15.95
75,2019-02-12,15.90
76,2019-02-11,16.04
77,2019-02-08,16.25
78,2019-02-07,16.36
79,2019-02-06,16.37
80,2019-02-05,16.48
81,2019-02-04,16.57
82,2019-02-01,16.31
83,2019-01-31,16.37
84,2019-01-30,16.30
85,2019-01-29,16.07
86,2019-01-28,15.99
87,2019-01-25,16.18
88,2019-01-24,15.87
89,2019-01-23,15.90
90,2019-01-22,15.78
91,2019-01-18,15.82
92,2019-01-17,15.74
93,2019-01-16,15.54
94,2019-01-15,15.43
95,2019-01-14,15.36
96,2019-01-11,15.47
97,2019-01-10,15.39
98,2019-01-09,15.48
99,2019-01-08,15.49
100,2019-01-07,15.56
101,2019-01-04,15.40
102,2019-01-03,15.18
103,2019-01-02,15.09
104,2018-12-31,15.39
105,2018-12-28,15.41
106,2018-12-27,15.59
107,2018-12-26,15.72
108,2018-12-24,15.57
109,2018-12-21,15.60
110,2018-12-20,15.81
111,2018-12-19,15.64
112,2018-12-18,15.67
113,2018-12-17,15.91
114,2018-12-14,15.86
115,2018-12-13,15.99
116,2018-12-12,15.98
117,2018-12-11,16.09
118,2018-12-10,16.00
119,2018-12-07,16.09
120,2018-12-06,16.10
121,2018-12-04,16.16
122,2018-12-03,16.19
123,2018-11-30,16.04
124,2018-11-29,15.82
125,2018-11-28,15.89
126,2018-11-27,15.62
127,2018-11-26,15.89
128,2018-11-23,15.91
129,2018-11-21,16.10
130,2018-11-20,15.93
131,2018-11-19,16.11
132,2018-11-16,16.26
133,2018-11-15,15.96
134,2018-11-14,15.85
135,2018-11-13,15.70
136,2018-11-12,15.68
137,2018-11-09,15.77
138,2018-11-08,15.91
139,2018-11-07,15.87
140,2018-11-06,15.81
141,2018-11-05,15.99
142,2018-11-02,16.15
143,2018-11-01,15.94
144,2018-10-31,15.65
145,2018-10-30,15.84
146,2018-10-29,16.03
147,2018-10-26,16.30
148,2018-10-25,16.26
149,2018-10-24,16.28
150,2018-10-23,16.35
151,2018-10-22,16.34
152,2018-10-19,16.29
153,2018-10-18,16.26
154,2018-10-17,16.37
155,2018-10-16,16.28
156,2018-10-15,16.27
157,2018-10-12,16.39
158,2018-10-11,16.19
159,2018-10-10,16.26
160,2018-10-09,16.53
161,2018-10-08,16.37
162,2018-10-05,16.45
163,2018-10-04,16.62
164,2018-10-03,17.03
165,2018-10-02,16.67
166,2018-10-01,16.52
167,2018-09-28,16.36
168,2018-09-27,16.09
169,2018-09-26,16.26
170,2018-09-25,16.29
171,2018-09-24,16.20
172,2018-09-21,16.30
173,2018-09-20,16.01
174,2018-09-19,15.76
175,2018-09-18,15.71
176,2018-09-17,15.46
177,2018-09-14,15.32
178,2018-09-13,15.58
179,2018-09-12,15.72
180,2018-09-11,15.41
181,2018-09-10,15.62
182,2018-09-07,15.63
183,2018-09-06,15.67
184,2018-09-05,15.66
185,2018-09-04,15.63
186,2018-08-31,16.04
187,2018-08-30,16.05
188,2018-08-29,16.33
189,2018-08-28,16.30
190,2018-08-27,16.10
191,2018-08-24,16.13
192,2018-08-23,15.86
193,2018-08-22,15.89
194,2018-08-21,15.84
195,2018-08-20,15.71
196,2018-08-17,15.72
197,2018-08-16,15.51
198,2018-08-15,15.30
199,2018-08-14,15.89
200,2018-08-13,16.03
201,2018-08-10,16.19
202,2018-08-09,16.30
203,2018-08-08,16.44
204,2018-08-07,16.19
205,2018-08-06,16.15
206,2018-08-03,16.21
207,2018-08-02,16.08
208,2018-08-01,16.11
209,2018-07-31,16.53
210,2018-07-30,16.30
211,2018-07-27,16.31
212,2018-07-26,16.34
213,2018-07-25,16.54
214,2018-07-24,16.41
215,2018-07-23,16.19
216,2018-07-20,16.20
217,2018-07-19,15.97
218,2018-07-18,16.27
219,2018-07-17,16.03
220,2018-07-16,16.09
221,2018-07-13,16.22
222,2018-07-12,16.25
223,2018-07-11,16.21
224,2018-07-10,16.55
225,2018-07-09,16.80
226,2018-07-06,16.76
227,2018-07-05,16.63
228,2018-07-03,17.01
229,2018-07-02,17.17
230,2018-06-29,17.32
231,2018-06-28,17.50
232,2018-06-27,17.52
233,2018-06-26,17.62
234,2018-06-25,17.46
235,2018-06-22,17.77
236,2018-06-21,17.81
237,2018-06-20,17.90
238,2018-06-19,17.92
239,2018-06-18,18.37
240,2018-06-15,18.36
241,2018-06-14,18.78
242,2018-06-13,19.02
243,2018-06-12,19.02
244,2018-06-11,19.07
245,2018-06-08,19.15
246,2018-06-07,18.86
247,2018-06-06,19.10
248,2018-06-05,19.00
249,2018-06-04,18.69
250,2018-06-01,18.47
251,2018-05-31,18.48
252,2018-05-30,18.49
253,2018-05-29,18.30
254,2018-05-25,18.36
255,2018-05-24,18.37
256,2018-05-23,18.33
257,2018-05-22,18.38
258,2018-05-21,18.51
259,2018-05-18,18.40
260,2018-05-17,18.45
261,2018-05-16,18.47
262,2018-05-15,18.49
263,2018-05-14,18.51
264,2018-05-11,18.50
265,2018-05-10,18.56
266,2018-05-09,18.56
267,2018-05-08,18.57
268,2018-05-07,18.50
269,2018-05-04,18.54
270,2018-05-03,18.30
271,2018-05-02,18.44
272,2018-05-01,18.22
273,2018-04-30,18.33
274,2018-04-27,18.33
275,2018-04-26,18.59
276,2018-04-25,18.50
277,2018-04-24,18.62
278,2018-04-23,18.71
279,2018-04-20,19.31
280,2018-04-19,19.28
281,2018-04-18,19.58
282,2018-04-17,18.92
283,2018-04-16,18.76
284,2018-04-13,18.35
285,2018-04-12,18.36
286,2018-04-11,18.68
287,2018-04-10,18.67
288,2018-04-09,18.19
289,2018-04-06,18.01
290,2018-04-05,17.96
291,2018-04-04,17.88
292,2018-04-03,17.98
293,2018-04-02,17.94
294,2018-03-29,17.92
295,2018-03-28,17.92
296,2018-03-27,17.92
297,2018-03-26,17.92
298,2018-03-23,17.78
299,2018-03-22,17.92
300,2018-03-21,18.17
301,2018-03-20,17.94
302,2018-03-19,18.18
303,2018-03-16,18.22
304,2018-03-15,18.23
305,2018-03-14,18.25
306,2018-03-13,18.40
307,2018-03-12,18.22
308,2018-03-09,18.49
309,2018-03-08,18.21
310,2018-03-07,18.36
311,2018-03-06,18.56
312,2018-03-05,18.50
313,2018-03-02,18.64
314,2018-03-01,18.72
315,2018-02-28,18.74
316,2018-02-27,18.97
317,2018-02-26,19.10
318,2018-02-23,19.06
319,2018-02-22,19.27
320,2018-02-21,19.23
321,2018-02-20,19.23
322,2018-02-16,19.39
323,2018-02-15,19.30
324,2018-02-14,19.32
325,2018-02-13,18.87
326,2018-02-12,18.56
327,2018-02-09,18.45
328,2018-02-08,18.64
329,2018-02-07,18.66
330,2018-02-06,19.06
331,2018-02-05,19.19
332,2018-02-02,19.19
333,2018-02-01,19.42
334,2018-01-31,19.25
335,2018-01-30,19.22
336,2018-01-29,19.28
337,2018-01-26,19.25
338,2018-01-25,19.14
339,2018-01-24,19.21
340,2018-01-23,18.90
341,2018-01-22,19.10
342,2018-01-19,18.94
343,2018-01-18,18.98
344,2018-01-17,18.86
345,2018-01-16,18.96
346,2018-01-12,19.05
347,2018-01-11,18.87
348,2018-01-10,18.85
349,2018-01-09,18.73
350,2018-01-08,18.85
351,2018-01-05,18.87
352,2018-01-04,19.07
353,2018-01-03,18.96
354,2018-01-02,19.16
355,2017-12-29,19.11
356,2017-12-28,19.14
357,2017-12-27,18.96
358,2017-12-26,18.76
359,2017-12-22,18.73
360,2017-12-21,18.53
361,2017-12-20,18.41
362,2017-12-19,18.22
363,2017-12-18,18.15
364,2017-12-15,18.12
365,2017-12-14,17.94
366,2017-12-13,17.78
367,2017-12-12,17.69
368,2017-12-11,17.66
369,2017-12-08,17.51
370,2017-12-07,17.46
371,2017-12-06,17.46
372,2017-12-05,17.59
373,2017-12-04,18.01
374,2017-12-01,18.17
375,2017-11-30,17.87
376,2017-11-29,17.89
377,2017-11-28,18.08
378,2017-11-27,18.33
379,2017-11-24,18.50
380,2017-11-22,18.34
381,2017-11-21,18.27
382,2017-11-20,18.06
383,2017-11-17,18.15
384,2017-11-16,18.02
385,2017-11-15,18.02
386,2017-11-14,18.00
387,2017-11-13,18.31
388,2017-11-10,18.20
389,2017-11-09,18.14
390,2017-11-08,18.20
391,2017-11-07,18.22
392,2017-11-06,18.61
393,2017-11-03,18.52
394,2017-11-02,18.61
395,2017-11-01,18.61
396,2017-10-31,18.55
397,2017-10-30,18.42
398,2017-10-27,18.40
399,2017-10-26,18.64
400,2017-10-25,18.65
401,2017-10-24,18.52
402,2017-10-23,18.38
403,2017-10-20,18.23
404,2017-10-19,18.31
405,2017-10-18,18.22
406,2017-10-17,18.23
407,2017-10-16,18.53
408,2017-10-13,18.46
409,2017-10-12,18.48
410,2017-10-11,18.33
411,2017-10-10,18.46
412,2017-10-09,18.34
413,2017-10-06,18.23
414,2017-10-05,18.45
415,2017-10-04,18.21
416,2017-10-03,18.18
417,2017-10-02,17.97
418,2017-09-29,17.83
419,2017-09-28,17.96
420,2017-09-27,17.76
421,2017-09-26,17.71
422,2017-09-25,17.82
423,2017-09-22,17.76
424,2017-09-21,17.66
425,2017-09-20,17.99
426,2017-09-19,17.82
427,2017-09-18,17.72
428,2017-09-15,17.54
429,2017-09-14,17.52
430,2017-09-13,17.63
431,2017-09-12,17.88
432,2017-09-11,17.94
433,2017-09-08,17.68
434,2017-09-07,18.19
435,2017-09-06,18.12
436,2017-09-05,17.99
437,2017-09-01,18.33
438,2017-08-31,18.17
439,2017-08-30,17.90
440,2017-08-29,17.97
441,2017-08-28,17.91
442,2017-08-25,17.76
443,2017-08-24,17.93
444,2017-08-23,17.83
445,2017-08-22,17.78
446,2017-08-21,17.81
447,2017-08-18,17.68
448,2017-08-17,17.40
449,2017-08-16,17.80
450,2017-08-15,17.17
451,2017-08-14,17.08
452,2017-08-11,17.09
453,2017-08-10,17.10
454,2017-08-09,17.13
455,2017-08-08,17.17
456,2017-08-07,16.87
457,2017-08-04,16.52
458,2017-08-03,16.49
459,2017-08-02,16.55
460,2017-08-01,16.42
461,2017-07-31,16.52
462,2017-07-28,16.46
463,2017-07-27,16.50
464,2017-07-26,16.56
465,2017-07-25,16.55
466,2017-07-24,16.22
467,2017-07-21,16.13
468,2017-07-20,16.05
469,2017-07-19,16.04
470,2017-07-18,16.22
471,2017-07-17,16.22
472,2017-07-14,16.14
473,2017-07-13,16.11
474,2017-07-12,16.08
475,2017-07-11,16.09
476,2017-07-10,15.94
