,Date,NAV
1,2019-05-30,15.54
2,2019-05-29,15.70
3,2019-05-28,15.76
4,2019-05-24,15.63
5,2019-05-23,15.42
6,2019-05-22,15.75
7,2019-05-21,15.98
8,2019-05-20,15.97
9,2019-05-17,15.90
10,2019-05-16,16.05
11,2019-05-15,15.96
12,2019-05-14,15.82
13,2019-05-13,15.61
14,2019-05-10,15.69
15,2019-05-09,15.66
16,2019-05-08,15.74
17,2019-05-07,15.72
18,2019-05-06,15.92
19,2019-05-03,15.87
20,2019-05-02,15.86
21,2019-05-01,16.04
22,2019-04-30,16.09
23,2019-04-29,16.04
24,2019-04-26,16.03
25,2019-04-25,16.22
26,2019-04-24,16.25
27,2019-04-23,16.31
28,2019-04-22,16.29
29,2019-04-18,16.21
30,2019-04-17,16.16
31,2019-04-16,16.22
32,2019-04-15,16.28
33,2019-04-12,16.31
34,2019-04-11,16.26
35,2019-04-10,16.34
36,2019-04-09,16.20
37,2019-04-08,16.23
38,2019-04-05,16.17
39,2019-04-04,16.12
40,2019-04-03,16.11
41,2019-04-02,16.09
42,2019-04-01,16.05
43,2019-03-29,15.90
44,2019-03-28,15.89
45,2019-03-27,15.94
46,2019-03-26,16.03
47,2019-03-25,16.00
48,2019-03-22,15.94
49,2019-03-21,16.08
50,2019-03-20,16.16
51,2019-03-19,16.04
52,2019-03-18,16.00
53,2019-03-15,15.92
54,2019-03-14,15.92
55,2019-03-13,15.99
56,2019-03-12,15.89
57,2019-03-11,15.79
58,2019-03-08,15.77
59,2019-03-07,15.78
60,2019-03-06,15.82
61,2019-03-05,15.91
62,2019-03-04,15.83
63,2019-03-01,15.78
64,2019-02-28,15.96
65,2019-02-27,16.00
66,2019-02-26,15.92
67,2019-02-25,15.85
68,2019-02-22,16.09
69,2019-02-21,16.05
70,2019-02-20,16.00
71,2019-02-19,15.95
72,2019-02-15,15.91
73,2019-02-14,15.62
74,2019-02-13,15.58
75,2019-02-12,15.49
76,2019-02-11,15.40
77,2019-02-08,15.49
78,2019-02-07,15.47
79,2019-02-06,15.62
80,2019-02-05,15.60
81,2019-02-04,15.67
82,2019-02-01,15.66
83,2019-01-31,15.52
84,2019-01-30,15.60
85,2019-01-29,15.49
86,2019-01-28,15.34
87,2019-01-25,15.55
88,2019-01-24,15.47
89,2019-01-23,15.43
90,2019-01-22,15.45
91,2019-01-18,15.56
92,2019-01-17,15.40
93,2019-01-16,15.39
94,2019-01-15,15.31
95,2019-01-14,15.19
96,2019-01-11,15.32
97,2019-01-10,15.37
98,2019-01-09,15.41
99,2019-01-08,15.11
100,2019-01-07,14.96
101,2019-01-04,14.85
102,2019-01-03,14.65
103,2019-01-02,14.53
104,2018-12-31,14.49
105,2018-12-28,14.45
106,2018-12-27,14.57
107,2018-12-26,14.71
108,2018-12-24,14.39
109,2018-12-21,14.55
110,2018-12-20,14.68
111,2018-12-19,14.82
112,2018-12-18,14.76
113,2018-12-17,15.07
114,2018-12-14,15.25
115,2018-12-13,15.49
116,2018-12-12,15.29
117,2018-12-11,15.34
118,2018-12-10,15.25
119,2018-12-07,15.50
120,2018-12-06,15.32
121,2018-12-04,15.45
122,2018-12-03,15.44
123,2018-11-30,15.09
124,2018-11-29,15.16
125,2018-11-28,15.06
126,2018-11-27,15.11
127,2018-11-26,15.17
128,2018-11-23,15.10
129,2018-11-21,15.56
130,2018-11-20,15.43
131,2018-11-19,15.91
132,2018-11-16,15.91
133,2018-11-15,15.81
134,2018-11-14,15.84
135,2018-11-13,15.71
136,2018-11-12,16.15
137,2018-11-09,16.19
138,2018-11-08,16.37
139,2018-11-07,16.47
140,2018-11-06,16.51
141,2018-11-05,16.57
142,2018-11-02,16.58
143,2018-11-01,16.62
144,2018-10-31,16.74
145,2018-10-30,16.97
146,2018-10-29,17.06
147,2018-10-26,17.24
148,2018-10-25,17.11
149,2018-10-24,17.04
150,2018-10-23,17.16
151,2018-10-22,17.54
152,2018-10-19,17.52
153,2018-10-18,17.42
154,2018-10-17,17.62
155,2018-10-16,17.78
156,2018-10-15,17.70
157,2018-10-12,17.66
158,2018-10-11,17.52
159,2018-10-10,17.79
160,2018-10-09,18.14
161,2018-10-08,18.02
162,2018-10-05,18.07
163,2018-10-04,18.10
164,2018-10-03,18.30
165,2018-10-02,18.13
166,2018-10-01,18.08
167,2018-09-28,17.74
168,2018-09-27,17.56
169,2018-09-26,17.48
170,2018-09-25,17.56
171,2018-09-24,17.52
172,2018-09-21,17.27
173,2018-09-20,17.23
174,2018-09-19,17.23
175,2018-09-18,17.12
176,2018-09-17,16.96
177,2018-09-14,16.98
178,2018-09-13,17.09
179,2018-09-12,17.28
180,2018-09-11,17.16
181,2018-09-10,16.99
182,2018-09-07,16.93
183,2018-09-06,16.89
184,2018-09-05,16.99
185,2018-09-04,17.06
186,2018-08-31,17.16
187,2018-08-30,17.14
188,2018-08-29,17.17
189,2018-08-28,16.98
190,2018-08-27,17.05
191,2018-08-24,16.99
192,2018-08-23,16.86
193,2018-08-22,16.89
194,2018-08-21,16.65
195,2018-08-20,16.62
196,2018-08-17,16.59
197,2018-08-16,16.53
198,2018-08-15,16.40
199,2018-08-14,16.76
200,2018-08-13,16.73
201,2018-08-10,16.82
202,2018-08-09,16.82
203,2018-08-08,16.89
204,2018-08-07,17.10
205,2018-08-06,16.97
206,2018-08-03,16.94
207,2018-08-02,16.88
208,2018-08-01,16.78
209,2018-07-31,17.03
210,2018-07-30,17.13
211,2018-07-27,17.03
212,2018-07-26,17.10
213,2018-07-25,17.10
214,2018-07-24,16.87
215,2018-07-23,16.78
216,2018-07-20,16.72
217,2018-07-19,16.60
218,2018-07-18,16.62
219,2018-07-17,16.48
220,2018-07-16,16.46
221,2018-07-13,16.81
222,2018-07-12,16.78
223,2018-07-11,16.69
224,2018-07-10,17.30
225,2018-07-09,17.33
226,2018-07-06,17.25
227,2018-07-05,17.17
228,2018-07-03,17.07
229,2018-07-02,17.09
230,2018-06-29,17.45
231,2018-06-28,17.26
232,2018-06-27,17.27
233,2018-06-26,17.18
234,2018-06-25,17.01
235,2018-06-22,17.21
236,2018-06-21,16.87
237,2018-06-20,17.00
238,2018-06-19,17.02
239,2018-06-18,17.20
240,2018-06-15,17.05
241,2018-06-14,17.47
242,2018-06-13,17.67
243,2018-06-12,17.60
244,2018-06-11,17.61
245,2018-06-08,17.62
246,2018-06-07,17.63
247,2018-06-06,17.56
248,2018-06-05,17.50
249,2018-06-04,17.47
250,2018-06-01,17.68
251,2018-05-31,17.80
252,2018-05-30,17.85
253,2018-05-29,17.62
254,2018-05-25,17.79
255,2018-05-24,18.06
256,2018-05-23,18.17
257,2018-05-22,18.08
258,2018-05-21,18.06
259,2018-05-18,17.92
260,2018-05-17,17.91
261,2018-05-16,17.89
262,2018-05-15,17.79
263,2018-05-14,17.77
264,2018-05-11,17.64
265,2018-05-10,17.75
266,2018-05-09,17.66
267,2018-05-08,17.50
268,2018-05-07,17.45
269,2018-05-04,17.46
270,2018-05-03,17.34
271,2018-05-02,17.24
272,2018-05-01,17.24
273,2018-04-30,17.33
274,2018-04-27,17.26
275,2018-04-26,17.27
276,2018-04-25,17.18
277,2018-04-24,17.15
278,2018-04-23,17.24
279,2018-04-20,17.25
280,2018-04-19,17.28
281,2018-04-18,17.34
282,2018-04-17,17.03
283,2018-04-16,17.02
284,2018-04-13,17.08
285,2018-04-12,17.07
286,2018-04-11,17.14
287,2018-04-10,17.01
288,2018-04-09,16.72
289,2018-04-06,16.52
290,2018-04-05,16.63
291,2018-04-04,16.55
292,2018-04-03,16.62
293,2018-04-02,16.54
294,2018-03-29,16.76
295,2018-03-28,16.61
296,2018-03-27,16.68
297,2018-03-26,16.75
298,2018-03-23,16.74
299,2018-03-22,16.59
300,2018-03-21,16.72
301,2018-03-20,16.43
302,2018-03-19,16.32
303,2018-03-16,16.43
304,2018-03-15,16.37
305,2018-03-14,16.38
306,2018-03-13,16.38
307,2018-03-12,16.43
308,2018-03-09,16.46
309,2018-03-08,16.30
310,2018-03-07,16.40
311,2018-03-06,16.57
312,2018-03-05,16.52
313,2018-03-02,16.42
314,2018-03-01,16.42
315,2018-02-28,16.39
316,2018-02-27,16.56
317,2018-02-26,16.73
318,2018-02-23,16.64
319,2018-02-22,16.54
320,2018-02-21,16.39
321,2018-02-20,16.41
322,2018-02-16,16.36
323,2018-02-15,16.33
324,2018-02-14,16.30
325,2018-02-13,16.05
326,2018-02-12,16.02
327,2018-02-09,15.92
328,2018-02-08,16.16
329,2018-02-07,16.33
330,2018-02-06,16.52
331,2018-02-05,16.61
332,2018-02-02,16.77
333,2018-02-01,17.05
334,2018-01-31,16.88
335,2018-01-30,16.86
336,2018-01-29,16.98
337,2018-01-26,17.03
338,2018-01-25,16.90
339,2018-01-24,17.00
340,2018-01-23,16.82
341,2018-01-22,16.70
342,2018-01-19,16.66
343,2018-01-18,16.69
344,2018-01-17,16.69
345,2018-01-16,16.67
346,2018-01-12,16.75
347,2018-01-11,16.64
348,2018-01-10,16.65
349,2018-01-09,16.59
350,2018-01-08,16.49
351,2018-01-05,16.50
352,2018-01-04,16.55
353,2018-01-03,16.57
354,2018-01-02,16.48
355,2017-12-29,16.40
356,2017-12-28,16.35
357,2017-12-27,16.27
358,2017-12-26,16.23
359,2017-12-22,15.99
360,2017-12-21,15.92
361,2017-12-20,15.91
362,2017-12-19,15.82
363,2017-12-18,15.71
364,2017-12-15,15.64
365,2017-12-14,15.64
366,2017-12-13,15.59
367,2017-12-12,15.66
368,2017-12-11,15.79
369,2017-12-08,15.76
370,2017-12-07,15.68
371,2017-12-06,15.63
372,2017-12-05,15.89
373,2017-12-04,15.89
374,2017-12-01,16.09
375,2017-11-30,15.95
376,2017-11-29,16.02
377,2017-11-28,16.13
378,2017-11-27,16.20
379,2017-11-24,16.23
380,2017-11-22,16.18
381,2017-11-21,16.09
382,2017-11-20,15.98
383,2017-11-17,16.11
384,2017-11-16,15.85
385,2017-11-15,15.90
386,2017-11-14,15.92
387,2017-11-13,16.14
388,2017-11-10,16.19
389,2017-11-09,16.22
390,2017-11-08,16.19
391,2017-11-07,16.22
392,2017-11-06,16.32
393,2017-11-03,16.01
394,2017-11-02,15.91
395,2017-11-01,15.81
396,2017-10-31,15.80
397,2017-10-30,15.77
398,2017-10-27,15.73
399,2017-10-26,15.65
400,2017-10-25,15.58
401,2017-10-24,15.56
402,2017-10-23,15.40
403,2017-10-20,15.40
404,2017-10-19,15.32
405,2017-10-18,15.39
406,2017-10-17,15.40
407,2017-10-16,15.42
408,2017-10-13,15.38
409,2017-10-12,15.23
410,2017-10-11,15.25
411,2017-10-10,15.22
412,2017-10-09,15.04
413,2017-10-06,15.03
414,2017-10-05,15.27
415,2017-10-04,15.10
416,2017-10-03,15.08
417,2017-10-02,15.07
418,2017-09-29,15.20
419,2017-09-28,15.28
420,2017-09-27,15.28
421,2017-09-26,15.34
422,2017-09-25,15.48
423,2017-09-22,15.22
424,2017-09-21,15.16
425,2017-09-20,15.22
426,2017-09-19,15.09
427,2017-09-18,15.12
428,2017-09-15,15.14
429,2017-09-14,15.07
430,2017-09-13,15.06
431,2017-09-12,15.00
432,2017-09-11,14.96
433,2017-09-08,14.93
434,2017-09-07,15.09
435,2017-09-06,15.10
436,2017-09-05,14.96
437,2017-09-01,14.93
438,2017-08-31,14.91
439,2017-08-30,14.50
440,2017-08-29,14.61
441,2017-08-28,14.61
442,2017-08-25,14.60
443,2017-08-24,14.63
444,2017-08-23,14.64
445,2017-08-22,14.51
446,2017-08-21,14.47
447,2017-08-18,14.65
448,2017-08-17,14.39
449,2017-08-16,14.35
450,2017-08-15,14.39
451,2017-08-14,14.46
452,2017-08-11,14.59
453,2017-08-10,14.54
454,2017-08-09,14.77
455,2017-08-08,14.67
456,2017-08-07,14.66
457,2017-08-04,14.63
458,2017-08-03,14.60
459,2017-08-02,14.71
460,2017-08-01,14.68
461,2017-07-31,14.85
462,2017-07-28,14.76
463,2017-07-27,14.68
464,2017-07-26,14.59
465,2017-07-25,14.45
466,2017-07-24,14.29
467,2017-07-21,14.26
468,2017-07-20,14.46
469,2017-07-19,14.48
470,2017-07-18,14.35
471,2017-07-17,14.29
472,2017-07-14,14.34
473,2017-07-13,14.19
474,2017-07-12,14.20
475,2017-07-11,14.26
476,2017-07-10,14.13
477,2017-07-07,14.07
478,2017-07-06,14.21
479,2017-07-05,14.20
480,2017-07-03,14.41
481,2017-06-30,14.26
482,2017-06-29,13.98
483,2017-06-28,13.92
484,2017-06-27,13.83
485,2017-06-26,13.67
486,2017-06-23,13.64
487,2017-06-22,13.58
488,2017-06-21,13.56
489,2017-06-20,13.71
490,2017-06-19,13.85
491,2017-06-16,13.94
492,2017-06-15,13.88
493,2017-06-14,13.82
494,2017-06-13,14.07
495,2017-06-12,14.01
496,2017-06-09,14.14
497,2017-06-08,14.06
498,2017-06-07,14.06
499,2017-06-06,14.25
500,2017-06-05,14.16
501,2017-06-02,14.24
502,2017-06-01,14.30
503,2017-05-31,14.40
504,2017-05-30,14.56
505,2017-05-26,14.68
506,2017-05-25,14.57
507,2017-05-24,14.90
508,2017-05-23,14.93
509,2017-05-22,14.98
510,2017-05-19,14.88
511,2017-05-18,14.59
512,2017-05-17,14.63
