,Date,NAV
1,2019-05-30,46.01
2,2019-05-29,46.01
3,2019-05-28,46.01
4,2019-05-24,46.01
5,2019-05-23,46.01
6,2019-05-22,46.01
7,2019-05-21,46.01
8,2019-05-20,46.01
9,2019-05-17,46.01
10,2019-05-16,46.01
11,2019-05-15,46.01
12,2019-05-14,46.01
13,2019-05-13,46.01
14,2019-05-10,46.01
15,2019-05-09,46.01
16,2019-05-08,46.01
17,2019-05-07,46.01
18,2019-05-06,46.01
19,2019-05-03,46.01
20,2019-05-02,46.01
21,2019-05-01,46.01
22,2019-04-30,46.01
23,2019-04-29,46.01
24,2019-04-26,46.01
25,2019-04-25,46.01
26,2019-04-24,46.01
27,2019-04-23,46.01
28,2019-04-22,46.01
29,2019-04-18,46.01
30,2019-04-17,46.01
31,2019-04-16,46.01
32,2019-04-15,46.01
33,2019-04-12,46.01
34,2019-04-11,46.01
35,2019-04-10,46.01
36,2019-04-09,46.01
37,2019-04-08,46.01
38,2019-04-05,46.01
39,2019-04-04,46.01
40,2019-04-03,46.01
41,2019-04-02,46.01
42,2019-04-01,46.01
43,2019-03-29,46.01
44,2019-03-28,46.01
45,2019-03-27,46.01
46,2019-03-26,46.01
47,2019-03-25,46.01
48,2019-03-22,46.01
49,2019-03-21,46.01
50,2019-03-20,46.01
51,2019-03-19,46.01
52,2019-03-18,46.01
53,2019-03-15,46.01
54,2019-03-14,46.01
55,2019-03-13,46.01
56,2019-03-12,46.01
57,2019-03-11,46.01
58,2019-03-08,46.01
59,2019-03-07,46.01
60,2019-03-06,46.01
61,2019-03-05,46.01
62,2019-03-04,46.01
63,2019-03-01,46.01
64,2019-02-28,46.01
65,2019-02-27,46.01
66,2019-02-26,46.01
67,2019-02-25,46.01
68,2019-02-22,46.01
69,2019-02-21,46.01
70,2019-02-20,46.01
71,2019-02-19,46.01
72,2019-02-15,46.01
73,2019-02-14,46.01
74,2019-02-13,46.01
75,2019-02-12,46.01
76,2019-02-11,46.01
77,2019-02-08,46.01
78,2019-02-07,46.01
79,2019-02-06,46.01
80,2019-02-05,46.01
81,2019-02-04,46.01
82,2019-02-01,46.01
83,2019-01-31,46.01
84,2019-01-30,46.01
85,2019-01-29,46.01
86,2019-01-28,46.01
87,2019-01-25,46.01
88,2019-01-24,46.01
89,2019-01-23,46.01
90,2019-01-22,46.01
91,2019-01-18,46.01
92,2019-01-17,46.01
93,2019-01-16,46.01
94,2019-01-15,46.01
95,2019-01-14,46.01
96,2019-01-11,46.01
97,2019-01-10,46.01
98,2019-01-09,46.01
99,2019-01-08,46.00
100,2019-01-07,46.00
101,2019-01-04,46.00
102,2019-01-03,46.00
103,2019-01-02,45.93
104,2018-12-31,45.93
105,2018-12-28,56.01
106,2018-12-27,56.01
107,2018-12-26,56.01
108,2018-12-24,56.01
109,2018-12-21,56.01
110,2018-12-20,56.01
111,2018-12-19,56.01
112,2018-12-18,56.01
113,2018-12-17,56.01
114,2018-12-14,56.01
115,2018-12-13,61.00
116,2018-12-12,61.00
117,2018-12-11,61.00
118,2018-12-10,61.00
119,2018-12-07,61.00
120,2018-12-06,61.00
121,2018-12-04,61.00
122,2018-12-03,48.00
123,2018-11-30,48.00
124,2018-11-29,48.00
125,2018-11-28,45.01
126,2018-11-27,45.01
127,2018-11-26,45.01
128,2018-11-23,45.01
129,2018-11-21,45.01
130,2018-11-20,45.01
131,2018-11-19,45.01
132,2018-11-16,45.01
133,2018-11-15,45.01
134,2018-11-14,45.01
135,2018-11-13,45.01
136,2018-11-12,45.01
137,2018-11-09,45.01
138,2018-11-08,45.01
139,2018-11-07,45.01
140,2018-11-06,45.01
141,2018-11-05,45.01
142,2018-11-02,45.01
143,2018-11-01,45.01
144,2018-10-31,45.01
145,2018-10-30,45.01
146,2018-10-29,45.03
147,2018-10-26,45.03
148,2018-10-25,45.03
149,2018-10-24,45.03
150,2018-10-23,45.03
151,2018-10-22,45.03
152,2018-10-19,45.03
153,2018-10-18,45.03
154,2018-10-17,45.03
155,2018-10-16,45.03
156,2018-10-15,45.03
157,2018-10-12,45.03
158,2018-10-11,45.03
159,2018-10-10,45.03
