,Date,NAV
1,2019-05-30,121.69
2,2019-05-29,120.87
3,2019-05-28,120.83
4,2019-05-24,121.30
5,2019-05-23,121.17
6,2019-05-22,120.24
7,2019-05-21,120.36
8,2019-05-20,120.64
9,2019-05-17,120.65
10,2019-05-16,121.51
11,2019-05-15,122.39
12,2019-05-14,122.46
13,2019-05-13,122.67
14,2019-05-10,121.43
15,2019-05-09,121.20
16,2019-05-08,120.91
17,2019-05-07,121.21
18,2019-05-06,120.81
19,2019-05-03,120.65
20,2019-05-02,119.94
21,2019-05-01,120.40
22,2019-04-30,121.20
23,2019-04-29,120.83
24,2019-04-26,121.37
25,2019-04-25,120.57
26,2019-04-24,120.47
27,2019-04-23,120.12
28,2019-04-22,120.37
29,2019-04-18,120.37
30,2019-04-17,120.28
31,2019-04-16,120.51
32,2019-04-15,121.60
33,2019-04-12,121.83
34,2019-04-11,121.95
35,2019-04-10,123.53
36,2019-04-09,123.15
37,2019-04-08,122.51
38,2019-04-05,121.98
39,2019-04-04,122.11
40,2019-04-03,121.80
41,2019-04-02,121.98
42,2019-04-01,121.53
43,2019-03-29,122.01
44,2019-03-28,121.90
45,2019-03-27,123.65
46,2019-03-26,124.30
47,2019-03-25,124.92
48,2019-03-22,123.97
49,2019-03-21,123.68
50,2019-03-20,124.18
51,2019-03-19,123.38
52,2019-03-18,123.04
53,2019-03-15,122.97
54,2019-03-14,122.41
55,2019-03-13,123.84
56,2019-03-12,122.98
57,2019-03-11,122.24
58,2019-03-08,122.84
59,2019-03-07,121.51
60,2019-03-06,121.61
61,2019-03-05,121.72
62,2019-03-04,121.56
63,2019-03-01,121.88
64,2019-02-28,123.99
65,2019-02-27,124.69
66,2019-02-26,125.58
67,2019-02-25,125.37
68,2019-02-22,125.50
69,2019-02-21,125.05
70,2019-02-20,126.48
71,2019-02-19,126.70
72,2019-02-15,124.80
73,2019-02-14,124.06
74,2019-02-13,123.37
75,2019-02-12,123.86
76,2019-02-11,123.60
77,2019-02-08,124.21
78,2019-02-07,123.74
79,2019-02-06,123.44
80,2019-02-05,124.28
81,2019-02-04,123.96
82,2019-02-01,124.50
83,2019-01-31,124.75
84,2019-01-30,124.69
85,2019-01-29,123.98
86,2019-01-28,123.29
87,2019-01-25,122.86
88,2019-01-24,121.09
89,2019-01-23,121.28
90,2019-01-22,121.45
91,2019-01-18,121.02
92,2019-01-17,122.11
93,2019-01-16,122.27
94,2019-01-15,121.88
95,2019-01-14,122.09
96,2019-01-11,121.80
97,2019-01-10,121.59
98,2019-01-09,122.31
99,2019-01-08,121.53
100,2019-01-07,121.86
101,2019-01-04,121.44
102,2019-01-03,122.43
103,2019-01-02,121.33
104,2018-12-31,121.25
105,2018-12-28,121.06
106,2018-12-27,120.57
107,2018-12-26,119.66
108,2018-12-24,120.02
109,2018-12-21,118.72
110,2018-12-20,119.24
111,2018-12-19,117.43
112,2018-12-18,118.15
113,2018-12-17,117.87
114,2018-12-14,117.06
115,2018-12-13,117.53
116,2018-12-12,117.79
117,2018-12-11,117.54
118,2018-12-10,117.68
119,2018-12-07,118.09
120,2018-12-06,117.14
121,2018-12-04,117.12
122,2018-12-03,116.41
123,2018-11-30,115.54
124,2018-11-29,115.74
125,2018-11-28,115.38
126,2018-11-27,114.95
127,2018-11-26,115.64
128,2018-11-23,115.77
129,2018-11-21,115.86
130,2018-11-20,115.67
131,2018-11-19,115.67
132,2018-11-16,115.62
133,2018-11-15,114.77
134,2018-11-14,114.64
135,2018-11-13,113.70
136,2018-11-12,113.66
137,2018-11-09,114.48
138,2018-11-08,115.78
139,2018-11-07,116.03
140,2018-11-06,116.04
141,2018-11-05,116.37
142,2018-11-02,116.65
143,2018-11-01,116.63
144,2018-10-31,115.15
145,2018-10-30,115.80
146,2018-10-29,116.31
147,2018-10-26,116.77
148,2018-10-25,116.40
149,2018-10-24,116.66
150,2018-10-23,116.39
