,Date,NAV
1,2019-05-30,23.42
2,2019-05-29,23.42
3,2019-05-28,23.50
4,2019-05-24,24.55
5,2019-05-23,24.55
6,2019-05-22,24.55
7,2019-05-21,24.55
8,2019-05-20,24.55
9,2019-05-17,24.55
10,2019-05-16,24.55
11,2019-05-15,24.17
12,2019-05-14,24.62
13,2019-05-13,24.62
14,2019-05-10,23.74
15,2019-05-09,23.66
16,2019-05-08,23.82
17,2019-05-07,23.69
18,2019-05-06,24.16
19,2019-05-03,23.90
20,2019-05-02,24.36
21,2019-05-01,24.36
22,2019-04-30,24.36
23,2019-04-29,24.27
24,2019-04-26,24.19
25,2019-04-25,24.70
26,2019-04-24,24.88
27,2019-04-23,24.80
28,2019-04-22,24.94
29,2019-04-18,22.46
30,2019-04-17,24.63
31,2019-04-16,24.63
32,2019-04-15,24.53
33,2019-04-12,24.53
34,2019-04-11,24.53
35,2019-04-10,24.68
36,2019-04-09,24.53
37,2019-04-08,24.42
38,2019-04-05,24.42
39,2019-04-04,24.13
40,2019-04-03,24.13
41,2019-04-02,24.13
42,2019-04-01,24.00
43,2019-03-29,23.61
44,2019-03-28,23.61
45,2019-03-27,23.73
46,2019-03-26,23.73
47,2019-03-25,23.73
48,2019-03-22,24.05
49,2019-03-21,24.05
50,2019-03-20,24.05
51,2019-03-19,23.72
52,2019-03-18,23.70
53,2019-03-15,23.55
54,2019-03-14,23.55
55,2019-03-13,23.65
56,2019-03-12,23.27
57,2019-03-11,23.14
58,2019-03-08,23.05
59,2019-03-07,23.12
60,2019-03-06,23.12
61,2019-03-05,23.22
62,2019-03-04,23.24
63,2019-03-01,22.92
64,2019-02-28,23.12
65,2019-02-27,23.12
66,2019-02-26,23.12
67,2019-02-25,23.12
68,2019-02-22,23.54
69,2019-02-21,23.54
70,2019-02-20,23.54
71,2019-02-19,23.24
72,2019-02-15,23.05
73,2019-02-14,22.64
74,2019-02-13,22.64
75,2019-02-12,22.43
76,2019-02-11,22.17
77,2019-02-08,22.31
78,2019-02-07,22.25
79,2019-02-06,22.56
80,2019-02-05,22.53
81,2019-02-04,22.60
82,2019-02-01,22.69
83,2019-01-31,22.39
84,2019-01-30,22.51
85,2019-01-29,22.12
86,2019-01-28,22.41
87,2019-01-25,22.41
88,2019-01-24,22.16
89,2019-01-23,22.07
90,2019-01-22,22.04
91,2019-01-18,22.67
92,2019-01-17,22.34
93,2019-01-16,22.33
94,2019-01-15,21.58
95,2019-01-14,21.58
96,2019-01-11,21.99
97,2019-01-10,22.51
98,2019-01-09,22.44
99,2019-01-08,21.00
100,2019-01-07,21.00
101,2019-01-04,21.00
102,2019-01-03,20.79
103,2019-01-02,19.58
104,2018-12-31,19.30
105,2018-12-28,20.48
106,2018-12-27,19.93
107,2018-12-26,17.93
108,2018-12-24,17.93
109,2018-12-21,19.80
110,2018-12-20,19.80
111,2018-12-19,22.11
112,2018-12-18,22.11
113,2018-12-17,22.11
114,2018-12-14,22.11
115,2018-12-13,22.11
116,2018-12-12,22.08
117,2018-12-11,19.00
118,2018-12-10,19.00
119,2018-12-07,22.67
120,2018-12-06,22.67
121,2018-12-04,22.67
122,2018-12-03,22.47
123,2018-11-30,22.01
124,2018-11-29,22.01
125,2018-11-28,22.01
126,2018-11-27,22.01
127,2018-11-26,23.83
128,2018-11-23,23.83
129,2018-11-21,23.83
130,2018-11-20,23.83
131,2018-11-19,23.83
132,2018-11-16,23.87
133,2018-11-15,21.35
134,2018-11-14,21.35
135,2018-11-13,21.35
136,2018-11-12,24.51
137,2018-11-09,24.51
138,2018-11-08,24.51
139,2018-11-07,25.29
140,2018-11-06,25.29
141,2018-11-05,25.20
142,2018-11-02,25.20
143,2018-11-01,26.31
144,2018-10-31,26.31
145,2018-10-30,26.31
146,2018-10-29,26.31
147,2018-10-26,26.31
148,2018-10-25,26.27
149,2018-10-24,25.64
150,2018-10-23,30.61
151,2018-10-22,26.01
152,2018-10-19,25.69
153,2018-10-18,25.69
154,2018-10-17,27.46
155,2018-10-16,26.00
156,2018-10-15,25.63
157,2018-10-12,25.63
158,2018-10-11,27.75
159,2018-10-10,27.78
160,2018-10-09,30.97
161,2018-10-08,28.23
162,2018-10-05,28.23
163,2018-10-04,29.21
164,2018-10-03,29.21
165,2018-10-02,29.21
166,2018-10-01,29.00
167,2018-09-28,27.63
168,2018-09-27,27.63
169,2018-09-26,27.65
170,2018-09-25,27.74
171,2018-09-24,27.35
172,2018-09-21,26.88
173,2018-09-20,26.88
174,2018-09-19,26.88
175,2018-09-18,26.60
176,2018-09-17,26.18
177,2018-09-14,26.68
178,2018-09-13,26.68
179,2018-09-12,26.71
180,2018-09-11,26.71
181,2018-09-10,26.00
182,2018-09-07,25.97
183,2018-09-06,25.97
184,2018-09-05,26.60
185,2018-09-04,26.55
186,2018-08-31,25.51
187,2018-08-30,25.51
188,2018-08-29,25.51
189,2018-08-28,26.09
190,2018-08-27,26.09
191,2018-08-24,25.40
192,2018-08-23,25.40
193,2018-08-22,25.40
194,2018-08-21,25.50
195,2018-08-20,25.50
196,2018-08-17,24.85
197,2018-08-16,24.85
198,2018-08-15,24.85
199,2018-08-14,25.56
200,2018-08-13,25.56
201,2018-08-10,25.92
202,2018-08-09,25.92
203,2018-08-08,25.92
204,2018-08-07,25.58
205,2018-08-06,25.58
206,2018-08-03,25.58
207,2018-08-02,25.58
208,2018-08-01,25.58
209,2018-07-31,25.70
210,2018-07-30,25.70
211,2018-07-27,25.70
212,2018-07-26,25.70
213,2018-07-25,25.70
214,2018-07-24,25.70
215,2018-07-23,25.70
216,2018-07-20,25.70
217,2018-07-19,25.64
218,2018-07-18,25.48
219,2018-07-17,25.48
220,2018-07-16,25.48
221,2018-07-13,26.10
222,2018-07-12,25.73
223,2018-07-11,25.60
224,2018-07-10,27.07
225,2018-07-09,27.07
226,2018-07-06,26.94
227,2018-07-05,26.94
228,2018-07-03,26.84
229,2018-07-02,26.84
230,2018-06-29,26.84
231,2018-06-28,26.84
232,2018-06-27,26.72
233,2018-06-26,25.35
234,2018-06-25,25.35
235,2018-06-22,25.35
236,2018-06-21,25.35
237,2018-06-20,25.35
238,2018-06-19,25.35
239,2018-06-18,25.80
240,2018-06-15,26.32
241,2018-06-14,26.32
242,2018-06-13,26.32
243,2018-06-12,26.54
244,2018-06-11,26.36
245,2018-06-08,26.28
246,2018-06-07,26.71
247,2018-06-06,26.19
248,2018-06-05,26.30
249,2018-06-04,26.30
250,2018-06-01,26.82
251,2018-05-31,26.80
252,2018-05-30,26.49
253,2018-05-29,26.49
254,2018-05-25,27.17
255,2018-05-24,27.82
256,2018-05-23,27.82
257,2018-05-22,27.91
258,2018-05-21,27.82
259,2018-05-18,27.37
260,2018-05-17,27.36
261,2018-05-16,27.34
262,2018-05-15,27.34
263,2018-05-14,27.20
264,2018-05-11,27.07
265,2018-05-10,27.38
266,2018-05-09,27.23
267,2018-05-08,26.60
268,2018-05-07,26.73
269,2018-05-04,26.73
270,2018-05-03,26.13
271,2018-05-02,26.01
272,2018-05-01,26.16
273,2018-04-30,26.16
274,2018-04-27,26.16
275,2018-04-26,26.16
276,2018-04-25,26.16
277,2018-04-24,26.16
278,2018-04-23,26.01
279,2018-04-20,26.40
280,2018-04-19,26.40
281,2018-04-18,26.40
282,2018-04-17,25.62
283,2018-04-16,25.79
284,2018-04-13,26.01
285,2018-04-12,25.16
286,2018-04-11,25.16
287,2018-04-10,25.16
288,2018-04-09,24.28
289,2018-04-06,24.28
290,2018-04-05,24.28
291,2018-04-04,24.28
292,2018-04-03,24.73
293,2018-04-02,24.83
294,2018-03-29,24.70
295,2018-03-28,24.70
296,2018-03-27,24.70
297,2018-03-26,24.75
298,2018-03-23,24.75
299,2018-03-22,24.87
300,2018-03-21,24.86
301,2018-03-20,24.20
302,2018-03-19,24.35
303,2018-03-16,24.42
304,2018-03-15,24.00
305,2018-03-14,24.00
306,2018-03-13,24.21
307,2018-03-12,24.21
308,2018-03-09,24.21
309,2018-03-08,24.04
310,2018-03-07,24.30
311,2018-03-06,24.30
312,2018-03-05,24.00
313,2018-03-02,24.00
314,2018-03-01,24.00
315,2018-02-28,24.54
316,2018-02-27,24.54
317,2018-02-26,24.54
318,2018-02-23,24.54
319,2018-02-22,24.13
320,2018-02-21,24.54
321,2018-02-20,24.54
322,2018-02-16,23.90
323,2018-02-15,23.90
324,2018-02-14,23.76
325,2018-02-13,23.50
326,2018-02-12,23.96
327,2018-02-09,23.96
328,2018-02-08,23.96
329,2018-02-07,23.96
330,2018-02-06,24.86
331,2018-02-05,25.12
332,2018-02-02,25.12
333,2018-02-01,25.12
334,2018-01-31,25.17
335,2018-01-30,25.17
336,2018-01-29,25.51
337,2018-01-26,25.50
338,2018-01-25,25.30
339,2018-01-24,25.31
340,2018-01-23,24.98
341,2018-01-22,24.98
342,2018-01-19,24.56
343,2018-01-18,24.99
344,2018-01-17,24.99
345,2018-01-16,24.75
346,2018-01-12,25.05
347,2018-01-11,24.86
348,2018-01-10,24.71
349,2018-01-09,24.71
350,2018-01-08,24.42
351,2018-01-05,24.38
352,2018-01-04,24.66
353,2018-01-03,24.24
354,2018-01-02,24.20
355,2017-12-29,23.98
356,2017-12-28,23.81
357,2017-12-27,24.02
358,2017-12-26,24.02
359,2017-12-22,23.12
360,2017-12-21,23.12
361,2017-12-20,22.84
362,2017-12-19,22.78
363,2017-12-18,22.78
364,2017-12-15,22.72
365,2017-12-14,22.72
366,2017-12-13,22.60
367,2017-12-12,22.54
368,2017-12-11,22.75
369,2017-12-08,22.69
370,2017-12-07,23.25
371,2017-12-06,23.25
372,2017-12-05,23.25
373,2017-12-04,23.25
374,2017-12-01,23.14
375,2017-11-30,23.14
376,2017-11-29,23.16
377,2017-11-28,23.13
378,2017-11-27,23.49
379,2017-11-24,23.49
380,2017-11-22,23.49
381,2017-11-21,23.23
382,2017-11-20,23.08
383,2017-11-17,22.57
384,2017-11-16,23.18
385,2017-11-15,23.18
386,2017-11-14,23.18
387,2017-11-13,23.18
388,2017-11-10,23.37
389,2017-11-09,23.37
390,2017-11-08,23.37
391,2017-11-07,23.37
392,2017-11-06,23.10
393,2017-11-03,22.01
394,2017-11-02,22.01
395,2017-11-01,22.01
396,2017-10-31,22.01
397,2017-10-30,22.01
398,2017-10-27,22.01
399,2017-10-26,22.01
400,2017-10-25,21.80
401,2017-10-24,21.80
402,2017-10-23,21.80
403,2017-10-20,21.80
404,2017-10-19,21.80
405,2017-10-18,21.81
406,2017-10-17,21.81
407,2017-10-16,21.81
408,2017-10-13,21.81
409,2017-10-12,21.81
410,2017-10-11,21.81
411,2017-10-10,21.81
412,2017-10-09,21.34
413,2017-10-06,21.62
414,2017-10-05,21.62
415,2017-10-04,21.62
416,2017-10-03,21.62
417,2017-10-02,21.62
418,2017-09-29,21.72
419,2017-09-28,21.53
420,2017-09-27,21.53
421,2017-09-26,21.53
422,2017-09-25,21.53
423,2017-09-22,21.53
424,2017-09-21,21.53
425,2017-09-20,21.71
426,2017-09-19,21.49
427,2017-09-18,21.31
428,2017-09-15,21.31
429,2017-09-14,21.31
430,2017-09-13,21.31
431,2017-09-12,21.31
432,2017-09-11,21.31
433,2017-09-08,21.31
434,2017-09-07,21.37
435,2017-09-06,21.34
436,2017-09-05,21.01
437,2017-09-01,20.94
438,2017-08-31,20.89
439,2017-08-30,20.27
440,2017-08-29,20.27
441,2017-08-28,20.27
442,2017-08-25,20.27
443,2017-08-24,20.27
