,Date,NAV
1,2019-05-30,25.70
2,2019-05-29,24.56
3,2019-05-28,25.34
4,2019-05-24,24.87
5,2019-05-23,25.16
6,2019-05-22,25.66
7,2019-05-21,24.20
8,2019-05-20,23.39
9,2019-05-17,24.04
10,2019-05-16,23.77
11,2019-05-15,24.40
12,2019-05-14,23.66
13,2019-05-13,24.17
14,2019-05-10,24.10
15,2019-05-09,24.66
16,2019-05-08,24.38
17,2019-05-07,25.71
18,2019-05-06,25.99
19,2019-05-03,25.32
20,2019-05-02,24.86
21,2019-05-01,24.24
22,2019-04-30,24.93
23,2019-04-29,24.49
24,2019-04-26,24.57
25,2019-04-25,25.39
26,2019-04-24,26.15
27,2019-04-23,26.21
28,2019-04-22,25.03
29,2019-04-18,25.45
30,2019-04-17,25.06
31,2019-04-16,23.91
32,2019-04-15,23.62
33,2019-04-12,22.62
34,2019-04-11,22.41
35,2019-04-10,21.99
36,2019-04-09,21.84
37,2019-04-08,21.78
38,2019-04-05,22.46
39,2019-04-04,22.98
40,2019-04-03,22.42
41,2019-04-02,22.16
42,2019-04-01,21.94
43,2019-03-29,22.51
44,2019-03-28,21.68
45,2019-03-27,21.66
46,2019-03-26,21.26
47,2019-03-25,20.93
48,2019-03-22,20.86
49,2019-03-21,20.14
50,2019-03-20,20.00
51,2019-03-19,19.65
52,2019-03-18,19.85
53,2019-03-15,20.53
54,2019-03-14,19.85
55,2019-03-13,20.08
56,2019-03-12,20.50
57,2019-03-11,20.80
58,2019-03-08,19.71
59,2019-03-07,19.65
60,2019-03-06,19.87
61,2019-03-05,19.48
62,2019-03-04,19.89
63,2019-03-01,19.92
64,2019-02-28,20.46
65,2019-02-27,20.40
66,2019-02-26,20.84
67,2019-02-25,20.36
68,2019-02-22,21.56
69,2019-02-21,21.58
70,2019-02-20,22.31
71,2019-02-19,22.11
72,2019-02-15,22.62
73,2019-02-14,23.38
74,2019-02-13,22.92
75,2019-02-12,22.14
76,2019-02-11,22.50
77,2019-02-08,23.12
78,2019-02-07,23.83
79,2019-02-06,22.08
80,2019-02-05,21.88
81,2019-02-04,22.26
82,2019-02-01,21.11
83,2019-01-31,19.82
84,2019-01-30,19.32
85,2019-01-29,18.95
86,2019-01-28,19.14
87,2019-01-25,17.09
88,2019-01-24,17.64
89,2019-01-23,18.53
90,2019-01-22,18.14
91,2019-01-18,16.20
92,2019-01-17,16.42
93,2019-01-16,16.45
94,2019-01-15,16.00
95,2019-01-14,15.43
96,2019-01-11,19.64
97,2019-01-10,21.76
98,2019-01-09,21.40
99,2019-01-08,21.42
100,2019-01-07,21.56
101,2019-01-04,21.02
102,2019-01-03,22.36
103,2019-01-02,21.73
104,2018-12-31,21.22
105,2018-12-28,18.08
106,2018-12-27,16.72
107,2018-12-26,17.34
108,2018-12-24,16.44
109,2018-12-21,15.55
110,2018-12-20,15.45
111,2018-12-19,15.41
112,2018-12-18,15.08
113,2018-12-17,17.29
114,2018-12-14,15.24
115,2018-12-13,13.29
116,2018-12-12,13.43
117,2018-12-11,12.23
118,2018-12-10,11.63
119,2018-12-07,11.54
120,2018-12-06,12.32
121,2018-12-04,11.72
122,2018-12-03,12.53
123,2018-11-30,11.19
124,2018-11-29,11.36
125,2018-11-28,11.00
126,2018-11-27,13.74
127,2018-11-26,13.48
128,2018-11-23,12.14
129,2018-11-21,12.23
130,2018-11-20,11.95
131,2018-11-19,11.72
132,2018-11-16,13.31
133,2018-11-15,16.70
134,2018-11-14,11.72
135,2018-11-13,18.74
136,2018-11-12,21.42
137,2018-11-09,23.49
138,2018-11-08,25.66
139,2018-11-07,25.98
140,2018-11-06,25.73
141,2018-11-05,25.74
142,2018-11-02,30.49
143,2018-11-01,31.02
144,2018-10-31,30.22
145,2018-10-30,31.42
146,2018-10-29,31.66
147,2018-10-26,30.60
148,2018-10-25,30.82
149,2018-10-24,30.49
150,2018-10-23,29.87
151,2018-10-22,31.16
152,2018-10-19,29.46
153,2018-10-18,29.97
154,2018-10-17,28.53
155,2018-10-16,29.64
156,2018-10-15,29.38
157,2018-10-12,31.26
158,2018-10-11,29.93
159,2018-10-10,29.62
160,2018-10-09,29.52
161,2018-10-08,29.90
162,2018-10-05,32.26
163,2018-10-04,31.54
164,2018-10-03,30.39
165,2018-10-02,32.20
166,2018-10-01,33.25
167,2018-09-28,35.65
168,2018-09-27,34.56
169,2018-09-26,36.34
170,2018-09-25,34.86
171,2018-09-24,35.20
172,2018-09-21,36.57
173,2018-09-20,37.32
174,2018-09-19,39.04
175,2018-09-18,39.10
176,2018-09-17,42.35
177,2018-09-14,43.12
178,2018-09-13,41.78
179,2018-09-12,41.28
180,2018-09-11,40.98
181,2018-09-10,41.48
182,2018-09-07,41.96
183,2018-09-06,41.82
184,2018-09-05,41.30
185,2018-09-04,40.67
186,2018-08-31,37.96
187,2018-08-30,38.78
188,2018-08-29,39.17
189,2018-08-28,39.74
190,2018-08-27,39.10
191,2018-08-24,38.04
192,2018-08-23,36.76
193,2018-08-22,37.11
194,2018-08-21,36.57
195,2018-08-20,37.22
196,2018-08-17,36.96
197,2018-08-16,37.78
198,2018-08-15,36.99
199,2018-08-14,36.70
200,2018-08-13,37.28
201,2018-08-10,37.08
202,2018-08-09,36.86
203,2018-08-08,37.14
204,2018-08-07,38.38
205,2018-08-06,39.45
206,2018-08-03,39.74
207,2018-08-02,40.69
208,2018-08-01,42.34
209,2018-07-31,41.65
210,2018-07-30,41.18
211,2018-07-27,41.65
212,2018-07-26,42.35
213,2018-07-25,42.44
214,2018-07-24,43.55
215,2018-07-23,44.54
216,2018-07-20,43.40
217,2018-07-19,43.12
218,2018-07-18,44.33
219,2018-07-17,44.15
220,2018-07-16,43.24
221,2018-07-13,43.21
222,2018-07-12,42.22
223,2018-07-11,41.45
224,2018-07-10,42.67
225,2018-07-09,41.38
226,2018-07-06,40.60
227,2018-07-05,41.11
228,2018-07-03,39.50
229,2018-07-02,40.10
230,2018-06-29,38.62
231,2018-06-28,37.82
232,2018-06-27,37.27
233,2018-06-26,38.27
234,2018-06-25,38.55
235,2018-06-22,38.13
236,2018-06-21,37.45
237,2018-06-20,37.52
238,2018-06-19,38.74
239,2018-06-18,37.82
240,2018-06-15,36.30
241,2018-06-14,37.85
242,2018-06-13,38.31
243,2018-06-12,38.74
244,2018-06-11,38.70
245,2018-06-08,39.58
246,2018-06-07,38.87
247,2018-06-06,39.73
248,2018-06-05,39.99
249,2018-06-04,38.97
250,2018-06-01,37.85
251,2018-05-31,38.27
252,2018-05-30,40.01
253,2018-05-29,39.74
254,2018-05-25,38.18
255,2018-05-24,37.91
256,2018-05-23,38.28
257,2018-05-22,39.00
258,2018-05-21,41.10
259,2018-05-18,40.83
260,2018-05-17,40.58
261,2018-05-16,41.88
262,2018-05-15,41.42
263,2018-05-14,41.36
264,2018-05-11,42.04
265,2018-05-10,42.22
266,2018-05-09,44.31
267,2018-05-08,44.15
268,2018-05-07,44.16
269,2018-05-04,44.74
270,2018-05-03,44.10
271,2018-05-02,43.27
272,2018-05-01,41.92
273,2018-04-30,43.07
274,2018-04-27,42.80
275,2018-04-26,41.25
276,2018-04-25,41.76
277,2018-04-24,41.75
278,2018-04-23,42.85
279,2018-04-20,42.95
280,2018-04-19,44.69
281,2018-04-18,42.78
282,2018-04-17,42.93
283,2018-04-16,42.62
284,2018-04-13,43.18
285,2018-04-12,44.70
286,2018-04-11,44.96
287,2018-04-10,45.19
288,2018-04-09,43.99
289,2018-04-06,43.81
290,2018-04-05,44.57
291,2018-04-04,43.70
292,2018-04-03,43.98
293,2018-04-02,44.59
294,2018-03-29,42.83
295,2018-03-28,43.84
296,2018-03-27,43.54
297,2018-03-26,44.94
298,2018-03-23,46.38
299,2018-03-22,45.65
300,2018-03-21,44.89
301,2018-03-20,43.96
302,2018-03-19,44.60
303,2018-03-16,43.28
304,2018-03-15,43.63
305,2018-03-14,42.07
306,2018-03-13,40.75
307,2018-03-12,40.83
308,2018-03-09,42.42
309,2018-03-08,41.76
310,2018-03-07,40.82
311,2018-03-06,41.66
312,2018-03-05,43.06
313,2018-03-02,42.92
314,2018-03-01,43.55
315,2018-02-28,44.33
316,2018-02-27,43.80
317,2018-02-26,43.95
318,2018-02-23,44.53
319,2018-02-22,44.76
320,2018-02-21,44.25
321,2018-02-20,44.80
322,2018-02-16,46.41
323,2018-02-15,46.01
324,2018-02-14,45.50
325,2018-02-13,45.68
326,2018-02-12,47.05
327,2018-02-09,45.89
328,2018-02-08,43.63
329,2018-02-07,43.52
330,2018-02-06,41.61
331,2018-02-05,41.86
332,2018-02-02,38.76
333,2018-02-01,38.34
334,2018-01-31,36.39
335,2018-01-30,32.24
336,2018-01-29,32.11
337,2018-01-26,32.26
338,2018-01-25,33.79
339,2018-01-24,35.01
340,2018-01-23,34.51
341,2018-01-22,37.72
342,2018-01-19,37.68
343,2018-01-18,36.54
344,2018-01-17,35.80
345,2018-01-16,37.80
346,2018-01-12,36.96
347,2018-01-11,38.66
348,2018-01-10,41.43
349,2018-01-09,39.92
350,2018-01-08,43.51
351,2018-01-05,44.00
352,2018-01-04,41.95
353,2018-01-03,39.10
354,2018-01-02,38.05
355,2017-12-29,39.65
356,2017-12-28,40.25
357,2017-12-27,46.26
358,2017-12-26,49.43
359,2017-12-22,49.07
360,2017-12-21,51.36
361,2017-12-20,49.80
362,2017-12-19,47.30
363,2017-12-18,46.20
364,2017-12-15,49.92
365,2017-12-14,47.74
366,2017-12-13,47.47
367,2017-12-12,47.82
368,2017-12-11,44.52
369,2017-12-08,45.29
370,2017-12-07,45.54
371,2017-12-06,41.60
372,2017-12-05,41.48
373,2017-12-04,39.68
374,2017-12-01,37.64
375,2017-11-30,38.22
376,2017-11-29,35.34
377,2017-11-28,36.42
378,2017-11-27,38.96
379,2017-11-24,41.90
380,2017-11-22,38.58
381,2017-11-21,37.38
382,2017-11-20,36.82
383,2017-11-17,35.11
384,2017-11-16,36.13
385,2017-11-15,35.77
386,2017-11-14,35.80
387,2017-11-13,34.57
388,2017-11-10,33.16
389,2017-11-09,33.26
390,2017-11-08,34.27
391,2017-11-07,34.46
392,2017-11-06,35.29
393,2017-11-03,38.13
394,2017-11-02,39.17
395,2017-11-01,39.94
396,2017-10-31,39.71
397,2017-10-30,37.83
398,2017-10-27,37.97
399,2017-10-26,36.36
400,2017-10-25,35.56
401,2017-10-24,34.49
402,2017-10-23,34.56
403,2017-10-20,35.23
404,2017-10-19,35.38
405,2017-10-18,35.68
406,2017-10-17,35.56
407,2017-10-16,34.95
408,2017-10-13,34.51
409,2017-10-12,34.86
410,2017-10-11,36.41
411,2017-10-10,36.70
412,2017-10-09,37.90
413,2017-10-06,36.99
414,2017-10-05,36.26
415,2017-10-04,35.40
416,2017-10-03,36.26
417,2017-10-02,35.62
418,2017-09-29,33.64
419,2017-09-28,33.42
420,2017-09-27,32.72
