,Date,NAV
1,2019-05-30,28.07
2,2019-05-29,28.10
3,2019-05-28,28.28
4,2019-05-24,28.41
5,2019-05-23,27.94
6,2019-05-22,27.76
7,2019-05-21,28.18
8,2019-05-20,27.50
9,2019-05-17,27.06
10,2019-05-16,27.25
11,2019-05-15,26.56
12,2019-05-14,26.20
13,2019-05-13,26.08
14,2019-05-10,26.40
15,2019-05-09,26.65
16,2019-05-08,26.33
17,2019-05-07,26.28
18,2019-05-06,26.88
19,2019-05-03,27.17
20,2019-05-02,27.16
21,2019-05-01,26.50
22,2019-04-30,27.01
23,2019-04-29,27.28
24,2019-04-26,26.68
25,2019-04-25,25.97
26,2019-04-24,25.59
27,2019-04-23,26.08
28,2019-04-22,26.75
29,2019-04-18,27.34
30,2019-04-17,27.50
31,2019-04-16,26.94
32,2019-04-15,27.46
33,2019-04-12,27.61
34,2019-04-11,27.25
35,2019-04-10,27.80
36,2019-04-09,27.76
37,2019-04-08,27.85
38,2019-04-05,27.55
39,2019-04-04,27.66
40,2019-04-03,27.25
41,2019-04-02,26.98
42,2019-04-01,26.57
43,2019-03-29,25.94
44,2019-03-28,25.49
45,2019-03-27,25.44
46,2019-03-26,25.20
47,2019-03-25,25.14
48,2019-03-22,24.29
49,2019-03-21,23.97
50,2019-03-20,24.16
51,2019-03-19,24.82
52,2019-03-18,24.74
53,2019-03-15,24.95
54,2019-03-14,24.96
55,2019-03-13,24.95
56,2019-03-12,25.05
57,2019-03-11,24.86
58,2019-03-08,24.83
59,2019-03-07,24.54
60,2019-03-06,25.35
61,2019-03-05,24.37
62,2019-03-04,24.21
63,2019-03-01,25.08
64,2019-02-28,25.47
65,2019-02-27,26.25
66,2019-02-26,25.83
67,2019-02-25,25.46
68,2019-02-22,25.90
69,2019-02-21,25.70
70,2019-02-20,26.25
71,2019-02-19,26.64
72,2019-02-15,26.52
73,2019-02-14,25.75
74,2019-02-13,25.80
75,2019-02-12,25.62
76,2019-02-11,25.50
77,2019-02-08,25.18
78,2019-02-07,25.59
79,2019-02-06,26.03
80,2019-02-05,25.63
81,2019-02-04,25.48
82,2019-02-01,24.87
83,2019-01-31,24.92
84,2019-01-30,24.96
85,2019-01-29,25.44
86,2019-01-28,25.94
87,2019-01-25,25.68
88,2019-01-24,26.04
