,Date,NAV
1,2019-05-30,75.20
2,2019-05-29,75.01
3,2019-05-28,75.53
4,2019-05-24,76.12
5,2019-05-23,75.57
6,2019-05-22,76.05
7,2019-05-21,77.17
8,2019-05-20,77.06
9,2019-05-17,77.39
10,2019-05-16,78.79
11,2019-05-15,79.99
12,2019-05-14,80.98
13,2019-05-13,80.59
14,2019-05-10,81.78
15,2019-05-09,80.27
16,2019-05-08,81.45
17,2019-05-07,82.28
18,2019-05-06,82.77
19,2019-05-03,82.36
20,2019-05-02,80.40
21,2019-05-01,81.78
22,2019-04-30,83.94
23,2019-04-29,84.74
24,2019-04-26,85.00
25,2019-04-25,83.84
26,2019-04-24,83.62
27,2019-04-23,84.07
28,2019-04-22,85.03
29,2019-04-18,85.35
30,2019-04-17,84.00
31,2019-04-16,83.36
32,2019-04-15,83.81
33,2019-04-12,84.46
34,2019-04-11,84.34
35,2019-04-10,85.34
36,2019-04-09,84.22
37,2019-04-08,85.92
38,2019-04-05,85.09
39,2019-04-04,84.94
40,2019-04-03,82.23
41,2019-04-02,80.51
42,2019-04-01,80.35
43,2019-03-29,80.15
44,2019-03-28,79.38
45,2019-03-27,80.73
46,2019-03-26,81.26
47,2019-03-25,81.20
48,2019-03-22,80.12
49,2019-03-21,81.53
50,2019-03-20,82.13
51,2019-03-19,80.81
52,2019-03-18,79.02
53,2019-03-15,78.73
54,2019-03-14,78.08
55,2019-03-13,80.04
56,2019-03-12,79.10
57,2019-03-11,77.46
58,2019-03-08,77.57
59,2019-03-07,77.14
60,2019-03-06,78.32
61,2019-03-05,79.25
62,2019-03-04,79.12
63,2019-03-01,81.07
64,2019-02-28,82.52
65,2019-02-27,82.19
66,2019-02-26,81.41
67,2019-02-25,80.84
68,2019-02-22,79.90
69,2019-02-21,77.99
70,2019-02-20,78.42
71,2019-02-19,77.70
72,2019-02-15,76.52
73,2019-02-14,74.60
74,2019-02-13,74.51
75,2019-02-12,75.10
76,2019-02-11,74.58
77,2019-02-08,75.84
78,2019-02-07,75.65
79,2019-02-06,76.47
80,2019-02-05,77.73
81,2019-02-04,77.79
82,2019-02-01,78.28
83,2019-01-31,77.80
84,2019-01-30,77.48
85,2019-01-29,77.22
86,2019-01-28,77.00
87,2019-01-25,77.49
88,2019-01-24,76.02
89,2019-01-23,75.30
90,2019-01-22,74.81
91,2019-01-18,75.64
92,2019-01-17,76.94
93,2019-01-16,76.54
94,2019-01-15,75.69
95,2019-01-14,75.99
96,2019-01-11,76.86
97,2019-01-10,77.74
98,2019-01-09,78.12
99,2019-01-08,77.76
100,2019-01-07,77.94
101,2019-01-04,77.87
102,2019-01-03,75.67
103,2019-01-02,75.32
104,2018-12-31,75.24
105,2018-12-28,74.72
106,2018-12-27,75.42
107,2018-12-26,75.45
108,2018-12-24,74.53
109,2018-12-21,74.65
110,2018-12-20,75.18
111,2018-12-19,74.51
112,2018-12-18,74.96
113,2018-12-17,75.25
114,2018-12-14,74.62
115,2018-12-13,75.54
116,2018-12-12,76.06
117,2018-12-11,74.50
118,2018-12-10,74.32
119,2018-12-07,75.16
120,2018-12-06,74.78
121,2018-12-04,76.03
122,2018-12-03,76.32
123,2018-11-30,75.65
124,2018-11-29,77.62
125,2018-11-28,78.14
126,2018-11-27,79.00
127,2018-11-26,80.05
128,2018-11-23,79.50
129,2018-11-21,80.24
130,2018-11-20,79.76
131,2018-11-19,80.85
132,2018-11-16,80.17
133,2018-11-15,79.73
134,2018-11-14,79.15
135,2018-11-13,79.45
136,2018-11-12,79.68
137,2018-11-09,81.00
138,2018-11-08,81.91
139,2018-11-07,82.76
140,2018-11-06,82.36
141,2018-11-05,81.79
142,2018-11-02,82.50
143,2018-11-01,81.60
144,2018-10-31,79.65
145,2018-10-30,79.33
146,2018-10-29,79.08
147,2018-10-26,79.08
148,2018-10-25,78.53
149,2018-10-24,78.76
150,2018-10-23,79.04
151,2018-10-22,78.11
152,2018-10-19,78.85
153,2018-10-18,78.53
154,2018-10-17,79.01
155,2018-10-16,79.83
156,2018-10-15,79.93
157,2018-10-12,79.48
158,2018-10-11,79.63
159,2018-10-10,78.06
160,2018-10-09,78.36
161,2018-10-08,77.80
162,2018-10-05,78.13
163,2018-10-04,78.26
164,2018-10-03,78.60
165,2018-10-02,78.76
166,2018-10-01,78.13
167,2018-09-28,77.37
168,2018-09-27,76.96
169,2018-09-26,78.10
170,2018-09-25,78.20
171,2018-09-24,78.50
172,2018-09-21,78.61
173,2018-09-20,79.17
174,2018-09-19,78.08
175,2018-09-18,77.15
176,2018-09-17,75.86
177,2018-09-14,75.60
178,2018-09-13,76.27
179,2018-09-12,75.89
180,2018-09-11,74.80
181,2018-09-10,74.51
182,2018-09-07,74.22
183,2018-09-06,75.07
184,2018-09-05,74.55
185,2018-09-04,74.00
186,2018-08-31,74.70
187,2018-08-30,75.27
188,2018-08-29,75.69
189,2018-08-28,75.02
190,2018-08-27,76.26
191,2018-08-24,75.02
192,2018-08-23,73.83
193,2018-08-22,75.53
194,2018-08-21,75.45
195,2018-08-20,75.57
196,2018-08-17,75.01
197,2018-08-16,74.02
198,2018-08-15,72.98
199,2018-08-14,76.18
200,2018-08-13,76.16
201,2018-08-10,78.75
202,2018-08-09,79.15
203,2018-08-08,78.98
204,2018-08-07,78.82
205,2018-08-06,78.12
206,2018-08-03,79.06
207,2018-08-02,78.50
208,2018-08-01,77.71
209,2018-07-31,79.65
210,2018-07-30,78.69
211,2018-07-27,79.00
212,2018-07-26,78.35
213,2018-07-25,80.23
214,2018-07-24,79.18
215,2018-07-23,78.96
216,2018-07-20,78.64
217,2018-07-19,76.62
218,2018-07-18,77.78
219,2018-07-17,77.70
220,2018-07-16,78.32
221,2018-07-13,78.94
222,2018-07-12,80.04
223,2018-07-11,78.88
224,2018-07-10,80.48
225,2018-07-09,80.89
226,2018-07-06,80.21
227,2018-07-05,80.05
228,2018-07-03,79.95
229,2018-07-02,77.66
230,2018-06-29,81.14
231,2018-06-28,80.79
232,2018-06-27,81.40
233,2018-06-26,82.46
234,2018-06-25,82.42
235,2018-06-22,83.19
236,2018-06-21,82.08
237,2018-06-20,82.85
238,2018-06-19,82.52
239,2018-06-18,84.00
240,2018-06-15,84.47
241,2018-06-14,86.13
242,2018-06-13,85.90
243,2018-06-12,85.45
244,2018-06-11,86.04
245,2018-06-08,86.12
246,2018-06-07,85.52
247,2018-06-06,86.06
248,2018-06-05,85.67
249,2018-06-04,85.60
250,2018-06-01,85.89
251,2018-05-31,86.27
252,2018-05-30,86.49
253,2018-05-29,86.26
254,2018-05-25,85.62
255,2018-05-24,86.65
256,2018-05-23,86.00
257,2018-05-22,86.29
258,2018-05-21,85.49
259,2018-05-18,84.25
260,2018-05-17,84.75
261,2018-05-16,84.77
262,2018-05-15,85.39
263,2018-05-14,86.61
264,2018-05-11,87.77
265,2018-05-10,88.02
266,2018-05-09,86.91
267,2018-05-08,86.89
