,Date,NAV
1,2019-05-30,5.18
2,2019-05-29,5.23
3,2019-05-28,5.24
4,2019-05-24,5.19
5,2019-05-23,5.15
6,2019-05-22,5.21
7,2019-05-21,5.28
8,2019-05-20,5.29
9,2019-05-17,5.26
10,2019-05-16,5.30
11,2019-05-15,5.26
12,2019-05-14,5.24
13,2019-05-13,5.16
14,2019-05-10,5.21
15,2019-05-09,5.19
16,2019-05-08,5.23
17,2019-05-07,5.23
18,2019-05-06,5.27
19,2019-05-03,5.28
20,2019-05-02,5.26
21,2019-05-01,5.32
22,2019-04-30,5.34
23,2019-04-29,5.34
24,2019-04-26,5.33
25,2019-04-25,5.38
26,2019-04-24,5.40
27,2019-04-23,5.41
28,2019-04-22,5.43
29,2019-04-18,5.38
30,2019-04-17,5.39
31,2019-04-16,5.39
32,2019-04-15,5.40
33,2019-04-12,5.43
34,2019-04-11,5.41
35,2019-04-10,5.44
36,2019-04-09,5.43
37,2019-04-08,5.44
38,2019-04-05,5.41
39,2019-04-04,5.39
40,2019-04-03,5.39
41,2019-04-02,5.38
42,2019-04-01,5.36
43,2019-03-29,5.31
44,2019-03-28,5.31
45,2019-03-27,5.33
46,2019-03-26,5.37
47,2019-03-25,5.35
48,2019-03-22,5.34
49,2019-03-21,5.39
50,2019-03-20,5.40
51,2019-03-19,5.35
52,2019-03-18,5.34
53,2019-03-15,5.32
54,2019-03-14,5.31
55,2019-03-13,5.34
56,2019-03-12,5.28
57,2019-03-11,5.25
58,2019-03-08,5.24
59,2019-03-07,5.24
60,2019-03-06,5.26
61,2019-03-05,5.28
62,2019-03-04,5.26
63,2019-03-01,5.27
64,2019-02-28,5.31
65,2019-02-27,5.31
66,2019-02-26,5.29
67,2019-02-25,5.27
68,2019-02-22,5.33
69,2019-02-21,5.32
70,2019-02-20,5.30
71,2019-02-19,5.28
72,2019-02-15,5.26
73,2019-02-14,5.20
74,2019-02-13,5.19
75,2019-02-12,5.16
76,2019-02-11,5.13
77,2019-02-08,5.17
78,2019-02-07,5.17
79,2019-02-06,5.22
80,2019-02-05,5.22
81,2019-02-04,5.25
82,2019-02-01,5.26
83,2019-01-31,5.20
84,2019-01-30,5.24
85,2019-01-29,5.18
86,2019-01-28,5.13
87,2019-01-25,5.21
88,2019-01-24,5.19
89,2019-01-23,5.16
90,2019-01-22,5.16
91,2019-01-18,5.23
92,2019-01-17,5.19
93,2019-01-16,5.16
94,2019-01-15,5.14
95,2019-01-14,5.10
96,2019-01-11,5.14
97,2019-01-10,5.15
98,2019-01-09,5.16
99,2019-01-08,5.05
100,2019-01-07,5.03
101,2019-01-04,5.00
102,2019-01-03,4.92
103,2019-01-02,4.88
104,2018-12-31,4.89
105,2018-12-28,4.88
106,2018-12-27,4.90
107,2018-12-26,4.95
108,2018-12-24,4.87
109,2018-12-21,4.91
110,2018-12-20,4.97
111,2018-12-19,5.03
112,2018-12-18,5.00
113,2018-12-17,5.08
114,2018-12-14,5.14
115,2018-12-13,5.24
116,2018-12-12,5.20
117,2018-12-11,5.19
118,2018-12-10,5.17
119,2018-12-07,5.26
120,2018-12-06,5.17
121,2018-12-04,5.25
122,2018-12-03,5.25
123,2018-11-30,5.18
124,2018-11-29,5.17
125,2018-11-28,5.16
126,2018-11-27,5.12
127,2018-11-26,5.14
128,2018-11-23,5.17
129,2018-11-21,5.30
130,2018-11-20,5.23
131,2018-11-19,5.37
132,2018-11-16,5.35
133,2018-11-15,5.28
134,2018-11-14,5.36
135,2018-11-13,5.24
136,2018-11-12,5.33
137,2018-11-09,5.34
138,2018-11-08,5.37
139,2018-11-07,5.40
140,2018-11-06,5.41
141,2018-11-05,5.43
142,2018-11-02,5.43
143,2018-11-01,5.41
144,2018-10-31,5.41
145,2018-10-30,5.45
146,2018-10-29,5.47
147,2018-10-26,5.54
148,2018-10-25,5.50
149,2018-10-24,5.49
150,2018-10-23,5.53
151,2018-10-22,5.60
152,2018-10-19,5.60
153,2018-10-18,5.60
154,2018-10-17,5.65
155,2018-10-16,5.68
156,2018-10-15,5.68
157,2018-10-12,5.66
158,2018-10-11,5.60
159,2018-10-10,5.64
160,2018-10-09,5.72
161,2018-10-08,5.70
162,2018-10-05,5.70
163,2018-10-04,5.72
164,2018-10-03,5.76
165,2018-10-02,5.72
166,2018-10-01,5.70
167,2018-09-28,5.60
168,2018-09-27,5.57
169,2018-09-26,5.55
170,2018-09-25,5.59
171,2018-09-24,5.58
172,2018-09-21,5.53
173,2018-09-20,5.50
174,2018-09-19,5.47
175,2018-09-18,5.44
176,2018-09-17,5.40
177,2018-09-14,5.41
178,2018-09-13,5.45
179,2018-09-12,5.49
180,2018-09-11,5.46
181,2018-09-10,5.45
182,2018-09-07,5.42
183,2018-09-06,5.42
184,2018-09-05,5.46
185,2018-09-04,5.47
186,2018-08-31,5.53
187,2018-08-30,5.50
188,2018-08-29,5.53
189,2018-08-28,5.47
190,2018-08-27,5.50
191,2018-08-24,5.49
192,2018-08-23,5.44
193,2018-08-22,5.49
194,2018-08-21,5.45
195,2018-08-20,5.42
196,2018-08-17,5.43
197,2018-08-16,5.38
198,2018-08-15,5.35
199,2018-08-14,5.45
200,2018-08-13,5.46
201,2018-08-10,5.50
202,2018-08-09,5.52
203,2018-08-08,5.54
204,2018-08-07,5.59
205,2018-08-06,5.54
206,2018-08-03,5.54
207,2018-08-02,5.52
208,2018-08-01,5.50
209,2018-07-31,5.58
210,2018-07-30,5.58
211,2018-07-27,5.54
212,2018-07-26,5.56
213,2018-07-25,5.57
214,2018-07-24,5.48
215,2018-07-23,5.47
216,2018-07-20,5.46
217,2018-07-19,5.42
218,2018-07-18,5.44
219,2018-07-17,5.42
220,2018-07-16,5.43
221,2018-07-13,5.49
222,2018-07-12,5.50
223,2018-07-11,5.45
224,2018-07-10,5.62
225,2018-07-09,5.65
226,2018-07-06,5.63
227,2018-07-05,5.59
228,2018-07-03,5.62
229,2018-07-02,5.60
230,2018-06-29,5.68
231,2018-06-28,5.63
232,2018-06-27,5.63
233,2018-06-26,5.60
234,2018-06-25,5.55
235,2018-06-22,5.61
236,2018-06-21,5.52
237,2018-06-20,5.53
238,2018-06-19,5.51
239,2018-06-18,5.59
240,2018-06-15,5.59
241,2018-06-14,5.70
242,2018-06-13,5.72
243,2018-06-12,5.73
244,2018-06-11,5.71
245,2018-06-08,5.73
246,2018-06-07,5.74
247,2018-06-06,5.72
248,2018-06-05,5.69
249,2018-06-04,5.68
250,2018-06-01,5.75
251,2018-05-31,5.79
252,2018-05-30,5.79
253,2018-05-29,5.76
254,2018-05-25,5.80
255,2018-05-24,5.85
256,2018-05-23,5.88
257,2018-05-22,5.87
258,2018-05-21,5.85
259,2018-05-18,5.82
260,2018-05-17,5.81
261,2018-05-16,5.78
262,2018-05-15,5.76
263,2018-05-14,5.79
264,2018-05-11,5.75
265,2018-05-10,5.79
266,2018-05-09,5.77
267,2018-05-08,5.75
268,2018-05-07,5.72
269,2018-05-04,5.73
270,2018-05-03,5.71
271,2018-05-02,5.68
272,2018-05-01,5.68
273,2018-04-30,5.68
274,2018-04-27,5.66
275,2018-04-26,5.68
276,2018-04-25,5.66
277,2018-04-24,5.64
278,2018-04-23,5.68
279,2018-04-20,5.69
280,2018-04-19,5.70
281,2018-04-18,5.74
282,2018-04-17,5.62
283,2018-04-16,5.62
284,2018-04-13,5.62
285,2018-04-12,5.63
286,2018-04-11,5.63
287,2018-04-10,5.59
288,2018-04-09,5.51
289,2018-04-06,5.45
290,2018-04-05,5.47
291,2018-04-04,5.45
292,2018-04-03,5.47
293,2018-04-02,5.45
294,2018-03-29,5.52
295,2018-03-28,5.47
296,2018-03-27,5.48
297,2018-03-26,5.50
298,2018-03-23,5.50
299,2018-03-22,5.47
300,2018-03-21,5.53
301,2018-03-20,5.44
302,2018-03-19,5.43
303,2018-03-16,5.45
304,2018-03-15,5.44
305,2018-03-14,5.45
306,2018-03-13,5.45
307,2018-03-12,5.47
308,2018-03-09,5.49
309,2018-03-08,5.46
310,2018-03-07,5.48
311,2018-03-06,5.54
312,2018-03-05,5.53
313,2018-03-02,5.47
314,2018-03-01,5.49
315,2018-02-28,5.47
316,2018-02-27,5.53
317,2018-02-26,5.56
318,2018-02-23,5.53
319,2018-02-22,5.49
320,2018-02-21,5.46
321,2018-02-20,5.46
322,2018-02-16,5.45
323,2018-02-15,5.45
324,2018-02-14,5.43
325,2018-02-13,5.36
326,2018-02-12,5.34
327,2018-02-09,5.31
328,2018-02-08,5.38
329,2018-02-07,5.43
330,2018-02-06,5.49
331,2018-02-05,5.42
332,2018-02-02,5.55
333,2018-02-01,5.62
334,2018-01-31,5.58
335,2018-01-30,5.58
336,2018-01-29,5.62
337,2018-01-26,5.65
338,2018-01-25,5.59
339,2018-01-24,5.62
340,2018-01-23,5.57
341,2018-01-22,5.54
342,2018-01-19,5.51
343,2018-01-18,5.52
344,2018-01-17,5.51
345,2018-01-16,5.50
346,2018-01-12,5.53
347,2018-01-11,5.50
348,2018-01-10,5.48
349,2018-01-09,5.46
350,2018-01-08,5.42
351,2018-01-05,5.43
352,2018-01-04,5.46
353,2018-01-03,5.46
354,2018-01-02,5.43
355,2017-12-29,5.40
356,2017-12-28,5.37
357,2017-12-27,5.34
358,2017-12-26,5.32
359,2017-12-22,5.27
360,2017-12-21,5.24
361,2017-12-20,5.22
362,2017-12-19,5.19
363,2017-12-18,5.20
364,2017-12-15,5.16
365,2017-12-14,5.17
366,2017-12-13,5.13
367,2017-12-12,5.14
368,2017-12-11,5.18
369,2017-12-08,5.16
370,2017-12-07,5.15
371,2017-12-06,5.14
372,2017-12-05,5.22
373,2017-12-04,5.23
374,2017-12-01,5.31
375,2017-11-30,5.24
376,2017-11-29,5.26
377,2017-11-28,5.28
378,2017-11-27,5.29
379,2017-11-24,5.33
380,2017-11-22,5.29
381,2017-11-21,5.26
382,2017-11-20,5.24
383,2017-11-17,5.28
384,2017-11-16,5.21
385,2017-11-15,5.22
386,2017-11-14,5.23
387,2017-11-13,5.30
388,2017-11-10,5.32
389,2017-11-09,5.32
390,2017-11-08,5.31
391,2017-11-07,5.32
392,2017-11-06,5.36
393,2017-11-03,5.25
394,2017-11-02,5.24
395,2017-11-01,5.22
396,2017-10-31,5.20
397,2017-10-30,5.20
398,2017-10-27,5.18
399,2017-10-26,5.18
400,2017-10-25,5.17
401,2017-10-24,5.17
402,2017-10-23,5.13
403,2017-10-20,5.11
404,2017-10-19,5.11
405,2017-10-18,5.11
406,2017-10-17,5.14
407,2017-10-16,5.16
408,2017-10-13,5.14
409,2017-10-12,5.10
410,2017-10-11,5.11
411,2017-10-10,5.10
412,2017-10-09,5.05
413,2017-10-06,5.04
414,2017-10-05,5.09
415,2017-10-04,5.05
416,2017-10-03,5.05
417,2017-10-02,5.04
418,2017-09-29,5.10
419,2017-09-28,5.11
420,2017-09-27,5.13
421,2017-09-26,5.13
422,2017-09-25,5.16
423,2017-09-22,5.09
424,2017-09-21,5.08
425,2017-09-20,5.11
426,2017-09-19,5.07
427,2017-09-18,5.08
428,2017-09-15,5.08
429,2017-09-14,5.07
430,2017-09-13,5.05
431,2017-09-12,5.03
432,2017-09-11,5.05
433,2017-09-08,5.04
434,2017-09-07,5.10
435,2017-09-06,5.10
436,2017-09-05,5.07
437,2017-09-01,5.03
438,2017-08-31,5.01
439,2017-08-30,4.90
440,2017-08-29,4.92
441,2017-08-28,4.93
442,2017-08-25,4.94
443,2017-08-24,4.94
444,2017-08-23,4.96
445,2017-08-22,4.93
446,2017-08-21,4.91
447,2017-08-18,4.94
448,2017-08-17,4.87
449,2017-08-16,4.88
450,2017-08-15,4.89
451,2017-08-14,4.91
452,2017-08-11,4.97
453,2017-08-10,4.96
454,2017-08-09,5.03
455,2017-08-08,4.99
456,2017-08-07,4.99
457,2017-08-04,4.97
458,2017-08-03,4.97
459,2017-08-02,5.00
460,2017-08-01,4.96
461,2017-07-31,5.03
462,2017-07-28,5.01
463,2017-07-27,4.99
464,2017-07-26,4.96
465,2017-07-25,4.91
466,2017-07-24,4.88
467,2017-07-21,4.86
468,2017-07-20,4.92
469,2017-07-19,4.93
470,2017-07-18,4.89
471,2017-07-17,4.87
472,2017-07-14,4.89
473,2017-07-13,4.83
474,2017-07-12,4.86
475,2017-07-11,4.86
476,2017-07-10,4.83
477,2017-07-07,4.79
478,2017-07-06,4.85
479,2017-07-05,4.85
480,2017-07-03,4.90
481,2017-06-30,4.89
482,2017-06-29,4.78
483,2017-06-28,4.75
484,2017-06-27,4.72
485,2017-06-26,4.68
486,2017-06-23,4.67
487,2017-06-22,4.65
488,2017-06-21,4.64
489,2017-06-20,4.69
490,2017-06-19,4.74
491,2017-06-16,4.77
492,2017-06-15,4.75
493,2017-06-14,4.74
494,2017-06-13,4.80
495,2017-06-12,4.79
496,2017-06-09,4.82
497,2017-06-08,4.81
498,2017-06-07,4.80
499,2017-06-06,4.87
500,2017-06-05,4.83
501,2017-06-02,4.86
502,2017-06-01,4.87
503,2017-05-31,4.88
504,2017-05-30,4.95
505,2017-05-26,4.97
506,2017-05-25,4.93
507,2017-05-24,5.02
508,2017-05-23,5.05
509,2017-05-22,5.07
510,2017-05-19,5.03
511,2017-05-18,4.95
512,2017-05-17,4.98
513,2017-05-16,4.94
514,2017-05-15,4.96
515,2017-05-12,4.92
516,2017-05-11,4.91
517,2017-05-10,4.88
518,2017-05-09,4.82
519,2017-05-08,4.85
520,2017-05-05,4.86
521,2017-05-04,4.83
522,2017-05-03,4.92
523,2017-05-02,4.95
524,2017-05-01,4.99
525,2017-04-28,4.97
526,2017-04-27,4.97
527,2017-04-26,4.98
528,2017-04-25,5.00
529,2017-04-24,4.97
530,2017-04-21,4.98
531,2017-04-20,5.03
532,2017-04-19,5.04
533,2017-04-18,5.11
534,2017-04-17,5.14
535,2017-04-13,5.20
536,2017-04-12,5.14
537,2017-04-11,5.15
538,2017-04-10,5.16
539,2017-04-07,5.13
540,2017-04-06,5.12
541,2017-04-05,5.12
542,2017-04-04,5.11
543,2017-04-03,5.06
544,2017-03-31,5.08
545,2017-03-30,5.09
546,2017-03-29,5.08
547,2017-03-28,5.04
548,2017-03-27,5.00
549,2017-03-24,5.03
550,2017-03-23,5.01
551,2017-03-22,5.04
552,2017-03-21,5.02
553,2017-03-20,5.06
554,2017-03-17,5.05
555,2017-03-16,5.04
556,2017-03-15,5.04
557,2017-03-14,4.99
558,2017-03-13,5.02
559,2017-03-10,5.01
560,2017-03-09,5.05
561,2017-03-08,5.10
562,2017-03-07,5.18
563,2017-03-06,5.23
564,2017-03-03,5.24
565,2017-03-02,5.19
566,2017-03-01,5.29
567,2017-02-28,5.25
568,2017-02-27,5.23
569,2017-02-24,5.23
570,2017-02-23,5.23
571,2017-02-22,5.23
572,2017-02-21,5.25
573,2017-02-17,5.26
574,2017-02-16,5.28
575,2017-02-15,5.30
576,2017-02-14,5.31
577,2017-02-13,5.29
578,2017-02-10,5.33
579,2017-02-09,5.27
580,2017-02-08,5.26
581,2017-02-07,5.22
582,2017-02-06,5.25
583,2017-02-03,5.27
584,2017-02-02,5.28
585,2017-02-01,5.29
586,2017-01-31,5.23
587,2017-01-30,5.20
588,2017-01-27,5.25
589,2017-01-26,5.26
590,2017-01-25,5.25
591,2017-01-24,5.28
592,2017-01-23,5.28
593,2017-01-20,5.25
594,2017-01-19,5.23
595,2017-01-18,5.24
596,2017-01-17,5.29
597,2017-01-13,5.26
598,2017-01-12,5.26
599,2017-01-11,5.20
600,2017-01-10,5.18
601,2017-01-09,5.16
602,2017-01-06,5.22
603,2017-01-05,5.24
604,2017-01-04,5.21
605,2017-01-03,5.15
606,2016-12-30,5.19
607,2016-12-29,5.19
608,2016-12-28,5.20
609,2016-12-27,5.19
610,2016-12-23,5.11
611,2016-12-22,5.11
612,2016-12-21,5.12
613,2016-12-20,5.14
614,2016-12-19,5.13
615,2016-12-16,5.16
616,2016-12-15,5.14
617,2016-12-14,5.17
618,2016-12-13,5.23
619,2016-12-12,5.23
620,2016-12-09,5.18
621,2016-12-08,5.17
622,2016-12-07,5.16
623,2016-12-06,5.17
624,2016-12-05,5.20
625,2016-12-02,5.17
626,2016-12-01,5.14
627,2016-11-30,5.05
628,2016-11-29,4.92
629,2016-11-28,5.02
630,2016-11-25,4.99
631,2016-11-23,5.04
632,2016-11-22,5.01
633,2016-11-21,5.01
634,2016-11-18,4.88
635,2016-11-17,4.85
636,2016-11-16,4.87
637,2016-11-15,4.88
638,2016-11-14,4.80
639,2016-11-11,4.81
640,2016-11-10,4.90
641,2016-11-09,4.92
642,2016-11-08,4.89
643,2016-11-07,4.90
644,2016-11-04,4.86
645,2016-11-03,4.89
646,2016-11-02,4.91
647,2016-11-01,4.95
648,2016-10-31,4.97
649,2016-10-28,5.05
650,2016-10-27,5.06
651,2016-10-26,5.04
652,2016-10-25,5.05
653,2016-10-24,5.07
654,2016-10-21,5.06
655,2016-10-20,5.06
656,2016-10-19,5.12
657,2016-10-18,5.09
658,2016-10-17,5.08
659,2016-10-14,5.09
660,2016-10-13,5.08
661,2016-10-12,5.04
662,2016-10-11,5.08
663,2016-10-10,5.10
664,2016-10-07,5.04
665,2016-10-06,5.05
666,2016-10-05,5.04
667,2016-10-04,5.01
668,2016-10-03,5.02
669,2016-09-30,5.00
670,2016-09-29,4.98
671,2016-09-28,4.96
672,2016-09-27,4.88
673,2016-09-26,4.92
674,2016-09-23,4.90
675,2016-09-22,4.97
676,2016-09-21,4.94
677,2016-09-20,4.89
678,2016-09-19,4.84
679,2016-09-16,4.85
680,2016-09-15,4.83
681,2016-09-14,4.82
682,2016-09-13,4.86
683,2016-09-12,4.91
684,2016-09-09,4.90
685,2016-09-08,4.98
686,2016-09-07,4.92
687,2016-09-06,4.87
688,2016-09-02,4.83
689,2016-09-01,4.79
690,2016-08-31,4.82
691,2016-08-30,4.89
692,2016-08-29,4.96
693,2016-08-26,4.99
694,2016-08-25,4.99
695,2016-08-24,4.98
696,2016-08-23,5.06
697,2016-08-22,5.02
698,2016-08-19,5.10
699,2016-08-18,5.10
700,2016-08-17,5.05
701,2016-08-16,5.02
702,2016-08-15,5.00
703,2016-08-12,4.93
704,2016-08-11,4.89
705,2016-08-10,4.82
706,2016-08-09,4.86
707,2016-08-08,4.89
708,2016-08-05,4.86
709,2016-08-04,4.86
710,2016-08-03,4.82
711,2016-08-02,4.75
712,2016-08-01,4.76
713,2016-07-29,4.84
714,2016-07-28,4.80
715,2016-07-27,4.84
716,2016-07-26,4.85
717,2016-07-25,4.86
718,2016-07-22,4.91
719,2016-07-21,4.93
720,2016-07-20,4.95
721,2016-07-19,4.97
722,2016-07-18,5.03
723,2016-07-15,5.04
724,2016-07-14,5.05
725,2016-07-13,5.03
726,2016-07-12,5.08
727,2016-07-11,4.96
728,2016-07-08,5.00
729,2016-07-07,4.94
730,2016-07-06,5.07
731,2016-07-05,5.04
732,2016-07-01,5.16
733,2016-06-30,5.11
734,2016-06-29,5.13
735,2016-06-28,5.08
736,2016-06-27,4.99
737,2016-06-24,5.03
738,2016-06-23,5.13
739,2016-06-22,5.09
740,2016-06-21,5.14
741,2016-06-20,5.16
742,2016-06-17,5.13
743,2016-06-16,5.01
744,2016-06-15,5.07
745,2016-06-14,5.13
746,2016-06-13,5.13
747,2016-06-10,5.15
748,2016-06-09,5.23
749,2016-06-08,5.25
750,2016-06-07,5.16
751,2016-06-06,5.14
752,2016-06-03,5.06
753,2016-06-02,5.03
754,2016-06-01,5.02
755,2016-05-31,4.98
756,2016-05-27,5.01
757,2016-05-26,4.98
758,2016-05-25,4.97
759,2016-05-24,4.92
760,2016-05-23,4.91
761,2016-05-20,4.95
762,2016-05-19,4.96
763,2016-05-18,4.96
764,2016-05-17,5.02
765,2016-05-16,4.98
766,2016-05-13,4.93
767,2016-05-12,4.94
768,2016-05-11,4.94
769,2016-05-10,4.87
770,2016-05-09,4.77
771,2016-05-06,4.86
772,2016-05-05,4.85
773,2016-05-04,4.87
774,2016-05-03,4.87
775,2016-05-02,4.95
776,2016-04-29,5.01
777,2016-04-28,4.96
778,2016-04-27,4.94
779,2016-04-26,4.89
780,2016-04-25,4.83
781,2016-04-22,4.85
782,2016-04-21,4.88
783,2016-04-20,4.89
784,2016-04-19,4.80
785,2016-04-18,4.69
786,2016-04-15,4.68
787,2016-04-14,4.72
788,2016-04-13,4.73
789,2016-04-12,4.72
790,2016-04-11,4.62
791,2016-04-08,4.58
792,2016-04-07,4.48
793,2016-04-06,4.49
794,2016-04-05,4.45
795,2016-04-04,4.45
796,2016-04-01,4.51
797,2016-03-31,4.57
798,2016-03-30,4.56
799,2016-03-29,4.59
800,2016-03-28,4.62
801,2016-03-24,4.60
802,2016-03-23,4.61
803,2016-03-22,4.72
804,2016-03-21,4.70
805,2016-03-18,4.69
806,2016-03-17,4.70
807,2016-03-16,4.64
808,2016-03-15,4.54
809,2016-03-14,4.58
810,2016-03-11,4.62
811,2016-03-10,4.60
812,2016-03-09,4.60
813,2016-03-08,4.52
814,2016-03-07,4.61
815,2016-03-04,4.52
816,2016-03-03,4.41
817,2016-03-02,4.39
818,2016-03-01,4.36
819,2016-02-29,4.35
820,2016-02-26,4.32
821,2016-02-25,4.33
822,2016-02-24,4.32
823,2016-02-23,4.27
824,2016-02-22,4.34
825,2016-02-19,4.29
826,2016-02-18,4.32
827,2016-02-17,4.34
828,2016-02-16,4.25
829,2016-02-12,4.28
830,2016-02-11,4.21
831,2016-02-10,4.20
832,2016-02-09,4.19
833,2016-02-08,4.29
834,2016-02-05,4.34
835,2016-02-04,4.36
836,2016-02-03,4.40
837,2016-02-02,4.26
838,2016-02-01,4.33
839,2016-01-29,4.44
840,2016-01-28,4.40
841,2016-01-27,4.35
842,2016-01-26,4.31
843,2016-01-25,4.22
844,2016-01-22,4.30
845,2016-01-21,4.19
846,2016-01-20,4.15
847,2016-01-19,4.18
848,2016-01-15,4.20
849,2016-01-14,4.29
850,2016-01-13,4.27
851,2016-01-12,4.27
852,2016-01-11,4.29
853,2016-01-08,4.42
854,2016-01-07,4.42
855,2016-01-06,4.45
856,2016-01-05,4.53
857,2016-01-04,4.58
858,2015-12-31,4.63
859,2015-12-30,4.59
860,2015-12-29,4.65
861,2015-12-28,4.57
862,2015-12-24,4.64
863,2015-12-23,4.64
864,2015-12-22,4.55
865,2015-12-21,4.55
866,2015-12-18,4.54
867,2015-12-17,4.52
868,2015-12-16,4.56
869,2015-12-15,4.60
870,2015-12-14,4.60
871,2015-12-11,4.62
872,2015-12-10,4.67
873,2015-12-09,4.70
874,2015-12-08,4.69
875,2015-12-07,4.71
876,2015-12-04,4.86
877,2015-12-03,4.84
878,2015-12-02,4.78
879,2015-12-01,4.86
880,2015-11-30,4.86
881,2015-11-27,4.85
882,2015-11-25,4.92
883,2015-11-24,4.91
884,2015-11-23,4.85
885,2015-11-20,4.85
886,2015-11-19,4.88
887,2015-11-18,4.86
888,2015-11-17,4.85
889,2015-11-16,4.91
890,2015-11-13,4.90
891,2015-11-12,4.94
892,2015-11-11,5.00
893,2015-11-10,5.06
894,2015-11-09,5.06
895,2015-11-06,5.12
