,Date,NAV
1,2019-05-30,7.61
2,2019-05-29,7.61
3,2019-05-28,7.62
4,2019-05-24,7.63
5,2019-05-23,7.63
6,2019-05-22,7.64
7,2019-05-21,7.64
8,2019-05-20,7.64
9,2019-05-17,7.67
10,2019-05-16,7.77
11,2019-05-15,7.77
12,2019-05-14,7.77
13,2019-05-13,7.72
14,2019-05-10,7.75
15,2019-05-09,7.75
16,2019-05-08,7.82
17,2019-05-07,7.82
18,2019-05-06,7.86
19,2019-05-03,7.85
20,2019-05-02,7.79
21,2019-05-01,7.96
22,2019-04-30,7.96
23,2019-04-29,8.00
24,2019-04-26,8.00
25,2019-04-25,7.95
26,2019-04-24,7.98
27,2019-04-23,8.02
28,2019-04-22,8.02
29,2019-04-18,8.02
30,2019-04-17,8.02
31,2019-04-16,8.00
32,2019-04-15,8.06
33,2019-04-12,8.08
34,2019-04-11,8.02
35,2019-04-10,8.12
36,2019-04-09,8.13
37,2019-04-08,8.14
38,2019-04-05,8.11
39,2019-04-04,8.14
40,2019-04-03,8.07
41,2019-04-02,8.07
42,2019-04-01,8.10
43,2019-03-29,8.15
44,2019-03-28,8.15
45,2019-03-27,8.15
46,2019-03-26,8.15
47,2019-03-25,8.15
48,2019-03-22,8.13
49,2019-03-21,8.17
50,2019-03-20,8.23
51,2019-03-19,8.12
52,2019-03-18,8.12
53,2019-03-15,8.11
54,2019-03-14,8.10
55,2019-03-13,8.19
56,2019-03-12,8.15
57,2019-03-11,8.04
58,2019-03-08,8.07
59,2019-03-07,8.03
60,2019-03-06,8.07
61,2019-03-05,8.10
62,2019-03-04,8.07
63,2019-03-01,8.15
64,2019-02-28,8.22
65,2019-02-27,8.24
66,2019-02-26,8.23
67,2019-02-25,8.21
68,2019-02-22,8.21
69,2019-02-21,8.14
70,2019-02-20,8.18
71,2019-02-19,8.10
72,2019-02-15,8.04
73,2019-02-14,7.93
74,2019-02-13,7.93
75,2019-02-12,7.94
76,2019-02-11,7.97
77,2019-02-08,8.04
78,2019-02-07,8.07
79,2019-02-06,8.08
80,2019-02-05,8.12
81,2019-02-04,8.14
82,2019-02-01,8.09
83,2019-01-31,8.11
84,2019-01-30,8.08
85,2019-01-29,8.00
86,2019-01-28,7.95
87,2019-01-25,8.01
88,2019-01-24,7.87
89,2019-01-23,7.86
90,2019-01-22,7.82
91,2019-01-18,7.84
92,2019-01-17,7.85
93,2019-01-16,7.80
94,2019-01-15,7.79
95,2019-01-14,7.79
96,2019-01-11,7.79
97,2019-01-10,7.78
98,2019-01-09,7.82
99,2019-01-08,7.80
100,2019-01-07,7.80
101,2019-01-04,7.77
102,2019-01-03,7.72
103,2019-01-02,7.65
104,2018-12-31,7.71
105,2018-12-28,7.71
106,2018-12-27,7.72
107,2018-12-26,7.91
108,2018-12-24,7.67
109,2018-12-21,7.66
110,2018-12-20,7.91
111,2018-12-19,7.65
112,2018-12-18,7.66
113,2018-12-17,7.68
114,2018-12-14,7.68
115,2018-12-13,7.73
116,2018-12-12,7.74
117,2018-12-11,7.72
118,2018-12-10,7.75
119,2018-12-07,7.75
120,2018-12-06,7.63
121,2018-12-04,7.75
122,2018-12-03,7.72
123,2018-11-30,7.65
124,2018-11-29,7.67
125,2018-11-28,7.67
126,2018-11-27,7.56
127,2018-11-26,7.66
128,2018-11-23,7.68
129,2018-11-21,7.68
130,2018-11-20,7.68
131,2018-11-19,7.68
132,2018-11-16,7.68
133,2018-11-15,7.68
134,2018-11-14,7.65
135,2018-11-13,7.61
136,2018-11-12,7.60
137,2018-11-09,7.67
138,2018-11-08,7.76
139,2018-11-07,7.75
140,2018-11-06,7.74
141,2018-11-05,7.77
142,2018-11-02,7.77
143,2018-11-01,7.77
144,2018-10-31,7.65
145,2018-10-30,7.76
146,2018-10-29,7.76
147,2018-10-26,7.82
148,2018-10-25,7.82
149,2018-10-24,7.83
150,2018-10-23,7.83
151,2018-10-22,7.83
152,2018-10-19,7.83
153,2018-10-18,7.83
154,2018-10-17,7.83
155,2018-10-16,7.83
156,2018-10-15,7.83
157,2018-10-12,7.83
158,2018-10-11,7.83
159,2018-10-10,7.88
160,2018-10-09,7.88
161,2018-10-08,7.88
162,2018-10-05,7.88
163,2018-10-04,7.88
164,2018-10-03,7.88
165,2018-10-02,7.88
166,2018-10-01,7.83
167,2018-09-28,7.69
168,2018-09-27,7.69
169,2018-09-26,7.80
170,2018-09-25,7.84
171,2018-09-24,7.84
172,2018-09-21,7.84
173,2018-09-20,7.68
174,2018-09-19,7.68
175,2018-09-18,7.59
176,2018-09-17,7.59
177,2018-09-14,7.59
178,2018-09-13,7.54
179,2018-09-12,7.54
180,2018-09-11,7.54
181,2018-09-10,7.59
182,2018-09-07,7.62
183,2018-09-06,7.60
184,2018-09-05,7.65
185,2018-09-04,7.62
186,2018-08-31,7.86
187,2018-08-30,7.86
188,2018-08-29,7.86
189,2018-08-28,7.91
190,2018-08-27,7.80
191,2018-08-24,7.82
192,2018-08-23,7.68
193,2018-08-22,7.70
194,2018-08-21,7.68
195,2018-08-20,7.68
196,2018-08-17,7.58
197,2018-08-16,7.58
198,2018-08-15,7.45
199,2018-08-14,7.80
200,2018-08-13,7.86
201,2018-08-10,8.02
202,2018-08-09,8.02
203,2018-08-08,8.02
204,2018-08-07,7.94
205,2018-08-06,7.91
206,2018-08-03,7.91
207,2018-08-02,7.89
208,2018-08-01,8.05
209,2018-07-31,8.05
210,2018-07-30,8.01
211,2018-07-27,8.06
212,2018-07-26,8.06
213,2018-07-25,8.06
214,2018-07-24,8.01
215,2018-07-23,7.92
216,2018-07-20,7.93
217,2018-07-19,7.84
218,2018-07-18,7.96
219,2018-07-17,8.05
220,2018-07-16,8.05
221,2018-07-13,8.05
222,2018-07-12,8.05
223,2018-07-11,8.01
224,2018-07-10,8.19
225,2018-07-09,8.25
226,2018-07-06,8.22
227,2018-07-05,8.18
228,2018-07-03,8.28
229,2018-07-02,8.28
230,2018-06-29,8.36
231,2018-06-28,8.36
232,2018-06-27,8.45
233,2018-06-26,8.48
234,2018-06-25,8.48
