,Date,NAV
1,2019-05-30,13.60
2,2019-05-29,13.52
3,2019-05-28,13.46
4,2019-05-24,13.65
5,2019-05-23,13.68
6,2019-05-22,13.54
7,2019-05-21,13.53
8,2019-05-20,13.55
9,2019-05-17,13.52
10,2019-05-16,13.65
11,2019-05-15,13.85
12,2019-05-14,13.86
13,2019-05-13,13.84
14,2019-05-10,13.84
15,2019-05-09,13.83
16,2019-05-08,13.89
17,2019-05-07,13.98
18,2019-05-06,13.98
19,2019-05-03,13.96
20,2019-05-02,13.71
21,2019-05-01,13.75
22,2019-04-30,14.02
23,2019-04-29,13.99
24,2019-04-26,14.10
25,2019-04-25,14.00
26,2019-04-24,14.00
27,2019-04-23,13.91
28,2019-04-22,14.08
29,2019-04-18,14.06
30,2019-04-17,14.05
31,2019-04-16,14.07
32,2019-04-15,14.06
33,2019-04-12,14.05
34,2019-04-11,14.02
35,2019-04-10,14.28
36,2019-04-09,14.28
37,2019-04-08,14.31
38,2019-04-05,14.17
39,2019-04-04,14.22
40,2019-04-03,14.20
41,2019-04-02,14.16
42,2019-04-01,14.15
43,2019-03-29,14.18
44,2019-03-28,14.07
45,2019-03-27,14.32
46,2019-03-26,14.47
47,2019-03-25,14.56
48,2019-03-22,14.45
49,2019-03-21,14.50
50,2019-03-20,14.54
51,2019-03-19,14.40
52,2019-03-18,14.39
53,2019-03-15,14.33
54,2019-03-14,14.24
55,2019-03-13,14.51
56,2019-03-12,14.48
57,2019-03-11,14.37
58,2019-03-08,14.41
59,2019-03-07,14.09
60,2019-03-06,14.15
61,2019-03-05,14.20
62,2019-03-04,14.15
63,2019-03-01,14.20
64,2019-02-28,14.63
65,2019-02-27,14.75
66,2019-02-26,14.94
67,2019-02-25,14.90
68,2019-02-22,14.95
69,2019-02-21,14.83
70,2019-02-20,15.07
71,2019-02-19,15.02
72,2019-02-15,14.82
73,2019-02-14,14.65
74,2019-02-13,14.59
75,2019-02-12,14.73
76,2019-02-11,14.72
77,2019-02-08,14.83
78,2019-02-07,14.77
79,2019-02-06,14.68
80,2019-02-05,14.87
81,2019-02-04,14.88
82,2019-02-01,14.92
83,2019-01-31,15.05
84,2019-01-30,15.05
85,2019-01-29,14.88
86,2019-01-28,14.79
87,2019-01-25,14.74
88,2019-01-24,14.36
89,2019-01-23,14.42
90,2019-01-22,14.39
91,2019-01-18,14.37
92,2019-01-17,14.57
93,2019-01-16,14.63
94,2019-01-15,14.60
95,2019-01-14,14.66
96,2019-01-11,14.64
97,2019-01-10,14.60
98,2019-01-09,14.78
99,2019-01-08,14.69
100,2019-01-07,14.67
101,2019-01-04,14.73
102,2019-01-03,14.75
103,2019-01-02,14.56
104,2018-12-31,14.52
105,2018-12-28,14.42
106,2018-12-27,14.30
107,2018-12-26,14.11
108,2018-12-24,13.87
109,2018-12-21,13.74
110,2018-12-20,13.85
111,2018-12-19,13.69
112,2018-12-18,13.75
113,2018-12-17,13.77
114,2018-12-14,13.70
115,2018-12-13,13.86
116,2018-12-12,13.82
117,2018-12-11,13.66
118,2018-12-10,13.65
119,2018-12-07,13.73
120,2018-12-06,13.60
121,2018-12-04,13.62
122,2018-12-03,13.49
123,2018-11-30,13.32
124,2018-11-29,13.43
125,2018-11-28,13.43
126,2018-11-27,13.29
127,2018-11-26,13.39
128,2018-11-23,13.42
129,2018-11-21,13.60
130,2018-11-20,13.45
131,2018-11-19,13.55
132,2018-11-16,13.53
133,2018-11-15,13.42
134,2018-11-14,13.28
135,2018-11-13,13.15
136,2018-11-12,13.17
137,2018-11-09,13.32
138,2018-11-08,13.56
139,2018-11-07,13.67
140,2018-11-06,13.65
141,2018-11-05,13.76
142,2018-11-02,13.86
143,2018-11-01,13.83
144,2018-10-31,13.41
145,2018-10-30,13.61
146,2018-10-29,13.59
147,2018-10-26,13.81
148,2018-10-25,13.74
149,2018-10-24,13.79
150,2018-10-23,13.83
151,2018-10-22,13.68
152,2018-10-19,13.74
153,2018-10-18,13.70
154,2018-10-17,13.74
155,2018-10-16,13.78
156,2018-10-15,13.80
157,2018-10-12,13.74
158,2018-10-11,13.67
159,2018-10-10,13.45
160,2018-10-09,13.53
161,2018-10-08,13.53
162,2018-10-05,13.75
163,2018-10-04,13.71
164,2018-10-03,13.78
165,2018-10-02,13.79
166,2018-10-01,13.62
167,2018-09-28,13.73
168,2018-09-27,13.41
169,2018-09-26,13.49
170,2018-09-25,13.59
171,2018-09-24,13.41
172,2018-09-21,13.44
173,2018-09-20,13.45
174,2018-09-19,13.40
175,2018-09-18,13.31
176,2018-09-17,13.31
177,2018-09-14,13.23
178,2018-09-13,13.35
179,2018-09-12,13.39
180,2018-09-11,13.28
181,2018-09-10,13.31
182,2018-09-07,13.32
183,2018-09-06,13.31
184,2018-09-05,13.35
185,2018-09-04,13.31
186,2018-08-31,13.65
187,2018-08-30,13.70
188,2018-08-29,13.87
189,2018-08-28,13.84
190,2018-08-27,13.99
191,2018-08-24,13.92
192,2018-08-23,13.65
193,2018-08-22,13.88
194,2018-08-21,13.89
195,2018-08-20,13.88
196,2018-08-17,13.92
197,2018-08-16,13.77
198,2018-08-15,13.57
199,2018-08-14,14.17
200,2018-08-13,14.10
201,2018-08-10,14.41
202,2018-08-09,14.52
203,2018-08-08,14.50
204,2018-08-07,14.43
205,2018-08-06,14.40
206,2018-08-03,14.50
207,2018-08-02,14.43
208,2018-08-01,14.48
209,2018-07-31,14.61
210,2018-07-30,14.58
211,2018-07-27,14.57
212,2018-07-26,14.49
213,2018-07-25,14.68
214,2018-07-24,14.58
215,2018-07-23,14.47
216,2018-07-20,14.59
217,2018-07-19,14.42
218,2018-07-18,14.63
219,2018-07-17,14.67
220,2018-07-16,14.85
221,2018-07-13,14.88
222,2018-07-12,15.00
223,2018-07-11,14.86
224,2018-07-10,15.12
225,2018-07-09,15.17
226,2018-07-06,15.08
227,2018-07-05,15.10
228,2018-07-03,15.03
229,2018-07-02,14.91
230,2018-06-29,15.15
231,2018-06-28,15.07
232,2018-06-27,15.12
233,2018-06-26,15.33
234,2018-06-25,15.37
235,2018-06-22,15.50
236,2018-06-21,15.36
237,2018-06-20,15.34
238,2018-06-19,15.36
239,2018-06-18,15.51
240,2018-06-15,15.60
241,2018-06-14,16.17
242,2018-06-13,16.08
243,2018-06-12,15.87
244,2018-06-11,15.94
245,2018-06-08,15.78
246,2018-06-07,15.72
247,2018-06-06,15.70
248,2018-06-05,15.52
249,2018-06-04,15.45
250,2018-06-01,15.44
251,2018-05-31,15.46
252,2018-05-30,15.55
253,2018-05-29,15.44
254,2018-05-25,15.53
255,2018-05-24,15.69
256,2018-05-23,15.50
257,2018-05-22,15.58
258,2018-05-21,15.54
259,2018-05-18,15.48
260,2018-05-17,15.47
261,2018-05-16,15.41
262,2018-05-15,15.33
263,2018-05-14,15.56
264,2018-05-11,15.70
265,2018-05-10,15.74
266,2018-05-09,15.53
267,2018-05-08,15.51
268,2018-05-07,15.52
269,2018-05-04,15.54
270,2018-05-03,15.46
271,2018-05-02,15.42
272,2018-05-01,15.24
273,2018-04-30,15.38
274,2018-04-27,15.57
275,2018-04-26,15.58
276,2018-04-25,15.61
277,2018-04-24,15.76
278,2018-04-23,15.67
279,2018-04-20,16.13
280,2018-04-19,16.26
281,2018-04-18,16.18
282,2018-04-17,15.80
283,2018-04-16,15.72
284,2018-04-13,15.68
285,2018-04-12,15.52
286,2018-04-11,15.69
287,2018-04-10,15.62
288,2018-04-09,15.56
289,2018-04-06,15.43
290,2018-04-05,15.45
291,2018-04-04,15.38
292,2018-04-03,15.46
293,2018-04-02,15.65
294,2018-03-29,15.41
295,2018-03-28,15.36
296,2018-03-27,15.57
297,2018-03-26,15.72
298,2018-03-23,15.58
299,2018-03-22,15.44
300,2018-03-21,15.65
301,2018-03-20,15.28
302,2018-03-19,15.39
303,2018-03-16,15.39
304,2018-03-15,15.45
305,2018-03-14,15.61
306,2018-03-13,15.61
307,2018-03-12,15.61
308,2018-03-09,15.63
309,2018-03-08,15.55
310,2018-03-07,15.53
311,2018-03-06,15.78
312,2018-03-05,15.49
313,2018-03-02,15.56
314,2018-03-01,15.54
315,2018-02-28,15.46
316,2018-02-27,15.48
317,2018-02-26,15.68
318,2018-02-23,15.59
319,2018-02-22,15.66
320,2018-02-21,15.54
321,2018-02-20,15.54
322,2018-02-16,15.73
323,2018-02-15,15.91
324,2018-02-14,15.91
325,2018-02-13,15.62
326,2018-02-12,15.57
327,2018-02-09,15.39
328,2018-02-08,15.46
329,2018-02-07,15.41
330,2018-02-06,15.65
331,2018-02-05,15.74
332,2018-02-02,15.66
333,2018-02-01,16.25
334,2018-01-31,16.35
335,2018-01-30,16.15
336,2018-01-29,16.21
337,2018-01-26,16.41
338,2018-01-25,16.31
339,2018-01-24,16.56
340,2018-01-23,16.08
341,2018-01-22,16.04
342,2018-01-19,16.05
343,2018-01-18,15.97
344,2018-01-17,16.06
345,2018-01-16,16.25
346,2018-01-12,16.27
347,2018-01-11,16.01
348,2018-01-10,16.02
349,2018-01-09,16.03
350,2018-01-08,16.15
351,2018-01-05,16.22
352,2018-01-04,16.23
353,2018-01-03,16.17
354,2018-01-02,16.21
355,2017-12-29,15.99
356,2017-12-28,15.88
357,2017-12-27,15.73
358,2017-12-26,15.59
359,2017-12-22,15.40
360,2017-12-21,15.22
361,2017-12-20,15.25
362,2017-12-19,15.22
363,2017-12-18,15.22
364,2017-12-15,15.15
365,2017-12-14,15.02
366,2017-12-13,15.15
367,2017-12-12,14.86
368,2017-12-11,14.85
369,2017-12-08,14.96
370,2017-12-07,14.87
371,2017-12-06,15.10
372,2017-12-05,15.23
373,2017-12-04,15.44
374,2017-12-01,15.53
375,2017-11-30,15.51
376,2017-11-29,15.64
377,2017-11-28,15.91
378,2017-11-27,16.10
379,2017-11-24,16.08
380,2017-11-22,16.17
381,2017-11-21,16.01
382,2017-11-20,15.98
383,2017-11-17,16.31
384,2017-11-16,16.12
385,2017-11-15,16.03
386,2017-11-14,16.08
387,2017-11-13,16.09
388,2017-11-10,15.95
389,2017-11-09,16.07
390,2017-11-08,16.06
391,2017-11-07,16.01
392,2017-11-06,16.27
393,2017-11-03,15.92
394,2017-11-02,16.17
395,2017-11-01,16.18
396,2017-10-31,15.79
397,2017-10-30,15.91
398,2017-10-27,15.91
399,2017-10-26,15.85
400,2017-10-25,16.01
401,2017-10-24,16.02
402,2017-10-23,16.14
403,2017-10-20,16.08
404,2017-10-19,16.27
405,2017-10-18,16.06
406,2017-10-17,16.09
407,2017-10-16,16.25
408,2017-10-13,16.41
409,2017-10-12,16.26
410,2017-10-11,16.25
411,2017-10-10,16.15
412,2017-10-09,16.02
413,2017-10-06,15.85
414,2017-10-05,15.69
415,2017-10-04,15.69
416,2017-10-03,15.71
417,2017-10-02,15.67
418,2017-09-29,15.74
419,2017-09-28,15.92
420,2017-09-27,15.83
421,2017-09-26,15.91
422,2017-09-25,16.21
423,2017-09-22,16.05
424,2017-09-21,16.03
425,2017-09-20,16.19
426,2017-09-19,16.36
427,2017-09-18,16.27
428,2017-09-15,16.62
429,2017-09-14,16.77
430,2017-09-13,16.76
431,2017-09-12,16.89
432,2017-09-11,16.77
433,2017-09-08,17.02
434,2017-09-07,17.10
435,2017-09-06,16.87
436,2017-09-05,16.91
437,2017-09-01,16.73
438,2017-08-31,16.65
439,2017-08-30,16.46
440,2017-08-29,16.42
441,2017-08-28,16.50
442,2017-08-25,16.11
443,2017-08-24,16.03
444,2017-08-23,16.15
445,2017-08-22,16.07
446,2017-08-21,16.07
447,2017-08-18,16.10
448,2017-08-17,16.12
449,2017-08-16,16.15
450,2017-08-15,15.74
451,2017-08-14,16.13
452,2017-08-11,16.17
453,2017-08-10,16.18
454,2017-08-09,15.98
455,2017-08-08,15.56
456,2017-08-07,15.33
457,2017-08-04,15.38
458,2017-08-03,15.72
459,2017-08-02,15.67
460,2017-08-01,15.79
461,2017-07-31,15.90
462,2017-07-28,15.81
463,2017-07-27,15.68
464,2017-07-26,15.75
465,2017-07-25,15.59
466,2017-07-24,15.58
467,2017-07-21,15.60
468,2017-07-20,15.42
469,2017-07-19,15.40
470,2017-07-18,15.38
471,2017-07-17,15.22
472,2017-07-14,15.08
473,2017-07-13,14.87
474,2017-07-12,15.05
475,2017-07-11,14.99
476,2017-07-10,14.83
477,2017-07-07,14.73
478,2017-07-06,15.15
479,2017-07-05,15.18
480,2017-07-03,15.30
481,2017-06-30,15.71
482,2017-06-29,15.73
483,2017-06-28,15.92
484,2017-06-27,15.79
485,2017-06-26,15.68
486,2017-06-23,15.79
487,2017-06-22,15.68
488,2017-06-21,15.54
489,2017-06-20,15.59
490,2017-06-19,15.61
491,2017-06-16,15.79
492,2017-06-15,15.88
493,2017-06-14,15.95
494,2017-06-13,15.95
495,2017-06-12,16.04
496,2017-06-09,16.28
497,2017-06-08,16.49
498,2017-06-07,16.65
499,2017-06-06,16.76
500,2017-06-05,16.63
501,2017-06-02,16.59
502,2017-06-01,16.38
503,2017-05-31,16.39
504,2017-05-30,16.47
505,2017-05-26,16.40
506,2017-05-25,16.23
507,2017-05-24,16.28
508,2017-05-23,16.15
509,2017-05-22,16.23
510,2017-05-19,15.94
511,2017-05-18,15.71
512,2017-05-17,16.00
513,2017-05-16,15.93
514,2017-05-15,15.75
515,2017-05-12,15.57
