,Date,NAV
1,2019-05-30,20.04
2,2019-05-29,19.70
3,2019-05-28,19.69
4,2019-05-24,19.31
5,2019-05-23,18.97
6,2019-05-22,19.04
7,2019-05-21,19.05
8,2019-05-20,19.02
9,2019-05-17,18.73
10,2019-05-16,18.95
11,2019-05-15,18.74
12,2019-05-14,18.73
13,2019-05-13,18.48
14,2019-05-10,18.19
15,2019-05-09,18.27
16,2019-05-08,18.58
17,2019-05-07,18.72
18,2019-05-06,18.68
19,2019-05-03,18.77
20,2019-05-02,18.89
21,2019-05-01,18.96
22,2019-04-30,18.92
23,2019-04-29,18.84
24,2019-04-26,19.16
25,2019-04-25,19.14
26,2019-04-24,19.12
27,2019-04-23,19.13
28,2019-04-22,19.20
29,2019-04-18,19.53
30,2019-04-17,19.27
31,2019-04-16,19.39
32,2019-04-15,19.61
33,2019-04-12,19.68
34,2019-04-11,19.58
35,2019-04-10,19.65
36,2019-04-09,19.60
37,2019-04-08,19.57
38,2019-04-05,19.83
39,2019-04-04,19.77
40,2019-04-03,19.59
41,2019-04-02,19.65
42,2019-04-01,19.60
43,2019-03-29,19.39
44,2019-03-28,19.72
45,2019-03-27,19.73
46,2019-03-26,19.83
47,2019-03-25,19.98
48,2019-03-22,19.94
49,2019-03-21,19.90
50,2019-03-20,19.87
51,2019-03-19,19.78
52,2019-03-18,19.82
53,2019-03-15,19.75
54,2019-03-14,19.43
55,2019-03-13,19.47
56,2019-03-12,19.52
57,2019-03-11,19.16
58,2019-03-08,19.28
59,2019-03-07,19.35
60,2019-03-06,19.53
61,2019-03-05,19.89
62,2019-03-04,19.81
63,2019-03-01,19.86
64,2019-02-28,20.04
65,2019-02-27,20.15
66,2019-02-26,20.14
67,2019-02-25,20.33
68,2019-02-22,20.62
69,2019-02-21,20.55
70,2019-02-20,20.35
71,2019-02-19,20.45
72,2019-02-15,20.49
73,2019-02-14,20.41
74,2019-02-13,20.62
75,2019-02-12,20.55
76,2019-02-11,20.42
77,2019-02-08,20.59
78,2019-02-07,20.60
79,2019-02-06,20.82
80,2019-02-05,20.76
81,2019-02-04,20.76
82,2019-02-01,20.74
83,2019-01-31,20.70
84,2019-01-30,20.74
85,2019-01-29,20.65
86,2019-01-28,20.72
87,2019-01-25,20.72
88,2019-01-24,20.86
89,2019-01-23,20.86
90,2019-01-22,20.89
91,2019-01-18,20.75
92,2019-01-17,20.75
93,2019-01-16,20.59
94,2019-01-15,20.59
95,2019-01-14,20.59
96,2019-01-11,20.70
97,2019-01-10,20.72
98,2019-01-09,20.24
99,2019-01-08,20.24
100,2019-01-07,20.24
101,2019-01-04,20.24
102,2019-01-03,20.24
103,2019-01-02,20.24
104,2018-12-31,20.53
105,2018-12-28,20.43
106,2018-12-27,20.17
107,2018-12-26,20.40
108,2018-12-24,20.40
109,2018-12-21,20.40
110,2018-12-20,20.45
111,2018-12-19,20.74
112,2018-12-18,20.74
113,2018-12-17,20.84
114,2018-12-14,20.82
115,2018-12-13,20.82
116,2018-12-12,20.46
117,2018-12-11,20.46
118,2018-12-10,20.46
119,2018-12-07,20.46
120,2018-12-06,20.46
121,2018-12-04,20.90
122,2018-12-03,20.90
123,2018-11-30,20.90
124,2018-11-29,20.90
125,2018-11-28,20.90
126,2018-11-27,20.90
127,2018-11-26,20.90
128,2018-11-23,20.90
129,2018-11-21,20.90
130,2018-11-20,20.90
131,2018-11-19,20.90
132,2018-11-16,20.90
