,Date,NAV
1,2019-05-30,29.86
2,2019-05-29,30.92
3,2019-05-28,31.01
4,2019-05-24,30.95
5,2019-05-23,30.48
6,2019-05-22,31.57
7,2019-05-21,32.13
8,2019-05-20,32.04
9,2019-05-17,32.34
10,2019-05-16,32.76
11,2019-05-15,32.01
12,2019-05-14,31.32
13,2019-05-13,31.01
14,2019-05-10,31.55
15,2019-05-09,31.24
16,2019-05-08,31.28
17,2019-05-07,30.79
18,2019-05-06,31.75
19,2019-05-03,32.10
20,2019-05-02,31.99
21,2019-05-01,32.70
22,2019-04-30,32.81
23,2019-04-29,32.22
24,2019-04-26,32.26
25,2019-04-25,32.85
26,2019-04-24,32.91
27,2019-04-23,33.00
28,2019-04-22,33.00
29,2019-04-18,32.24
30,2019-04-17,31.87
31,2019-04-16,31.74
32,2019-04-15,31.46
33,2019-04-12,31.75
34,2019-04-11,31.80
35,2019-04-10,32.21
36,2019-04-09,31.35
37,2019-04-08,31.16
38,2019-04-05,30.86
39,2019-04-04,30.29
40,2019-04-03,30.57
41,2019-04-02,30.17
42,2019-04-01,29.74
43,2019-03-29,29.38
44,2019-03-28,29.18
45,2019-03-27,29.30
46,2019-03-26,29.83
47,2019-03-25,29.55
48,2019-03-22,29.45
49,2019-03-21,29.72
50,2019-03-20,29.54
51,2019-03-19,29.38
52,2019-03-18,29.12
53,2019-03-15,28.70
54,2019-03-14,28.74
55,2019-03-13,29.07
56,2019-03-12,28.25
57,2019-03-11,28.39
58,2019-03-08,28.03
59,2019-03-07,27.93
60,2019-03-06,27.74
61,2019-03-05,27.43
62,2019-03-04,27.21
63,2019-03-01,26.86
64,2019-02-28,27.24
65,2019-02-27,27.25
66,2019-02-26,26.83
67,2019-02-25,26.47
68,2019-02-22,27.33
69,2019-02-21,27.41
70,2019-02-20,27.36
71,2019-02-19,27.00
72,2019-02-15,27.07
73,2019-02-14,26.20
74,2019-02-13,25.41
75,2019-02-12,24.81
76,2019-02-11,24.60
77,2019-02-08,25.00
78,2019-02-07,24.69
79,2019-02-06,25.20
80,2019-02-05,24.73
81,2019-02-04,24.96
82,2019-02-01,24.80
83,2019-01-31,24.05
84,2019-01-30,24.41
85,2019-01-29,23.72
86,2019-01-28,23.45
87,2019-01-25,24.33
88,2019-01-24,24.35
89,2019-01-23,24.31
90,2019-01-22,24.58
91,2019-01-18,25.30
92,2019-01-17,24.96
93,2019-01-16,24.73
94,2019-01-15,24.68
95,2019-01-14,23.94
96,2019-01-11,24.59
97,2019-01-10,24.93
98,2019-01-09,24.96
99,2019-01-08,23.81
100,2019-01-07,23.58
101,2019-01-04,23.70
102,2019-01-03,23.57
103,2019-01-02,23.21
104,2018-12-31,22.91
105,2018-12-28,22.59
106,2018-12-27,22.82
107,2018-12-26,23.35
108,2018-12-24,22.18
109,2018-12-21,22.69
110,2018-12-20,22.98
111,2018-12-19,23.68
112,2018-12-18,23.45
113,2018-12-17,24.41
114,2018-12-14,25.14
115,2018-12-13,25.96
116,2018-12-12,24.86
117,2018-12-11,25.14
118,2018-12-10,24.81
119,2018-12-07,25.81
120,2018-12-06,25.18
121,2018-12-04,25.11
122,2018-12-03,25.20
123,2018-11-30,24.47
124,2018-11-29,24.93
125,2018-11-28,24.05
126,2018-11-27,24.61
127,2018-11-26,24.86
128,2018-11-23,24.45
129,2018-11-21,26.03
130,2018-11-20,25.89
131,2018-11-19,27.39
132,2018-11-16,27.40
133,2018-11-15,26.97
134,2018-11-14,27.08
135,2018-11-13,26.68
136,2018-11-12,28.01
137,2018-11-09,28.08
138,2018-11-08,28.49
139,2018-11-07,28.51
140,2018-11-06,29.34
141,2018-11-05,29.15
142,2018-11-02,29.47
143,2018-11-01,29.82
144,2018-10-31,30.31
145,2018-10-30,31.22
146,2018-10-29,31.36
147,2018-10-26,31.49
148,2018-10-25,31.29
149,2018-10-24,31.15
150,2018-10-23,31.79
151,2018-10-22,33.12
152,2018-10-19,33.16
153,2018-10-18,32.80
154,2018-10-17,33.31
155,2018-10-16,34.23
156,2018-10-15,33.61
157,2018-10-12,33.75
158,2018-10-11,33.37
159,2018-10-10,34.92
160,2018-10-09,35.94
161,2018-10-08,36.11
162,2018-10-05,36.08
163,2018-10-04,36.40
164,2018-10-03,36.91
165,2018-10-02,36.71
166,2018-10-01,36.91
167,2018-09-28,36.14
168,2018-09-27,35.78
169,2018-09-26,35.35
170,2018-09-25,35.50
171,2018-09-24,35.40
172,2018-09-21,34.57
173,2018-09-20,34.56
174,2018-09-19,34.73
175,2018-09-18,34.45
176,2018-09-17,33.96
177,2018-09-14,33.90
178,2018-09-13,34.35
179,2018-09-12,34.99
180,2018-09-11,34.67
181,2018-09-10,33.73
182,2018-09-07,33.97
183,2018-09-06,33.30
184,2018-09-05,33.77
185,2018-09-04,34.17
186,2018-08-31,34.26
187,2018-08-30,34.48
188,2018-08-29,34.46
189,2018-08-28,33.95
190,2018-08-27,34.19
191,2018-08-24,33.95
192,2018-08-23,33.64
193,2018-08-22,33.75
194,2018-08-21,32.79
195,2018-08-20,32.82
196,2018-08-17,32.30
197,2018-08-16,32.46
198,2018-08-15,32.66
199,2018-08-14,33.27
200,2018-08-13,33.05
201,2018-08-10,33.31
202,2018-08-09,32.67
203,2018-08-08,33.00
204,2018-08-07,34.31
205,2018-08-06,33.73
206,2018-08-03,33.81
207,2018-08-02,33.73
208,2018-08-01,33.34
209,2018-07-31,33.96
210,2018-07-30,34.47
211,2018-07-27,34.54
212,2018-07-26,34.53
213,2018-07-25,34.12
214,2018-07-24,33.61
215,2018-07-23,33.56
216,2018-07-20,33.21
217,2018-07-19,33.04
218,2018-07-18,32.95
219,2018-07-17,32.49
220,2018-07-16,32.31
221,2018-07-13,33.76
222,2018-07-12,33.30
223,2018-07-11,33.33
224,2018-07-10,34.68
225,2018-07-09,34.61
226,2018-07-06,33.91
227,2018-07-05,34.30
228,2018-07-03,33.78
229,2018-07-02,33.83
230,2018-06-29,34.51
231,2018-06-28,33.90
232,2018-06-27,33.77
233,2018-06-26,33.07
234,2018-06-25,32.74
235,2018-06-22,33.03
236,2018-06-21,32.05
237,2018-06-20,32.30
238,2018-06-19,32.63
239,2018-06-18,32.80
240,2018-06-15,32.37
241,2018-06-14,33.44
242,2018-06-13,33.95
243,2018-06-12,33.36
244,2018-06-11,33.58
245,2018-06-08,33.80
246,2018-06-07,33.88
247,2018-06-06,33.22
248,2018-06-05,33.59
249,2018-06-04,33.91
250,2018-06-01,34.14
251,2018-05-31,34.53
252,2018-05-30,34.93
253,2018-05-29,34.16
254,2018-05-25,34.60
255,2018-05-24,35.58
256,2018-05-23,35.93
257,2018-05-22,36.03
258,2018-05-21,36.03
259,2018-05-18,35.60
260,2018-05-17,35.83
261,2018-05-16,35.92
262,2018-05-15,35.16
263,2018-05-14,35.16
264,2018-05-11,34.78
265,2018-05-10,34.91
266,2018-05-09,34.62
267,2018-05-08,33.87
268,2018-05-07,33.75
269,2018-05-04,33.70
270,2018-05-03,33.37
271,2018-05-02,33.05
272,2018-05-01,33.30
273,2018-04-30,33.90
274,2018-04-27,33.82
275,2018-04-26,33.75
276,2018-04-25,33.38
277,2018-04-24,33.40
278,2018-04-23,34.04
279,2018-04-20,33.36
280,2018-04-19,33.12
281,2018-04-18,33.13
282,2018-04-17,32.59
283,2018-04-16,32.64
284,2018-04-13,32.93
285,2018-04-12,32.82
286,2018-04-11,32.92
287,2018-04-10,32.59
288,2018-04-09,31.68
289,2018-04-06,31.09
290,2018-04-05,31.56
291,2018-04-04,31.48
292,2018-04-03,31.55
293,2018-04-02,31.45
294,2018-03-29,32.30
295,2018-03-28,32.31
296,2018-03-27,32.06
297,2018-03-26,32.20
298,2018-03-23,32.57
299,2018-03-22,32.19
300,2018-03-21,32.28
301,2018-03-20,31.54
302,2018-03-19,30.96
303,2018-03-16,31.20
304,2018-03-15,30.82
305,2018-03-14,30.84
306,2018-03-13,30.18
307,2018-03-12,30.42
308,2018-03-09,30.43
309,2018-03-08,30.11
310,2018-03-07,30.81
311,2018-03-06,30.96
312,2018-03-05,31.05
313,2018-03-02,30.58
314,2018-03-01,30.44
315,2018-02-28,30.89
316,2018-02-27,31.82
317,2018-02-26,32.15
318,2018-02-23,31.92
319,2018-02-22,31.43
320,2018-02-21,31.01
321,2018-02-20,30.96
322,2018-02-16,30.97
323,2018-02-15,30.75
324,2018-02-14,30.44
325,2018-02-13,29.92
326,2018-02-12,29.75
327,2018-02-09,30.26
328,2018-02-08,30.98
329,2018-02-07,31.34
330,2018-02-06,32.04
331,2018-02-05,32.56
332,2018-02-02,33.27
333,2018-02-01,33.73
334,2018-01-31,33.62
335,2018-01-30,33.08
336,2018-01-29,33.91
337,2018-01-26,34.14
338,2018-01-25,33.71
339,2018-01-24,34.07
340,2018-01-23,33.90
341,2018-01-22,33.44
342,2018-01-19,33.11
343,2018-01-18,33.42
344,2018-01-17,33.16
345,2018-01-16,32.80
346,2018-01-12,32.92
347,2018-01-11,32.73
348,2018-01-10,32.72
349,2018-01-09,32.70
350,2018-01-08,32.07
351,2018-01-05,31.93
352,2018-01-04,32.17
353,2018-01-03,32.04
354,2018-01-02,31.40
355,2017-12-29,31.85
356,2017-12-28,32.00
357,2017-12-27,31.93
358,2017-12-26,31.85
359,2017-12-22,31.31
