,Date,NAV
1,2019-05-30,21.92
2,2019-05-29,22.44
3,2019-05-28,22.12
4,2019-05-24,22.32
5,2019-05-23,22.18
6,2019-05-22,21.98
7,2019-05-21,22.67
8,2019-05-20,23.05
9,2019-05-17,22.75
10,2019-05-16,22.86
11,2019-05-15,22.56
12,2019-05-14,22.96
13,2019-05-13,22.71
14,2019-05-10,22.71
15,2019-05-09,22.42
16,2019-05-08,22.56
17,2019-05-07,22.00
18,2019-05-06,21.91
19,2019-05-03,22.19
20,2019-05-02,22.39
21,2019-05-01,22.62
22,2019-04-30,22.33
23,2019-04-29,22.47
24,2019-04-26,22.38
25,2019-04-25,21.96
26,2019-04-24,21.64
27,2019-04-23,21.65
28,2019-04-22,22.15
29,2019-04-18,21.94
30,2019-04-17,22.09
31,2019-04-16,22.66
32,2019-04-15,22.80
33,2019-04-12,23.35
34,2019-04-11,23.53
35,2019-04-10,23.74
36,2019-04-09,23.83
37,2019-04-08,23.85
38,2019-04-05,23.50
39,2019-04-04,23.25
40,2019-04-03,23.50
41,2019-04-02,23.67
42,2019-04-01,23.78
43,2019-03-29,23.48
44,2019-03-28,23.91
45,2019-03-27,23.97
46,2019-03-26,24.18
47,2019-03-25,24.39
48,2019-03-22,24.41
49,2019-03-21,24.86
50,2019-03-20,24.97
51,2019-03-19,25.16
52,2019-03-18,25.06
53,2019-03-15,24.64
54,2019-03-14,25.08
55,2019-03-13,24.88
56,2019-03-12,24.64
57,2019-03-11,24.48
58,2019-03-08,25.23
59,2019-03-07,25.27
60,2019-03-06,25.10
61,2019-03-05,25.43
62,2019-03-04,25.14
63,2019-03-01,25.08
64,2019-02-28,24.73
65,2019-02-27,24.73
66,2019-02-26,24.45
67,2019-02-25,24.77
68,2019-02-22,24.02
69,2019-02-21,24.01
70,2019-02-20,23.58
71,2019-02-19,23.71
72,2019-02-15,23.39
73,2019-02-14,22.99
74,2019-02-13,23.17
75,2019-02-12,23.81
76,2019-02-11,23.61
77,2019-02-08,23.27
78,2019-02-07,22.95
79,2019-02-06,23.87
80,2019-02-05,23.96
81,2019-02-04,23.79
82,2019-02-01,24.43
83,2019-01-31,25.28
84,2019-01-30,25.56
85,2019-01-29,25.85
86,2019-01-28,25.73
87,2019-01-25,27.40
88,2019-01-24,26.96
89,2019-01-23,26.31
90,2019-01-22,26.65
91,2019-01-18,28.41
92,2019-01-17,28.27
93,2019-01-16,28.22
94,2019-01-15,28.72
95,2019-01-14,29.75
96,2019-01-11,26.09
97,2019-01-10,24.75
98,2019-01-09,24.89
99,2019-01-08,24.74
100,2019-01-07,24.38
101,2019-01-04,25.09
102,2019-01-03,24.21
103,2019-01-02,24.49
104,2018-12-31,24.71
105,2018-12-28,27.40
106,2018-12-27,28.86
107,2018-12-26,28.23
108,2018-12-24,29.31
109,2018-12-21,30.25
110,2018-12-20,30.10
111,2018-12-19,30.14
112,2018-12-18,30.74
113,2018-12-17,28.71
114,2018-12-14,30.75
115,2018-12-13,33.44
116,2018-12-12,33.24
117,2018-12-11,35.33
118,2018-12-10,36.49
119,2018-12-07,36.52
120,2018-12-06,35.35
121,2018-12-04,36.32
122,2018-12-03,35.14
123,2018-11-30,37.32
124,2018-11-29,37.09
125,2018-11-28,37.74
126,2018-11-27,34.14
127,2018-11-26,34.56
128,2018-11-23,36.38
129,2018-11-21,36.30
130,2018-11-20,36.68
131,2018-11-19,37.20
132,2018-11-16,35.43
133,2018-11-15,31.80
134,2018-11-14,39.32
135,2018-11-13,33.07
136,2018-11-12,31.56
137,2018-11-09,30.24
138,2018-11-08,28.94
139,2018-11-07,28.68
140,2018-11-06,28.76
141,2018-11-05,28.93
142,2018-11-02,26.75
143,2018-11-01,26.40
144,2018-10-31,26.70
145,2018-10-30,26.06
146,2018-10-29,25.92
147,2018-10-26,26.36
148,2018-10-25,26.27
149,2018-10-24,26.38
150,2018-10-23,26.66
151,2018-10-22,26.05
152,2018-10-19,26.81
153,2018-10-18,26.62
154,2018-10-17,27.47
155,2018-10-16,26.80
156,2018-10-15,26.88
157,2018-10-12,26.06
158,2018-10-11,26.63
159,2018-10-10,26.98
160,2018-10-09,27.11
161,2018-10-08,27.07
162,2018-10-05,26.06
163,2018-10-04,26.32
164,2018-10-03,26.85
165,2018-10-02,26.11
166,2018-10-01,25.71
167,2018-09-28,24.83
168,2018-09-27,25.24
169,2018-09-26,24.63
170,2018-09-25,25.20
171,2018-09-24,25.08
172,2018-09-21,24.59
173,2018-09-20,24.37
174,2018-09-19,23.77
175,2018-09-18,23.84
176,2018-09-17,22.96
177,2018-09-14,22.69
178,2018-09-13,23.06
179,2018-09-12,23.21
180,2018-09-11,23.21
181,2018-09-10,23.02
182,2018-09-07,22.80
183,2018-09-06,22.81
184,2018-09-05,22.93
185,2018-09-04,23.11
186,2018-08-31,23.95
187,2018-08-30,23.65
188,2018-08-29,23.55
189,2018-08-28,23.35
190,2018-08-27,23.52
191,2018-08-24,23.88
192,2018-08-23,24.23
193,2018-08-22,24.18
194,2018-08-21,24.38
195,2018-08-20,24.15
196,2018-08-17,24.18
197,2018-08-16,23.86
198,2018-08-15,24.14
199,2018-08-14,24.22
200,2018-08-13,24.04
201,2018-08-10,24.13
202,2018-08-09,24.21
203,2018-08-08,24.13
204,2018-08-07,23.74
205,2018-08-06,23.43
206,2018-08-03,23.34
207,2018-08-02,23.08
208,2018-08-01,22.66
209,2018-07-31,22.81
210,2018-07-30,22.96
211,2018-07-27,22.81
