,Date,NAV
1,2019-05-30,36.97
2,2019-05-29,37.21
3,2019-05-28,37.37
4,2019-05-24,37.30
5,2019-05-23,36.98
6,2019-05-22,37.37
7,2019-05-21,37.78
8,2019-05-20,37.83
9,2019-05-17,37.66
10,2019-05-16,37.89
11,2019-05-15,37.58
12,2019-05-14,37.37
13,2019-05-13,36.93
14,2019-05-10,37.38
15,2019-05-09,37.30
16,2019-05-08,37.32
17,2019-05-07,37.42
18,2019-05-06,37.80
19,2019-05-03,37.89
20,2019-05-02,37.91
21,2019-05-01,38.09
22,2019-04-30,38.25
23,2019-04-29,38.26
24,2019-04-26,38.35
25,2019-04-25,38.52
26,2019-04-24,38.75
27,2019-04-23,38.94
28,2019-04-22,39.08
29,2019-04-18,39.16
30,2019-04-17,39.18
31,2019-04-16,39.27
32,2019-04-15,39.46
33,2019-04-12,39.59
34,2019-04-11,39.40
35,2019-04-10,39.51
36,2019-04-09,39.35
37,2019-04-08,39.44
38,2019-04-05,39.42
39,2019-04-04,39.39
40,2019-04-03,39.23
41,2019-04-02,39.09
42,2019-04-01,39.01
43,2019-03-29,38.73
44,2019-03-28,38.92
45,2019-03-27,39.07
46,2019-03-26,39.14
47,2019-03-25,39.14
48,2019-03-22,39.01
49,2019-03-21,39.20
50,2019-03-20,39.35
51,2019-03-19,39.15
52,2019-03-18,39.03
53,2019-03-15,38.94
54,2019-03-14,38.89
55,2019-03-13,38.92
56,2019-03-12,38.84
57,2019-03-11,38.56
58,2019-03-08,38.71
59,2019-03-07,38.69
60,2019-03-06,38.90
61,2019-03-05,39.08
62,2019-03-04,38.87
63,2019-03-01,38.99
64,2019-02-28,39.20
65,2019-02-27,39.41
66,2019-02-26,39.30
67,2019-02-25,39.23
68,2019-02-22,39.49
69,2019-02-21,39.31
70,2019-02-20,39.46
71,2019-02-19,39.28
72,2019-02-15,39.12
73,2019-02-14,38.57
74,2019-02-13,38.66
75,2019-02-12,38.57
76,2019-02-11,38.49
77,2019-02-08,38.63
78,2019-02-07,38.58
79,2019-02-06,38.79
80,2019-02-05,38.81
81,2019-02-04,38.85
82,2019-02-01,38.75
83,2019-01-31,38.69
84,2019-01-30,38.82
85,2019-01-29,38.65
86,2019-01-28,38.54
87,2019-01-25,38.76
88,2019-01-24,38.57
89,2019-01-23,38.56
90,2019-01-22,38.44
91,2019-01-18,38.73
92,2019-01-17,38.70
93,2019-01-16,38.48
94,2019-01-15,38.23
95,2019-01-14,38.28
96,2019-01-11,38.37
97,2019-01-10,38.32
98,2019-01-09,38.42
99,2019-01-08,38.09
100,2019-01-07,37.94
101,2019-01-04,37.73
102,2019-01-03,37.49
103,2019-01-02,37.42
104,2018-12-31,37.53
105,2018-12-28,37.58
106,2018-12-27,37.75
107,2018-12-26,37.96
108,2018-12-24,37.49
109,2018-12-21,37.57
110,2018-12-20,37.92
111,2018-12-19,38.06
112,2018-12-18,38.07
113,2018-12-17,38.33
114,2018-12-14,38.61
115,2018-12-13,39.00
116,2018-12-12,38.65
117,2018-12-11,38.64
118,2018-12-10,38.56
119,2018-12-07,38.97
120,2018-12-06,38.57
121,2018-12-04,38.83
122,2018-12-03,38.74
123,2018-11-30,38.26
124,2018-11-29,38.25
125,2018-11-28,38.14
126,2018-11-27,38.14
127,2018-11-26,38.44
128,2018-11-23,38.30
129,2018-11-21,39.11
130,2018-11-20,39.00
131,2018-11-19,39.91
132,2018-11-16,39.97
133,2018-11-15,39.62
134,2018-11-14,39.64
135,2018-11-13,39.40
136,2018-11-12,40.06
137,2018-11-09,40.20
138,2018-11-08,40.56
139,2018-11-07,40.91
140,2018-11-06,40.85
141,2018-11-05,40.90
142,2018-11-02,41.00
