,Date,NAV
1,2019-05-30,56.74
2,2019-05-29,55.61
3,2019-05-28,54.70
4,2019-05-24,57.33
5,2019-05-23,57.79
6,2019-05-22,55.91
7,2019-05-21,55.97
8,2019-05-20,56.30
9,2019-05-17,56.00
10,2019-05-16,57.51
11,2019-05-15,60.50
12,2019-05-14,60.46
13,2019-05-13,60.25
14,2019-05-10,60.17
15,2019-05-09,60.01
16,2019-05-08,61.05
17,2019-05-07,62.05
18,2019-05-06,61.96
19,2019-05-03,62.00
20,2019-05-02,58.60
21,2019-05-01,59.10
22,2019-04-30,62.76
23,2019-04-29,62.43
24,2019-04-26,64.30
25,2019-04-25,62.93
26,2019-04-24,62.80
27,2019-04-23,61.51
28,2019-04-22,63.83
29,2019-04-18,63.90
30,2019-04-17,63.50
31,2019-04-16,63.65
32,2019-04-15,63.47
33,2019-04-12,63.58
34,2019-04-11,63.22
35,2019-04-10,67.10
36,2019-04-09,67.06
37,2019-04-08,67.45
38,2019-04-05,65.47
39,2019-04-04,66.21
40,2019-04-03,65.76
41,2019-04-02,65.45
42,2019-04-01,65.32
43,2019-03-29,65.74
44,2019-03-28,64.31
45,2019-03-27,68.17
46,2019-03-26,70.31
47,2019-03-25,71.89
48,2019-03-22,70.23
49,2019-03-21,70.81
50,2019-03-20,71.45
51,2019-03-19,69.53
52,2019-03-18,69.13
53,2019-03-15,68.53
54,2019-03-14,67.20
55,2019-03-13,71.23
56,2019-03-12,70.71
57,2019-03-11,69.10
58,2019-03-08,69.60
59,2019-03-07,65.31
60,2019-03-06,66.21
61,2019-03-05,66.95
62,2019-03-04,66.15
63,2019-03-01,67.07
64,2019-02-28,73.56
65,2019-02-27,75.55
66,2019-02-26,78.34
67,2019-02-25,77.97
68,2019-02-22,78.67
69,2019-02-21,77.02
70,2019-02-20,81.13
71,2019-02-19,80.13
72,2019-02-15,76.93
73,2019-02-14,74.45
74,2019-02-13,73.66
75,2019-02-12,76.04
76,2019-02-11,76.00
77,2019-02-08,77.63
78,2019-02-07,76.67
79,2019-02-06,75.98
80,2019-02-05,78.45
81,2019-02-04,78.61
82,2019-02-01,79.54
83,2019-01-31,81.43
84,2019-01-30,81.36
85,2019-01-29,78.16
86,2019-01-28,77.13
87,2019-01-25,76.58
88,2019-01-24,70.92
89,2019-01-23,71.51
90,2019-01-22,71.25
91,2019-01-18,71.37
92,2019-01-17,74.24
93,2019-01-16,75.21
94,2019-01-15,74.94
95,2019-01-14,75.92
96,2019-01-11,75.35
97,2019-01-10,74.70
98,2019-01-09,77.50
99,2019-01-08,76.42
100,2019-01-07,76.33
101,2019-01-04,77.06
102,2019-01-03,77.69
103,2019-01-02,74.60
104,2018-12-31,74.10
105,2018-12-28,72.59
106,2018-12-27,70.77
107,2018-12-26,68.06
108,2018-12-24,64.74
109,2018-12-21,62.67
110,2018-12-20,64.65
111,2018-12-19,62.00
112,2018-12-18,62.92
113,2018-12-17,63.47
114,2018-12-14,62.23
115,2018-12-13,64.88
116,2018-12-12,64.62
117,2018-12-11,62.30
118,2018-12-10,61.76
119,2018-12-07,63.16
120,2018-12-06,61.03
121,2018-12-04,61.56
