,Date,NAV
1,2019-05-30,42.68
2,2019-05-29,43.26
3,2019-05-28,43.73
4,2019-05-24,42.43
5,2019-05-23,42.25
6,2019-05-22,43.18
7,2019-05-21,43.18
8,2019-05-20,43.02
9,2019-05-17,43.26
10,2019-05-16,42.42
11,2019-05-15,41.09
12,2019-05-14,41.09
13,2019-05-13,41.22
14,2019-05-10,41.20
15,2019-05-09,41.32
16,2019-05-08,40.79
17,2019-05-07,40.39
18,2019-05-06,40.41
19,2019-05-03,40.36
20,2019-05-02,42.08
21,2019-05-01,41.86
22,2019-04-30,40.21
23,2019-04-29,40.38
24,2019-04-26,39.66
25,2019-04-25,40.23
26,2019-04-24,40.18
27,2019-04-23,40.90
28,2019-04-22,39.83
29,2019-04-18,39.93
30,2019-04-17,40.06
31,2019-04-16,39.96
32,2019-04-15,39.99
33,2019-04-12,40.00
34,2019-04-11,40.16
35,2019-04-10,38.69
36,2019-04-09,38.76
37,2019-04-08,38.60
38,2019-04-05,39.38
39,2019-04-04,39.09
40,2019-04-03,39.26
41,2019-04-02,39.38
42,2019-04-01,39.38
43,2019-03-29,39.24
44,2019-03-28,39.83
45,2019-03-27,38.43
46,2019-03-26,37.62
47,2019-03-25,37.10
48,2019-03-22,37.71
49,2019-03-21,37.48
50,2019-03-20,37.25
51,2019-03-19,37.98
52,2019-03-18,38.10
53,2019-03-15,38.33
54,2019-03-14,38.84
55,2019-03-13,37.46
56,2019-03-12,37.59
57,2019-03-11,38.24
58,2019-03-08,38.00
59,2019-03-07,39.78
60,2019-03-06,39.42
61,2019-03-05,39.15
62,2019-03-04,39.38
63,2019-03-01,39.11
64,2019-02-28,36.78
65,2019-02-27,36.21
66,2019-02-26,35.30
67,2019-02-25,35.45
68,2019-02-22,35.28
69,2019-02-21,35.77
70,2019-02-20,34.61
71,2019-02-19,34.98
72,2019-02-15,35.92
73,2019-02-14,36.82
74,2019-02-13,37.07
75,2019-02-12,36.29
76,2019-02-11,36.25
77,2019-02-08,35.70
