,Date,NAV
1,2019-05-30,34.94
2,2019-05-29,35.10
3,2019-05-28,35.39
4,2019-05-24,35.28
5,2019-05-23,35.23
6,2019-05-22,35.57
7,2019-05-21,35.49
8,2019-05-20,35.39
9,2019-05-17,35.98
10,2019-05-16,36.60
11,2019-05-15,36.45
12,2019-05-14,36.25
13,2019-05-13,36.30
14,2019-05-10,37.40
15,2019-05-09,37.27
16,2019-05-08,37.56
17,2019-05-07,37.51
18,2019-05-06,38.39
19,2019-05-03,39.39
20,2019-05-02,39.17
21,2019-05-01,39.03
22,2019-04-30,39.27
23,2019-04-29,39.96
24,2019-04-26,39.63
25,2019-04-25,39.18
26,2019-04-24,39.21
27,2019-04-23,39.33
28,2019-04-22,38.84
29,2019-04-18,39.21
30,2019-04-17,39.34
31,2019-04-16,39.20
32,2019-04-15,39.01
33,2019-04-12,39.05
34,2019-04-11,38.60
35,2019-04-10,38.80
36,2019-04-09,38.59
37,2019-04-08,38.83
38,2019-04-05,38.95
39,2019-04-04,38.75
40,2019-04-03,38.75
41,2019-04-02,38.34
42,2019-04-01,37.80
43,2019-03-29,36.71
44,2019-03-28,36.32
45,2019-03-27,36.05
46,2019-03-26,36.18
47,2019-03-25,36.14
48,2019-03-22,36.25
49,2019-03-21,37.00
50,2019-03-20,36.52
51,2019-03-19,36.66
52,2019-03-18,36.38
53,2019-03-15,36.16
54,2019-03-14,35.66
55,2019-03-13,35.89
56,2019-03-12,36.07
57,2019-03-11,36.38
58,2019-03-08,36.08
59,2019-03-07,36.45
60,2019-03-06,37.38
61,2019-03-05,37.52
62,2019-03-04,37.52
63,2019-03-01,37.70
64,2019-02-28,37.68
65,2019-02-27,38.00
66,2019-02-26,38.26
67,2019-02-25,38.14
68,2019-02-22,38.29
69,2019-02-21,38.10
70,2019-02-20,37.68
71,2019-02-19,37.34
72,2019-02-15,36.94
73,2019-02-14,37.09
74,2019-02-13,37.50
75,2019-02-12,37.38
76,2019-02-11,37.40
77,2019-02-08,37.39
78,2019-02-07,37.48
79,2019-02-06,38.15
80,2019-02-05,38.25
81,2019-02-04,37.93
82,2019-02-01,37.85
83,2019-01-31,37.63
84,2019-01-30,37.05
85,2019-01-29,36.45
86,2019-01-28,36.39
87,2019-01-25,36.67
88,2019-01-24,36.10
89,2019-01-23,36.07
90,2019-01-22,35.73
91,2019-01-18,36.40
92,2019-01-17,35.77
93,2019-01-16,35.73
94,2019-01-15,35.22
95,2019-01-14,35.17
96,2019-01-11,35.76
97,2019-01-10,35.84
98,2019-01-09,35.74
99,2019-01-08,34.89
100,2019-01-07,34.51
101,2019-01-04,34.18
102,2019-01-03,33.02
103,2019-01-02,33.47
104,2018-12-31,33.03
105,2018-12-28,32.90
106,2018-12-27,32.38
107,2018-12-26,32.62
108,2018-12-24,31.53
109,2018-12-21,32.10
110,2018-12-20,32.56
111,2018-12-19,33.24
112,2018-12-18,33.90
113,2018-12-17,33.98
114,2018-12-14,34.52
115,2018-12-13,34.75
116,2018-12-12,34.79
117,2018-12-11,34.19
118,2018-12-10,34.08
119,2018-12-07,34.28
120,2018-12-06,35.15
121,2018-12-04,35.66
122,2018-12-03,36.76
123,2018-11-30,35.25
124,2018-11-29,35.44
125,2018-11-28,35.96
126,2018-11-27,35.36
127,2018-11-26,35.51
128,2018-11-23,34.38
129,2018-11-21,34.43
130,2018-11-20,33.44
131,2018-11-19,34.41
132,2018-11-16,35.01
133,2018-11-15,34.72
134,2018-11-14,34.14
135,2018-11-13,33.77
136,2018-11-12,33.30
137,2018-11-09,33.96
138,2018-11-08,35.00
139,2018-11-07,36.07
140,2018-11-06,35.56
141,2018-11-05,35.78
142,2018-11-02,36.35
143,2018-11-01,35.98
144,2018-10-31,34.32
145,2018-10-30,33.24
146,2018-10-29,33.14
147,2018-10-26,33.74
148,2018-10-25,34.25
149,2018-10-24,33.85
150,2018-10-23,34.93
151,2018-10-22,36.19
152,2018-10-19,36.29
153,2018-10-18,36.41
154,2018-10-17,36.79
155,2018-10-16,36.65
156,2018-10-15,35.86
157,2018-10-12,35.97
158,2018-10-11,35.44
159,2018-10-10,35.69
160,2018-10-09,36.52
161,2018-10-08,36.36
162,2018-10-05,37.10
163,2018-10-04,37.62
164,2018-10-03,38.18
165,2018-10-02,37.72
166,2018-10-01,38.32
167,2018-09-28,38.39
168,2018-09-27,38.61
169,2018-09-26,39.05
170,2018-09-25,39.14
171,2018-09-24,39.11
172,2018-09-21,39.66
173,2018-09-20,39.56
174,2018-09-19,39.41
175,2018-09-18,39.01
176,2018-09-17,38.65
177,2018-09-14,38.72
178,2018-09-13,38.60
179,2018-09-12,37.95
180,2018-09-11,38.06
181,2018-09-10,38.43
182,2018-09-07,38.47
183,2018-09-06,39.07
184,2018-09-05,40.22
185,2018-09-04,40.64
186,2018-08-31,41.35
187,2018-08-30,41.44
188,2018-08-29,41.99
189,2018-08-28,41.78
190,2018-08-27,41.94
191,2018-08-24,41.29
192,2018-08-23,40.94
193,2018-08-22,41.37
194,2018-08-21,41.17
195,2018-08-20,40.81
196,2018-08-17,40.48
197,2018-08-16,40.09
198,2018-08-15,39.90
199,2018-08-14,41.07
200,2018-08-13,41.27
