,Date,NAV
1,2019-05-30,14.55
2,2019-05-29,14.67
3,2019-05-28,14.71
4,2019-05-24,14.48
5,2019-05-23,14.51
6,2019-05-22,14.88
7,2019-05-21,15.10
8,2019-05-20,14.85
9,2019-05-17,15.37
10,2019-05-16,15.80
11,2019-05-15,15.83
12,2019-05-14,15.61
13,2019-05-13,15.22
14,2019-05-10,16.03
15,2019-05-09,15.93
16,2019-05-08,16.19
17,2019-05-07,16.19
18,2019-05-06,16.71
19,2019-05-03,17.40
20,2019-05-02,17.13
21,2019-05-01,17.15
22,2019-04-30,17.19
23,2019-04-29,17.10
24,2019-04-26,17.11
25,2019-04-25,16.99
26,2019-04-24,17.13
27,2019-04-23,17.42
28,2019-04-22,17.38
29,2019-04-18,17.49
30,2019-04-17,17.43
31,2019-04-16,17.04
32,2019-04-15,17.03
33,2019-04-12,17.33
34,2019-04-11,17.16
35,2019-04-10,17.33
36,2019-04-09,17.28
37,2019-04-08,17.27
38,2019-04-05,17.32
39,2019-04-04,17.08
40,2019-04-03,17.04
41,2019-04-02,16.84
42,2019-04-01,17.00
43,2019-03-29,16.67
44,2019-03-28,16.28
45,2019-03-27,16.23
46,2019-03-26,16.28
47,2019-03-25,16.15
48,2019-03-22,16.02
49,2019-03-21,16.27
50,2019-03-20,16.18
51,2019-03-19,16.35
52,2019-03-18,16.33
53,2019-03-15,16.03
54,2019-03-14,15.70
55,2019-03-13,15.92
56,2019-03-12,16.08
57,2019-03-11,16.07
58,2019-03-08,15.69
59,2019-03-07,16.01
60,2019-03-06,16.55
61,2019-03-05,16.75
62,2019-03-04,16.40
63,2019-03-01,16.29
64,2019-02-28,16.08
65,2019-02-27,16.03
66,2019-02-26,16.25
67,2019-02-25,16.29
68,2019-02-22,15.88
69,2019-02-21,15.54
70,2019-02-20,15.55
71,2019-02-19,15.39
72,2019-02-15,15.24
73,2019-02-14,15.49
74,2019-02-13,15.50
75,2019-02-12,15.28
76,2019-02-11,15.07
77,2019-02-08,14.85
78,2019-02-07,14.85
79,2019-02-06,15.12
80,2019-02-05,15.24
81,2019-02-04,14.91
82,2019-02-01,14.87
83,2019-01-31,14.79
84,2019-01-30,14.54
85,2019-01-29,14.36
86,2019-01-28,14.43
87,2019-01-25,14.61
88,2019-01-24,14.20
89,2019-01-23,14.01
90,2019-01-22,13.89
91,2019-01-18,14.21
92,2019-01-17,13.90
93,2019-01-16,13.84
94,2019-01-15,13.63
95,2019-01-14,13.42
96,2019-01-11,13.57
97,2019-01-10,13.66
98,2019-01-09,13.65
99,2019-01-08,13.14
100,2019-01-07,13.15
101,2019-01-04,13.10
102,2019-01-03,12.56
103,2019-01-02,12.94
104,2018-12-31,12.97
105,2018-12-28,13.08
106,2018-12-27,13.00
107,2018-12-26,13.08
108,2018-12-24,12.80
109,2018-12-21,12.82
110,2018-12-20,12.92
111,2018-12-19,12.91
112,2018-12-18,13.21
113,2018-12-17,13.27
114,2018-12-14,13.60
115,2018-12-13,13.78
116,2018-12-12,13.67
117,2018-12-11,13.44
118,2018-12-10,13.32
119,2018-12-07,13.45
120,2018-12-06,13.75
121,2018-12-04,14.06
122,2018-12-03,14.30
123,2018-11-30,13.79
124,2018-11-29,13.79
125,2018-11-28,13.96
126,2018-11-27,13.61
127,2018-11-26,13.70
128,2018-11-23,13.41
129,2018-11-21,13.57
130,2018-11-20,13.18
131,2018-11-19,13.49
132,2018-11-16,13.74
133,2018-11-15,13.84
134,2018-11-14,13.53
135,2018-11-13,13.38
136,2018-11-12,13.03
137,2018-11-09,13.18
138,2018-11-08,13.55
139,2018-11-07,14.14
140,2018-11-06,13.84
141,2018-11-05,13.92
142,2018-11-02,14.01
143,2018-11-01,13.79
144,2018-10-31,13.18
145,2018-10-30,12.71
146,2018-10-29,12.54
147,2018-10-26,12.91
148,2018-10-25,13.07
149,2018-10-24,12.74
150,2018-10-23,13.16
151,2018-10-22,13.54
152,2018-10-19,13.07
153,2018-10-18,12.99
154,2018-10-17,13.34
155,2018-10-16,13.48
156,2018-10-15,13.32
157,2018-10-12,13.58
158,2018-10-11,13.21
159,2018-10-10,13.24
160,2018-10-09,13.69
161,2018-10-08,13.85
162,2018-10-05,14.09
163,2018-10-04,14.22
164,2018-10-03,14.56
165,2018-10-02,14.58
166,2018-10-01,15.00
167,2018-09-28,15.03
168,2018-09-27,14.96
169,2018-09-26,15.06
170,2018-09-25,14.99
171,2018-09-24,14.96
172,2018-09-21,15.36
173,2018-09-20,15.04
174,2018-09-19,14.86
175,2018-09-18,14.41
176,2018-09-17,14.25
177,2018-09-14,14.43
178,2018-09-13,14.40
179,2018-09-12,14.16
180,2018-09-11,14.11
181,2018-09-10,14.34
182,2018-09-07,14.68
183,2018-09-06,14.73
184,2018-09-05,14.95
185,2018-09-04,15.34
186,2018-08-31,15.64
187,2018-08-30,15.61
188,2018-08-29,15.98
189,2018-08-28,15.76
190,2018-08-27,15.85
191,2018-08-24,15.40
192,2018-08-23,15.30
193,2018-08-22,15.57
194,2018-08-21,15.48
195,2018-08-20,15.25
196,2018-08-17,15.14
197,2018-08-16,15.01
198,2018-08-15,14.78
199,2018-08-14,15.27
200,2018-08-13,15.58
201,2018-08-10,15.76
202,2018-08-09,15.98
203,2018-08-08,15.70
204,2018-08-07,15.92
205,2018-08-06,15.65
206,2018-08-03,15.78
207,2018-08-02,16.06
208,2018-08-01,16.31
209,2018-07-31,16.45
210,2018-07-30,16.36
211,2018-07-27,16.54
212,2018-07-26,16.57
213,2018-07-25,17.00
214,2018-07-24,16.67
215,2018-07-23,16.45
216,2018-07-20,16.64
217,2018-07-19,16.60
218,2018-07-18,17.03
219,2018-07-17,16.93
220,2018-07-16,16.98
221,2018-07-13,17.17
222,2018-07-12,17.05
223,2018-07-11,16.82
224,2018-07-10,17.05
225,2018-07-09,17.33
226,2018-07-06,16.98
227,2018-07-05,16.69
228,2018-07-03,16.89
229,2018-07-02,17.07
230,2018-06-29,17.35
231,2018-06-28,17.20
232,2018-06-27,17.06
233,2018-06-26,17.56
234,2018-06-25,17.64
235,2018-06-22,18.16
236,2018-06-21,18.02
237,2018-06-20,18.38
238,2018-06-19,18.31
239,2018-06-18,18.74
240,2018-06-15,18.80
241,2018-06-14,18.95
242,2018-06-13,19.02
243,2018-06-12,19.38
244,2018-06-11,19.17
245,2018-06-08,19.21
246,2018-06-07,19.15
247,2018-06-06,19.30
248,2018-06-05,18.98
249,2018-06-04,18.94
250,2018-06-01,18.76
251,2018-05-31,18.65
252,2018-05-30,18.48
253,2018-05-29,18.40
254,2018-05-25,18.57
255,2018-05-24,18.58
256,2018-05-23,18.61
257,2018-05-22,18.54
258,2018-05-21,18.56
259,2018-05-18,18.23
260,2018-05-17,18.30
261,2018-05-16,18.47
262,2018-05-15,18.28
263,2018-05-14,18.58
264,2018-05-11,18.45
265,2018-05-10,18.40
266,2018-05-09,18.24
267,2018-05-08,18.22
268,2018-05-07,18.05
269,2018-05-04,17.91
270,2018-05-03,17.77
271,2018-05-02,17.78
272,2018-05-01,17.78
273,2018-04-30,17.73
274,2018-04-27,17.74
275,2018-04-26,17.74
276,2018-04-25,17.57
277,2018-04-24,17.83
278,2018-04-23,17.69
279,2018-04-20,17.79
280,2018-04-19,17.96
281,2018-04-18,17.91
282,2018-04-17,18.16
283,2018-04-16,18.13
284,2018-04-13,18.26
285,2018-04-12,18.57
286,2018-04-11,18.45
287,2018-04-10,18.52
288,2018-04-09,18.08
289,2018-04-06,17.83
290,2018-04-05,18.11
291,2018-04-04,17.92
292,2018-04-03,17.96
293,2018-04-02,17.80
294,2018-03-29,18.22
295,2018-03-28,17.86
296,2018-03-27,18.12
297,2018-03-26,18.46
298,2018-03-23,17.91
299,2018-03-22,18.36
300,2018-03-21,19.03
301,2018-03-20,19.15
302,2018-03-19,18.85
303,2018-03-16,19.04
304,2018-03-15,19.04
305,2018-03-14,18.95
306,2018-03-13,18.95
307,2018-03-12,19.42
308,2018-03-09,19.32
309,2018-03-08,18.78
310,2018-03-07,18.55
311,2018-03-06,18.47
312,2018-03-05,18.33
313,2018-03-02,18.42
314,2018-03-01,18.61
315,2018-02-28,18.87
316,2018-02-27,18.96
317,2018-02-26,19.37
318,2018-02-23,19.26
319,2018-02-22,18.99
320,2018-02-21,18.83
321,2018-02-20,18.72
322,2018-02-16,18.68
323,2018-02-15,18.70
324,2018-02-14,18.43
325,2018-02-13,17.95
326,2018-02-12,17.64
327,2018-02-09,17.23
328,2018-02-08,17.25
329,2018-02-07,17.82
330,2018-02-06,18.30
331,2018-02-05,17.99
332,2018-02-02,18.36
333,2018-02-01,18.80
334,2018-01-31,19.17
335,2018-01-30,18.98
336,2018-01-29,19.04
337,2018-01-26,19.35
338,2018-01-25,18.99
