,Date,NAV
1,2019-05-30,32.46
2,2019-05-29,32.26
3,2019-05-28,32.58
4,2019-05-24,32.75
5,2019-05-23,32.79
6,2019-05-22,33.27
7,2019-05-21,33.46
8,2019-05-20,33.32
9,2019-05-17,33.65
10,2019-05-16,33.84
11,2019-05-15,33.58
12,2019-05-14,33.19
13,2019-05-13,33.12
14,2019-05-10,34.34
15,2019-05-09,34.35
16,2019-05-08,34.44
17,2019-05-07,34.31
18,2019-05-06,35.03
19,2019-05-03,34.50
20,2019-05-02,34.13
21,2019-05-01,34.49
22,2019-04-30,34.65
23,2019-04-29,35.15
24,2019-04-26,34.86
25,2019-04-25,34.45
26,2019-04-24,34.66
27,2019-04-23,34.84
28,2019-04-22,34.23
29,2019-04-18,34.43
30,2019-04-17,34.55
31,2019-04-16,34.51
32,2019-04-15,34.46
33,2019-04-12,34.39
34,2019-04-11,34.09
35,2019-04-10,34.02
36,2019-04-09,33.62
37,2019-04-08,33.50
38,2019-04-05,33.42
39,2019-04-04,33.24
40,2019-04-03,33.14
41,2019-04-02,32.82
42,2019-04-01,32.78
43,2019-03-29,32.46
44,2019-03-28,32.38
45,2019-03-27,32.28
46,2019-03-26,32.48
47,2019-03-25,32.21
48,2019-03-22,32.11
49,2019-03-21,32.92
50,2019-03-20,32.66
51,2019-03-19,32.73
52,2019-03-18,32.77
53,2019-03-15,33.02
54,2019-03-14,33.01
55,2019-03-13,33.10
56,2019-03-12,33.22
57,2019-03-11,33.02
58,2019-03-08,32.65
59,2019-03-07,32.75
60,2019-03-06,33.26
61,2019-03-05,33.26
62,2019-03-04,33.07
63,2019-03-01,33.18
64,2019-02-28,32.66
65,2019-02-27,32.37
66,2019-02-26,32.31
67,2019-02-25,32.40
68,2019-02-22,32.55
69,2019-02-21,32.20
70,2019-02-20,32.38
71,2019-02-19,32.34
72,2019-02-15,32.34
73,2019-02-14,32.12
74,2019-02-13,31.95
75,2019-02-12,31.84
76,2019-02-11,31.57
77,2019-02-08,31.64
78,2019-02-07,31.56
79,2019-02-06,31.76
80,2019-02-05,32.20
81,2019-02-04,32.00
82,2019-02-01,31.73
83,2019-01-31,31.73
84,2019-01-30,31.17
85,2019-01-29,31.07
86,2019-01-28,31.24
87,2019-01-25,31.40
88,2019-01-24,30.85
89,2019-01-23,30.58
90,2019-01-22,30.51
91,2019-01-18,31.24
92,2019-01-17,31.02
93,2019-01-16,30.89
94,2019-01-15,30.93
95,2019-01-14,30.63
96,2019-01-11,30.58
97,2019-01-10,30.57
98,2019-01-09,30.45
99,2019-01-08,30.43
100,2019-01-07,29.82
101,2019-01-04,29.40
102,2019-01-03,28.42
103,2019-01-02,28.75
104,2018-12-31,28.42
105,2018-12-28,28.22
106,2018-12-27,28.18
107,2018-12-26,28.06
108,2018-12-24,26.83
109,2018-12-21,27.28
110,2018-12-20,28.30
111,2018-12-19,29.17
112,2018-12-18,29.58
113,2018-12-17,29.45
114,2018-12-14,30.18
115,2018-12-13,30.45
116,2018-12-12,30.78
117,2018-12-11,30.36
118,2018-12-10,30.26
119,2018-12-07,30.20
120,2018-12-06,30.59
121,2018-12-04,30.17
122,2018-12-03,31.07
123,2018-11-30,30.76
124,2018-11-29,30.84
125,2018-11-28,30.80
126,2018-11-27,30.08
127,2018-11-26,30.03
128,2018-11-23,29.63
129,2018-11-21,29.69
130,2018-11-20,29.15
131,2018-11-19,29.67
132,2018-11-16,30.77
133,2018-11-15,30.73
134,2018-11-14,30.70
135,2018-11-13,30.67
136,2018-11-12,30.67
137,2018-11-09,31.23
138,2018-11-08,31.40
139,2018-11-07,31.57
140,2018-11-06,31.47
141,2018-11-05,31.24
142,2018-11-02,31.13
143,2018-11-01,31.93
144,2018-10-31,30.84
145,2018-10-30,30.17
146,2018-10-29,29.52
147,2018-10-26,29.70
148,2018-10-25,30.45
149,2018-10-24,29.60
150,2018-10-23,31.26
151,2018-10-22,31.41
152,2018-10-19,31.16
153,2018-10-18,31.89
154,2018-10-17,31.63
155,2018-10-16,31.52
156,2018-10-15,30.78
157,2018-10-12,30.38
158,2018-10-11,30.11
159,2018-10-10,30.37
160,2018-10-09,31.68
161,2018-10-08,31.74
162,2018-10-05,31.92
163,2018-10-04,32.17
164,2018-10-03,32.69
165,2018-10-02,32.37
166,2018-10-01,32.52
167,2018-09-28,32.88
168,2018-09-27,32.92
169,2018-09-26,32.92
170,2018-09-25,32.61
171,2018-09-24,32.34
172,2018-09-21,32.47
173,2018-09-20,32.63
174,2018-09-19,32.26
175,2018-09-18,32.35
176,2018-09-17,32.00
177,2018-09-14,32.48
178,2018-09-13,32.47
179,2018-09-12,32.18
180,2018-09-11,31.94
181,2018-09-10,31.75
182,2018-09-07,31.69
183,2018-09-06,31.60
184,2018-09-05,31.82
185,2018-09-04,32.34
186,2018-08-31,32.44
187,2018-08-30,32.54
188,2018-08-29,32.70
189,2018-08-28,32.62
190,2018-08-27,32.58
191,2018-08-24,32.40
192,2018-08-23,32.09
193,2018-08-22,32.11
194,2018-08-21,32.08
195,2018-08-20,31.81
196,2018-08-17,31.64
197,2018-08-16,31.62
198,2018-08-15,31.62
199,2018-08-14,31.99
200,2018-08-13,31.73
201,2018-08-10,31.84
202,2018-08-09,32.11
203,2018-08-08,31.74
204,2018-08-07,31.37
205,2018-08-06,31.50
206,2018-08-03,31.23
207,2018-08-02,31.12
208,2018-08-01,31.10
209,2018-07-31,31.23
210,2018-07-30,30.90
211,2018-07-27,31.47
212,2018-07-26,32.36
213,2018-07-25,32.61
214,2018-07-24,32.04
215,2018-07-23,32.29
216,2018-07-20,32.38
217,2018-07-19,32.50
218,2018-07-18,32.66
219,2018-07-17,32.72
220,2018-07-16,32.90
221,2018-07-13,33.15
222,2018-07-12,33.28
223,2018-07-11,33.04
224,2018-07-10,33.07
225,2018-07-09,33.25
226,2018-07-06,32.95
227,2018-07-05,32.64
228,2018-07-03,32.20
229,2018-07-02,32.53
230,2018-06-29,32.33
231,2018-06-28,32.48
232,2018-06-27,32.23
233,2018-06-26,32.42
234,2018-06-25,32.44
235,2018-06-22,33.09
236,2018-06-21,33.07
237,2018-06-20,33.47
238,2018-06-19,32.90
239,2018-06-18,32.96
240,2018-06-15,32.83
241,2018-06-14,32.67
242,2018-06-13,32.10
243,2018-06-12,31.80
244,2018-06-11,31.65
245,2018-06-08,31.36
246,2018-06-07,31.16
247,2018-06-06,31.29
248,2018-06-05,31.07
249,2018-06-04,30.88
250,2018-06-01,30.64
251,2018-05-31,30.33
252,2018-05-30,30.42
253,2018-05-29,30.12
254,2018-05-25,30.39
255,2018-05-24,30.32
256,2018-05-23,30.39
257,2018-05-22,30.28
258,2018-05-21,30.53
259,2018-05-18,30.12
260,2018-05-17,29.96
261,2018-05-16,29.88
262,2018-05-15,29.73
263,2018-05-14,29.97
264,2018-05-11,29.82
265,2018-05-10,29.93
266,2018-05-09,29.48
267,2018-05-08,29.25
268,2018-05-07,29.28
269,2018-05-04,28.93
270,2018-05-03,28.48
271,2018-05-02,28.67
272,2018-05-01,28.63
273,2018-04-30,28.96
274,2018-04-27,28.88
275,2018-04-26,29.29
276,2018-04-25,29.05
277,2018-04-24,29.06
278,2018-04-23,29.56
279,2018-04-20,29.68
280,2018-04-19,30.04
281,2018-04-18,30.00
282,2018-04-17,29.97
283,2018-04-16,29.32
284,2018-04-13,29.14
285,2018-04-12,29.18
286,2018-04-11,29.12
287,2018-04-10,29.28
288,2018-04-09,28.81
289,2018-04-06,28.71
290,2018-04-05,29.12
291,2018-04-04,28.95
292,2018-04-03,28.61
293,2018-04-02,28.51
294,2018-03-29,29.12
295,2018-03-28,28.81
296,2018-03-27,29.06
297,2018-03-26,29.86
298,2018-03-23,29.21
299,2018-03-22,29.72
300,2018-03-21,30.43
301,2018-03-20,30.27
302,2018-03-19,30.50
303,2018-03-16,31.23
304,2018-03-15,31.20
305,2018-03-14,31.36
306,2018-03-13,31.06
307,2018-03-12,31.49
308,2018-03-09,31.42
309,2018-03-08,30.97
310,2018-03-07,31.05
311,2018-03-06,31.01
312,2018-03-05,30.79
313,2018-03-02,30.40
314,2018-03-01,29.88
315,2018-02-28,30.40
316,2018-02-27,30.53
317,2018-02-26,30.99
318,2018-02-23,30.69
319,2018-02-22,30.30
320,2018-02-21,30.49
321,2018-02-20,30.44
322,2018-02-16,30.56
323,2018-02-15,30.57
324,2018-02-14,30.46
325,2018-02-13,29.87
326,2018-02-12,29.56
327,2018-02-09,29.26
328,2018-02-08,29.07
329,2018-02-07,29.40
330,2018-02-06,29.46
331,2018-02-05,29.10
332,2018-02-02,30.02
333,2018-02-01,30.46
334,2018-01-31,30.26
335,2018-01-30,30.46
336,2018-01-29,30.60
337,2018-01-26,30.67
338,2018-01-25,30.23
339,2018-01-24,30.13
340,2018-01-23,30.13
341,2018-01-22,29.85
342,2018-01-19,29.51
343,2018-01-18,29.32
344,2018-01-17,29.27
345,2018-01-16,28.94
346,2018-01-12,29.24
347,2018-01-11,29.01
348,2018-01-10,28.67
349,2018-01-09,28.64
350,2018-01-08,28.66
351,2018-01-05,28.63
352,2018-01-04,28.38
353,2018-01-03,28.37
354,2018-01-02,28.28
355,2017-12-29,27.87
356,2017-12-28,28.00
357,2017-12-27,28.01
358,2017-12-26,28.12
359,2017-12-22,28.22
360,2017-12-21,28.34
361,2017-12-20,28.16
362,2017-12-19,28.23
363,2017-12-18,28.30
364,2017-12-15,27.92
365,2017-12-14,27.76
366,2017-12-13,27.62
367,2017-12-12,27.57
368,2017-12-11,27.75
369,2017-12-08,27.59
370,2017-12-07,27.62
371,2017-12-06,27.55
372,2017-12-05,27.64
373,2017-12-04,27.68
374,2017-12-01,27.52
375,2017-11-30,27.45
376,2017-11-29,27.61
377,2017-11-28,27.78
378,2017-11-27,27.57
379,2017-11-24,27.61
380,2017-11-22,27.61
381,2017-11-21,27.60
382,2017-11-20,27.37
383,2017-11-17,27.47
384,2017-11-16,27.24
385,2017-11-15,26.84
386,2017-11-14,26.88
387,2017-11-13,26.97
388,2017-11-10,26.99
389,2017-11-09,26.97
390,2017-11-08,26.81
391,2017-11-07,26.94
392,2017-11-06,27.07
393,2017-11-03,26.76
394,2017-11-02,26.76
395,2017-11-01,27.02
396,2017-10-31,26.91
397,2017-10-30,26.94
398,2017-10-27,27.06
399,2017-10-26,27.05
400,2017-10-25,27.01
401,2017-10-24,27.20
402,2017-10-23,27.32
403,2017-10-20,27.66
404,2017-10-19,27.54
405,2017-10-18,27.65
406,2017-10-17,27.55
407,2017-10-16,27.57
408,2017-10-13,27.53
409,2017-10-12,27.40
410,2017-10-11,27.80
411,2017-10-10,27.79
412,2017-10-09,27.81
413,2017-10-06,28.06
414,2017-10-05,28.19
415,2017-10-04,28.06
416,2017-10-03,27.82
417,2017-10-02,27.61
418,2017-09-29,27.59
419,2017-09-28,27.41
420,2017-09-27,27.48
421,2017-09-26,27.19
422,2017-09-25,27.26
423,2017-09-22,27.29
424,2017-09-21,27.17
425,2017-09-20,27.23
426,2017-09-19,27.12
427,2017-09-18,27.07
428,2017-09-15,27.06
429,2017-09-14,26.93
430,2017-09-13,27.14
431,2017-09-12,27.14
432,2017-09-11,27.06
433,2017-09-08,26.97
434,2017-09-07,27.19
435,2017-09-06,27.54
436,2017-09-05,27.36
437,2017-09-01,27.69
438,2017-08-31,27.46
439,2017-08-30,27.40
440,2017-08-29,27.20
441,2017-08-28,27.19
442,2017-08-25,27.18
443,2017-08-24,27.10
444,2017-08-23,27.05
445,2017-08-22,27.31
446,2017-08-21,26.98
447,2017-08-18,26.98
448,2017-08-17,27.02
449,2017-08-16,27.40
450,2017-08-15,27.42
451,2017-08-14,27.48
452,2017-08-11,27.53
453,2017-08-10,27.30
454,2017-08-09,27.66
455,2017-08-08,27.79
456,2017-08-07,28.03
457,2017-08-04,28.01
458,2017-08-03,28.21
459,2017-08-02,28.35
460,2017-08-01,28.79
461,2017-07-31,28.69
462,2017-07-28,29.04
463,2017-07-27,28.96
464,2017-07-26,28.60
465,2017-07-25,28.48
466,2017-07-24,28.58
467,2017-07-21,28.57
468,2017-07-20,28.58
469,2017-07-19,28.43
470,2017-07-18,28.00
471,2017-07-17,27.98
472,2017-07-14,27.85
473,2017-07-13,27.65
474,2017-07-12,27.66
475,2017-07-11,27.58
476,2017-07-10,27.59
477,2017-07-07,27.45
478,2017-07-06,27.36
479,2017-07-05,27.52
480,2017-07-03,27.70
481,2017-06-30,27.57
482,2017-06-29,27.48
483,2017-06-28,27.82
484,2017-06-27,27.42
485,2017-06-26,27.61
486,2017-06-23,27.33
487,2017-06-22,27.06
488,2017-06-21,27.14
489,2017-06-20,27.01
490,2017-06-19,27.56
491,2017-06-16,27.36
492,2017-06-15,27.39
493,2017-06-14,27.34
494,2017-06-13,27.54
495,2017-06-12,27.42
496,2017-06-09,27.27
497,2017-06-08,27.27
498,2017-06-07,27.06
499,2017-06-06,26.91
500,2017-06-05,27.17
501,2017-06-02,27.20
502,2017-06-01,27.21
503,2017-05-31,26.78
504,2017-05-30,26.82
505,2017-05-26,26.82
506,2017-05-25,26.66
507,2017-05-24,26.58
508,2017-05-23,26.53
509,2017-05-22,26.52
510,2017-05-19,26.38
511,2017-05-18,26.13
512,2017-05-17,25.94
513,2017-05-16,26.50
514,2017-05-15,26.61
515,2017-05-12,26.64
516,2017-05-11,26.83
517,2017-05-10,26.84
518,2017-05-09,27.12
519,2017-05-08,27.07
520,2017-05-05,27.35
521,2017-05-04,27.08
522,2017-05-03,27.08
523,2017-05-02,27.54
524,2017-05-01,27.63
525,2017-04-28,27.67
526,2017-04-27,27.97
527,2017-04-26,27.87
