,Date,NAV
1,2019-05-30,98.80
2,2019-05-29,98.31
3,2019-05-28,99.83
4,2019-05-24,100.66
5,2019-05-23,100.66
6,2019-05-22,102.27
7,2019-05-21,103.30
8,2019-05-20,102.38
9,2019-05-17,102.84
10,2019-05-16,103.30
11,2019-05-15,102.75
12,2019-05-14,102.56
13,2019-05-13,101.36
14,2019-05-10,104.68
15,2019-05-09,105.13
16,2019-05-08,105.23
17,2019-05-07,105.14
18,2019-05-06,106.86
19,2019-05-03,107.85
20,2019-05-02,106.90
21,2019-05-01,106.85
22,2019-04-30,107.82
23,2019-04-29,108.37
24,2019-04-26,108.33
25,2019-04-25,107.79
26,2019-04-24,109.19
27,2019-04-23,108.53
28,2019-04-22,107.30
29,2019-04-18,108.65
30,2019-04-17,108.93
31,2019-04-16,108.86
32,2019-04-15,108.32
33,2019-04-12,108.18
34,2019-04-11,107.54
35,2019-04-10,107.46
36,2019-04-09,106.69
37,2019-04-08,108.08
38,2019-04-05,107.79
39,2019-04-04,107.44
40,2019-04-03,105.99
41,2019-04-02,105.23
42,2019-04-01,105.21
43,2019-03-29,103.99
44,2019-03-28,103.60
45,2019-03-27,102.86
46,2019-03-26,102.31
47,2019-03-25,101.90
48,2019-03-22,101.23
49,2019-03-21,103.17
50,2019-03-20,101.77
51,2019-03-19,102.60
52,2019-03-18,102.58
53,2019-03-15,101.58
54,2019-03-14,101.51
55,2019-03-13,102.05
56,2019-03-12,101.98
57,2019-03-11,101.82
58,2019-03-08,100.99
59,2019-03-07,101.52
60,2019-03-06,102.33
61,2019-03-05,102.91
62,2019-03-04,102.70
63,2019-03-01,103.40
64,2019-02-28,102.58
65,2019-02-27,103.08
66,2019-02-26,103.01
67,2019-02-25,102.77
68,2019-02-22,103.10
69,2019-02-21,102.60
70,2019-02-20,102.55
71,2019-02-19,102.35
72,2019-02-15,101.82
73,2019-02-14,101.77
74,2019-02-13,102.02
75,2019-02-12,101.52
76,2019-02-11,99.96
77,2019-02-08,99.32
78,2019-02-07,99.50
79,2019-02-06,100.15
80,2019-02-05,100.04
81,2019-02-04,98.99
82,2019-02-01,98.68
83,2019-01-31,98.68
84,2019-01-30,98.36
85,2019-01-29,97.43
86,2019-01-28,97.36
87,2019-01-25,97.57
88,2019-01-24,96.31
89,2019-01-23,95.75
90,2019-01-22,95.65
91,2019-01-18,97.15
92,2019-01-17,95.80
93,2019-01-16,94.75
94,2019-01-15,95.11
95,2019-01-14,94.91
96,2019-01-11,95.30
97,2019-01-10,94.92
98,2019-01-09,95.66
99,2019-01-08,94.61
100,2019-01-07,93.50
101,2019-01-04,91.15
102,2019-01-03,88.46
103,2019-01-02,90.14
104,2018-12-31,89.53
105,2018-12-28,88.79
106,2018-12-27,88.74
107,2018-12-26,88.61
108,2018-12-24,84.51
109,2018-12-21,85.72
110,2018-12-20,87.29
111,2018-12-19,89.32
112,2018-12-18,91.27
113,2018-12-17,90.53
114,2018-12-14,92.49
115,2018-12-13,93.61
116,2018-12-12,94.95
117,2018-12-11,94.06
118,2018-12-10,94.38
119,2018-12-07,94.38
120,2018-12-06,97.11
121,2018-12-04,98.07
122,2018-12-03,100.74
123,2018-11-30,99.37
124,2018-11-29,99.32
125,2018-11-28,99.22
126,2018-11-27,97.93
127,2018-11-26,98.19
128,2018-11-23,96.42
129,2018-11-21,96.51
130,2018-11-20,94.58
131,2018-11-19,96.87
132,2018-11-16,98.50
133,2018-11-15,98.89
134,2018-11-14,99.24
135,2018-11-13,100.14
136,2018-11-12,100.28
137,2018-11-09,100.71
138,2018-11-08,101.99
139,2018-11-07,101.61
140,2018-11-06,100.60
141,2018-11-05,100.38
142,2018-11-02,99.91
143,2018-11-01,99.35
144,2018-10-31,97.81
145,2018-10-30,97.02
146,2018-10-29,93.94
147,2018-10-26,94.62
148,2018-10-25,96.22
149,2018-10-24,93.67
150,2018-10-23,96.10
151,2018-10-22,95.93
152,2018-10-19,95.88
153,2018-10-18,97.25
154,2018-10-17,99.01
155,2018-10-16,100.01
156,2018-10-15,99.00
157,2018-10-12,97.49
158,2018-10-11,97.36
159,2018-10-10,99.50
160,2018-10-09,100.98
161,2018-10-08,100.90
162,2018-10-05,100.71
163,2018-10-04,101.58
164,2018-10-03,103.26
165,2018-10-02,103.28
166,2018-10-01,104.94
167,2018-09-28,104.94
168,2018-09-27,105.38
169,2018-09-26,105.70
170,2018-09-25,105.17
171,2018-09-24,105.41
172,2018-09-21,106.83
173,2018-09-20,106.86
