,Date,NAV
1,2019-05-30,169.27
2,2019-05-29,168.36
3,2019-05-28,170.03
4,2019-05-24,171.03
5,2019-05-23,170.62
6,2019-05-22,172.98
7,2019-05-21,174.82
8,2019-05-20,173.60
9,2019-05-17,174.79
10,2019-05-16,176.29
11,2019-05-15,174.86
12,2019-05-14,173.74
13,2019-05-13,171.99
14,2019-05-10,177.32
15,2019-05-09,177.44
16,2019-05-08,178.18
17,2019-05-07,178.13
18,2019-05-06,181.17
19,2019-05-03,182.18
20,2019-05-02,179.63
21,2019-05-01,179.50
22,2019-04-30,181.21
23,2019-04-29,181.94
24,2019-04-26,182.25
25,2019-04-25,180.78
26,2019-04-24,182.00
27,2019-04-23,181.76
28,2019-04-22,179.62
29,2019-04-18,180.45
30,2019-04-17,180.52
31,2019-04-16,180.28
32,2019-04-15,179.37
33,2019-04-12,178.96
34,2019-04-11,178.10
35,2019-04-10,177.85
36,2019-04-09,176.78
37,2019-04-08,178.36
38,2019-04-05,177.89
39,2019-04-04,176.66
40,2019-04-03,175.53
41,2019-04-02,174.20
42,2019-04-01,174.41
43,2019-03-29,172.41
44,2019-03-28,171.64
45,2019-03-27,170.30
46,2019-03-26,170.51
47,2019-03-25,169.72
48,2019-03-22,168.79
49,2019-03-21,172.47
50,2019-03-20,170.18
51,2019-03-19,169.99
52,2019-03-18,169.48
53,2019-03-15,167.86
54,2019-03-14,167.09
55,2019-03-13,167.78
56,2019-03-12,167.14
57,2019-03-11,166.92
58,2019-03-08,164.48
59,2019-03-07,165.36
60,2019-03-06,167.56
61,2019-03-05,168.68
62,2019-03-04,168.46
63,2019-03-01,169.08
64,2019-02-28,167.77
65,2019-02-27,168.59
66,2019-02-26,168.29
67,2019-02-25,168.20
68,2019-02-22,168.56
69,2019-02-21,167.47
70,2019-02-20,167.90
71,2019-02-19,167.62
72,2019-02-15,166.89
73,2019-02-14,165.84
74,2019-02-13,166.50
75,2019-02-12,165.65
76,2019-02-11,163.07
77,2019-02-08,162.54
78,2019-02-07,163.34
79,2019-02-06,164.85
80,2019-02-05,165.62
81,2019-02-04,164.10
82,2019-02-01,163.06
83,2019-01-31,165.28
84,2019-01-30,163.69
85,2019-01-29,160.54
86,2019-01-28,161.84
87,2019-01-25,162.85
88,2019-01-24,160.98
89,2019-01-23,160.20
90,2019-01-22,160.06
91,2019-01-18,162.86
92,2019-01-17,161.00
93,2019-01-16,159.81
94,2019-01-15,159.90
95,2019-01-14,158.38
96,2019-01-11,159.51
97,2019-01-10,159.52
98,2019-01-09,159.80
99,2019-01-08,158.85
100,2019-01-07,157.02
101,2019-01-04,153.27
102,2019-01-03,148.07
103,2019-01-02,151.25
104,2018-12-31,150.14
105,2018-12-28,148.69
106,2018-12-27,148.16
107,2018-12-26,147.77
108,2018-12-24,139.24
109,2018-12-21,142.03
110,2018-12-20,145.91
111,2018-12-19,149.17
112,2018-12-18,152.27
113,2018-12-17,151.06
114,2018-12-14,155.25
115,2018-12-13,158.09
116,2018-12-12,159.21
117,2018-12-11,157.56
118,2018-12-10,157.67
119,2018-12-07,157.50
120,2018-12-06,162.59
121,2018-12-04,161.97
122,2018-12-03,168.37
123,2018-11-30,164.77
124,2018-11-29,163.82
125,2018-11-28,164.62
126,2018-11-27,159.72
127,2018-11-26,159.80
128,2018-11-23,156.02
129,2018-11-21,156.55
130,2018-11-20,154.90
131,2018-11-19,158.17
132,2018-11-16,162.15
133,2018-11-15,162.95
134,2018-11-14,162.93
135,2018-11-13,163.91
136,2018-11-12,163.84
137,2018-11-09,167.33
138,2018-11-08,169.90
139,2018-11-07,169.93
140,2018-11-06,165.67
141,2018-11-05,164.82
142,2018-11-02,165.08
143,2018-11-01,164.62
144,2018-10-31,161.02
145,2018-10-30,158.79
146,2018-10-29,156.34
147,2018-10-26,158.05
148,2018-10-25,162.73
149,2018-10-24,157.98
150,2018-10-23,163.23
151,2018-10-22,163.25
152,2018-10-19,162.52
153,2018-10-18,164.23
154,2018-10-17,167.67
155,2018-10-16,168.75
156,2018-10-15,165.03
157,2018-10-12,165.63
158,2018-10-11,162.42
159,2018-10-10,165.13
160,2018-10-09,171.08
161,2018-10-08,171.49
162,2018-10-05,171.56
163,2018-10-04,173.12
164,2018-10-03,175.99
165,2018-10-02,176.46
166,2018-10-01,179.09
167,2018-09-28,179.37
168,2018-09-27,179.92
169,2018-09-26,179.42
170,2018-09-25,179.02
171,2018-09-24,178.21
172,2018-09-21,179.19
173,2018-09-20,179.74
174,2018-09-19,178.75
175,2018-09-18,178.61
176,2018-09-17,176.97
177,2018-09-14,179.04
178,2018-09-13,179.19
179,2018-09-12,179.48
180,2018-09-11,179.34
181,2018-09-10,178.10
182,2018-09-07,177.07
183,2018-09-06,177.34
184,2018-09-05,178.39
185,2018-09-04,179.93
186,2018-08-31,179.26
187,2018-08-30,178.25
188,2018-08-29,179.60
189,2018-08-28,177.98
190,2018-08-27,177.62
191,2018-08-24,176.71
192,2018-08-23,176.52
193,2018-08-22,176.51
194,2018-08-21,176.44
195,2018-08-20,174.89
196,2018-08-17,173.66
197,2018-08-16,173.44
198,2018-08-15,172.57
199,2018-08-14,174.59
200,2018-08-13,172.80
201,2018-08-10,173.71
202,2018-08-09,174.80
203,2018-08-08,174.33
204,2018-08-07,173.78
205,2018-08-06,172.72
206,2018-08-03,171.66
207,2018-08-02,171.52
208,2018-08-01,169.65
209,2018-07-31,170.55
210,2018-07-30,169.77
211,2018-07-27,171.04
212,2018-07-26,171.77
213,2018-07-25,173.42
214,2018-07-24,172.03
215,2018-07-23,172.59
216,2018-07-20,172.97
217,2018-07-19,173.75
218,2018-07-18,174.23
219,2018-07-17,174.17
220,2018-07-16,173.04
