,Date,NAV
1,2019-05-30,44.49
2,2019-05-29,44.52
3,2019-05-28,45.32
4,2019-05-24,46.22
5,2019-05-23,46.38
6,2019-05-22,46.63
7,2019-05-21,46.63
8,2019-05-20,46.62
9,2019-05-17,46.93
10,2019-05-16,47.17
11,2019-05-15,46.93
12,2019-05-14,46.68
13,2019-05-13,46.41
14,2019-05-10,47.14
15,2019-05-09,46.93
16,2019-05-08,46.77
17,2019-05-07,46.65
18,2019-05-06,46.96
19,2019-05-03,46.82
20,2019-05-02,46.85
21,2019-05-01,47.20
22,2019-04-30,47.44
23,2019-04-29,46.98
24,2019-04-26,46.62
25,2019-04-25,46.36
26,2019-04-24,46.75
27,2019-04-23,46.64
28,2019-04-22,46.58
29,2019-04-18,46.75
30,2019-04-17,46.55
31,2019-04-16,46.47
32,2019-04-15,46.53
33,2019-04-12,46.36
34,2019-04-11,46.32
35,2019-04-10,46.08
36,2019-04-09,45.68
37,2019-04-08,45.89
38,2019-04-05,45.70
39,2019-04-04,45.38
40,2019-04-03,45.12
41,2019-04-02,45.27
42,2019-04-01,45.80
43,2019-03-29,45.80
44,2019-03-28,45.66
45,2019-03-27,45.28
46,2019-03-26,45.44
47,2019-03-25,45.25
48,2019-03-22,45.05
49,2019-03-21,45.10
50,2019-03-20,44.01
51,2019-03-19,44.35
52,2019-03-18,44.42
53,2019-03-15,44.39
54,2019-03-14,44.18
55,2019-03-13,44.21
56,2019-03-12,43.90
57,2019-03-11,43.99
58,2019-03-08,43.48
59,2019-03-07,43.61
60,2019-03-06,43.90
61,2019-03-05,44.13
62,2019-03-04,44.04
63,2019-03-01,44.27
64,2019-02-28,44.43
65,2019-02-27,44.24
66,2019-02-26,44.21
67,2019-02-25,44.24
68,2019-02-22,44.51
69,2019-02-21,45.53
70,2019-02-20,45.50
71,2019-02-19,45.51
72,2019-02-15,45.36
73,2019-02-14,44.85
74,2019-02-13,45.07
75,2019-02-12,44.97
76,2019-02-11,44.51
77,2019-02-08,44.23
78,2019-02-07,44.18
79,2019-02-06,44.80
80,2019-02-05,44.82
81,2019-02-04,45.02
82,2019-02-01,44.75
83,2019-01-31,44.84
84,2019-01-30,44.25
85,2019-01-29,44.17
86,2019-01-28,44.04
87,2019-01-25,43.88
88,2019-01-24,44.04
89,2019-01-23,44.90
90,2019-01-22,44.88
91,2019-01-18,45.30
92,2019-01-17,44.60
93,2019-01-16,44.31
94,2019-01-15,44.37
95,2019-01-14,43.98
96,2019-01-11,44.15
97,2019-01-10,44.08
98,2019-01-09,43.65
99,2019-01-08,43.62
100,2019-01-07,43.24
101,2019-01-04,42.79
102,2019-01-03,42.04
103,2019-01-02,41.87
104,2018-12-31,42.04
105,2018-12-28,41.79
106,2018-12-27,41.85
107,2018-12-26,41.65
108,2018-12-24,40.53
109,2018-12-21,41.63
110,2018-12-20,42.26
111,2018-12-19,43.02
112,2018-12-18,43.36
113,2018-12-17,43.72
114,2018-12-14,44.91
115,2018-12-13,45.49
116,2018-12-12,45.32
117,2018-12-11,45.04
118,2018-12-10,44.65
119,2018-12-07,44.89
120,2018-12-06,45.66
121,2018-12-04,45.86
122,2018-12-03,47.01
123,2018-11-30,46.65
124,2018-11-29,46.83
125,2018-11-28,46.65
126,2018-11-27,46.78
127,2018-11-26,46.65
128,2018-11-23,46.71
129,2018-11-21,46.52
130,2018-11-20,46.79
131,2018-11-19,47.13
132,2018-11-16,47.37
133,2018-11-15,47.07
134,2018-11-14,47.23
135,2018-11-13,47.46
136,2018-11-12,47.77
137,2018-11-09,47.65
138,2018-11-08,47.38
139,2018-11-07,47.61
140,2018-11-06,47.33
141,2018-11-05,46.76
142,2018-11-02,46.49
143,2018-11-01,47.35
144,2018-10-31,46.43
145,2018-10-30,46.84
146,2018-10-29,45.80
147,2018-10-26,45.24
148,2018-10-25,46.05
149,2018-10-24,46.25
150,2018-10-23,46.44
151,2018-10-22,46.42
152,2018-10-19,46.74
153,2018-10-18,46.15
154,2018-10-17,46.34
155,2018-10-16,46.32
156,2018-10-15,45.71
157,2018-10-12,45.23
158,2018-10-11,44.87
159,2018-10-10,45.80
160,2018-10-09,46.37
161,2018-10-08,46.93
162,2018-10-05,46.37
163,2018-10-04,46.13
164,2018-10-03,46.31
165,2018-10-02,46.51
166,2018-10-01,46.31
167,2018-09-28,46.56
168,2018-09-27,46.46
169,2018-09-26,46.76
170,2018-09-25,46.85
171,2018-09-24,47.28
172,2018-09-21,47.68
173,2018-09-20,47.67
174,2018-09-19,47.26
175,2018-09-18,47.55
176,2018-09-17,47.80
177,2018-09-14,47.76
178,2018-09-13,47.80
179,2018-09-12,48.08
180,2018-09-11,47.49
181,2018-09-10,47.46
182,2018-09-07,47.28
183,2018-09-06,47.52
184,2018-09-05,47.27
185,2018-09-04,46.94
186,2018-08-31,47.10
187,2018-08-30,46.86
188,2018-08-29,47.03
189,2018-08-28,46.95
190,2018-08-27,47.20
191,2018-08-24,47.32
