,Date,NAV
1,2019-05-30,117.02
2,2019-05-29,116.81
3,2019-05-28,117.81
4,2019-05-24,119.64
5,2019-05-23,120.08
6,2019-05-22,120.61
7,2019-05-21,120.65
8,2019-05-20,120.68
9,2019-05-17,121.56
10,2019-05-16,122.12
11,2019-05-15,121.36
12,2019-05-14,120.30
13,2019-05-13,119.53
14,2019-05-10,121.24
15,2019-05-09,120.32
16,2019-05-08,120.67
17,2019-05-07,120.90
18,2019-05-06,122.21
19,2019-05-03,122.90
20,2019-05-02,122.02
21,2019-05-01,122.09
22,2019-04-30,123.53
23,2019-04-29,122.53
24,2019-04-26,122.26
25,2019-04-25,120.70
26,2019-04-24,122.25
27,2019-04-23,122.05
28,2019-04-22,121.82
29,2019-04-18,122.30
30,2019-04-17,122.18
31,2019-04-16,121.55
32,2019-04-15,121.51
33,2019-04-12,121.24
34,2019-04-11,120.63
35,2019-04-10,120.48
36,2019-04-09,119.91
37,2019-04-08,120.28
38,2019-04-05,119.83
39,2019-04-04,119.60
40,2019-04-03,119.07
41,2019-04-02,119.44
42,2019-04-01,119.84
43,2019-03-29,119.45
44,2019-03-28,118.98
45,2019-03-27,118.10
46,2019-03-26,118.29
47,2019-03-25,117.27
48,2019-03-22,116.89
49,2019-03-21,118.19
50,2019-03-20,116.55
51,2019-03-19,117.27
52,2019-03-18,117.40
53,2019-03-15,117.18
54,2019-03-14,116.72
55,2019-03-13,117.09
56,2019-03-12,116.35
57,2019-03-11,116.56
58,2019-03-08,115.00
59,2019-03-07,115.25
60,2019-03-06,115.53
61,2019-03-05,115.83
62,2019-03-04,116.11
63,2019-03-01,116.40
64,2019-02-28,116.17
65,2019-02-27,116.00
66,2019-02-26,115.97
67,2019-02-25,115.92
68,2019-02-22,116.27
69,2019-02-21,116.43
70,2019-02-20,116.23
71,2019-02-19,116.06
72,2019-02-15,115.87
73,2019-02-14,115.05
74,2019-02-13,116.34
75,2019-02-12,116.04
76,2019-02-11,114.71
77,2019-02-08,114.40
78,2019-02-07,113.51
79,2019-02-06,114.11
80,2019-02-05,114.55
81,2019-02-04,114.20
82,2019-02-01,113.69
83,2019-01-31,113.88
84,2019-01-30,111.92
85,2019-01-29,110.77
86,2019-01-28,110.60
87,2019-01-25,110.40
88,2019-01-24,110.03
89,2019-01-23,110.69
90,2019-01-22,110.11
91,2019-01-18,111.52
92,2019-01-17,110.20
93,2019-01-16,109.37
94,2019-01-15,109.98
95,2019-01-14,109.13
96,2019-01-11,109.52
97,2019-01-10,109.27
98,2019-01-09,108.77
99,2019-01-08,109.08
100,2019-01-07,107.77
101,2019-01-04,107.32
102,2019-01-03,104.39
103,2019-01-02,105.72
104,2018-12-31,105.95
105,2018-12-28,105.79
106,2018-12-27,105.77
107,2018-12-26,105.02
108,2018-12-24,101.79
109,2018-12-21,104.88
110,2018-12-20,105.85
111,2018-12-19,107.32
112,2018-12-18,108.60
113,2018-12-17,109.53
114,2018-12-14,112.03
115,2018-12-13,113.47
116,2018-12-12,113.26
117,2018-12-11,113.17
118,2018-12-10,112.35
119,2018-12-07,112.69
120,2018-12-06,114.52
121,2018-12-04,114.69
122,2018-12-03,117.03
123,2018-11-30,116.59
124,2018-11-29,115.69
125,2018-11-28,115.74
126,2018-11-27,114.60
127,2018-11-26,114.45
128,2018-11-23,113.56
129,2018-11-21,113.62
130,2018-11-20,113.77
131,2018-11-19,115.19
132,2018-11-16,115.85
133,2018-11-15,115.72
134,2018-11-14,115.79
135,2018-11-13,116.22
136,2018-11-12,116.25
137,2018-11-09,117.27
138,2018-11-08,117.89
139,2018-11-07,118.19
140,2018-11-06,117.56
141,2018-11-05,117.05
142,2018-11-02,116.22
143,2018-11-01,116.52
144,2018-10-31,115.45
145,2018-10-30,115.64
146,2018-10-29,113.26
147,2018-10-26,112.66
148,2018-10-25,114.34
149,2018-10-24,113.22
150,2018-10-23,113.61
151,2018-10-22,113.13
152,2018-10-19,113.85
153,2018-10-18,112.54
154,2018-10-17,113.55
155,2018-10-16,113.63
156,2018-10-15,112.07
157,2018-10-12,111.52
158,2018-10-11,110.93
159,2018-10-10,113.20
160,2018-10-09,115.67
161,2018-10-08,116.47
162,2018-10-05,115.59
163,2018-10-04,115.81
164,2018-10-03,116.83
165,2018-10-02,117.75
166,2018-10-01,117.79
167,2018-09-28,117.60
168,2018-09-27,117.63
169,2018-09-26,117.78
170,2018-09-25,117.66
171,2018-09-24,118.53
172,2018-09-21,120.30
173,2018-09-20,120.21
174,2018-09-19,118.96
175,2018-09-18,118.98
176,2018-09-17,119.22
177,2018-09-14,119.18
178,2018-09-13,118.91
179,2018-09-12,118.74
180,2018-09-11,117.31
181,2018-09-10,117.46
182,2018-09-07,116.75
183,2018-09-06,117.33
184,2018-09-05,117.20
185,2018-09-04,116.28
186,2018-08-31,116.86
187,2018-08-30,116.99
188,2018-08-29,118.12
189,2018-08-28,118.04
190,2018-08-27,118.53
191,2018-08-24,117.96
192,2018-08-23,117.84
193,2018-08-22,118.28
194,2018-08-21,119.15
195,2018-08-20,119.40
196,2018-08-17,118.84
197,2018-08-16,118.36
198,2018-08-15,117.49
199,2018-08-14,117.71
200,2018-08-13,117.17
201,2018-08-10,117.76
202,2018-08-09,118.44
203,2018-08-08,118.61
204,2018-08-07,119.34
205,2018-08-06,119.48
206,2018-08-03,119.66
207,2018-08-02,118.41
208,2018-08-01,116.92
209,2018-07-31,118.13
210,2018-07-30,117.10
211,2018-07-27,117.58
212,2018-07-26,117.94
213,2018-07-25,117.85
214,2018-07-24,117.26
215,2018-07-23,117.62
216,2018-07-20,118.34
217,2018-07-19,118.13
218,2018-07-18,118.23
219,2018-07-17,118.83
220,2018-07-16,117.64
221,2018-07-13,118.22
222,2018-07-12,117.91
223,2018-07-11,117.91
224,2018-07-10,118.40
225,2018-07-09,117.25
226,2018-07-06,117.32
227,2018-07-05,116.96
228,2018-07-03,115.32
229,2018-07-02,115.78
230,2018-06-29,116.19
231,2018-06-28,115.90
232,2018-06-27,115.23
233,2018-06-26,115.98
234,2018-06-25,115.98
235,2018-06-22,116.27
236,2018-06-21,115.84
237,2018-06-20,116.49
238,2018-06-19,116.41
239,2018-06-18,116.67
240,2018-06-15,117.75
241,2018-06-14,116.57
242,2018-06-13,116.19
243,2018-06-12,116.77
244,2018-06-11,116.37
245,2018-06-08,115.48
246,2018-06-07,114.08
247,2018-06-06,113.63
248,2018-06-05,112.92
249,2018-06-04,113.05
250,2018-06-01,112.19
251,2018-05-31,111.65
252,2018-05-30,112.75
253,2018-05-29,111.57
254,2018-05-25,112.12
255,2018-05-24,111.91
256,2018-05-23,111.93
257,2018-05-22,111.44
258,2018-05-21,111.79
259,2018-05-18,111.30
260,2018-05-17,111.67
261,2018-05-16,111.09
262,2018-05-15,110.20
263,2018-05-14,110.74
264,2018-05-11,110.99
265,2018-05-10,111.21
266,2018-05-09,110.31
267,2018-05-08,109.88
268,2018-05-07,110.46
269,2018-05-04,110.51
270,2018-05-03,108.93
271,2018-05-02,109.18
272,2018-05-01,110.57
273,2018-04-30,111.26
274,2018-04-27,112.27
275,2018-04-26,111.84
276,2018-04-25,110.90
277,2018-04-24,111.08
278,2018-04-23,111.97
279,2018-04-20,111.88
280,2018-04-19,113.77
281,2018-04-18,117.17
282,2018-04-17,118.07
283,2018-04-16,117.74
284,2018-04-13,116.92
285,2018-04-12,116.69
286,2018-04-11,116.82
287,2018-04-10,117.21
288,2018-04-09,116.24
289,2018-04-06,116.39
290,2018-04-05,117.97
291,2018-04-04,117.12
292,2018-04-03,115.03
293,2018-04-02,113.12
294,2018-03-29,115.98
295,2018-03-28,114.69
296,2018-03-27,113.96
297,2018-03-26,114.37
298,2018-03-23,112.57
299,2018-03-22,114.21
300,2018-03-21,115.90
301,2018-03-20,116.74
302,2018-03-19,117.17
303,2018-03-16,118.20
304,2018-03-15,118.20
305,2018-03-14,118.87
306,2018-03-13,120.04
307,2018-03-12,120.33
308,2018-03-09,120.15
309,2018-03-08,119.44
310,2018-03-07,118.19
311,2018-03-06,118.91
312,2018-03-05,118.52
313,2018-03-02,117.60
314,2018-03-01,116.45
315,2018-02-28,117.23
316,2018-02-27,118.93
317,2018-02-26,120.57
318,2018-02-23,119.49
319,2018-02-22,118.36
320,2018-02-21,118.15
321,2018-02-20,119.09
322,2018-02-16,120.63
323,2018-02-15,120.72
324,2018-02-14,119.21
325,2018-02-13,118.73
326,2018-02-12,118.65
327,2018-02-09,117.04
328,2018-02-08,116.55
329,2018-02-07,119.86
330,2018-02-06,119.89
331,2018-02-05,117.95
332,2018-02-02,122.27
333,2018-02-01,124.59
334,2018-01-31,125.31
335,2018-01-30,125.11
336,2018-01-29,125.56
337,2018-01-26,126.48
338,2018-01-25,125.79
339,2018-01-24,126.77
340,2018-01-23,126.67
341,2018-01-22,126.68
342,2018-01-19,126.21
343,2018-01-18,124.57
344,2018-01-17,125.04
345,2018-01-16,123.82
346,2018-01-12,123.98
347,2018-01-11,123.88
348,2018-01-10,123.65
349,2018-01-09,124.32
350,2018-01-08,124.48
351,2018-01-05,123.93
352,2018-01-04,123.48
353,2018-01-03,122.87
354,2018-01-02,122.80
355,2017-12-29,122.98
356,2017-12-28,123.14
357,2017-12-27,123.07
358,2017-12-26,123.26
359,2017-12-22,123.13
360,2017-12-21,123.24
361,2017-12-20,123.09
362,2017-12-19,123.39
363,2017-12-18,123.31
364,2017-12-15,123.06
365,2017-12-14,121.93
366,2017-12-13,122.26
367,2017-12-12,121.64
368,2017-12-11,121.54
369,2017-12-08,121.44
370,2017-12-07,121.18
371,2017-12-06,121.64
372,2017-12-05,121.22
373,2017-12-04,121.56
374,2017-12-01,120.73
375,2017-11-30,120.51
376,2017-11-29,120.00
377,2017-11-28,119.72
378,2017-11-27,118.75
379,2017-11-24,118.70
380,2017-11-22,118.52
381,2017-11-21,118.63
382,2017-11-20,118.23
383,2017-11-17,118.02
384,2017-11-16,117.96
385,2017-11-15,117.00
386,2017-11-14,117.93
387,2017-11-13,117.54
388,2017-11-10,116.70
389,2017-11-09,116.01
390,2017-11-08,116.13
391,2017-11-07,115.01
392,2017-11-06,114.50
393,2017-11-03,115.19
394,2017-11-02,115.49
395,2017-11-01,116.55
396,2017-10-31,116.57
397,2017-10-30,115.79
398,2017-10-27,116.73
399,2017-10-26,117.31
400,2017-10-25,116.61
401,2017-10-24,117.27
402,2017-10-23,117.25
403,2017-10-20,117.61
404,2017-10-19,117.62
405,2017-10-18,118.30
406,2017-10-17,118.39
407,2017-10-16,118.82
408,2017-10-13,118.63
409,2017-10-12,118.33
410,2017-10-11,118.08
411,2017-10-10,117.94
412,2017-10-09,117.22
413,2017-10-06,117.62
414,2017-10-05,117.81
415,2017-10-04,117.59
416,2017-10-03,116.94
417,2017-10-02,116.70
418,2017-09-29,116.55
419,2017-09-28,116.48
420,2017-09-27,116.22
421,2017-09-26,116.86
422,2017-09-25,116.45
423,2017-09-22,116.14
424,2017-09-21,116.33
425,2017-09-20,117.16
426,2017-09-19,117.84
427,2017-09-18,118.12
428,2017-09-15,118.05
429,2017-09-14,117.84
430,2017-09-13,117.70
431,2017-09-12,117.77
432,2017-09-11,117.76
433,2017-09-08,116.74
434,2017-09-07,116.94
435,2017-09-06,116.84
436,2017-09-05,116.63
437,2017-09-01,116.96
438,2017-08-31,116.24
439,2017-08-30,115.91
440,2017-08-29,115.68
441,2017-08-28,115.59
442,2017-08-25,115.82
443,2017-08-24,115.59
444,2017-08-23,116.39
445,2017-08-22,116.72
446,2017-08-21,116.39
447,2017-08-18,116.12
448,2017-08-17,116.70
449,2017-08-16,118.19
450,2017-08-15,117.68
451,2017-08-14,117.51
452,2017-08-11,116.60
453,2017-08-10,116.38
454,2017-08-09,117.36
455,2017-08-08,117.36
456,2017-08-07,117.61
457,2017-08-04,116.95
458,2017-08-03,117.05
459,2017-08-02,116.74
460,2017-08-01,116.84
461,2017-07-31,117.21
462,2017-07-28,117.55
463,2017-07-27,118.64
464,2017-07-26,118.02
465,2017-07-25,118.12
466,2017-07-24,117.62
467,2017-07-21,118.13
468,2017-07-20,117.89
469,2017-07-19,117.95
470,2017-07-18,117.32
471,2017-07-17,117.24
472,2017-07-14,117.13
473,2017-07-13,116.37
474,2017-07-12,116.57
475,2017-07-11,115.84
476,2017-07-10,116.16
477,2017-07-07,116.33
478,2017-07-06,115.78
479,2017-07-05,116.77
480,2017-07-03,117.09
481,2017-06-30,117.10
