,Date,NAV
1,2019-05-30,51.52
2,2019-05-29,51.37
3,2019-05-28,51.68
4,2019-05-24,52.47
5,2019-05-23,52.44
6,2019-05-22,52.46
7,2019-05-21,52.30
8,2019-05-20,52.36
9,2019-05-17,52.61
10,2019-05-16,52.60
11,2019-05-15,52.35
12,2019-05-14,51.95
13,2019-05-13,51.74
14,2019-05-10,52.26
15,2019-05-09,51.88
16,2019-05-08,51.88
17,2019-05-07,51.87
18,2019-05-06,52.42
19,2019-05-03,52.46
20,2019-05-02,52.17
21,2019-05-01,52.17
22,2019-04-30,52.74
23,2019-04-29,52.20
24,2019-04-26,51.97
25,2019-04-25,51.64
26,2019-04-24,51.85
27,2019-04-23,51.87
28,2019-04-22,51.80
29,2019-04-18,51.86
30,2019-04-17,51.85
31,2019-04-16,51.78
32,2019-04-15,51.73
33,2019-04-12,51.57
34,2019-04-11,51.43
35,2019-04-10,51.46
36,2019-04-09,51.45
37,2019-04-08,51.52
38,2019-04-05,51.33
39,2019-04-04,51.30
40,2019-04-03,51.26
41,2019-04-02,51.36
42,2019-04-01,51.69
43,2019-03-29,51.68
44,2019-03-28,51.44
45,2019-03-27,51.34
46,2019-03-26,51.37
47,2019-03-25,50.92
48,2019-03-22,50.84
49,2019-03-21,51.48
50,2019-03-20,50.90
51,2019-03-19,50.88
52,2019-03-18,51.04
53,2019-03-15,50.82
54,2019-03-14,50.46
55,2019-03-13,50.50
56,2019-03-12,50.05
57,2019-03-11,50.17
58,2019-03-08,49.64
59,2019-03-07,49.54
60,2019-03-06,49.80
61,2019-03-05,49.67
62,2019-03-04,49.45
63,2019-03-01,49.65
64,2019-02-28,49.56
65,2019-02-27,49.43
66,2019-02-26,49.71
67,2019-02-25,49.64
68,2019-02-22,49.74
69,2019-02-21,49.86
70,2019-02-20,49.79
71,2019-02-19,49.70
72,2019-02-15,49.50
73,2019-02-14,49.04
74,2019-02-13,49.24
75,2019-02-12,49.16
76,2019-02-11,48.71
77,2019-02-08,48.68
78,2019-02-07,48.66
79,2019-02-06,48.70
80,2019-02-05,48.89
81,2019-02-04,48.61
82,2019-02-01,48.48
83,2019-01-31,48.53
84,2019-01-30,47.93
85,2019-01-29,47.39
86,2019-01-28,47.08
87,2019-01-25,47.10
88,2019-01-24,47.04
89,2019-01-23,47.49
90,2019-01-22,47.08
91,2019-01-18,47.54
92,2019-01-17,47.01
93,2019-01-16,46.67
94,2019-01-15,47.03
95,2019-01-14,46.74
96,2019-01-11,47.00
97,2019-01-10,46.90
98,2019-01-09,46.70
99,2019-01-08,46.71
100,2019-01-07,46.55
101,2019-01-04,46.70
102,2019-01-03,45.69
103,2019-01-02,45.82
104,2018-12-31,45.97
105,2018-12-28,45.90
106,2018-12-27,45.83
107,2018-12-26,45.63
108,2018-12-24,44.53
109,2018-12-21,45.57
110,2018-12-20,46.06
111,2018-12-19,46.57
112,2018-12-18,46.83
113,2018-12-17,47.16
114,2018-12-14,47.93
115,2018-12-13,48.84
116,2018-12-12,48.75
117,2018-12-11,48.55
118,2018-12-10,48.28
119,2018-12-07,48.42
120,2018-12-06,48.75
121,2018-12-04,48.79
122,2018-12-03,49.62
123,2018-11-30,49.62
124,2018-11-29,49.45
125,2018-11-28,49.48
126,2018-11-27,49.08
127,2018-11-26,48.77
128,2018-11-23,48.66
129,2018-11-21,48.57
130,2018-11-20,48.57
131,2018-11-19,49.25
132,2018-11-16,49.42
133,2018-11-15,49.22
134,2018-11-14,49.23
135,2018-11-13,49.46
136,2018-11-12,49.54
137,2018-11-09,50.16
138,2018-11-08,49.83
139,2018-11-07,50.15
140,2018-11-06,49.61
141,2018-11-05,49.37
142,2018-11-02,49.06
143,2018-11-01,49.10
144,2018-10-31,48.81
145,2018-10-30,49.00
146,2018-10-29,48.40
147,2018-10-26,48.39
148,2018-10-25,49.00
149,2018-10-24,48.78
150,2018-10-23,48.92
151,2018-10-22,48.90
152,2018-10-19,49.15
153,2018-10-18,48.06
154,2018-10-17,48.13
155,2018-10-16,48.34
156,2018-10-15,47.86
157,2018-10-12,47.60
158,2018-10-11,47.43
159,2018-10-10,48.37
160,2018-10-09,49.00
161,2018-10-08,49.11
162,2018-10-05,48.80
163,2018-10-04,48.81
164,2018-10-03,49.35
165,2018-10-02,49.57
166,2018-10-01,49.49
167,2018-09-28,49.50
168,2018-09-27,49.51
169,2018-09-26,49.60
170,2018-09-25,49.52
171,2018-09-24,49.54
172,2018-09-21,50.23
173,2018-09-20,50.26
174,2018-09-19,49.70
175,2018-09-18,49.85
176,2018-09-17,49.90
177,2018-09-14,49.77
178,2018-09-13,49.83
179,2018-09-12,49.88
180,2018-09-11,49.29
181,2018-09-10,49.53
182,2018-09-07,49.18
183,2018-09-06,49.35
184,2018-09-05,49.34
185,2018-09-04,49.19
186,2018-08-31,49.44
187,2018-08-30,49.57
188,2018-08-29,49.81
189,2018-08-28,49.79
190,2018-08-27,49.95
191,2018-08-24,49.78
192,2018-08-23,49.70
193,2018-08-22,50.01
194,2018-08-21,50.09
195,2018-08-20,50.31
196,2018-08-17,50.23
197,2018-08-16,49.77
198,2018-08-15,49.26
199,2018-08-14,49.45
200,2018-08-13,49.03
201,2018-08-10,49.17
202,2018-08-09,49.67
203,2018-08-08,49.74
204,2018-08-07,49.99
205,2018-08-06,50.04
206,2018-08-03,50.15
207,2018-08-02,49.80
208,2018-08-01,49.56
209,2018-07-31,49.84
210,2018-07-30,49.80
211,2018-07-27,49.74
212,2018-07-26,49.71
213,2018-07-25,49.50
214,2018-07-24,49.25
215,2018-07-23,49.28
216,2018-07-20,49.62
217,2018-07-19,49.07
218,2018-07-18,49.02
219,2018-07-17,49.26
220,2018-07-16,49.10
221,2018-07-13,49.14
222,2018-07-12,48.95
223,2018-07-11,48.83
224,2018-07-10,49.20
225,2018-07-09,48.87
226,2018-07-06,49.00
227,2018-07-05,48.82
228,2018-07-03,48.25
229,2018-07-02,48.19
230,2018-06-29,48.28
231,2018-06-28,48.17
232,2018-06-27,47.83
233,2018-06-26,48.08
234,2018-06-25,48.17
235,2018-06-22,48.27
236,2018-06-21,47.71
237,2018-06-20,47.69
238,2018-06-19,47.60
239,2018-06-18,47.52
240,2018-06-15,48.10
241,2018-06-14,47.77
242,2018-06-13,47.92
243,2018-06-12,47.87
244,2018-06-11,47.85
245,2018-06-08,47.45
246,2018-06-07,46.95
247,2018-06-06,46.99
248,2018-06-05,47.04
249,2018-06-04,47.18
250,2018-06-01,46.86
251,2018-05-31,46.94
252,2018-05-30,47.44
253,2018-05-29,46.88
254,2018-05-25,47.17
255,2018-05-24,47.17
256,2018-05-23,47.10
257,2018-05-22,46.97
258,2018-05-21,47.06
259,2018-05-18,46.88
260,2018-05-17,47.05
261,2018-05-16,46.99
262,2018-05-15,46.79
263,2018-05-14,47.06
264,2018-05-11,47.05
265,2018-05-10,47.11
266,2018-05-09,46.97
267,2018-05-08,46.81
268,2018-05-07,46.89
269,2018-05-04,47.02
270,2018-05-03,46.63
271,2018-05-02,46.50
272,2018-05-01,47.24
273,2018-04-30,47.72
274,2018-04-27,47.92
275,2018-04-26,47.63
276,2018-04-25,47.18
277,2018-04-24,47.08
278,2018-04-23,47.25
279,2018-04-20,47.51
280,2018-04-19,48.01
281,2018-04-18,49.15
282,2018-04-17,49.35
283,2018-04-16,49.27
284,2018-04-13,48.94
285,2018-04-12,48.81
286,2018-04-11,48.90
287,2018-04-10,49.13
288,2018-04-09,49.14
289,2018-04-06,48.87
290,2018-04-05,49.26
291,2018-04-04,49.08
292,2018-04-03,48.39
293,2018-04-02,47.95
294,2018-03-29,48.78
295,2018-03-28,48.39
296,2018-03-27,47.63
297,2018-03-26,47.65
298,2018-03-23,47.09
299,2018-03-22,47.49
300,2018-03-21,47.95
301,2018-03-20,48.29
302,2018-03-19,48.51
303,2018-03-16,48.85
304,2018-03-15,48.90
305,2018-03-14,49.12
306,2018-03-13,49.39
307,2018-03-12,49.61
308,2018-03-09,49.57
309,2018-03-08,49.26
310,2018-03-07,48.85
311,2018-03-06,49.08
312,2018-03-05,49.02
313,2018-03-02,48.61
314,2018-03-01,48.23
315,2018-02-28,48.76
316,2018-02-27,49.03
317,2018-02-26,49.82
318,2018-02-23,49.42
319,2018-02-22,48.94
320,2018-02-21,48.92
321,2018-02-20,49.25
322,2018-02-16,50.26
323,2018-02-15,49.98
324,2018-02-14,49.58
325,2018-02-13,49.26
326,2018-02-12,49.13
327,2018-02-09,48.69
328,2018-02-08,48.59
329,2018-02-07,49.57
330,2018-02-06,49.78
331,2018-02-05,49.49
332,2018-02-02,51.35
333,2018-02-01,52.37
334,2018-01-31,52.25
335,2018-01-30,52.41
336,2018-01-29,52.55
337,2018-01-26,53.00
338,2018-01-25,52.73
339,2018-01-24,52.85
340,2018-01-23,52.77
341,2018-01-22,52.68
342,2018-01-19,52.39
343,2018-01-18,51.98
344,2018-01-17,52.10
345,2018-01-16,51.70
346,2018-01-12,51.46
347,2018-01-11,51.26
348,2018-01-10,51.25
349,2018-01-09,51.59
350,2018-01-08,51.70
351,2018-01-05,51.72
352,2018-01-04,51.38
353,2018-01-03,51.27
354,2018-01-02,51.27
355,2017-12-29,51.48
356,2017-12-28,51.35
357,2017-12-27,51.38
358,2017-12-26,51.35
359,2017-12-22,51.15
360,2017-12-21,51.08
361,2017-12-20,51.03
362,2017-12-19,51.36
363,2017-12-18,51.26
364,2017-12-15,51.09
365,2017-12-14,50.90
366,2017-12-13,51.13
367,2017-12-12,50.88
368,2017-12-11,50.88
369,2017-12-08,50.85
370,2017-12-07,50.85
371,2017-12-06,51.15
372,2017-12-05,50.81
373,2017-12-04,50.74
374,2017-12-01,50.47
375,2017-11-30,50.48
376,2017-11-29,50.29
377,2017-11-28,50.35
378,2017-11-27,49.94
379,2017-11-24,50.08
380,2017-11-22,49.82
381,2017-11-21,49.85
382,2017-11-20,49.56
383,2017-11-17,49.64
384,2017-11-16,49.68
385,2017-11-15,49.11
386,2017-11-14,49.47
387,2017-11-13,49.43
388,2017-11-10,49.32
389,2017-11-09,49.05
390,2017-11-08,49.03
391,2017-11-07,48.70
392,2017-11-06,48.59
393,2017-11-03,48.79
394,2017-11-02,48.81
395,2017-11-01,48.78
396,2017-10-31,48.87
397,2017-10-30,48.50
398,2017-10-27,48.71
399,2017-10-26,48.93
400,2017-10-25,48.80
401,2017-10-24,48.95
402,2017-10-23,49.16
403,2017-10-20,49.30
404,2017-10-19,49.57
405,2017-10-18,49.94
406,2017-10-17,49.83
407,2017-10-16,49.99
408,2017-10-13,50.11
409,2017-10-12,49.89
410,2017-10-11,49.68
411,2017-10-10,49.45
412,2017-10-09,49.01
413,2017-10-06,48.95
414,2017-10-05,49.23
415,2017-10-04,49.21
416,2017-10-03,49.05
417,2017-10-02,48.95
418,2017-09-29,48.94
419,2017-09-28,48.83
420,2017-09-27,48.96
421,2017-09-26,49.19
422,2017-09-25,49.08
423,2017-09-22,48.98
424,2017-09-21,48.93
425,2017-09-20,49.31
426,2017-09-19,49.88
427,2017-09-18,49.92
428,2017-09-15,49.83
429,2017-09-14,49.80
430,2017-09-13,49.91
431,2017-09-12,50.03
432,2017-09-11,50.04
433,2017-09-08,49.84
434,2017-09-07,49.95
435,2017-09-06,49.76
436,2017-09-05,49.40
437,2017-09-01,49.51
438,2017-08-31,49.39
439,2017-08-30,49.30
440,2017-08-29,49.24
441,2017-08-28,49.19
442,2017-08-25,49.31
443,2017-08-24,49.15
444,2017-08-23,49.60
445,2017-08-22,49.61
446,2017-08-21,49.61
447,2017-08-18,49.36
448,2017-08-17,49.48
449,2017-08-16,49.90
450,2017-08-15,49.78
451,2017-08-14,49.62
452,2017-08-11,49.26
453,2017-08-10,49.35
454,2017-08-09,49.57
455,2017-08-08,49.60
456,2017-08-07,49.87
457,2017-08-04,49.71
458,2017-08-03,49.71
459,2017-08-02,49.54
460,2017-08-01,49.54
461,2017-07-31,49.48
462,2017-07-28,49.65
463,2017-07-27,49.91
464,2017-07-26,49.67
465,2017-07-25,49.54
466,2017-07-24,49.41
467,2017-07-21,49.74
468,2017-07-20,49.73
469,2017-07-19,49.60
470,2017-07-18,49.38
471,2017-07-17,49.34
472,2017-07-14,49.32
473,2017-07-13,48.99
474,2017-07-12,48.86
475,2017-07-11,48.43
476,2017-07-10,48.50
477,2017-07-07,48.64
478,2017-07-06,48.55
479,2017-07-05,48.82
480,2017-07-03,49.02
481,2017-06-30,49.14
482,2017-06-29,49.18
483,2017-06-28,49.87
484,2017-06-27,49.62
485,2017-06-26,49.85
486,2017-06-23,49.46
487,2017-06-22,49.39
488,2017-06-21,49.74
489,2017-06-20,49.93
490,2017-06-19,50.03
491,2017-06-16,49.83
492,2017-06-15,50.04
493,2017-06-14,50.17
494,2017-06-13,49.87
495,2017-06-12,49.76
496,2017-06-09,49.79
497,2017-06-08,50.05
498,2017-06-07,50.68
499,2017-06-06,50.77
500,2017-06-05,50.79
501,2017-06-02,50.72
502,2017-06-01,50.49
503,2017-05-31,50.18
504,2017-05-30,50.04
505,2017-05-26,50.08
506,2017-05-25,49.93
507,2017-05-24,49.70
508,2017-05-23,49.55
509,2017-05-22,49.60
510,2017-05-19,49.29
511,2017-05-18,48.91
512,2017-05-17,49.08
513,2017-05-16,49.18
514,2017-05-15,48.83
515,2017-05-12,48.68
516,2017-05-11,48.57
517,2017-05-10,48.57
518,2017-05-09,48.52
519,2017-05-08,48.55
520,2017-05-05,48.53
521,2017-05-04,48.30
522,2017-05-03,47.86
523,2017-05-02,47.95
524,2017-05-01,47.94
525,2017-04-28,48.02
526,2017-04-27,48.01
527,2017-04-26,48.03
528,2017-04-25,48.34
529,2017-04-24,48.27
530,2017-04-21,47.60
531,2017-04-20,47.69
532,2017-04-19,47.62
533,2017-04-18,48.01
534,2017-04-17,47.90
535,2017-04-13,47.51
536,2017-04-12,47.77
537,2017-04-11,47.60
538,2017-04-10,47.35
539,2017-04-07,47.26
540,2017-04-06,47.13
541,2017-04-05,47.20
542,2017-04-04,47.32
543,2017-04-03,47.26
544,2017-03-31,47.24
545,2017-03-30,47.34
546,2017-03-29,47.51
547,2017-03-28,47.48
548,2017-03-27,47.45
549,2017-03-24,47.35
550,2017-03-23,47.30
551,2017-03-22,47.35
552,2017-03-21,47.37
553,2017-03-20,47.37
554,2017-03-17,47.36
555,2017-03-16,47.27
556,2017-03-15,47.20
557,2017-03-14,46.74
558,2017-03-13,46.85
559,2017-03-10,46.70
560,2017-03-09,46.45
561,2017-03-08,46.37
562,2017-03-07,46.51
563,2017-03-06,46.56
564,2017-03-03,46.64
565,2017-03-02,46.66
566,2017-03-01,46.84
567,2017-02-28,46.67
568,2017-02-27,46.63
569,2017-02-24,46.81
570,2017-02-23,46.79
571,2017-02-22,46.62
572,2017-02-21,46.43
573,2017-02-17,46.25
574,2017-02-16,45.79
575,2017-02-15,45.63
576,2017-02-14,45.38
577,2017-02-13,45.52
578,2017-02-10,45.48
579,2017-02-09,45.53
580,2017-02-08,45.49
581,2017-02-07,45.13
582,2017-02-06,44.89
583,2017-02-03,45.16
584,2017-02-02,44.89
585,2017-02-01,44.59
586,2017-01-31,44.68
587,2017-01-30,44.50
588,2017-01-27,44.61
589,2017-01-26,44.71
590,2017-01-25,45.00
591,2017-01-24,44.85
592,2017-01-23,44.63
593,2017-01-20,44.53
594,2017-01-19,44.26
595,2017-01-18,44.31
596,2017-01-17,44.31
597,2017-01-13,44.01
598,2017-01-12,43.96
599,2017-01-11,43.94
600,2017-01-10,43.78
601,2017-01-09,44.02
602,2017-01-06,44.14
603,2017-01-05,44.22
604,2017-01-04,43.96
605,2017-01-03,43.77
606,2016-12-30,43.78
607,2016-12-29,43.88
608,2016-12-28,43.63
609,2016-12-27,43.84
610,2016-12-23,43.81
611,2016-12-22,43.72
612,2016-12-21,43.76
613,2016-12-20,43.75
614,2016-12-19,43.79
615,2016-12-16,43.70
616,2016-12-15,43.55
617,2016-12-14,43.48
618,2016-12-13,44.09
619,2016-12-12,43.67
620,2016-12-09,43.56
621,2016-12-08,42.96
622,2016-12-07,43.10
623,2016-12-06,42.72
624,2016-12-05,42.60
625,2016-12-02,42.48
626,2016-12-01,42.18
627,2016-11-30,42.61
628,2016-11-29,43.17
629,2016-11-28,43.04
630,2016-11-25,43.01
631,2016-11-23,42.69
632,2016-11-22,42.92
633,2016-11-21,42.78
634,2016-11-18,42.53
635,2016-11-17,42.75
636,2016-11-16,42.74
637,2016-11-15,42.85
638,2016-11-14,42.55
639,2016-11-11,42.88
640,2016-11-10,43.00
641,2016-11-09,44.33
642,2016-11-08,45.06
643,2016-11-07,44.81
644,2016-11-04,44.31
645,2016-11-03,44.69
646,2016-11-02,44.90
647,2016-11-01,44.96
648,2016-10-31,45.12
649,2016-10-28,45.14
650,2016-10-27,45.08
651,2016-10-26,45.20
652,2016-10-25,45.29
653,2016-10-24,45.32
654,2016-10-21,45.19
655,2016-10-20,45.19
656,2016-10-19,45.30
657,2016-10-18,45.46
658,2016-10-17,45.27
659,2016-10-14,45.41
660,2016-10-13,45.41
661,2016-10-12,45.46
662,2016-10-11,45.36
663,2016-10-10,45.72
664,2016-10-07,45.71
665,2016-10-06,45.97
666,2016-10-05,46.12
667,2016-10-04,46.38
668,2016-10-03,46.58
669,2016-09-30,46.68
670,2016-09-29,46.48
671,2016-09-28,46.82
672,2016-09-27,46.76
673,2016-09-26,46.40
674,2016-09-23,46.77
675,2016-09-22,47.02
676,2016-09-21,46.56
677,2016-09-20,46.18
678,2016-09-19,45.95
679,2016-09-16,45.85
680,2016-09-15,46.29
681,2016-09-14,45.77
682,2016-09-13,45.85
683,2016-09-12,46.60
684,2016-09-09,45.98
685,2016-09-08,47.05
686,2016-09-07,47.33
687,2016-09-06,47.60
688,2016-09-02,47.46
689,2016-09-01,46.93
690,2016-08-31,46.68
691,2016-08-30,46.73
692,2016-08-29,46.98
693,2016-08-26,46.81
694,2016-08-25,47.08
695,2016-08-24,47.24
696,2016-08-23,47.32
697,2016-08-22,47.31
698,2016-08-19,47.31
699,2016-08-18,47.51
700,2016-08-17,47.39
701,2016-08-16,47.37
702,2016-08-15,47.38
703,2016-08-12,47.41
704,2016-08-11,47.33
705,2016-08-10,46.97
706,2016-08-09,46.85
707,2016-08-08,46.57
708,2016-08-05,46.71
709,2016-08-04,46.68
710,2016-08-03,46.62
711,2016-08-02,46.97
712,2016-08-01,46.88
713,2016-07-29,47.00
714,2016-07-28,46.62
715,2016-07-27,46.49
716,2016-07-26,46.96
717,2016-07-25,47.14
718,2016-07-22,47.14
719,2016-07-21,46.98
720,2016-07-20,47.22
721,2016-07-19,47.10
722,2016-07-18,47.36
723,2016-07-15,47.33
724,2016-07-14,47.53
725,2016-07-13,47.44
726,2016-07-12,47.27
727,2016-07-11,47.47
728,2016-07-08,47.26
729,2016-07-07,46.97
730,2016-07-06,46.98
731,2016-07-05,47.04
732,2016-07-01,47.10
733,2016-06-30,47.08
734,2016-06-29,46.14
735,2016-06-28,45.47
736,2016-06-27,44.85
737,2016-06-24,44.94
738,2016-06-23,46.67
739,2016-06-22,46.11
740,2016-06-21,46.15
741,2016-06-20,45.83
742,2016-06-17,45.35
743,2016-06-16,45.39
744,2016-06-15,45.17
745,2016-06-14,45.12
746,2016-06-13,45.28
747,2016-06-10,45.75
748,2016-06-09,46.32
749,2016-06-08,46.47
750,2016-06-07,46.22
751,2016-06-06,46.12
752,2016-06-03,46.05
753,2016-06-02,45.66
754,2016-06-01,45.59
755,2016-05-31,45.28
756,2016-05-27,45.53
757,2016-05-26,45.55
758,2016-05-25,45.37
759,2016-05-24,45.23
760,2016-05-23,44.69
761,2016-05-20,44.80
762,2016-05-19,44.82
763,2016-05-18,44.76
764,2016-05-17,45.05
765,2016-05-16,45.75
766,2016-05-13,45.44
767,2016-05-12,45.96
768,2016-05-11,45.81
769,2016-05-10,46.15
770,2016-05-09,45.65
771,2016-05-06,45.39
772,2016-05-05,45.24
773,2016-05-04,45.21
774,2016-05-03,45.26
775,2016-05-02,45.62
776,2016-04-29,45.07
777,2016-04-28,45.11
778,2016-04-27,45.23
779,2016-04-26,45.14
780,2016-04-25,45.13
781,2016-04-22,44.95
782,2016-04-21,45.07
783,2016-04-20,45.73
784,2016-04-19,46.22
785,2016-04-18,45.80
786,2016-04-15,45.50
787,2016-04-14,45.28
788,2016-04-13,45.35
789,2016-04-12,45.45
790,2016-04-11,45.13
791,2016-04-08,45.35
792,2016-04-07,45.09
793,2016-04-06,45.39
794,2016-04-05,45.05
795,2016-04-04,45.37
796,2016-04-01,45.40
797,2016-03-31,45.26
798,2016-03-30,45.55
799,2016-03-29,45.18
800,2016-03-28,44.74
801,2016-03-24,44.48
802,2016-03-23,44.61
803,2016-03-22,44.54
804,2016-03-21,44.85
805,2016-03-18,44.83
806,2016-03-17,44.96
807,2016-03-16,44.63
808,2016-03-15,44.32
809,2016-03-14,44.37
810,2016-03-11,44.50
811,2016-03-10,44.11
812,2016-03-09,44.10
813,2016-03-08,43.82
814,2016-03-07,43.77
815,2016-03-04,44.03
816,2016-03-03,43.77
817,2016-03-02,43.51
818,2016-03-01,43.57
819,2016-02-29,42.82
820,2016-02-26,43.03
821,2016-02-25,43.60
822,2016-02-24,43.22
823,2016-02-23,43.13
824,2016-02-22,43.37
825,2016-02-19,43.17
826,2016-02-18,43.11
827,2016-02-17,43.37
828,2016-02-16,42.92
829,2016-02-12,42.51
830,2016-02-11,42.14
831,2016-02-10,42.39
832,2016-02-09,42.52
833,2016-02-08,42.43
834,2016-02-05,42.51
835,2016-02-04,42.93
836,2016-02-03,43.43
837,2016-02-02,43.14
838,2016-02-01,43.69
839,2016-01-29,43.39
840,2016-01-28,42.50
841,2016-01-27,41.99
842,2016-01-26,42.09
843,2016-01-25,41.54
844,2016-01-22,41.77
845,2016-01-21,41.03
846,2016-01-20,40.81
847,2016-01-19,41.32
848,2016-01-15,40.81
849,2016-01-14,41.64
850,2016-01-13,41.42
851,2016-01-12,42.10
852,2016-01-11,41.80
853,2016-01-08,41.44
854,2016-01-07,41.78
855,2016-01-06,42.33
856,2016-01-05,42.71
857,2016-01-04,42.60
858,2015-12-31,43.24
859,2015-12-30,43.76
860,2015-12-29,43.98
861,2015-12-28,43.60
862,2015-12-24,43.57
863,2015-12-23,43.63
864,2015-12-22,43.07
865,2015-12-21,42.71
866,2015-12-18,42.44
867,2015-12-17,43.11
868,2015-12-16,43.72
869,2015-12-15,42.86
870,2015-12-14,42.67
871,2015-12-11,42.38
872,2015-12-10,42.87
873,2015-12-09,42.86
874,2015-12-08,43.30
875,2015-12-07,43.59
876,2015-12-04,43.46
877,2015-12-03,42.88
878,2015-12-02,43.08
879,2015-12-01,43.30
880,2015-11-30,43.04
881,2015-11-27,43.34
882,2015-11-25,43.34
883,2015-11-24,43.21
884,2015-11-23,43.16
885,2015-11-20,43.01
886,2015-11-19,43.27
887,2015-11-18,43.01
888,2015-11-17,42.54
889,2015-11-16,42.58
890,2015-11-13,41.92
891,2015-11-12,42.31
892,2015-11-11,42.83
893,2015-11-10,42.50
894,2015-11-09,42.58
895,2015-11-06,42.86
896,2015-11-05,43.32
897,2015-11-04,43.36
898,2015-11-03,43.42
899,2015-11-02,43.57
900,2015-10-30,43.35
901,2015-10-29,43.76
902,2015-10-28,43.69
903,2015-10-27,43.78
904,2015-10-26,43.88
905,2015-10-23,43.99
906,2015-10-22,43.91
