,Date,NAV
1,2019-05-30,72.42
2,2019-05-29,72.78
3,2019-05-28,74.30
4,2019-05-24,73.73
5,2019-05-23,74.25
6,2019-05-22,74.98
7,2019-05-21,74.49
8,2019-05-20,74.57
9,2019-05-17,74.90
10,2019-05-16,75.34
11,2019-05-15,75.27
12,2019-05-14,75.59
13,2019-05-13,75.79
14,2019-05-10,76.29
15,2019-05-09,75.40
16,2019-05-08,75.50
17,2019-05-07,75.32
18,2019-05-06,76.72
19,2019-05-03,76.45
20,2019-05-02,75.81
21,2019-05-01,76.98
22,2019-04-30,77.71
23,2019-04-29,77.76
24,2019-04-26,77.35
25,2019-04-25,76.51
26,2019-04-24,77.25
27,2019-04-23,76.61
28,2019-04-22,75.64
29,2019-04-18,76.32
30,2019-04-17,75.97
31,2019-04-16,76.00
32,2019-04-15,76.05
33,2019-04-12,76.02
34,2019-04-11,75.77
35,2019-04-10,76.38
36,2019-04-09,75.90
37,2019-04-08,75.98
38,2019-04-05,76.12
39,2019-04-04,75.39
40,2019-04-03,74.55
41,2019-04-02,74.89
42,2019-04-01,75.64
43,2019-03-29,75.90
44,2019-03-28,76.06
45,2019-03-27,75.75
46,2019-03-26,76.13
47,2019-03-25,75.05
48,2019-03-22,74.90
49,2019-03-21,75.88
50,2019-03-20,74.83
51,2019-03-19,75.45
52,2019-03-18,76.24
53,2019-03-15,76.12
54,2019-03-14,75.68
55,2019-03-13,75.98
56,2019-03-12,76.10
57,2019-03-11,76.58
58,2019-03-08,75.58
59,2019-03-07,76.04
60,2019-03-06,76.26
61,2019-03-05,77.88
62,2019-03-04,77.71
63,2019-03-01,78.95
64,2019-02-28,78.39
65,2019-02-27,77.55
66,2019-02-26,78.03
67,2019-02-25,77.79
68,2019-02-22,78.65
69,2019-02-21,78.05
70,2019-02-20,79.16
71,2019-02-19,78.46
72,2019-02-15,77.31
73,2019-02-14,77.40
74,2019-02-13,77.42
75,2019-02-12,76.99
76,2019-02-11,76.04
77,2019-02-08,75.26
78,2019-02-07,75.37
79,2019-02-06,76.60
80,2019-02-05,77.11
81,2019-02-04,77.04
82,2019-02-01,75.80
83,2019-01-31,76.12
84,2019-01-30,74.48
85,2019-01-29,75.04
86,2019-01-28,73.78
87,2019-01-25,74.45
88,2019-01-24,74.35
89,2019-01-23,74.63
90,2019-01-22,73.91
91,2019-01-18,75.27
92,2019-01-17,74.28
93,2019-01-16,73.87
94,2019-01-15,72.98
95,2019-01-14,72.65
96,2019-01-11,72.87
97,2019-01-10,73.04
98,2019-01-09,72.75
99,2019-01-08,72.25
100,2019-01-07,71.72
101,2019-01-04,70.96
102,2019-01-03,69.73
103,2019-01-02,69.56
104,2018-12-31,69.15
105,2018-12-28,69.32
106,2018-12-27,68.52
107,2018-12-26,68.45
108,2018-12-24,66.72
109,2018-12-21,67.54
110,2018-12-20,69.48
111,2018-12-19,70.71
112,2018-12-18,71.33
113,2018-12-17,71.42
114,2018-12-14,73.92
115,2018-12-13,75.35
116,2018-12-12,76.13
117,2018-12-11,75.39
118,2018-12-10,74.84
119,2018-12-07,75.90
120,2018-12-06,76.94
121,2018-12-04,77.64
122,2018-12-03,79.72
123,2018-11-30,79.70
124,2018-11-29,80.04
125,2018-11-28,79.81
126,2018-11-27,78.21
127,2018-11-26,78.26
128,2018-11-23,78.35
129,2018-11-21,77.87
130,2018-11-20,78.36
131,2018-11-19,78.84
132,2018-11-16,79.37
133,2018-11-15,79.13
134,2018-11-14,78.48
135,2018-11-13,78.95
136,2018-11-12,79.68
137,2018-11-09,79.73
138,2018-11-08,80.70
139,2018-11-07,80.12
140,2018-11-06,82.30
141,2018-11-05,81.23
142,2018-11-02,81.45
143,2018-11-01,81.12
144,2018-10-31,81.11
145,2018-10-30,82.30
146,2018-10-29,80.15
147,2018-10-26,79.07
148,2018-10-25,80.31
149,2018-10-24,79.84
150,2018-10-23,80.05
151,2018-10-22,80.67
152,2018-10-19,80.40
153,2018-10-18,79.52
154,2018-10-17,80.44
155,2018-10-16,80.23
156,2018-10-15,78.30
157,2018-10-12,77.29
158,2018-10-11,77.57
159,2018-10-10,78.48
160,2018-10-09,80.27
161,2018-10-08,80.87
162,2018-10-05,80.09
163,2018-10-04,80.70
164,2018-10-03,80.76
165,2018-10-02,80.84
166,2018-10-01,81.72
167,2018-09-28,83.09
168,2018-09-27,82.69
169,2018-09-26,83.05
170,2018-09-25,82.96
171,2018-09-24,83.13
172,2018-09-21,84.14
173,2018-09-20,84.45
174,2018-09-19,83.51
175,2018-09-18,84.25
176,2018-09-17,84.49
177,2018-09-14,84.94
178,2018-09-13,84.78
179,2018-09-12,85.18
180,2018-09-11,84.83
181,2018-09-10,84.79
182,2018-09-07,84.79
183,2018-09-06,84.56
184,2018-09-05,84.59
185,2018-09-04,84.31
186,2018-08-31,84.59
187,2018-08-30,84.27
188,2018-08-29,83.71
189,2018-08-28,83.59
190,2018-08-27,84.75
191,2018-08-24,84.83
192,2018-08-23,84.18
193,2018-08-22,84.76
194,2018-08-21,84.53
195,2018-08-20,84.73
196,2018-08-17,84.13
197,2018-08-16,83.55
198,2018-08-15,83.41
199,2018-08-14,83.46
200,2018-08-13,82.23
201,2018-08-10,82.78
202,2018-08-09,82.70
203,2018-08-08,82.98
204,2018-08-07,82.81
205,2018-08-06,83.80
206,2018-08-03,83.38
207,2018-08-02,81.80
208,2018-08-01,81.58
209,2018-07-31,82.19
210,2018-07-30,82.06
211,2018-07-27,82.11
212,2018-07-26,82.83
213,2018-07-25,79.93
214,2018-07-24,79.66
215,2018-07-23,80.39
216,2018-07-20,80.68
217,2018-07-19,80.83
218,2018-07-18,79.94
219,2018-07-17,80.98
220,2018-07-16,80.36
221,2018-07-13,80.95
222,2018-07-12,80.79
223,2018-07-11,81.04
224,2018-07-10,81.22
225,2018-07-09,81.38
226,2018-07-06,82.40
227,2018-07-05,81.72
228,2018-07-03,80.29
229,2018-07-02,79.83
230,2018-06-29,79.32
231,2018-06-28,79.64
232,2018-06-27,79.79
233,2018-06-26,81.00
234,2018-06-25,80.30
235,2018-06-22,79.84
236,2018-06-21,79.48
237,2018-06-20,80.20
238,2018-06-19,79.79
239,2018-06-18,79.71
240,2018-06-15,78.91
241,2018-06-14,78.12
242,2018-06-13,77.56
243,2018-06-12,77.45
244,2018-06-11,77.01
245,2018-06-08,76.83
246,2018-06-07,76.29
247,2018-06-06,76.35
248,2018-06-05,76.62
249,2018-06-04,76.20
250,2018-06-01,75.29
251,2018-05-31,75.21
252,2018-05-30,75.58
253,2018-05-29,74.04
254,2018-05-25,74.11
255,2018-05-24,73.10
256,2018-05-23,71.85
257,2018-05-22,71.89
258,2018-05-21,72.43
259,2018-05-18,71.69
260,2018-05-17,71.92
261,2018-05-16,70.78
262,2018-05-15,69.89
263,2018-05-14,69.90
264,2018-05-11,70.56
265,2018-05-10,70.24
266,2018-05-09,69.21
267,2018-05-08,69.89
268,2018-05-07,69.49
269,2018-05-04,69.17
270,2018-05-03,67.40
271,2018-05-02,68.09
272,2018-05-01,68.62
273,2018-04-30,70.50
274,2018-04-27,70.50
275,2018-04-26,70.57
276,2018-04-25,70.17
277,2018-04-24,69.39
278,2018-04-23,69.14
279,2018-04-20,69.58
280,2018-04-19,70.38
281,2018-04-18,71.45
282,2018-04-17,72.05
283,2018-04-16,71.00
284,2018-04-13,70.08
285,2018-04-12,70.20
286,2018-04-11,70.60
287,2018-04-10,70.37
288,2018-04-09,70.31
289,2018-04-06,70.58
290,2018-04-05,70.39
291,2018-04-04,70.34
292,2018-04-03,69.10
293,2018-04-02,67.66
294,2018-03-29,69.35
295,2018-03-28,69.08
296,2018-03-27,68.71
297,2018-03-26,68.71
298,2018-03-23,68.79
299,2018-03-22,69.10
300,2018-03-21,69.38
