,Date,NAV
1,2019-05-30,70.26
2,2019-05-29,69.61
3,2019-05-28,70.44
4,2019-05-24,71.41
5,2019-05-23,70.83
6,2019-05-22,71.87
7,2019-05-21,71.81
8,2019-05-20,71.50
9,2019-05-17,71.93
10,2019-05-16,72.46
11,2019-05-15,71.86
12,2019-05-14,71.50
13,2019-05-13,71.52
14,2019-05-10,72.56
15,2019-05-09,72.26
16,2019-05-08,71.96
17,2019-05-07,71.92
18,2019-05-06,72.49
19,2019-05-03,72.48
20,2019-05-02,72.17
21,2019-05-01,72.00
22,2019-04-30,72.75
23,2019-04-29,72.75
24,2019-04-26,72.81
25,2019-04-25,72.15
26,2019-04-24,72.12
27,2019-04-23,72.63
28,2019-04-22,71.81
29,2019-04-18,72.12
30,2019-04-17,71.82
31,2019-04-16,71.98
32,2019-04-15,71.96
33,2019-04-12,71.63
34,2019-04-11,71.49
35,2019-04-10,71.15
36,2019-04-09,70.81
37,2019-04-08,71.13
38,2019-04-05,70.87
39,2019-04-04,70.69
40,2019-04-03,70.80
41,2019-04-02,70.62
42,2019-04-01,70.88
43,2019-03-29,70.97
44,2019-03-28,70.87
45,2019-03-27,69.99
46,2019-03-26,70.23
47,2019-03-25,69.66
48,2019-03-22,69.38
49,2019-03-21,70.25
50,2019-03-20,69.53
51,2019-03-19,70.13
52,2019-03-18,70.11
53,2019-03-15,70.13
54,2019-03-14,70.16
55,2019-03-13,70.31
56,2019-03-12,69.77
57,2019-03-11,70.27
58,2019-03-08,69.20
59,2019-03-07,69.36
60,2019-03-06,69.90
61,2019-03-05,70.37
62,2019-03-04,70.39
63,2019-03-01,70.47
64,2019-02-28,69.90
65,2019-02-27,69.47
66,2019-02-26,69.71
67,2019-02-25,69.34
68,2019-02-22,70.00
69,2019-02-21,69.63
70,2019-02-20,68.89
71,2019-02-19,69.03
72,2019-02-15,69.00
73,2019-02-14,68.93
74,2019-02-13,69.11
75,2019-02-12,68.66
76,2019-02-11,67.91
77,2019-02-08,67.52
78,2019-02-07,67.28
79,2019-02-06,67.60
80,2019-02-05,67.65
81,2019-02-04,68.24
82,2019-02-01,67.29
83,2019-01-31,67.22
84,2019-01-30,66.56
85,2019-01-29,66.45
86,2019-01-28,66.30
87,2019-01-25,66.63
88,2019-01-24,66.74
89,2019-01-23,67.47
90,2019-01-22,67.13
91,2019-01-18,68.23
92,2019-01-17,67.51
93,2019-01-16,67.01
94,2019-01-15,66.96
95,2019-01-14,66.13
96,2019-01-11,66.75
97,2019-01-10,66.96
98,2019-01-09,66.66
99,2019-01-08,66.50
100,2019-01-07,66.11
101,2019-01-04,65.88
102,2019-01-03,64.58
103,2019-01-02,65.15
104,2018-12-31,65.21
105,2018-12-28,65.01
106,2018-12-27,65.10
107,2018-12-26,64.39
108,2018-12-24,62.43
109,2018-12-21,63.82
110,2018-12-20,65.04
111,2018-12-19,66.78
112,2018-12-18,67.57
113,2018-12-17,67.68
114,2018-12-14,69.38
115,2018-12-13,70.59
116,2018-12-12,70.68
117,2018-12-11,70.03
118,2018-12-10,69.62
119,2018-12-07,69.54
120,2018-12-06,70.71
121,2018-12-04,70.91
122,2018-12-03,72.32
123,2018-11-30,71.98
124,2018-11-29,71.94
125,2018-11-28,71.69
126,2018-11-27,70.99
127,2018-11-26,71.00
128,2018-11-23,70.91
129,2018-11-21,70.64
130,2018-11-20,70.54
131,2018-11-19,71.28
132,2018-11-16,72.03
133,2018-11-15,71.64
134,2018-11-14,71.32
135,2018-11-13,72.08
136,2018-11-12,72.62
137,2018-11-09,72.84
138,2018-11-08,72.86
139,2018-11-07,72.50
140,2018-11-06,72.89
141,2018-11-05,72.12
142,2018-11-02,71.72
143,2018-11-01,71.86
144,2018-10-31,71.05
145,2018-10-30,71.31
146,2018-10-29,69.29
147,2018-10-26,69.03
148,2018-10-25,70.07
149,2018-10-24,69.74
150,2018-10-23,70.38
151,2018-10-22,70.68
152,2018-10-19,70.32
153,2018-10-18,70.02
154,2018-10-17,70.79
155,2018-10-16,70.91
156,2018-10-15,69.16
157,2018-10-12,68.67
158,2018-10-11,67.97
159,2018-10-10,69.33
160,2018-10-09,70.77
161,2018-10-08,70.98
162,2018-10-05,70.82
163,2018-10-04,70.46
164,2018-10-03,71.16
165,2018-10-02,71.09
166,2018-10-01,71.12
167,2018-09-28,71.57
168,2018-09-27,71.37
169,2018-09-26,71.66
170,2018-09-25,71.98
171,2018-09-24,72.18
172,2018-09-21,72.39
173,2018-09-20,72.45
174,2018-09-19,71.50
175,2018-09-18,72.46
176,2018-09-17,72.42
177,2018-09-14,73.29
178,2018-09-13,73.18
179,2018-09-12,73.40
180,2018-09-11,72.60
181,2018-09-10,72.45
182,2018-09-07,72.07
183,2018-09-06,72.12
184,2018-09-05,72.10
185,2018-09-04,72.22
186,2018-08-31,72.20
187,2018-08-30,72.02
188,2018-08-29,72.00
189,2018-08-28,72.02
190,2018-08-27,72.33
191,2018-08-24,72.09
192,2018-08-23,71.76
193,2018-08-22,71.95
194,2018-08-21,71.74
195,2018-08-20,71.99
196,2018-08-17,71.44
197,2018-08-16,71.32
198,2018-08-15,71.18
199,2018-08-14,71.61
200,2018-08-13,70.75
201,2018-08-10,70.76
202,2018-08-09,70.99
203,2018-08-08,71.05
204,2018-08-07,71.34
205,2018-08-06,71.98
206,2018-08-03,71.63
207,2018-08-02,70.57
208,2018-08-01,70.11
209,2018-07-31,70.47
210,2018-07-30,69.97
211,2018-07-27,71.26
212,2018-07-26,71.98
213,2018-07-25,71.77
214,2018-07-24,70.92
215,2018-07-23,71.48
216,2018-07-20,71.54
217,2018-07-19,71.45
218,2018-07-18,71.30
219,2018-07-17,71.44
220,2018-07-16,71.14
221,2018-07-13,71.65
222,2018-07-12,71.56
223,2018-07-11,71.50
224,2018-07-10,71.70
225,2018-07-09,71.67
226,2018-07-06,71.65
227,2018-07-05,71.34
228,2018-07-03,70.35
229,2018-07-02,70.25
230,2018-06-29,70.52
231,2018-06-28,70.47
232,2018-06-27,69.90
233,2018-06-26,70.92
234,2018-06-25,69.95
235,2018-06-22,70.88
236,2018-06-21,70.84
237,2018-06-20,71.75
238,2018-06-19,71.50
239,2018-06-18,71.46
240,2018-06-15,71.25
241,2018-06-14,71.09
242,2018-06-13,70.61
243,2018-06-12,71.03
244,2018-06-11,70.54
245,2018-06-08,70.44
246,2018-06-07,69.65
247,2018-06-06,69.65
