,Date,NAV
1,2019-05-30,129.86
2,2019-05-29,129.74
3,2019-05-28,131.49
4,2019-05-24,133.81
5,2019-05-23,134.45
6,2019-05-22,134.72
7,2019-05-21,134.59
8,2019-05-20,134.50
9,2019-05-17,135.12
10,2019-05-16,135.22
11,2019-05-15,134.64
12,2019-05-14,133.43
13,2019-05-13,132.68
14,2019-05-10,133.89
15,2019-05-09,132.97
16,2019-05-08,132.96
17,2019-05-07,133.28
18,2019-05-06,134.16
19,2019-05-03,133.93
20,2019-05-02,132.81
21,2019-05-01,133.08
22,2019-04-30,134.95
23,2019-04-29,133.55
24,2019-04-26,133.58
25,2019-04-25,132.40
26,2019-04-24,132.99
27,2019-04-23,132.74
28,2019-04-22,132.87
29,2019-04-18,132.58
30,2019-04-17,132.24
31,2019-04-16,131.88
32,2019-04-15,132.25
33,2019-04-12,131.56
34,2019-04-11,131.50
35,2019-04-10,131.13
36,2019-04-09,130.34
37,2019-04-08,130.58
38,2019-04-05,130.07
39,2019-04-04,129.53
40,2019-04-03,128.90
41,2019-04-02,129.56
42,2019-04-01,130.63
43,2019-03-29,131.21
44,2019-03-28,130.47
45,2019-03-27,129.38
46,2019-03-26,129.86
47,2019-03-25,128.89
48,2019-03-22,128.33
49,2019-03-21,128.25
50,2019-03-20,125.84
51,2019-03-19,126.48
52,2019-03-18,127.01
53,2019-03-15,126.45
54,2019-03-14,126.00
55,2019-03-13,126.05
56,2019-03-12,125.23
57,2019-03-11,125.57
58,2019-03-08,124.47
59,2019-03-07,124.47
60,2019-03-06,125.19
61,2019-03-05,125.75
62,2019-03-04,125.81
63,2019-03-01,126.16
64,2019-02-28,126.14
65,2019-02-27,125.52
66,2019-02-26,125.12
67,2019-02-25,124.85
68,2019-02-22,125.85
69,2019-02-21,127.14
70,2019-02-20,126.81
71,2019-02-19,126.61
72,2019-02-15,126.18
73,2019-02-14,124.96
74,2019-02-13,125.57
75,2019-02-12,125.28
76,2019-02-11,123.90
77,2019-02-08,123.51
78,2019-02-07,121.74
79,2019-02-06,122.18
80,2019-02-05,122.47
81,2019-02-04,122.30
82,2019-02-01,121.74
83,2019-01-31,122.30
84,2019-01-30,120.18
85,2019-01-29,119.50
86,2019-01-28,119.40
87,2019-01-25,118.63
88,2019-01-24,118.72
89,2019-01-23,120.82
90,2019-01-22,120.08
91,2019-01-18,121.35
92,2019-01-17,119.88
93,2019-01-16,119.12
94,2019-01-15,119.66
95,2019-01-14,118.50
96,2019-01-11,119.14
97,2019-01-10,118.95
98,2019-01-09,117.88
99,2019-01-08,118.80
100,2019-01-07,117.45
101,2019-01-04,117.06
102,2019-01-03,114.79
103,2019-01-02,115.23
104,2018-12-31,115.79
105,2018-12-28,115.36
106,2018-12-27,115.35
107,2018-12-26,114.53
108,2018-12-24,111.55
109,2018-12-21,115.05
110,2018-12-20,116.29
111,2018-12-19,118.66
112,2018-12-18,119.57
113,2018-12-17,120.60
114,2018-12-14,123.87
115,2018-12-13,126.07
116,2018-12-12,125.63
117,2018-12-11,125.38
118,2018-12-10,124.16
119,2018-12-07,124.31
120,2018-12-06,126.00
121,2018-12-04,126.36
122,2018-12-03,128.74
123,2018-11-30,128.13
124,2018-11-29,127.83
125,2018-11-28,127.51
126,2018-11-27,127.15
127,2018-11-26,126.18
128,2018-11-23,126.27
129,2018-11-21,125.67
130,2018-11-20,126.43
131,2018-11-19,128.08
132,2018-11-16,128.37
133,2018-11-15,127.92
134,2018-11-14,127.97
135,2018-11-13,128.86
136,2018-11-12,129.56
137,2018-11-09,129.96
138,2018-11-08,128.91
139,2018-11-07,129.29
140,2018-11-06,129.10
141,2018-11-05,128.42
142,2018-11-02,127.16
143,2018-11-01,128.44
144,2018-10-31,126.84
145,2018-10-30,127.68
146,2018-10-29,124.91
147,2018-10-26,123.51
148,2018-10-25,125.99
149,2018-10-24,126.42
150,2018-10-23,126.29
151,2018-10-22,126.06
152,2018-10-19,126.85
153,2018-10-18,124.93
154,2018-10-17,125.19
155,2018-10-16,125.32
156,2018-10-15,124.10
157,2018-10-12,123.01
158,2018-10-11,122.26
159,2018-10-10,125.46
160,2018-10-09,127.17
161,2018-10-08,127.84
162,2018-10-05,126.01
163,2018-10-04,125.48
164,2018-10-03,125.93
165,2018-10-02,127.14
166,2018-10-01,126.29
167,2018-09-28,126.57
168,2018-09-27,126.27
169,2018-09-26,127.11
170,2018-09-25,127.21
171,2018-09-24,128.08
172,2018-09-21,129.69
173,2018-09-20,129.43
174,2018-09-19,128.12
175,2018-09-18,128.60
176,2018-09-17,129.39
177,2018-09-14,129.29
178,2018-09-13,129.59
179,2018-09-12,129.93
180,2018-09-11,128.56
181,2018-09-10,129.08
182,2018-09-07,129.09
183,2018-09-06,129.16
184,2018-09-05,128.23
185,2018-09-04,126.96
186,2018-08-31,127.16
187,2018-08-30,126.79
188,2018-08-29,127.25
189,2018-08-28,126.86
190,2018-08-27,127.25
191,2018-08-24,127.37
192,2018-08-23,127.03
193,2018-08-22,127.50
194,2018-08-21,128.25
195,2018-08-20,129.84
196,2018-08-17,129.55
197,2018-08-16,128.07
198,2018-08-15,126.79
199,2018-08-14,126.27
200,2018-08-13,125.23
201,2018-08-10,125.11
202,2018-08-09,125.66
203,2018-08-08,126.16
204,2018-08-07,127.10
205,2018-08-06,127.85
206,2018-08-03,127.98
207,2018-08-02,126.12
208,2018-08-01,124.42
209,2018-07-31,125.41
210,2018-07-30,124.87
211,2018-07-27,125.23
212,2018-07-26,125.39
213,2018-07-25,124.26
214,2018-07-24,123.42
215,2018-07-23,123.63
216,2018-07-20,124.15
217,2018-07-19,123.83
218,2018-07-18,123.42
219,2018-07-17,125.17
220,2018-07-16,124.22
221,2018-07-13,125.11
222,2018-07-12,124.39
223,2018-07-11,124.48
224,2018-07-10,124.78
225,2018-07-09,124.08
226,2018-07-06,124.56
227,2018-07-05,123.96
228,2018-07-03,121.83
229,2018-07-02,121.53
230,2018-06-29,122.60
231,2018-06-28,122.75
232,2018-06-27,122.34
233,2018-06-26,123.09
234,2018-06-25,123.59
235,2018-06-22,122.88
236,2018-06-21,121.62
237,2018-06-20,121.44
238,2018-06-19,121.27
239,2018-06-18,120.68
240,2018-06-15,122.26
241,2018-06-14,120.83
242,2018-06-13,120.23
243,2018-06-12,120.66
244,2018-06-11,120.28
245,2018-06-08,119.05
246,2018-06-07,117.38
247,2018-06-06,116.89
248,2018-06-05,117.02
249,2018-06-04,117.55
250,2018-06-01,116.58
251,2018-05-31,116.71
252,2018-05-30,119.02
253,2018-05-29,117.38
254,2018-05-25,117.64
255,2018-05-24,117.15
256,2018-05-23,117.31
257,2018-05-22,116.84
258,2018-05-21,116.90
259,2018-05-18,116.63
260,2018-05-17,117.90
261,2018-05-16,117.79
262,2018-05-15,116.79
263,2018-05-14,117.25
264,2018-05-11,117.45
265,2018-05-10,117.51
266,2018-05-09,117.08
267,2018-05-08,116.89
268,2018-05-07,117.14
269,2018-05-04,117.32
270,2018-05-03,115.67
271,2018-05-02,115.87
272,2018-05-01,118.97
273,2018-04-30,119.82
274,2018-04-27,120.93
275,2018-04-26,120.16
276,2018-04-25,119.40
277,2018-04-24,118.85
278,2018-04-23,119.27
279,2018-04-20,118.77
280,2018-04-19,121.12
281,2018-04-18,123.57
282,2018-04-17,124.33
283,2018-04-16,123.92
284,2018-04-13,122.30
285,2018-04-12,122.33
286,2018-04-11,122.81
287,2018-04-10,122.81
288,2018-04-09,123.67
289,2018-04-06,122.74
290,2018-04-05,123.95
291,2018-04-04,123.58
292,2018-04-03,121.54
293,2018-04-02,120.19
294,2018-03-29,123.50
295,2018-03-28,122.12
296,2018-03-27,121.11
297,2018-03-26,121.26
298,2018-03-23,119.32
299,2018-03-22,120.53
300,2018-03-21,121.71
301,2018-03-20,123.49
302,2018-03-19,123.87
303,2018-03-16,124.79
304,2018-03-15,124.27
305,2018-03-14,125.72
306,2018-03-13,126.86
307,2018-03-12,126.88
308,2018-03-09,126.50
309,2018-03-08,125.81
310,2018-03-07,125.25
311,2018-03-06,126.47
312,2018-03-05,126.20
313,2018-03-02,125.16
314,2018-03-01,123.89
315,2018-02-28,124.66
316,2018-02-27,125.42
317,2018-02-26,126.86
318,2018-02-23,126.16
319,2018-02-22,125.19
320,2018-02-21,125.28
321,2018-02-20,126.87
322,2018-02-16,129.06
323,2018-02-15,128.37
324,2018-02-14,126.54
325,2018-02-13,125.69
326,2018-02-12,125.22
327,2018-02-09,124.44
328,2018-02-08,123.65
329,2018-02-07,125.57
330,2018-02-06,126.05
331,2018-02-05,124.56
332,2018-02-02,128.32
333,2018-02-01,131.46
334,2018-01-31,132.29
335,2018-01-30,132.76
336,2018-01-29,133.47
337,2018-01-26,133.36
338,2018-01-25,132.93
339,2018-01-24,132.18
340,2018-01-23,132.31
341,2018-01-22,132.27
342,2018-01-19,131.30
343,2018-01-18,129.95
344,2018-01-17,130.73
345,2018-01-16,129.17
346,2018-01-12,128.65
347,2018-01-11,128.81
348,2018-01-10,129.26
349,2018-01-09,130.38
350,2018-01-08,130.52
351,2018-01-05,130.03
352,2018-01-04,129.42
353,2018-01-03,128.91
354,2018-01-02,129.25
355,2017-12-29,129.90
356,2017-12-28,129.99
357,2017-12-27,130.18
358,2017-12-26,130.23
359,2017-12-22,129.94
360,2017-12-21,129.52
361,2017-12-20,129.39
362,2017-12-19,129.33
363,2017-12-18,129.33
364,2017-12-15,128.98
365,2017-12-14,127.59
366,2017-12-13,128.22
367,2017-12-12,127.85
368,2017-12-11,127.67
369,2017-12-08,127.84
370,2017-12-07,127.39
371,2017-12-06,128.12
372,2017-12-05,127.43
373,2017-12-04,128.03
374,2017-12-01,125.94
375,2017-11-30,125.86
376,2017-11-29,124.67
377,2017-11-28,123.27
378,2017-11-27,122.34
379,2017-11-24,122.04
380,2017-11-22,122.12
381,2017-11-21,122.11
382,2017-11-20,122.30
383,2017-11-17,122.18
384,2017-11-16,122.02
385,2017-11-15,120.22
386,2017-11-14,121.68
387,2017-11-13,120.91
388,2017-11-10,120.19
389,2017-11-09,118.87
390,2017-11-08,118.52
391,2017-11-07,116.86
392,2017-11-06,115.73
393,2017-11-03,117.14
394,2017-11-02,117.40
395,2017-11-01,117.97
396,2017-10-31,117.48
397,2017-10-30,115.77
398,2017-10-27,116.73
399,2017-10-26,117.50
400,2017-10-25,117.62
401,2017-10-24,118.09
402,2017-10-23,118.41
403,2017-10-20,118.17
404,2017-10-19,118.19
405,2017-10-18,118.59
406,2017-10-17,118.89
407,2017-10-16,119.32
408,2017-10-13,119.32
409,2017-10-12,119.15
410,2017-10-11,118.61
411,2017-10-10,118.24
412,2017-10-09,117.19
413,2017-10-06,118.14
414,2017-10-05,119.10
415,2017-10-04,118.55
416,2017-10-03,117.99
417,2017-10-02,118.12
418,2017-09-29,118.40
419,2017-09-28,118.05
420,2017-09-27,117.92
421,2017-09-26,118.44
422,2017-09-25,118.17
423,2017-09-22,117.51
424,2017-09-21,117.84
425,2017-09-20,119.29
426,2017-09-19,120.56
427,2017-09-18,121.38
428,2017-09-15,121.21
429,2017-09-14,120.61
430,2017-09-13,120.82
431,2017-09-12,120.86
432,2017-09-11,120.57
433,2017-09-08,119.83
434,2017-09-07,120.15
435,2017-09-06,119.96
436,2017-09-05,119.46
437,2017-09-01,119.23
438,2017-08-31,118.67
439,2017-08-30,118.89
440,2017-08-29,118.54
441,2017-08-28,118.20
442,2017-08-25,118.89
443,2017-08-24,118.55
444,2017-08-23,120.78
445,2017-08-22,121.25
446,2017-08-21,121.38
447,2017-08-18,121.07
448,2017-08-17,121.20
449,2017-08-16,122.09
450,2017-08-15,121.74
451,2017-08-14,121.47
452,2017-08-11,120.67
453,2017-08-10,120.31
454,2017-08-09,120.86
455,2017-08-08,120.70
456,2017-08-07,121.36
457,2017-08-04,120.41
458,2017-08-03,120.76
459,2017-08-02,121.07
460,2017-08-01,120.96
461,2017-07-31,121.12
462,2017-07-28,121.11
463,2017-07-27,121.65
464,2017-07-26,120.67
465,2017-07-25,120.77
466,2017-07-24,119.70
467,2017-07-21,119.83
468,2017-07-20,119.41
469,2017-07-19,119.28
470,2017-07-18,118.95
471,2017-07-17,119.24
472,2017-07-14,119.09
473,2017-07-13,118.26
474,2017-07-12,117.95
475,2017-07-11,117.30
476,2017-07-10,117.60
477,2017-07-07,118.50
478,2017-07-06,118.57
479,2017-07-05,119.32
480,2017-07-03,119.81
481,2017-06-30,119.88
482,2017-06-29,119.62
483,2017-06-28,120.87
484,2017-06-27,120.47
485,2017-06-26,121.74
486,2017-06-23,121.38
487,2017-06-22,121.29
488,2017-06-21,121.94
489,2017-06-20,122.35
490,2017-06-19,122.98
491,2017-06-16,122.43
492,2017-06-15,123.11
493,2017-06-14,124.01
494,2017-06-13,123.52
495,2017-06-12,123.29
496,2017-06-09,123.11
497,2017-06-08,123.13
498,2017-06-07,124.04
499,2017-06-06,124.21
500,2017-06-05,124.48
501,2017-06-02,124.40
502,2017-06-01,124.16
503,2017-05-31,123.05
504,2017-05-30,122.76
505,2017-05-26,122.99
506,2017-05-25,122.55
507,2017-05-24,122.37
508,2017-05-23,121.84
509,2017-05-22,122.06
510,2017-05-19,120.97
511,2017-05-18,120.27
512,2017-05-17,120.32
513,2017-05-16,120.30
514,2017-05-15,120.58
515,2017-05-12,120.32
516,2017-05-11,120.79
517,2017-05-10,120.64
518,2017-05-09,120.06
519,2017-05-08,120.67
520,2017-05-05,120.78
521,2017-05-04,120.47
522,2017-05-03,119.22
523,2017-05-02,119.05
524,2017-05-01,120.04
525,2017-04-28,120.69
526,2017-04-27,120.65
527,2017-04-26,120.72
528,2017-04-25,121.64
529,2017-04-24,121.38
530,2017-04-21,120.36
531,2017-04-20,120.74
532,2017-04-19,120.54
533,2017-04-18,121.12
534,2017-04-17,120.35
535,2017-04-13,119.50
536,2017-04-12,120.09
537,2017-04-11,119.51
538,2017-04-10,119.72
539,2017-04-07,119.08
540,2017-04-06,118.96
541,2017-04-05,118.70
542,2017-04-04,118.87
543,2017-04-03,118.71
544,2017-03-31,119.05
545,2017-03-30,119.05
546,2017-03-29,119.58
547,2017-03-28,119.40
548,2017-03-27,119.16
549,2017-03-24,119.63
550,2017-03-23,119.73
551,2017-03-22,119.91
552,2017-03-21,119.91
553,2017-03-20,120.39
554,2017-03-17,120.37
555,2017-03-16,120.40
556,2017-03-15,120.51
557,2017-03-14,119.48
558,2017-03-13,119.72
559,2017-03-10,119.81
560,2017-03-09,119.22
561,2017-03-08,118.90
562,2017-03-07,119.21
563,2017-03-06,119.63
564,2017-03-03,120.27
565,2017-03-02,120.63
566,2017-03-01,120.56
567,2017-02-28,119.98
568,2017-02-27,119.73
569,2017-02-24,120.58
570,2017-02-23,120.14
571,2017-02-22,120.26
572,2017-02-21,120.52
573,2017-02-17,119.37
574,2017-02-16,118.79
575,2017-02-15,119.06
576,2017-02-14,118.31
577,2017-02-13,117.99
578,2017-02-10,118.04
579,2017-02-09,117.72
580,2017-02-08,117.21
581,2017-02-07,116.65
582,2017-02-06,115.74
583,2017-02-03,116.46
584,2017-02-02,115.81
585,2017-02-01,114.42
586,2017-01-31,115.17
587,2017-01-30,114.72
588,2017-01-27,114.93
589,2017-01-26,115.67
590,2017-01-25,116.25
591,2017-01-24,115.93
592,2017-01-23,115.07
593,2017-01-20,115.30
594,2017-01-19,114.68
595,2017-01-18,115.24
596,2017-01-17,114.90
597,2017-01-13,113.47
598,2017-01-12,113.26
599,2017-01-11,113.19
600,2017-01-10,113.00
601,2017-01-09,113.67
602,2017-01-06,114.58
603,2017-01-05,114.52
604,2017-01-04,114.60
605,2017-01-03,114.28
606,2016-12-30,113.74
607,2016-12-29,114.42
608,2016-12-28,113.85
609,2016-12-27,114.70
610,2016-12-23,114.56
611,2016-12-22,114.35
612,2016-12-21,114.48
613,2016-12-20,114.29
614,2016-12-19,114.53
615,2016-12-16,114.47
616,2016-12-15,113.95
617,2016-12-14,113.30
618,2016-12-13,114.37
619,2016-12-12,113.85
620,2016-12-09,113.71
621,2016-12-08,112.24
622,2016-12-07,112.28
623,2016-12-06,110.82
624,2016-12-05,110.47
625,2016-12-02,110.19
626,2016-12-01,109.53
627,2016-11-30,110.45
628,2016-11-29,112.57
629,2016-11-28,112.40
630,2016-11-25,112.37
631,2016-11-23,111.48
632,2016-11-22,112.24
633,2016-11-21,111.33
634,2016-11-18,110.69
635,2016-11-17,110.89
636,2016-11-16,111.10
637,2016-11-15,111.23
638,2016-11-14,110.35
639,2016-11-11,110.08
640,2016-11-10,110.16
641,2016-11-09,113.37
642,2016-11-08,115.10
643,2016-11-07,114.25
644,2016-11-04,112.21
645,2016-11-03,113.21
646,2016-11-02,114.40
647,2016-11-01,114.76
648,2016-10-31,115.34
649,2016-10-28,115.05
650,2016-10-27,114.03
651,2016-10-26,114.81
652,2016-10-25,114.95
653,2016-10-24,114.76
654,2016-10-21,114.22
655,2016-10-20,113.67
656,2016-10-19,114.05
657,2016-10-18,114.58
658,2016-10-17,114.21
659,2016-10-14,114.69
660,2016-10-13,114.71
661,2016-10-12,114.66
662,2016-10-11,113.93
663,2016-10-10,114.61
664,2016-10-07,114.26
665,2016-10-06,114.94
666,2016-10-05,114.50
667,2016-10-04,114.43
668,2016-10-03,115.61
669,2016-09-30,116.08
670,2016-09-29,115.08
671,2016-09-28,115.81
672,2016-09-27,115.62
673,2016-09-26,115.29
674,2016-09-23,116.26
675,2016-09-22,116.69
676,2016-09-21,115.79
677,2016-09-20,114.86
678,2016-09-19,114.86
679,2016-09-16,114.80
680,2016-09-15,115.25
681,2016-09-14,114.28
682,2016-09-13,114.70
683,2016-09-12,116.13
684,2016-09-09,114.31
685,2016-09-08,117.59
686,2016-09-07,118.37
687,2016-09-06,119.97
688,2016-09-02,119.85
689,2016-09-01,118.77
690,2016-08-31,119.23
691,2016-08-30,119.17
692,2016-08-29,120.13
693,2016-08-26,119.42
694,2016-08-25,119.93
695,2016-08-24,120.24
696,2016-08-23,120.50
697,2016-08-22,121.14
698,2016-08-19,120.84
699,2016-08-18,120.89
700,2016-08-17,120.46
701,2016-08-16,120.06
702,2016-08-15,120.85
703,2016-08-12,121.05
704,2016-08-11,120.69
705,2016-08-10,120.83
706,2016-08-09,120.41
707,2016-08-08,120.05
708,2016-08-05,120.16
709,2016-08-04,119.97
710,2016-08-03,119.32
711,2016-08-02,120.10
712,2016-08-01,120.68
713,2016-07-29,120.76
714,2016-07-28,120.18
715,2016-07-27,119.75
716,2016-07-26,121.37
717,2016-07-25,122.36
718,2016-07-22,122.26
719,2016-07-21,121.59
720,2016-07-20,121.99
721,2016-07-19,122.44
722,2016-07-18,122.36
723,2016-07-15,122.63
724,2016-07-14,122.64
725,2016-07-13,122.48
726,2016-07-12,121.85
727,2016-07-11,122.62
728,2016-07-08,122.87
729,2016-07-07,121.58
730,2016-07-06,121.78
731,2016-07-05,121.80
732,2016-07-01,121.34
733,2016-06-30,121.78
734,2016-06-29,118.22
735,2016-06-28,116.91
736,2016-06-27,116.54
737,2016-06-24,116.47
738,2016-06-23,118.34
739,2016-06-22,117.50
740,2016-06-21,117.61
741,2016-06-20,117.16
742,2016-06-17,116.75
743,2016-06-16,117.34
744,2016-06-15,116.33
745,2016-06-14,116.75
746,2016-06-13,116.53
747,2016-06-10,117.57
748,2016-06-09,117.64
749,2016-06-08,116.81
750,2016-06-07,116.19
751,2016-06-06,116.20
752,2016-06-03,116.27
753,2016-06-02,115.66
754,2016-06-01,115.54
755,2016-05-31,114.59
756,2016-05-27,115.14
757,2016-05-26,114.99
758,2016-05-25,114.39
759,2016-05-24,114.33
760,2016-05-23,113.15
761,2016-05-20,113.09
762,2016-05-19,113.70
763,2016-05-18,112.84
764,2016-05-17,114.04
765,2016-05-16,116.28
766,2016-05-13,115.84
767,2016-05-12,117.00
768,2016-05-11,116.41
769,2016-05-10,117.19
770,2016-05-09,115.95
771,2016-05-06,115.01
772,2016-05-05,114.57
773,2016-05-04,114.33
774,2016-05-03,114.15
775,2016-05-02,114.62
776,2016-04-29,113.42
777,2016-04-28,113.28
778,2016-04-27,113.04
779,2016-04-26,112.30
780,2016-04-25,112.48
781,2016-04-22,111.66
782,2016-04-21,111.29
783,2016-04-20,113.65
784,2016-04-19,114.46
785,2016-04-18,114.38
786,2016-04-15,114.07
787,2016-04-14,113.45
788,2016-04-13,113.93
789,2016-04-12,114.75
790,2016-04-11,114.19
791,2016-04-08,114.95
792,2016-04-07,114.50
793,2016-04-06,115.67
794,2016-04-05,114.62
795,2016-04-04,115.40
796,2016-04-01,115.89
797,2016-03-31,114.47
798,2016-03-30,114.96
799,2016-03-29,114.39
800,2016-03-28,113.40
801,2016-03-24,112.83
802,2016-03-23,113.10
803,2016-03-22,112.91
804,2016-03-21,113.72
805,2016-03-18,113.86
806,2016-03-17,114.17
807,2016-03-16,113.64
808,2016-03-15,113.27
809,2016-03-14,112.88
810,2016-03-11,112.97
811,2016-03-10,112.21
812,2016-03-09,112.27
813,2016-03-08,111.39
814,2016-03-07,111.18
815,2016-03-04,112.07
816,2016-03-03,111.63
817,2016-03-02,111.02
818,2016-03-01,110.93
819,2016-02-29,110.24
820,2016-02-26,110.31
821,2016-02-25,111.62
822,2016-02-24,110.30
823,2016-02-23,109.84
824,2016-02-22,109.77
825,2016-02-19,109.53
826,2016-02-18,109.29
827,2016-02-17,109.68
828,2016-02-16,108.56
829,2016-02-12,107.40
830,2016-02-11,105.85
831,2016-02-10,106.61
832,2016-02-09,106.39
833,2016-02-08,105.67
834,2016-02-05,105.99
835,2016-02-04,106.04
836,2016-02-03,107.08
837,2016-02-02,107.50
838,2016-02-01,108.98
839,2016-01-29,108.14
840,2016-01-28,106.10
841,2016-01-27,104.68
842,2016-01-26,104.98
843,2016-01-25,103.98
844,2016-01-22,105.13
845,2016-01-21,103.19
846,2016-01-20,103.08
847,2016-01-19,104.16
848,2016-01-15,103.33
849,2016-01-14,104.92
850,2016-01-13,104.41
851,2016-01-12,106.72
852,2016-01-11,105.97
853,2016-01-08,105.31
854,2016-01-07,106.01
855,2016-01-06,107.44
856,2016-01-05,107.80
857,2016-01-04,107.15
858,2015-12-31,108.62
859,2015-12-30,109.80
860,2015-12-29,110.21
861,2015-12-28,109.34
862,2015-12-24,109.46
863,2015-12-23,109.65
864,2015-12-22,108.80
865,2015-12-21,107.47
866,2015-12-18,106.42
867,2015-12-17,108.03
868,2015-12-16,109.38
869,2015-12-15,107.63
870,2015-12-14,106.87
