,Date,NAV
1,2019-05-30,40.95
2,2019-05-29,40.78
3,2019-05-28,41.51
4,2019-05-24,42.91
5,2019-05-23,43.11
6,2019-05-22,43.51
7,2019-05-21,43.65
8,2019-05-20,43.62
9,2019-05-17,44.49
10,2019-05-16,44.89
11,2019-05-15,44.30
12,2019-05-14,43.64
13,2019-05-13,42.94
14,2019-05-10,44.05
15,2019-05-09,43.58
16,2019-05-08,43.89
17,2019-05-07,43.84
18,2019-05-06,44.89
19,2019-05-03,45.36
20,2019-05-02,44.74
21,2019-05-01,44.91
22,2019-04-30,45.81
23,2019-04-29,45.13
24,2019-04-26,44.90
25,2019-04-25,43.92
26,2019-04-24,44.87
27,2019-04-23,44.89
28,2019-04-22,44.75
29,2019-04-18,44.95
30,2019-04-17,44.83
31,2019-04-16,44.51
32,2019-04-15,44.47
33,2019-04-12,44.25
34,2019-04-11,43.90
35,2019-04-10,43.72
36,2019-04-09,43.27
37,2019-04-08,43.64
38,2019-04-05,43.31
39,2019-04-04,43.17
40,2019-04-03,42.76
41,2019-04-02,43.06
42,2019-04-01,43.38
43,2019-03-29,42.97
44,2019-03-28,42.63
45,2019-03-27,41.98
46,2019-03-26,42.14
47,2019-03-25,41.45
48,2019-03-22,41.29
49,2019-03-21,42.09
50,2019-03-20,40.91
51,2019-03-19,41.37
52,2019-03-18,41.54
53,2019-03-15,41.37
54,2019-03-14,41.13
55,2019-03-13,41.38
56,2019-03-12,40.88
57,2019-03-11,41.03
58,2019-03-08,39.91
59,2019-03-07,40.06
60,2019-03-06,40.34
61,2019-03-05,40.56
62,2019-03-04,40.65
63,2019-03-01,40.93
64,2019-02-28,40.71
65,2019-02-27,40.67
66,2019-02-26,40.67
67,2019-02-25,40.65
68,2019-02-22,40.89
69,2019-02-21,41.01
70,2019-02-20,40.83
71,2019-02-19,40.78
72,2019-02-15,40.59
73,2019-02-14,40.10
74,2019-02-13,40.97
75,2019-02-12,40.77
76,2019-02-11,39.80
77,2019-02-08,39.53
78,2019-02-07,39.01
79,2019-02-06,39.49
80,2019-02-05,39.80
81,2019-02-04,39.42
82,2019-02-01,39.14
83,2019-01-31,39.34
84,2019-01-30,38.00
85,2019-01-29,37.21
86,2019-01-28,37.10
87,2019-01-25,37.02
88,2019-01-24,36.68
89,2019-01-23,37.15
90,2019-01-22,36.56
91,2019-01-18,37.69
92,2019-01-17,36.83
93,2019-01-16,36.39
94,2019-01-15,36.81
95,2019-01-14,36.18
96,2019-01-11,36.29
97,2019-01-10,36.26
98,2019-01-09,35.93
99,2019-01-08,36.20
100,2019-01-07,35.41
101,2019-01-04,34.96
102,2019-01-03,33.25
103,2019-01-02,33.94
104,2018-12-31,33.93
105,2018-12-28,33.98
106,2018-12-27,33.92
107,2018-12-26,33.55
108,2018-12-24,31.66
109,2018-12-21,33.78
110,2018-12-20,34.06
111,2018-12-19,35.30
112,2018-12-18,36.16
113,2018-12-17,36.58
114,2018-12-14,38.47
115,2018-12-13,39.48
116,2018-12-12,39.38
117,2018-12-11,39.31
118,2018-12-10,38.81
119,2018-12-07,39.42
120,2018-12-06,39.41
121,2018-12-04,41.90
122,2018-12-03,41.89
123,2018-11-30,41.10
124,2018-11-29,41.10
125,2018-11-28,40.43
126,2018-11-27,40.33
127,2018-11-26,40.15
128,2018-11-23,39.74
129,2018-11-21,39.75
130,2018-11-20,39.86
131,2018-11-19,40.91
132,2018-11-16,41.31
133,2018-11-15,40.60
134,2018-11-14,41.15
135,2018-11-13,41.68
136,2018-11-12,41.99
137,2018-11-09,42.35
138,2018-11-08,42.35
139,2018-11-07,42.91
140,2018-11-06,42.45
141,2018-11-05,42.46
142,2018-11-02,41.30
143,2018-11-01,41.75
144,2018-10-31,41.65
145,2018-10-30,41.11
146,2018-10-29,39.47
147,2018-10-26,39.47
148,2018-10-25,39.96
149,2018-10-24,38.94
150,2018-10-23,38.94
151,2018-10-22,39.34
152,2018-10-19,40.08
153,2018-10-18,39.85
154,2018-10-17,39.76
155,2018-10-16,39.61
156,2018-10-15,39.37
157,2018-10-12,38.36
158,2018-10-11,38.66
159,2018-10-10,40.35
160,2018-10-09,41.27
161,2018-10-08,41.27
162,2018-10-05,41.27
163,2018-10-04,41.27
164,2018-10-03,42.18
165,2018-10-02,42.80
166,2018-10-01,42.98
167,2018-09-28,42.79
168,2018-09-27,42.79
169,2018-09-26,43.41
170,2018-09-25,42.92
171,2018-09-24,43.62
172,2018-09-21,44.84
173,2018-09-20,44.65
174,2018-09-19,43.84
175,2018-09-18,43.79
176,2018-09-17,43.88
177,2018-09-14,43.88
178,2018-09-13,43.79
179,2018-09-12,43.67
180,2018-09-11,42.22
181,2018-09-10,42.22
182,2018-09-07,42.22
183,2018-09-06,42.52
184,2018-09-05,42.54
185,2018-09-04,41.78
186,2018-08-31,42.27
187,2018-08-30,42.32
188,2018-08-29,43.35
189,2018-08-28,43.13
190,2018-08-27,43.54
191,2018-08-24,44.68
192,2018-08-23,44.68
193,2018-08-22,44.68
194,2018-08-21,44.68
195,2018-08-20,44.40
196,2018-08-17,44.05
197,2018-08-16,42.62
198,2018-08-15,42.62
199,2018-08-14,43.13
200,2018-08-13,42.69
201,2018-08-10,42.96
202,2018-08-09,43.71
203,2018-08-08,44.03
204,2018-08-07,43.93
205,2018-08-06,44.48
206,2018-08-03,43.62
207,2018-08-02,43.62
208,2018-08-01,42.53
209,2018-07-31,42.74
210,2018-07-30,42.74
211,2018-07-27,43.38
212,2018-07-26,43.41
213,2018-07-25,42.59
214,2018-07-24,42.86
215,2018-07-23,43.05
216,2018-07-20,43.53
217,2018-07-19,43.75
218,2018-07-18,43.45
219,2018-07-17,44.04
220,2018-07-16,42.97
221,2018-07-13,43.48
222,2018-07-12,43.15
223,2018-07-11,43.40
224,2018-07-10,42.86
225,2018-07-09,42.86
226,2018-07-06,43.18
227,2018-07-05,42.37
228,2018-07-03,41.85
229,2018-07-02,41.46
230,2018-06-29,42.60
231,2018-06-28,41.95
232,2018-06-27,41.54
233,2018-06-26,42.13
234,2018-06-25,41.71
235,2018-06-22,42.15
236,2018-06-21,41.97
237,2018-06-20,42.60
238,2018-06-19,42.28
239,2018-06-18,42.54
240,2018-06-15,43.08
241,2018-06-14,42.63
242,2018-06-13,42.43
243,2018-06-12,42.75
244,2018-06-11,42.50
245,2018-06-08,41.66
246,2018-06-07,40.86
247,2018-06-06,40.21
248,2018-06-05,39.96
249,2018-06-04,39.96
250,2018-06-01,39.38
251,2018-05-31,39.00
252,2018-05-30,39.86
253,2018-05-29,38.70
254,2018-05-25,39.31
255,2018-05-24,39.31
256,2018-05-23,39.31
257,2018-05-22,39.07
258,2018-05-21,39.23
259,2018-05-18,38.75
260,2018-05-17,38.79
261,2018-05-16,38.79
262,2018-05-15,37.95
263,2018-05-14,38.80
264,2018-05-11,38.78
265,2018-05-10,38.85
266,2018-05-09,38.16
267,2018-05-08,37.82
268,2018-05-07,38.50
269,2018-05-04,38.10
270,2018-05-03,37.52
271,2018-05-02,37.52
272,2018-05-01,37.93
273,2018-04-30,39.10
274,2018-04-27,39.10
275,2018-04-26,39.28
276,2018-04-25,38.88
277,2018-04-24,38.70
278,2018-04-23,39.41
279,2018-04-20,40.34
280,2018-04-19,40.87
281,2018-04-18,43.46
282,2018-04-17,43.85
283,2018-04-16,43.78
284,2018-04-13,43.17
285,2018-04-12,42.89
286,2018-04-11,43.03
287,2018-04-10,43.43
288,2018-04-09,43.16
289,2018-04-06,42.87
290,2018-04-05,43.60
291,2018-04-04,43.08
292,2018-04-03,41.29
293,2018-04-02,40.44
294,2018-03-29,42.62
295,2018-03-28,41.71
296,2018-03-27,41.28
297,2018-03-26,41.36
298,2018-03-23,41.28
299,2018-03-22,41.67
300,2018-03-21,42.72
301,2018-03-20,43.25
302,2018-03-19,43.25
303,2018-03-16,44.57
304,2018-03-15,44.29
305,2018-03-14,44.98
306,2018-03-13,45.79
307,2018-03-12,45.79
308,2018-03-09,45.69
309,2018-03-08,45.34
310,2018-03-07,44.46
311,2018-03-06,44.75
312,2018-03-05,44.51
313,2018-03-02,43.30
314,2018-03-01,42.99
315,2018-02-28,44.68
316,2018-02-27,44.87
317,2018-02-26,46.09
318,2018-02-23,45.02
319,2018-02-22,44.60
320,2018-02-21,44.60
321,2018-02-20,45.53
322,2018-02-16,46.52
323,2018-02-15,46.54
324,2018-02-14,45.26
325,2018-02-13,44.97
326,2018-02-12,45.26
327,2018-02-09,44.07
328,2018-02-08,42.98
329,2018-02-07,46.93
330,2018-02-06,45.37
331,2018-02-05,44.83
332,2018-02-02,47.91
333,2018-02-01,49.36
334,2018-01-31,49.79
335,2018-01-30,50.13
336,2018-01-29,50.75
337,2018-01-26,50.81
338,2018-01-25,50.54
339,2018-01-24,51.12
340,2018-01-23,51.48
341,2018-01-22,51.25
342,2018-01-19,50.55
343,2018-01-18,50.13
344,2018-01-17,50.30
345,2018-01-16,49.21
346,2018-01-12,49.06
347,2018-01-11,49.06
348,2018-01-10,49.19
349,2018-01-09,49.69
350,2018-01-08,49.55
351,2018-01-05,49.01
352,2018-01-04,48.70
353,2018-01-03,48.35
354,2018-01-02,48.20
355,2017-12-29,48.58
356,2017-12-28,48.58
357,2017-12-27,48.78
358,2017-12-26,48.55
359,2017-12-22,48.33
360,2017-12-21,48.56
361,2017-12-20,48.38
362,2017-12-19,48.63
363,2017-12-18,48.89
364,2017-12-15,48.56
365,2017-12-14,48.00
366,2017-12-13,48.02
367,2017-12-12,47.43
368,2017-12-11,47.24
369,2017-12-08,47.18
370,2017-12-07,47.08
371,2017-12-06,47.35
372,2017-12-05,47.10
373,2017-12-04,47.31
374,2017-12-01,46.60
375,2017-11-30,46.55
376,2017-11-29,46.07
377,2017-11-28,45.87
378,2017-11-27,45.23
379,2017-11-24,45.20
380,2017-11-22,44.99
381,2017-11-21,45.03
382,2017-11-20,44.90
383,2017-11-17,44.79
384,2017-11-16,44.90
385,2017-11-15,44.08
386,2017-11-14,44.65
387,2017-11-13,44.37
388,2017-11-10,43.78
389,2017-11-09,43.17
390,2017-11-08,43.12
391,2017-11-07,42.29
392,2017-11-06,42.03
393,2017-11-03,42.85
394,2017-11-02,42.85
395,2017-11-01,43.75
396,2017-10-31,43.71
397,2017-10-30,43.17
398,2017-10-27,43.83
399,2017-10-26,44.33
400,2017-10-25,43.66
401,2017-10-24,44.33
402,2017-10-23,44.31
403,2017-10-20,44.53
404,2017-10-19,44.43
405,2017-10-18,45.20
406,2017-10-17,45.20
407,2017-10-16,45.36
408,2017-10-13,45.36
409,2017-10-12,45.17
410,2017-10-11,45.01
411,2017-10-10,44.51
412,2017-10-09,44.25
413,2017-10-06,44.52
414,2017-10-05,44.89
415,2017-10-04,44.64
416,2017-10-03,44.04
417,2017-10-02,43.96
418,2017-09-29,43.80
419,2017-09-28,43.73
420,2017-09-27,43.42
421,2017-09-26,44.21
422,2017-09-25,43.78
423,2017-09-22,43.52
424,2017-09-21,43.57
425,2017-09-20,44.33
426,2017-09-19,44.85
427,2017-09-18,44.85
428,2017-09-15,44.89
429,2017-09-14,44.72
430,2017-09-13,44.76
431,2017-09-12,44.62
432,2017-09-11,44.66
433,2017-09-08,43.79
434,2017-09-07,44.02
435,2017-09-06,44.02
436,2017-09-05,43.59
437,2017-09-01,43.83
438,2017-08-31,43.63
439,2017-08-30,43.24
440,2017-08-29,43.24
441,2017-08-28,43.12
442,2017-08-25,43.45
443,2017-08-24,43.45
444,2017-08-23,43.70
445,2017-08-22,43.66
446,2017-08-21,43.86
447,2017-08-18,43.82
448,2017-08-17,45.03
449,2017-08-16,45.17
450,2017-08-15,44.81
451,2017-08-14,44.67
452,2017-08-11,43.99
453,2017-08-10,43.99
454,2017-08-09,44.89
455,2017-08-08,44.89
456,2017-08-07,44.67
457,2017-08-04,44.49
458,2017-08-03,44.49
459,2017-08-02,43.99
460,2017-08-01,44.16
461,2017-07-31,44.50
462,2017-07-28,44.46
463,2017-07-27,45.42
464,2017-07-26,45.21
465,2017-07-25,45.12
466,2017-07-24,44.88
467,2017-07-21,45.29
468,2017-07-20,45.24
469,2017-07-19,44.95
470,2017-07-18,44.66
471,2017-07-17,44.57
472,2017-07-14,44.40
473,2017-07-13,43.96
474,2017-07-12,44.09
475,2017-07-11,43.48
476,2017-07-10,43.55
477,2017-07-07,43.44
478,2017-07-06,43.44
479,2017-07-05,44.41
480,2017-07-03,44.84
481,2017-06-30,44.62
482,2017-06-29,43.27
483,2017-06-28,45.02
484,2017-06-27,44.59
485,2017-06-26,45.69
486,2017-06-23,45.27
487,2017-06-22,45.38
488,2017-06-21,45.61
489,2017-06-20,45.78
490,2017-06-19,45.43
491,2017-06-16,45.53
492,2017-06-15,45.67
493,2017-06-14,45.61
494,2017-06-13,45.29
495,2017-06-12,45.08
496,2017-06-09,44.89
497,2017-06-08,45.06
498,2017-06-07,45.86
499,2017-06-06,45.81
500,2017-06-05,45.81
501,2017-06-02,45.76
502,2017-06-01,44.98
503,2017-05-31,44.91
504,2017-05-30,44.57
505,2017-05-26,44.33
506,2017-05-25,44.37
507,2017-05-24,43.49
508,2017-05-23,43.18
509,2017-05-22,42.63
510,2017-05-19,42.22
511,2017-05-18,41.89
512,2017-05-17,42.02
513,2017-05-16,42.29
514,2017-05-15,42.42
515,2017-05-12,42.39
516,2017-05-11,42.39
517,2017-05-10,42.39
518,2017-05-09,41.97
519,2017-05-08,42.26
520,2017-05-05,42.18
521,2017-05-04,41.65
522,2017-05-03,41.30
523,2017-05-02,41.54
524,2017-05-01,41.91
525,2017-04-28,42.23
526,2017-04-27,42.54
527,2017-04-26,42.67
528,2017-04-25,43.21
529,2017-04-24,42.70
530,2017-04-21,41.90
531,2017-04-20,42.58
532,2017-04-19,42.19
533,2017-04-18,42.39
534,2017-04-17,42.30
535,2017-04-13,41.77
536,2017-04-12,42.10
537,2017-04-11,42.10
538,2017-04-10,42.10
539,2017-04-07,41.82
540,2017-04-06,41.82
541,2017-04-05,41.47
542,2017-04-04,41.82
543,2017-04-03,41.95
544,2017-03-31,42.39
545,2017-03-30,42.69
546,2017-03-29,42.69
547,2017-03-28,42.39
548,2017-03-27,42.06
549,2017-03-24,42.12
550,2017-03-23,42.12
551,2017-03-22,42.28
552,2017-03-21,42.61
553,2017-03-20,43.30
554,2017-03-17,43.42
555,2017-03-16,43.17
556,2017-03-15,43.43
557,2017-03-14,42.49
558,2017-03-13,42.62
559,2017-03-10,42.48
560,2017-03-09,41.74
561,2017-03-08,41.61
562,2017-03-07,41.76
563,2017-03-06,41.76
564,2017-03-03,42.31
565,2017-03-02,42.36
566,2017-03-01,42.54
567,2017-02-28,41.79
568,2017-02-27,41.50
569,2017-02-24,41.49
570,2017-02-23,41.83
571,2017-02-22,41.79
572,2017-02-21,41.85
573,2017-02-17,40.65
574,2017-02-16,40.43
575,2017-02-15,40.50
576,2017-02-14,39.95
577,2017-02-13,40.02
578,2017-02-10,40.02
579,2017-02-09,39.31
580,2017-02-08,39.15
581,2017-02-07,38.60
582,2017-02-06,38.72
583,2017-02-03,38.65
584,2017-02-02,38.43
585,2017-02-01,38.05
586,2017-01-31,38.19
587,2017-01-30,38.55
588,2017-01-27,38.37
589,2017-01-26,38.80
590,2017-01-25,39.30
591,2017-01-24,38.46
592,2017-01-23,38.08
593,2017-01-20,37.52
594,2017-01-19,37.52
595,2017-01-18,37.93
596,2017-01-17,36.78
597,2017-01-13,36.78
598,2017-01-12,36.74
599,2017-01-11,36.74
600,2017-01-10,36.54
601,2017-01-09,36.66
602,2017-01-06,37.50
603,2017-01-05,37.34
604,2017-01-04,36.61
605,2017-01-03,36.61
606,2016-12-30,36.70
607,2016-12-29,36.70
608,2016-12-28,36.70
609,2016-12-27,36.85
610,2016-12-23,36.89
611,2016-12-22,36.89
612,2016-12-21,37.21
613,2016-12-20,36.96
614,2016-12-19,36.47
615,2016-12-16,36.47
616,2016-12-15,36.47
617,2016-12-14,36.69
618,2016-12-13,37.41
619,2016-12-12,37.13
620,2016-12-09,36.97
621,2016-12-08,36.31
622,2016-12-07,35.36
623,2016-12-06,34.70
624,2016-12-05,34.92
625,2016-12-02,34.27
626,2016-12-01,34.13
627,2016-11-30,34.69
628,2016-11-29,35.66
629,2016-11-28,35.46
630,2016-11-25,35.73
631,2016-11-23,35.58
632,2016-11-22,35.71
633,2016-11-21,35.14
634,2016-11-18,34.73
635,2016-11-17,35.02
636,2016-11-16,34.63
637,2016-11-15,34.41
638,2016-11-14,34.09
639,2016-11-11,34.57
640,2016-11-10,34.44
641,2016-11-09,36.03
642,2016-11-08,37.36
643,2016-11-07,36.54
644,2016-11-04,35.26
645,2016-11-03,35.90
646,2016-11-02,36.15
647,2016-11-01,36.17
648,2016-10-31,36.79
649,2016-10-28,36.40
650,2016-10-27,36.12
651,2016-10-26,36.74
652,2016-10-25,37.04
653,2016-10-24,37.27
654,2016-10-21,36.41
655,2016-10-20,36.41
656,2016-10-19,36.41
657,2016-10-18,36.74
658,2016-10-17,36.64
659,2016-10-14,36.59
660,2016-10-13,36.35
661,2016-10-12,36.92
662,2016-10-11,36.40
663,2016-10-10,37.01
664,2016-10-07,37.19
665,2016-10-06,37.19
666,2016-10-05,37.22
667,2016-10-04,37.56
668,2016-10-03,37.82
669,2016-09-30,38.22
670,2016-09-29,37.59
671,2016-09-28,37.87
672,2016-09-27,37.83
673,2016-09-26,37.80
674,2016-09-23,38.45
675,2016-09-22,38.64
676,2016-09-21,37.58
677,2016-09-20,37.40
678,2016-09-19,37.77
679,2016-09-16,37.27
680,2016-09-15,37.36
681,2016-09-14,37.28
682,2016-09-13,37.03
683,2016-09-12,38.33
684,2016-09-09,37.04
685,2016-09-08,39.24
686,2016-09-07,39.70
687,2016-09-06,39.78
688,2016-09-02,40.29
689,2016-09-01,39.45
690,2016-08-31,39.34
691,2016-08-30,39.43
692,2016-08-29,39.63
693,2016-08-26,39.98
694,2016-08-25,39.85
695,2016-08-24,39.90
696,2016-08-23,40.06
697,2016-08-22,39.79
698,2016-08-19,39.77
699,2016-08-18,39.73
700,2016-08-17,39.42
701,2016-08-16,39.38
702,2016-08-15,39.96
703,2016-08-12,39.86
704,2016-08-11,39.81
705,2016-08-10,39.81
706,2016-08-09,39.66
707,2016-08-08,39.42
708,2016-08-05,39.29
709,2016-08-04,38.90
710,2016-08-03,38.49
711,2016-08-02,39.03
712,2016-08-01,39.69
713,2016-07-29,39.69
714,2016-07-28,38.90
715,2016-07-27,39.24
716,2016-07-26,39.88
717,2016-07-25,40.59
718,2016-07-22,40.54
719,2016-07-21,40.14
720,2016-07-20,40.24
721,2016-07-19,40.38
722,2016-07-18,40.48
723,2016-07-15,40.56
724,2016-07-14,40.49
725,2016-07-13,40.49
726,2016-07-12,40.49
727,2016-07-11,40.36
728,2016-07-08,38.75
729,2016-07-07,38.75
730,2016-07-06,38.79
731,2016-07-05,38.62
732,2016-07-01,39.20
733,2016-06-30,38.42
734,2016-06-29,36.84
735,2016-06-28,36.11
736,2016-06-27,34.99
737,2016-06-24,36.11
738,2016-06-23,38.44
739,2016-06-22,38.02
740,2016-06-21,38.02
741,2016-06-20,37.29
742,2016-06-17,37.29
743,2016-06-16,37.41
744,2016-06-15,37.41
745,2016-06-14,36.85
746,2016-06-13,37.07
747,2016-06-10,37.98
748,2016-06-09,37.98
749,2016-06-08,37.94
750,2016-06-07,37.43
751,2016-06-06,37.43
752,2016-06-03,37.19
753,2016-06-02,36.88
754,2016-06-01,36.81
755,2016-05-31,36.39
756,2016-05-27,37.02
757,2016-05-26,36.74
758,2016-05-25,37.08
759,2016-05-24,36.32
760,2016-05-23,35.39
761,2016-05-20,35.39
762,2016-05-19,35.39
763,2016-05-18,35.39
764,2016-05-17,35.96
765,2016-05-16,37.22
766,2016-05-13,37.22
767,2016-05-12,37.56
768,2016-05-11,37.29
769,2016-05-10,37.57
770,2016-05-09,36.88
771,2016-05-06,36.25
772,2016-05-05,36.18
773,2016-05-04,36.94
774,2016-05-03,36.94
775,2016-05-02,36.94
776,2016-04-29,36.27
777,2016-04-28,36.40
778,2016-04-27,36.23
779,2016-04-26,36.32
780,2016-04-25,36.10
781,2016-04-22,35.75
782,2016-04-21,35.69
783,2016-04-20,36.74
784,2016-04-19,37.38
785,2016-04-18,37.09
786,2016-04-15,36.68
787,2016-04-14,36.61
788,2016-04-13,36.85
789,2016-04-12,36.81
790,2016-04-11,36.70
791,2016-04-08,36.68
792,2016-04-07,36.49
793,2016-04-06,36.94
794,2016-04-05,36.39
795,2016-04-04,36.89
796,2016-04-01,37.40
797,2016-03-31,36.66
798,2016-03-30,36.99
799,2016-03-29,36.59
800,2016-03-28,35.85
801,2016-03-24,35.85
802,2016-03-23,35.85
803,2016-03-22,36.14
804,2016-03-21,36.57
805,2016-03-18,36.35
806,2016-03-17,36.17
807,2016-03-16,35.26
808,2016-03-15,35.26
809,2016-03-14,35.09
810,2016-03-11,35.36
811,2016-03-10,34.42
812,2016-03-09,34.47
813,2016-03-08,34.59
814,2016-03-07,34.36
815,2016-03-04,34.03
816,2016-03-03,34.03
817,2016-03-02,33.58
818,2016-03-01,33.52
819,2016-02-29,32.77
820,2016-02-26,33.05
821,2016-02-25,33.30
822,2016-02-24,32.46
823,2016-02-23,32.39
824,2016-02-22,32.53
825,2016-02-19,31.77
826,2016-02-18,29.68
827,2016-02-17,29.68
828,2016-02-16,29.68
829,2016-02-12,29.68
830,2016-02-11,29.68
831,2016-02-10,29.82
832,2016-02-09,29.82
833,2016-02-08,29.82
834,2016-02-05,30.32
835,2016-02-04,30.80
836,2016-02-03,31.47
837,2016-02-02,31.47
838,2016-02-01,32.65
839,2016-01-29,31.61
840,2016-01-28,31.23
841,2016-01-27,30.72
842,2016-01-26,30.72
843,2016-01-25,30.41
844,2016-01-22,30.41
845,2016-01-21,29.77
846,2016-01-20,29.33
847,2016-01-19,29.79
848,2016-01-15,29.11
849,2016-01-14,30.29
850,2016-01-13,30.12
851,2016-01-12,31.17
852,2016-01-11,30.74
853,2016-01-08,30.98
854,2016-01-07,31.09
855,2016-01-06,32.25
856,2016-01-05,32.58
857,2016-01-04,32.53
858,2015-12-31,34.15
859,2015-12-30,34.68
860,2015-12-29,34.63
861,2015-12-28,34.20
862,2015-12-24,34.45
863,2015-12-23,34.58
864,2015-12-22,33.02
865,2015-12-21,32.81
866,2015-12-18,32.78
867,2015-12-17,34.07
868,2015-12-16,34.42
869,2015-12-15,33.38
870,2015-12-14,32.20
871,2015-12-11,32.02
872,2015-12-10,33.56
873,2015-12-09,33.75
874,2015-12-08,33.75
875,2015-12-07,34.19
876,2015-12-04,33.83
877,2015-12-03,32.75
878,2015-12-02,33.75
879,2015-12-01,33.90
880,2015-11-30,33.58
881,2015-11-27,32.57
882,2015-11-25,33.82
883,2015-11-24,33.82
884,2015-11-23,33.57
885,2015-11-20,33.15
886,2015-11-19,33.10
887,2015-11-18,32.16
888,2015-11-17,31.76
889,2015-11-16,31.92
890,2015-11-13,33.01
891,2015-11-12,33.01
892,2015-11-11,32.78
893,2015-11-10,32.78
894,2015-11-09,32.78
895,2015-11-06,33.06
896,2015-11-05,33.95
897,2015-11-04,34.09
898,2015-11-03,34.09
899,2015-11-02,34.03
900,2015-10-30,34.12
901,2015-10-29,34.46
902,2015-10-28,33.79
903,2015-10-27,33.96
904,2015-10-26,34.78
905,2015-10-23,34.75
906,2015-10-22,34.67
907,2015-10-21,33.77
908,2015-10-20,33.54
909,2015-10-19,33.66
910,2015-10-16,33.52
911,2015-10-15,32.69
912,2015-10-14,32.36
913,2015-10-13,32.65
914,2015-10-12,33.03
915,2015-10-09,32.66
916,2015-10-08,32.66
917,2015-10-07,31.70
918,2015-10-06,31.29
919,2015-10-05,31.29
920,2015-10-02,29.78
921,2015-10-01,29.78
922,2015-09-30,29.78
923,2015-09-29,28.98
924,2015-09-28,28.98
925,2015-09-25,29.80
926,2015-09-24,29.80
927,2015-09-23,29.85
928,2015-09-22,29.85
929,2015-09-21,30.72
930,2015-09-18,30.46
931,2015-09-17,31.44
932,2015-09-16,31.10
933,2015-09-15,30.46
934,2015-09-14,29.44
935,2015-09-11,29.18
936,2015-09-10,29.38
937,2015-09-09,30.21
938,2015-09-08,29.67
939,2015-09-04,30.23
940,2015-09-03,30.23
941,2015-09-02,28.64
942,2015-09-01,28.64
943,2015-08-31,29.95
944,2015-08-28,30.30
945,2015-08-27,29.52
946,2015-08-26,28.66
947,2015-08-25,28.73
948,2015-08-24,26.98
949,2015-08-21,30.88
950,2015-08-20,32.62
951,2015-08-19,33.30
952,2015-08-18,33.67
953,2015-08-17,33.55
954,2015-08-14,33.10
955,2015-08-13,33.10
956,2015-08-12,33.10
957,2015-08-11,33.49
958,2015-08-10,33.94
959,2015-08-07,33.41
960,2015-08-06,33.76
961,2015-08-05,33.77
962,2015-08-04,33.44
963,2015-08-03,33.26
964,2015-07-31,33.22
965,2015-07-30,33.48
966,2015-07-29,33.48
967,2015-07-28,32.25
968,2015-07-27,32.25
969,2015-07-24,32.55
970,2015-07-23,32.94
971,2015-07-22,33.21
972,2015-07-21,33.13
973,2015-07-20,33.35
974,2015-07-17,33.10
975,2015-07-16,33.10
976,2015-07-15,33.10
977,2015-07-14,33.14
978,2015-07-13,32.59
979,2015-07-10,31.38
980,2015-07-09,31.38
981,2015-07-08,31.82
982,2015-07-07,32.61
983,2015-07-06,31.90
984,2015-07-02,31.84
985,2015-07-01,31.84
986,2015-06-30,31.54
987,2015-06-29,31.63
988,2015-06-26,32.64
989,2015-06-25,32.79
990,2015-06-24,32.74
991,2015-06-23,32.76
992,2015-06-22,32.97
993,2015-06-19,32.87
994,2015-06-18,32.72
995,2015-06-17,32.01
996,2015-06-16,31.63
997,2015-06-15,30.88
998,2015-06-12,31.49
999,2015-06-11,30.95
1000,2015-06-10,30.95
1001,2015-06-09,30.95
1002,2015-06-08,31.09
1003,2015-06-05,31.02
1004,2015-06-04,31.30
1005,2015-06-03,31.77
1006,2015-06-02,31.77
1007,2015-06-01,31.94
1008,2015-05-29,32.15
1009,2015-05-28,32.15
1010,2015-05-27,32.16
1011,2015-05-26,31.92
1012,2015-05-22,32.88
1013,2015-05-21,32.88
1014,2015-05-20,32.68
1015,2015-05-19,32.81
1016,2015-05-18,32.81
1017,2015-05-15,32.74
1018,2015-05-14,32.60
1019,2015-05-13,32.45
1020,2015-05-12,32.45
1021,2015-05-11,32.45
1022,2015-05-08,32.46
1023,2015-05-07,31.70
1024,2015-05-06,31.95
1025,2015-05-05,31.95
1026,2015-05-04,31.48
