,Date,NAV
1,2019-05-30,56.41
2,2019-05-29,56.17
3,2019-05-28,56.58
4,2019-05-24,57.52
5,2019-05-23,57.73
6,2019-05-22,57.75
7,2019-05-21,57.49
8,2019-05-20,57.61
9,2019-05-17,57.75
10,2019-05-16,57.94
11,2019-05-15,57.49
12,2019-05-14,57.04
13,2019-05-13,56.77
14,2019-05-10,57.31
15,2019-05-09,56.62
16,2019-05-08,56.74
17,2019-05-07,56.75
18,2019-05-06,57.32
19,2019-05-03,57.41
20,2019-05-02,56.98
21,2019-05-01,57.00
22,2019-04-30,57.71
23,2019-04-29,57.05
24,2019-04-26,56.98
25,2019-04-25,56.47
26,2019-04-24,56.83
27,2019-04-23,56.71
28,2019-04-22,56.89
29,2019-04-18,56.87
30,2019-04-17,56.82
31,2019-04-16,56.54
32,2019-04-15,56.53
33,2019-04-12,56.20
34,2019-04-11,56.02
35,2019-04-10,55.91
36,2019-04-09,55.75
37,2019-04-08,55.82
38,2019-04-05,55.59
39,2019-04-04,55.40
40,2019-04-03,55.19
41,2019-04-02,55.46
42,2019-04-01,55.92
43,2019-03-29,56.11
44,2019-03-28,55.74
45,2019-03-27,55.47
46,2019-03-26,55.66
47,2019-03-25,55.19
48,2019-03-22,55.08
49,2019-03-21,55.15
50,2019-03-20,54.51
51,2019-03-19,54.74
52,2019-03-18,54.78
53,2019-03-15,54.70
54,2019-03-14,54.39
55,2019-03-13,54.44
56,2019-03-12,54.13
57,2019-03-11,54.11
58,2019-03-08,53.42
59,2019-03-07,53.39
60,2019-03-06,53.74
61,2019-03-05,53.82
62,2019-03-04,53.85
63,2019-03-01,53.94
64,2019-02-28,54.04
65,2019-02-27,53.79
66,2019-02-26,53.86
67,2019-02-25,53.84
68,2019-02-22,54.13
69,2019-02-21,54.39
70,2019-02-20,54.23
71,2019-02-19,54.33
72,2019-02-15,54.05
73,2019-02-14,53.55
74,2019-02-13,54.15
75,2019-02-12,54.05
76,2019-02-11,53.64
77,2019-02-08,53.50
78,2019-02-07,53.25
79,2019-02-06,53.29
80,2019-02-05,53.28
81,2019-02-04,53.27
82,2019-02-01,52.93
83,2019-01-31,53.10
84,2019-01-30,52.13
85,2019-01-29,51.79
86,2019-01-28,51.67
87,2019-01-25,51.45
88,2019-01-24,51.66
89,2019-01-23,52.30
90,2019-01-22,51.69
91,2019-01-18,52.16
92,2019-01-17,51.55
93,2019-01-16,51.33
94,2019-01-15,51.61
95,2019-01-14,51.10
96,2019-01-11,51.35
97,2019-01-10,51.20
98,2019-01-09,50.90
99,2019-01-08,51.38
100,2019-01-07,50.91
101,2019-01-04,50.98
102,2019-01-03,49.92
103,2019-01-02,50.20
104,2018-12-31,50.50
105,2018-12-28,50.29
106,2018-12-27,50.29
107,2018-12-26,49.82
108,2018-12-24,48.46
109,2018-12-21,49.91
110,2018-12-20,50.43
111,2018-12-19,51.35
112,2018-12-18,51.85
113,2018-12-17,52.47
114,2018-12-14,53.71
115,2018-12-13,54.64
116,2018-12-12,54.30
117,2018-12-11,54.37
118,2018-12-10,53.93
119,2018-12-07,53.93
120,2018-12-06,54.62
121,2018-12-04,54.56
122,2018-12-03,55.50
123,2018-11-30,55.45
124,2018-11-29,55.09
125,2018-11-28,55.00
126,2018-11-27,54.55
127,2018-11-26,54.07
128,2018-11-23,54.00
129,2018-11-21,53.81
130,2018-11-20,54.24
131,2018-11-19,55.16
132,2018-11-16,55.25
133,2018-11-15,55.11
134,2018-11-14,55.20
135,2018-11-13,55.57
136,2018-11-12,55.70
137,2018-11-09,56.00
138,2018-11-08,55.67
139,2018-11-07,55.64
140,2018-11-06,55.33
141,2018-11-05,54.99
142,2018-11-02,54.31
143,2018-11-01,54.60
144,2018-10-31,54.21
145,2018-10-30,54.73
146,2018-10-29,53.66
147,2018-10-26,53.05
148,2018-10-25,54.09
149,2018-10-24,53.96
150,2018-10-23,53.73
151,2018-10-22,53.49
152,2018-10-19,53.90
153,2018-10-18,52.70
154,2018-10-17,52.77
155,2018-10-16,52.52
156,2018-10-15,51.94
157,2018-10-12,51.62
158,2018-10-11,51.34
159,2018-10-10,52.64
160,2018-10-09,53.28
161,2018-10-08,53.40
162,2018-10-05,52.67
163,2018-10-04,52.72
164,2018-10-03,52.84
165,2018-10-02,53.42
166,2018-10-01,53.11
167,2018-09-28,53.15
168,2018-09-27,53.07
169,2018-09-26,53.14
170,2018-09-25,53.08
171,2018-09-24,53.40
172,2018-09-21,54.22
173,2018-09-20,54.14
174,2018-09-19,53.46
175,2018-09-18,53.56
176,2018-09-17,53.78
177,2018-09-14,53.59
178,2018-09-13,53.74
179,2018-09-12,53.81
180,2018-09-11,53.20
181,2018-09-10,53.39
182,2018-09-07,53.21
183,2018-09-06,53.32
184,2018-09-05,53.17
185,2018-09-04,52.56
186,2018-08-31,52.63
187,2018-08-30,52.65
188,2018-08-29,52.82
189,2018-08-28,52.76
190,2018-08-27,52.93
191,2018-08-24,52.90
192,2018-08-23,52.97
193,2018-08-22,53.10
194,2018-08-21,53.43
195,2018-08-20,53.81
196,2018-08-17,53.84
197,2018-08-16,53.43
198,2018-08-15,52.68
199,2018-08-14,52.46
200,2018-08-13,52.10
201,2018-08-10,52.10
202,2018-08-09,52.30
203,2018-08-08,52.45
204,2018-08-07,52.86
205,2018-08-06,53.18
206,2018-08-03,53.13
207,2018-08-02,52.51
208,2018-08-01,51.98
209,2018-07-31,52.42
210,2018-07-30,52.18
211,2018-07-27,52.24
212,2018-07-26,52.17
213,2018-07-25,51.90
214,2018-07-24,51.50
215,2018-07-23,51.41
216,2018-07-20,51.73
217,2018-07-19,51.42
218,2018-07-18,51.39
219,2018-07-17,51.81
220,2018-07-16,51.37
221,2018-07-13,51.61
222,2018-07-12,51.28
223,2018-07-11,51.35
224,2018-07-10,51.51
225,2018-07-09,50.91
226,2018-07-06,51.10
227,2018-07-05,50.95
228,2018-07-03,50.25
229,2018-07-02,50.13
230,2018-06-29,50.43
231,2018-06-28,50.46
232,2018-06-27,50.46
233,2018-06-26,50.57
234,2018-06-25,50.78
235,2018-06-22,50.53
236,2018-06-21,50.12
237,2018-06-20,50.02
238,2018-06-19,49.97
239,2018-06-18,49.70
240,2018-06-15,50.44
241,2018-06-14,49.80
242,2018-06-13,49.71
243,2018-06-12,49.87
244,2018-06-11,49.77
245,2018-06-08,49.36
246,2018-06-07,48.76
247,2018-06-06,48.46
248,2018-06-05,48.40
249,2018-06-04,48.62
250,2018-06-01,48.22
251,2018-05-31,48.22
252,2018-05-30,49.01
