,Date,NAV
1,2019-05-30,9.88
2,2019-05-29,10.26
3,2019-05-28,10.30
4,2019-05-24,10.25
5,2019-05-23,10.07
6,2019-05-22,10.58
7,2019-05-21,10.90
8,2019-05-20,10.90
9,2019-05-17,10.84
10,2019-05-16,10.90
11,2019-05-15,10.83
12,2019-05-14,10.72
13,2019-05-13,10.52
14,2019-05-10,10.64
15,2019-05-09,10.61
16,2019-05-08,10.66
17,2019-05-07,10.52
18,2019-05-06,10.80
19,2019-05-03,10.66
20,2019-05-02,10.61
21,2019-05-01,10.92
22,2019-04-30,10.92
23,2019-04-29,10.89
24,2019-04-26,10.78
25,2019-04-25,11.10
26,2019-04-24,11.16
27,2019-04-23,11.17
28,2019-04-22,11.08
29,2019-04-18,10.94
30,2019-04-17,10.97
31,2019-04-16,11.01
32,2019-04-15,10.97
33,2019-04-12,10.97
34,2019-04-11,10.91
35,2019-04-10,10.98
36,2019-04-09,10.84
37,2019-04-08,10.87
38,2019-04-05,10.81
39,2019-04-04,10.73
40,2019-04-03,10.76
41,2019-04-02,10.74
42,2019-04-01,10.68
43,2019-03-29,10.51
44,2019-03-28,10.44
45,2019-03-27,10.42
46,2019-03-26,10.49
47,2019-03-25,10.45
48,2019-03-22,10.40
49,2019-03-21,10.52
50,2019-03-20,10.58
51,2019-03-19,10.44
52,2019-03-18,10.49
53,2019-03-15,10.44
54,2019-03-14,10.46
55,2019-03-13,10.47
56,2019-03-12,10.32
57,2019-03-11,10.31
58,2019-03-08,10.24
59,2019-03-07,10.30
60,2019-03-06,10.27
61,2019-03-05,10.31
62,2019-03-04,10.28
63,2019-03-01,10.15
64,2019-02-28,10.34
65,2019-02-27,10.35
66,2019-02-26,10.20
67,2019-02-25,10.08
68,2019-02-22,10.36
69,2019-02-21,10.33
70,2019-02-20,10.34
71,2019-02-19,10.31
72,2019-02-15,10.28
73,2019-02-14,10.02
74,2019-02-13,9.96
75,2019-02-12,9.83
76,2019-02-11,9.71
77,2019-02-08,9.76
78,2019-02-07,9.75
79,2019-02-06,9.93
80,2019-02-05,9.91
81,2019-02-04,10.08
82,2019-02-01,10.16
83,2019-01-31,9.92
84,2019-01-30,9.96
85,2019-01-29,9.77
86,2019-01-28,9.58
87,2019-01-25,9.84
88,2019-01-24,9.77
89,2019-01-23,9.65
90,2019-01-22,9.73
91,2019-01-18,9.89
92,2019-01-17,9.64
93,2019-01-16,9.65
94,2019-01-15,9.60
95,2019-01-14,9.35
96,2019-01-11,9.53
97,2019-01-10,9.69
98,2019-01-09,9.65
99,2019-01-08,9.19
100,2019-01-07,9.00
101,2019-01-04,8.91
