,Date,NAV
1,2019-05-30,18.52
2,2019-05-29,17.14
3,2019-05-28,17.16
4,2019-05-24,17.15
5,2019-05-23,17.59
6,2019-05-22,16.00
7,2019-05-21,15.10
8,2019-05-20,15.02
9,2019-05-17,15.21
10,2019-05-16,15.04
11,2019-05-15,15.46
12,2019-05-14,15.71
13,2019-05-13,16.20
14,2019-05-10,15.80
15,2019-05-09,15.83
16,2019-05-08,15.65
17,2019-05-07,16.03
18,2019-05-06,15.24
19,2019-05-03,15.72
20,2019-05-02,15.85
21,2019-05-01,14.91
22,2019-04-30,14.77
23,2019-04-29,14.90
24,2019-04-26,15.24
25,2019-04-25,14.31
26,2019-04-24,14.00
27,2019-04-23,13.80
28,2019-04-22,14.08
29,2019-04-18,14.77
30,2019-04-17,14.87
31,2019-04-16,14.66
32,2019-04-15,14.95
33,2019-04-12,14.81
34,2019-04-11,14.91
35,2019-04-10,14.59
36,2019-04-09,14.82
37,2019-04-08,14.68
38,2019-04-05,15.20
39,2019-04-04,15.79
40,2019-04-03,15.59
41,2019-04-02,15.54
42,2019-04-01,16.04
43,2019-03-29,16.88
44,2019-03-28,17.32
45,2019-03-27,17.35
46,2019-03-26,16.95
47,2019-03-25,17.60
48,2019-03-22,17.63
49,2019-03-21,17.11
50,2019-03-20,16.95
51,2019-03-19,17.56
52,2019-03-18,17.44
53,2019-03-15,17.77
54,2019-03-14,17.74
55,2019-03-13,17.79
56,2019-03-12,18.74
57,2019-03-11,18.82
58,2019-03-08,19.25
59,2019-03-07,18.98
60,2019-03-06,19.18
61,2019-03-05,18.96
62,2019-03-04,19.00
63,2019-03-01,19.47
64,2019-02-28,18.56
65,2019-02-27,18.68
66,2019-02-26,19.59
67,2019-02-25,19.78
68,2019-02-22,18.60
69,2019-02-21,18.80
70,2019-02-20,18.65
71,2019-02-19,19.11
72,2019-02-15,19.26
73,2019-02-14,20.16
74,2019-02-13,20.55
75,2019-02-12,21.28
76,2019-02-11,21.90
77,2019-02-08,21.62
78,2019-02-07,21.68
79,2019-02-06,20.70
80,2019-02-05,20.87
81,2019-02-04,20.12
82,2019-02-01,19.67
83,2019-01-31,20.70
84,2019-01-30,20.50
85,2019-01-29,21.40
86,2019-01-28,22.27
87,2019-01-25,21.19
88,2019-01-24,21.47
89,2019-01-23,21.97
90,2019-01-22,21.62
91,2019-01-18,20.91
92,2019-01-17,22.13
93,2019-01-16,22.03
94,2019-01-15,22.27
95,2019-01-14,23.62
96,2019-01-11,22.72
97,2019-01-10,21.99
98,2019-01-09,22.15
99,2019-01-08,24.73
100,2019-01-07,25.83
101,2019-01-04,26.34
102,2019-01-03,27.63
103,2019-01-02,28.17
104,2018-12-31,29.28
105,2018-12-28,30.23
106,2018-12-27,29.69
107,2018-12-26,28.14
108,2018-12-24,33.13
109,2018-12-21,31.26
110,2018-12-20,30.30
111,2018-12-19,28.80
112,2018-12-18,30.15
113,2018-12-17,26.91
114,2018-12-14,25.16
115,2018-12-13,23.57
116,2018-12-12,25.36
117,2018-12-11,24.80
118,2018-12-10,25.69
119,2018-12-07,24.17
120,2018-12-06,24.90
121,2018-12-04,23.90
122,2018-12-03,23.61
123,2018-11-30,26.10
124,2018-11-29,25.47
125,2018-11-28,26.47
126,2018-11-27,25.14
127,2018-11-26,25.22
128,2018-11-23,25.84
129,2018-11-21,23.18
130,2018-11-20,24.22
131,2018-11-19,21.17
132,2018-11-16,21.43
133,2018-11-15,21.72
134,2018-11-14,21.85
135,2018-11-13,22.74
136,2018-11-12,20.27
137,2018-11-09,19.63
138,2018-11-08,19.14
139,2018-11-07,18.59
140,2018-11-06,18.25
141,2018-11-05,17.92
142,2018-11-02,17.86
143,2018-11-01,17.50
144,2018-10-31,16.68
145,2018-10-30,16.14
146,2018-10-29,15.94
147,2018-10-26,15.44
148,2018-10-25,15.74
149,2018-10-24,16.10
150,2018-10-23,16.08
151,2018-10-22,14.72
152,2018-10-19,14.74
153,2018-10-18,15.08
154,2018-10-17,14.56
155,2018-10-16,13.97
156,2018-10-15,14.08
157,2018-10-12,14.10
158,2018-10-11,14.40
159,2018-10-10,13.65
160,2018-10-09,12.94
161,2018-10-08,13.18
162,2018-10-05,13.11
163,2018-10-04,13.04
164,2018-10-03,12.52
165,2018-10-02,12.90
166,2018-10-01,12.75
167,2018-09-28,13.50
168,2018-09-27,13.99
169,2018-09-26,14.24
170,2018-09-25,13.96
171,2018-09-24,13.98
172,2018-09-21,14.58
173,2018-09-20,14.86
174,2018-09-19,14.61
175,2018-09-18,15.12
176,2018-09-17,15.58
177,2018-09-14,15.49
178,2018-09-13,15.53
179,2018-09-12,14.98
180,2018-09-11,15.34
181,2018-09-10,16.17
182,2018-09-07,16.05
183,2018-09-06,16.05
184,2018-09-05,15.64
185,2018-09-04,15.46
186,2018-08-31,15.24
187,2018-08-30,15.18
188,2018-08-29,15.31
189,2018-08-28,15.80
190,2018-08-27,15.66
191,2018-08-24,15.82
192,2018-08-23,16.15
193,2018-08-22,16.17
194,2018-08-21,17.25
195,2018-08-20,17.46
196,2018-08-17,17.56
197,2018-08-16,17.69
198,2018-08-15,17.98
199,2018-08-14,16.88
200,2018-08-13,16.85
201,2018-08-10,16.70
202,2018-08-09,17.16
203,2018-08-08,17.13
204,2018-08-07,16.11
205,2018-08-06,16.21
206,2018-08-03,16.30
207,2018-08-02,16.11
208,2018-08-01,16.72
209,2018-07-31,16.28
210,2018-07-30,15.74
211,2018-07-27,16.25
212,2018-07-26,15.93
213,2018-07-25,16.04
214,2018-07-24,16.47
215,2018-07-23,16.79
216,2018-07-20,16.67
217,2018-07-19,16.73
218,2018-07-18,16.80
219,2018-07-17,17.16
220,2018-07-16,17.14
221,2018-07-13,16.02
222,2018-07-12,16.19
223,2018-07-11,16.32
224,2018-07-10,14.89
225,2018-07-09,15.04
226,2018-07-06,15.28
227,2018-07-05,15.62
228,2018-07-03,15.42
229,2018-07-02,15.30
230,2018-06-29,14.91
231,2018-06-28,15.28
232,2018-06-27,15.63
233,2018-06-26,16.43
234,2018-06-25,17.50
235,2018-06-22,17.02
236,2018-06-21,18.76
237,2018-06-20,18.74
238,2018-06-19,19.04
239,2018-06-18,18.66
240,2018-06-15,19.36
241,2018-06-14,18.11
242,2018-06-13,18.16
243,2018-06-12,18.39
244,2018-06-11,18.48
245,2018-06-08,18.70
246,2018-06-07,18.50
247,2018-06-06,19.02
248,2018-06-05,18.87
249,2018-06-04,19.15
250,2018-06-01,18.78
251,2018-05-31,17.96
252,2018-05-30,17.29
253,2018-05-29,18.15
254,2018-05-25,17.69
255,2018-05-24,16.30
256,2018-05-23,15.84
257,2018-05-22,15.70
258,2018-05-21,15.51
259,2018-05-18,15.99
260,2018-05-17,15.86
261,2018-05-16,15.93
262,2018-05-15,16.07
263,2018-05-14,16.13
264,2018-05-11,16.40
265,2018-05-10,16.05
266,2018-05-09,16.14
267,2018-05-08,16.89
268,2018-05-07,16.85
269,2018-05-04,16.94
270,2018-05-03,17.60
271,2018-05-02,17.98
272,2018-05-01,18.12
273,2018-04-30,17.64
274,2018-04-27,17.82
275,2018-04-26,17.73
276,2018-04-25,17.83
277,2018-04-24,17.97
278,2018-04-23,17.40
279,2018-04-20,17.82
280,2018-04-19,17.82
281,2018-04-18,17.58
282,2018-04-17,18.84
283,2018-04-16,18.89
284,2018-04-13,18.49
285,2018-04-12,18.63
286,2018-04-11,18.78
287,2018-04-10,19.37
288,2018-04-09,20.90
289,2018-04-06,21.80
290,2018-04-05,20.74
291,2018-04-04,20.77
292,2018-04-03,20.78
293,2018-04-02,21.02
294,2018-03-29,19.95
