,Date,NAV
1,2019-05-30,18.80
2,2019-05-29,20.47
3,2019-05-28,20.38
4,2019-05-24,20.41
5,2019-05-23,19.93
6,2019-05-22,22.23
7,2019-05-21,23.60
8,2019-05-20,23.69
9,2019-05-17,23.43
10,2019-05-16,23.68
11,2019-05-15,23.09
12,2019-05-14,22.68
13,2019-05-13,22.03
14,2019-05-10,22.60
15,2019-05-09,22.54
16,2019-05-08,22.80
17,2019-05-07,22.27
18,2019-05-06,23.44
19,2019-05-03,22.71
20,2019-05-02,22.52
21,2019-05-01,24.01
22,2019-04-30,24.26
23,2019-04-29,24.03
24,2019-04-26,23.52
25,2019-04-25,25.13
26,2019-04-24,25.68
27,2019-04-23,26.05
28,2019-04-22,25.56
29,2019-04-18,24.42
30,2019-04-17,24.26
31,2019-04-16,24.57
32,2019-04-15,24.12
33,2019-04-12,24.36
34,2019-04-11,24.20
35,2019-04-10,24.73
36,2019-04-09,24.37
37,2019-04-08,24.63
38,2019-04-05,23.80
39,2019-04-04,22.95
40,2019-04-03,23.21
41,2019-04-02,23.32
42,2019-04-01,22.60
43,2019-03-29,21.53
44,2019-03-28,20.98
45,2019-03-27,20.97
46,2019-03-26,21.44
47,2019-03-25,20.68
48,2019-03-22,20.66
49,2019-03-21,21.30
50,2019-03-20,21.53
51,2019-03-19,20.79
52,2019-03-18,20.94
53,2019-03-15,20.55
54,2019-03-14,20.57
55,2019-03-13,20.51
56,2019-03-12,19.51
57,2019-03-11,19.45
58,2019-03-08,19.00
59,2019-03-07,19.28
60,2019-03-06,19.10
61,2019-03-05,19.30
62,2019-03-04,19.28
63,2019-03-01,18.83
64,2019-02-28,19.78
65,2019-02-27,19.64
66,2019-02-26,18.82
67,2019-02-25,18.63
68,2019-02-22,19.87
69,2019-02-21,19.66
70,2019-02-20,19.81
71,2019-02-19,19.36
72,2019-02-15,19.20
73,2019-02-14,18.38
74,2019-02-13,18.03
75,2019-02-12,17.45
76,2019-02-11,16.96
77,2019-02-08,17.18
78,2019-02-07,17.14
79,2019-02-06,17.98
80,2019-02-05,17.83
81,2019-02-04,18.53
82,2019-02-01,18.95
83,2019-01-31,18.07
84,2019-01-30,18.27
85,2019-01-29,17.49
86,2019-01-28,16.86
87,2019-01-25,17.79
88,2019-01-24,17.55
89,2019-01-23,17.18
90,2019-01-22,17.44
91,2019-01-18,18.05
92,2019-01-17,17.12
93,2019-01-16,17.22
94,2019-01-15,17.03
95,2019-01-14,16.12
96,2019-01-11,16.81
97,2019-01-10,17.36
98,2019-01-09,17.22
99,2019-01-08,15.61
100,2019-01-07,14.97
101,2019-01-04,14.69
102,2019-01-03,14.06
103,2019-01-02,13.77
104,2018-12-31,13.30
105,2018-12-28,12.89
106,2018-12-27,13.20
107,2018-12-26,13.98
108,2018-12-24,12.43
109,2018-12-21,13.24
110,2018-12-20,13.65
111,2018-12-19,14.50
112,2018-12-18,13.96
113,2018-12-17,15.88
114,2018-12-14,17.05
115,2018-12-13,18.23
116,2018-12-12,16.99
117,2018-12-11,17.38
118,2018-12-10,16.77
119,2018-12-07,17.92
120,2018-12-06,17.43
121,2018-12-04,18.27
122,2018-12-03,18.47
123,2018-11-30,16.80
124,2018-11-29,17.24
125,2018-11-28,16.62
126,2018-11-27,17.55
127,2018-11-26,17.49
128,2018-11-23,17.27
129,2018-11-21,19.55
130,2018-11-20,18.75
131,2018-11-19,21.79
132,2018-11-16,21.55
