,Date,NAV
1,2019-05-30,44.15
2,2019-05-29,44.16
3,2019-05-28,44.13
4,2019-05-24,44.13
5,2019-05-23,44.13
6,2019-05-22,43.98
7,2019-05-21,43.90
8,2019-05-20,43.90
9,2019-05-17,43.97
10,2019-05-16,43.48
11,2019-05-15,43.48
12,2019-05-14,44.06
13,2019-05-13,44.06
14,2019-05-10,44.26
15,2019-05-09,44.41
16,2019-05-08,44.41
17,2019-05-07,44.41
18,2019-05-06,44.49
19,2019-05-03,44.20
20,2019-05-02,44.20
21,2019-05-01,44.20
22,2019-04-30,44.20
23,2019-04-29,43.73
24,2019-04-26,44.37
25,2019-04-25,44.37
26,2019-04-24,44.37
27,2019-04-23,45.08
28,2019-04-22,45.08
29,2019-04-18,44.57
30,2019-04-17,44.57
31,2019-04-16,44.78
32,2019-04-15,44.78
33,2019-04-12,44.88
34,2019-04-11,44.88
35,2019-04-10,44.35
36,2019-04-09,45.00
37,2019-04-08,44.54
38,2019-04-05,45.00
39,2019-04-04,44.93
40,2019-04-03,44.33
41,2019-04-02,44.65
42,2019-04-01,44.33
43,2019-03-29,44.13
44,2019-03-28,44.53
45,2019-03-27,44.53
46,2019-03-26,44.52
47,2019-03-25,44.53
48,2019-03-22,44.53
49,2019-03-21,44.53
50,2019-03-20,44.55
51,2019-03-19,44.26
52,2019-03-18,44.60
53,2019-03-15,44.90
54,2019-03-14,44.29
55,2019-03-13,44.29
56,2019-03-12,44.43
57,2019-03-11,44.42
58,2019-03-08,44.67
59,2019-03-07,44.60
60,2019-03-06,45.15
61,2019-03-05,45.15
62,2019-03-04,44.82
63,2019-03-01,44.75
64,2019-02-28,45.60
65,2019-02-27,45.26
66,2019-02-26,45.26
67,2019-02-25,44.96
68,2019-02-22,45.02
69,2019-02-21,44.84
70,2019-02-20,44.86
71,2019-02-19,44.71
72,2019-02-15,44.91
73,2019-02-14,44.21
74,2019-02-13,44.61
75,2019-02-12,44.50
76,2019-02-11,44.74
77,2019-02-08,44.53
78,2019-02-07,44.81
79,2019-02-06,44.52
80,2019-02-05,44.63
81,2019-02-04,44.85
82,2019-02-01,45.05
83,2019-01-31,44.87
84,2019-01-30,44.73
85,2019-01-29,44.38
86,2019-01-28,45.99
87,2019-01-25,44.80
88,2019-01-24,44.98
89,2019-01-23,44.20
90,2019-01-22,44.20
91,2019-01-18,44.57
92,2019-01-17,45.30
93,2019-01-16,45.19
94,2019-01-15,45.05
95,2019-01-14,44.75
96,2019-01-11,44.48
97,2019-01-10,44.08
98,2019-01-09,44.00
99,2019-01-08,43.24
100,2019-01-07,42.55
101,2019-01-04,42.90
102,2019-01-03,42.90
103,2019-01-02,42.94
104,2018-12-31,43.18
105,2018-12-28,43.12
106,2018-12-27,42.80
107,2018-12-26,43.07
108,2018-12-24,43.07
109,2018-12-21,42.23
110,2018-12-20,43.44
111,2018-12-19,43.50
112,2018-12-18,43.35
113,2018-12-17,43.40
114,2018-12-14,43.34
115,2018-12-13,43.18
116,2018-12-12,43.18
117,2018-12-11,42.35
118,2018-12-10,42.79
119,2018-12-07,43.75
120,2018-12-06,43.34
121,2018-12-04,43.34
122,2018-12-03,43.54
123,2018-11-30,42.94
124,2018-11-29,43.03
125,2018-11-28,42.40
126,2018-11-27,42.52
127,2018-11-26,42.82
128,2018-11-23,42.39
129,2018-11-21,42.72
130,2018-11-20,42.62
131,2018-11-19,42.63
132,2018-11-16,42.71
133,2018-11-15,42.71
134,2018-11-14,42.71
135,2018-11-13,42.71
136,2018-11-12,42.57
137,2018-11-09,42.70
138,2018-11-08,43.36
139,2018-11-07,43.07
140,2018-11-06,43.07
141,2018-11-05,42.63
142,2018-11-02,42.63
143,2018-11-01,42.63
144,2018-10-31,42.36
145,2018-10-30,42.36
146,2018-10-29,42.36
147,2018-10-26,42.36
148,2018-10-25,42.36
149,2018-10-24,42.36
150,2018-10-23,42.36
151,2018-10-22,42.36
152,2018-10-19,42.36
153,2018-10-18,42.15
154,2018-10-17,42.56
155,2018-10-16,42.56
156,2018-10-15,42.51
157,2018-10-12,42.33
158,2018-10-11,42.47
159,2018-10-10,42.72
160,2018-10-09,43.01
161,2018-10-08,42.10
162,2018-10-05,42.40
163,2018-10-04,42.43
164,2018-10-03,42.73
165,2018-10-02,42.51
166,2018-10-01,42.42
167,2018-09-28,42.60
168,2018-09-27,42.52
169,2018-09-26,42.71
170,2018-09-25,42.71
171,2018-09-24,42.71
172,2018-09-21,42.71
173,2018-09-20,42.80
174,2018-09-19,42.98
175,2018-09-18,42.98
176,2018-09-17,42.98
177,2018-09-14,42.98
178,2018-09-13,42.98
179,2018-09-12,42.98
180,2018-09-11,43.28
181,2018-09-10,43.28
182,2018-09-07,43.28
183,2018-09-06,43.28
184,2018-09-05,43.28
185,2018-09-04,42.59
186,2018-08-31,42.70
187,2018-08-30,42.70
188,2018-08-29,42.70
189,2018-08-28,43.30
190,2018-08-27,43.30
191,2018-08-24,42.70
192,2018-08-23,42.76
193,2018-08-22,42.76
194,2018-08-21,42.76
195,2018-08-20,42.76
196,2018-08-17,42.76
197,2018-08-16,42.76
198,2018-08-15,42.76
199,2018-08-14,42.76
200,2018-08-13,42.76
201,2018-08-10,42.76
202,2018-08-09,42.76
203,2018-08-08,43.06
204,2018-08-07,42.73
205,2018-08-06,42.73
206,2018-08-03,42.51
207,2018-08-02,44.62
208,2018-08-01,44.62
209,2018-07-31,47.62
210,2018-07-30,47.62
211,2018-07-27,47.62
212,2018-07-26,47.62
213,2018-07-25,49.16
214,2018-07-24,43.28
215,2018-07-23,43.28
216,2018-07-20,43.81
217,2018-07-19,43.34
218,2018-07-18,46.20
219,2018-07-17,46.20
220,2018-07-16,46.20
221,2018-07-13,46.20
222,2018-07-12,46.20
223,2018-07-11,46.20
224,2018-07-10,46.20
225,2018-07-09,46.20
226,2018-07-06,45.38
227,2018-07-05,45.38
