,Date,NAV
1,2019-05-30,86.98
2,2019-05-29,86.86
3,2019-05-28,87.12
4,2019-05-24,87.19
5,2019-05-23,86.91
6,2019-05-22,86.39
7,2019-05-21,86.20
8,2019-05-20,86.65
9,2019-05-17,86.66
10,2019-05-16,86.79
11,2019-05-15,86.98
12,2019-05-14,87.02
13,2019-05-13,87.16
14,2019-05-10,86.70
15,2019-05-09,86.84
16,2019-05-08,86.59
17,2019-05-07,86.44
18,2019-05-06,85.92
19,2019-05-03,85.79
20,2019-05-02,85.46
21,2019-05-01,85.52
22,2019-04-30,85.52
23,2019-04-29,85.35
24,2019-04-26,85.39
25,2019-04-25,85.39
26,2019-04-24,84.95
27,2019-04-23,85.25
28,2019-04-22,85.16
29,2019-04-18,85.15
30,2019-04-17,85.05
31,2019-04-16,85.13
32,2019-04-15,85.13
33,2019-04-12,85.14
34,2019-04-11,85.40
35,2019-04-10,85.91
36,2019-04-09,85.82
37,2019-04-08,85.54
38,2019-04-05,85.38
39,2019-04-04,85.48
40,2019-04-03,85.56
41,2019-04-02,85.60
42,2019-04-01,85.63
43,2019-03-29,86.11
44,2019-03-28,86.24
45,2019-03-27,86.34
46,2019-03-26,86.25
47,2019-03-25,86.71
48,2019-03-22,86.79
49,2019-03-21,86.09
50,2019-03-20,86.26
51,2019-03-19,85.61
52,2019-03-18,85.65
53,2019-03-15,85.55
54,2019-03-14,85.34
55,2019-03-13,85.86
56,2019-03-12,85.75
57,2019-03-11,85.72
58,2019-03-08,85.80
59,2019-03-07,85.43
60,2019-03-06,85.34
61,2019-03-05,85.20
62,2019-03-04,85.37
63,2019-03-01,85.19
64,2019-02-28,85.55
65,2019-02-27,85.94
66,2019-02-26,86.28
67,2019-02-25,85.90
68,2019-02-22,86.24
69,2019-02-21,86.19
70,2019-02-20,86.07
71,2019-02-19,86.24
72,2019-02-15,86.37
73,2019-02-14,86.37
74,2019-02-13,85.95
75,2019-02-12,86.38
76,2019-02-11,86.44
77,2019-02-08,86.91
78,2019-02-07,86.87
79,2019-02-06,86.81
80,2019-02-05,86.81
81,2019-02-04,86.85
82,2019-02-01,87.21
83,2019-01-31,87.65
84,2019-01-30,87.66
85,2019-01-29,87.32
86,2019-01-28,87.28
87,2019-01-25,87.19
88,2019-01-24,87.10
89,2019-01-23,87.11
90,2019-01-22,87.24
91,2019-01-18,87.01
92,2019-01-17,87.42
93,2019-01-16,87.61
94,2019-01-15,87.85
95,2019-01-14,88.24
96,2019-01-11,87.97
97,2019-01-10,88.07
98,2019-01-09,88.41
99,2019-01-08,87.80
100,2019-01-07,87.85
101,2019-01-04,88.05
102,2019-01-03,88.82
103,2019-01-02,87.65
104,2018-12-31,87.11
105,2018-12-28,86.63
106,2018-12-27,86.00
107,2018-12-26,85.78
108,2018-12-24,86.55
109,2018-12-21,85.87
110,2018-12-20,85.87
111,2018-12-19,84.83
112,2018-12-18,84.85
113,2018-12-17,84.73
114,2018-12-14,84.26
115,2018-12-13,84.11
116,2018-12-12,84.41
117,2018-12-11,84.25
118,2018-12-10,84.32
119,2018-12-07,84.80
120,2018-12-06,84.74
121,2018-12-04,84.68
122,2018-12-03,84.05
123,2018-11-30,84.22
124,2018-11-29,84.27
125,2018-11-28,84.08
126,2018-11-27,83.98
127,2018-11-26,84.11
128,2018-11-23,84.68
129,2018-11-21,84.51
130,2018-11-20,84.80
131,2018-11-19,84.90
132,2018-11-16,84.73
133,2018-11-15,84.14
134,2018-11-14,84.18
135,2018-11-13,83.99
136,2018-11-12,83.99
137,2018-11-09,83.99
138,2018-11-08,83.84
139,2018-11-07,84.19
140,2018-11-06,84.23
141,2018-11-05,84.45
142,2018-11-02,84.43
143,2018-11-01,84.80
144,2018-10-31,84.71
145,2018-10-30,84.57
146,2018-10-29,85.01
147,2018-10-26,85.50
148,2018-10-25,84.90
149,2018-10-24,85.23
150,2018-10-23,85.05
151,2018-10-22,84.70
152,2018-10-19,84.91
153,2018-10-18,85.19
154,2018-10-17,84.95
155,2018-10-16,85.17
156,2018-10-15,85.52
157,2018-10-12,85.18
158,2018-10-11,85.33
159,2018-10-10,85.05
160,2018-10-09,84.67
161,2018-10-08,84.53
162,2018-10-05,84.10
163,2018-10-04,83.97
164,2018-10-03,83.60
165,2018-10-02,84.18
166,2018-10-01,83.87
167,2018-09-28,84.15
168,2018-09-27,84.33
169,2018-09-26,84.83
170,2018-09-25,84.65
171,2018-09-24,84.79
172,2018-09-21,84.93
173,2018-09-20,85.04
174,2018-09-19,85.17
175,2018-09-18,85.10
176,2018-09-17,85.50
177,2018-09-14,85.35
178,2018-09-13,85.40
179,2018-09-12,85.94
180,2018-09-11,85.69
181,2018-09-10,86.01
182,2018-09-07,86.14
183,2018-09-06,86.24
184,2018-09-05,85.74
185,2018-09-04,85.79
186,2018-08-31,86.09
187,2018-08-30,86.17
188,2018-08-29,85.63
189,2018-08-28,86.03
190,2018-08-27,86.12
191,2018-08-24,86.07
192,2018-08-23,85.96
193,2018-08-22,86.62
194,2018-08-21,86.66
195,2018-08-20,86.88
196,2018-08-17,86.49
197,2018-08-16,86.26
198,2018-08-15,86.45
199,2018-08-14,86.02
200,2018-08-13,86.46
201,2018-08-10,86.32
202,2018-08-09,86.12
203,2018-08-08,86.18
204,2018-08-07,85.87
205,2018-08-06,85.86
206,2018-08-03,86.04
207,2018-08-02,85.68
208,2018-08-01,85.72
209,2018-07-31,85.58
210,2018-07-30,86.17
211,2018-07-27,86.20
212,2018-07-26,86.01
213,2018-07-25,86.23
214,2018-07-24,86.06
215,2018-07-23,85.89
216,2018-07-20,85.80
217,2018-07-19,85.05
218,2018-07-18,84.77
219,2018-07-17,84.79
220,2018-07-16,85.22
221,2018-07-13,85.19
222,2018-07-12,85.06
223,2018-07-11,85.39
224,2018-07-10,86.03
225,2018-07-09,86.37
226,2018-07-06,86.70
227,2018-07-05,86.55
228,2018-07-03,86.62
229,2018-07-02,86.35
230,2018-06-29,86.47
231,2018-06-28,86.62
232,2018-06-27,86.83
233,2018-06-26,86.96
234,2018-06-25,87.18
235,2018-06-22,87.07
236,2018-06-21,87.05
237,2018-06-20,86.74
238,2018-06-19,87.01
239,2018-06-18,86.61
240,2018-06-15,86.58
241,2018-06-14,86.56
242,2018-06-13,86.81
243,2018-06-12,86.77
244,2018-06-11,87.01
245,2018-06-08,87.49
246,2018-06-07,87.29
247,2018-06-06,86.89
248,2018-06-05,87.29
249,2018-06-04,87.16
250,2018-06-01,87.37
251,2018-05-31,88.03
252,2018-05-30,87.89
253,2018-05-29,88.13
254,2018-05-25,87.49
255,2018-05-24,87.65
256,2018-05-23,86.96
257,2018-05-22,86.36
258,2018-05-21,86.26
259,2018-05-18,86.50
260,2018-05-17,86.46
261,2018-05-16,86.79
262,2018-05-15,86.77
263,2018-05-14,87.33
264,2018-05-11,87.65
265,2018-05-10,87.57
266,2018-05-09,87.29
267,2018-05-08,87.79
268,2018-05-07,87.85
269,2018-05-04,87.80
270,2018-05-03,87.74
271,2018-05-02,87.14
272,2018-05-01,87.17
273,2018-04-30,87.65
274,2018-04-27,87.84
275,2018-04-26,87.63
276,2018-04-25,87.63
277,2018-04-24,88.10
278,2018-04-23,88.10
279,2018-04-20,89.01
280,2018-04-19,89.23
281,2018-04-18,89.34
282,2018-04-17,89.51
283,2018-04-16,89.44
284,2018-04-13,89.21
285,2018-04-12,89.35
286,2018-04-11,89.70
287,2018-04-10,89.39
288,2018-04-09,89.83
289,2018-04-06,89.68
290,2018-04-05,89.17
291,2018-04-04,89.73
292,2018-04-03,89.85
293,2018-04-02,90.52
294,2018-03-29,90.11
