,Date,NAV
1,2019-05-30,16.52
2,2019-05-29,16.52
3,2019-05-28,16.52
4,2019-05-24,16.52
5,2019-05-23,16.52
6,2019-05-22,16.52
7,2019-05-21,16.52
8,2019-05-20,16.52
9,2019-05-17,15.66
10,2019-05-16,15.66
11,2019-05-15,15.66
12,2019-05-14,19.93
13,2019-05-13,19.93
14,2019-05-10,19.93
15,2019-05-09,15.28
16,2019-05-08,15.28
17,2019-05-07,15.28
18,2019-05-06,15.28
19,2019-05-03,15.28
20,2019-05-02,16.00
21,2019-05-01,16.00
22,2019-04-30,16.00
23,2019-04-29,16.00
24,2019-04-26,16.00
25,2019-04-25,16.00
26,2019-04-24,19.00
27,2019-04-23,19.00
28,2019-04-22,19.00
29,2019-04-18,19.00
30,2019-04-17,19.00
31,2019-04-16,19.00
32,2019-04-15,19.00
33,2019-04-12,19.00
34,2019-04-11,19.00
35,2019-04-10,19.00
36,2019-04-09,19.00
37,2019-04-08,19.00
38,2019-04-05,19.00
39,2019-04-04,19.00
40,2019-04-03,19.00
41,2019-04-02,19.00
42,2019-04-01,17.05
43,2019-03-29,17.05
44,2019-03-28,17.05
45,2019-03-27,17.05
46,2019-03-26,17.05
47,2019-03-25,15.93
48,2019-03-22,15.93
49,2019-03-21,15.93
50,2019-03-20,15.93
51,2019-03-19,15.93
52,2019-03-18,15.93
53,2019-03-15,16.55
54,2019-03-14,16.55
55,2019-03-13,16.55
56,2019-03-12,16.55
57,2019-03-11,16.55
58,2019-03-08,16.55
59,2019-03-07,16.55
60,2019-03-06,16.55
61,2019-03-05,16.55
62,2019-03-04,16.55
63,2019-03-01,16.45
64,2019-02-28,16.45
65,2019-02-27,16.45
66,2019-02-26,16.45
67,2019-02-25,16.45
68,2019-02-22,16.45
69,2019-02-21,16.41
70,2019-02-20,16.41
71,2019-02-19,16.25
72,2019-02-15,16.24
73,2019-02-14,16.19
74,2019-02-13,16.22
75,2019-02-12,16.28
76,2019-02-11,16.22
77,2019-02-08,16.38
78,2019-02-07,16.43
79,2019-02-06,16.60
80,2019-02-05,16.70
81,2019-02-04,16.76
82,2019-02-01,16.84
83,2019-01-31,16.76
84,2019-01-30,16.75
85,2019-01-29,16.72
86,2019-01-28,16.69
87,2019-01-25,16.50
88,2019-01-24,16.48
89,2019-01-23,16.65
90,2019-01-22,16.65
91,2019-01-18,16.65
92,2019-01-17,16.65
93,2019-01-16,16.65
94,2019-01-15,17.02
95,2019-01-14,17.02
96,2019-01-11,17.02
97,2019-01-10,17.02
98,2019-01-09,17.02
99,2019-01-08,17.02
100,2019-01-07,17.02
101,2019-01-04,16.94
102,2019-01-03,16.23
103,2019-01-02,16.55
104,2018-12-31,17.27
105,2018-12-28,17.27
106,2018-12-27,17.27
107,2018-12-26,13.16
108,2018-12-24,13.16
109,2018-12-21,13.16
110,2018-12-20,13.16
111,2018-12-19,16.66
112,2018-12-18,16.66
113,2018-12-17,16.54
114,2018-12-14,16.35
115,2018-12-13,16.63
116,2018-12-12,16.49
117,2018-12-11,16.49
118,2018-12-10,16.77
119,2018-12-07,16.77
120,2018-12-06,16.77
121,2018-12-04,16.77
122,2018-12-03,16.75
123,2018-11-30,16.75
124,2018-11-29,16.75
125,2018-11-28,16.75
126,2018-11-27,16.75
127,2018-11-26,16.75
128,2018-11-23,16.75
129,2018-11-21,16.75
130,2018-11-20,16.79
131,2018-11-19,16.94
132,2018-11-16,16.94
133,2018-11-15,16.94
134,2018-11-14,16.94
135,2018-11-13,16.94
136,2018-11-12,16.94
137,2018-11-09,16.94
138,2018-11-08,16.94
139,2018-11-07,16.38
140,2018-11-06,16.38
141,2018-11-05,16.38
142,2018-11-02,16.38
143,2018-11-01,16.38
144,2018-10-31,16.38
145,2018-10-30,16.38
146,2018-10-29,16.38
147,2018-10-26,16.38
148,2018-10-25,16.38
149,2018-10-24,16.38
150,2018-10-23,16.38
151,2018-10-22,16.38
152,2018-10-19,16.38
153,2018-10-18,16.38
154,2018-10-17,16.38
155,2018-10-16,16.38
156,2018-10-15,16.38
157,2018-10-12,16.38
158,2018-10-11,16.38
159,2018-10-10,16.38
160,2018-10-09,16.38
161,2018-10-08,17.21
162,2018-10-05,17.21
163,2018-10-04,17.21
164,2018-10-03,17.21
165,2018-10-02,17.21
166,2018-10-01,17.21
167,2018-09-28,17.31
168,2018-09-27,17.31
169,2018-09-26,17.31
170,2018-09-25,17.31
171,2018-09-24,17.31
172,2018-09-21,17.31
173,2018-09-20,17.31
174,2018-09-19,17.31
175,2018-09-18,17.31
176,2018-09-17,17.31
177,2018-09-14,17.31
178,2018-09-13,17.31
179,2018-09-12,17.31
180,2018-09-11,17.07
181,2018-09-10,17.07
182,2018-09-07,17.07
183,2018-09-06,17.07
184,2018-09-05,17.07
185,2018-09-04,17.07
186,2018-08-31,17.07
187,2018-08-30,17.07
188,2018-08-29,17.07
189,2018-08-28,17.07
190,2018-08-27,17.07
191,2018-08-24,17.07
192,2018-08-23,17.07
193,2018-08-22,17.07
194,2018-08-21,17.07
195,2018-08-20,17.23
196,2018-08-17,17.23
197,2018-08-16,17.23
198,2018-08-15,16.70
199,2018-08-14,16.70
200,2018-08-13,16.70
201,2018-08-10,17.96
202,2018-08-09,17.96
203,2018-08-08,17.96
204,2018-08-07,17.96
205,2018-08-06,17.96
206,2018-08-03,17.96
207,2018-08-02,17.96
208,2018-08-01,17.96
209,2018-07-31,17.96
210,2018-07-30,17.96
211,2018-07-27,17.96
212,2018-07-26,17.96
213,2018-07-25,17.96
214,2018-07-24,17.87
215,2018-07-23,17.87
216,2018-07-20,17.87
217,2018-07-19,17.87
218,2018-07-18,17.87
219,2018-07-17,17.87
220,2018-07-16,17.87
221,2018-07-13,17.87
222,2018-07-12,17.87
223,2018-07-11,17.87
224,2018-07-10,17.87
225,2018-07-09,17.87
226,2018-07-06,17.70
227,2018-07-05,17.70
228,2018-07-03,16.98
229,2018-07-02,16.98
230,2018-06-29,16.98
231,2018-06-28,16.98
232,2018-06-27,16.98
233,2018-06-26,16.98
234,2018-06-25,16.98
235,2018-06-22,16.65
236,2018-06-21,16.65
237,2018-06-20,16.90
238,2018-06-19,16.90
239,2018-06-18,16.90
240,2018-06-15,16.90
241,2018-06-14,17.47
242,2018-06-13,17.47
243,2018-06-12,17.47
244,2018-06-11,17.47
245,2018-06-08,17.47
246,2018-06-07,17.47
247,2018-06-06,17.13
248,2018-06-05,17.13
249,2018-06-04,17.13
250,2018-06-01,17.89
251,2018-05-31,17.89
252,2018-05-30,17.89
253,2018-05-29,18.51
254,2018-05-25,18.51
255,2018-05-24,18.51
256,2018-05-23,18.51
257,2018-05-22,18.51
258,2018-05-21,18.51
259,2018-05-18,18.51
260,2018-05-17,18.64
261,2018-05-16,18.64
262,2018-05-15,18.64
263,2018-05-14,18.64
264,2018-05-11,18.64
265,2018-05-10,18.78
266,2018-05-09,18.78
267,2018-05-08,18.78
268,2018-05-07,18.78
269,2018-05-04,18.78
270,2018-05-03,19.73
271,2018-05-02,19.73
272,2018-05-01,19.73
273,2018-04-30,19.73
274,2018-04-27,19.73
275,2018-04-26,19.73
276,2018-04-25,19.73
277,2018-04-24,19.94
278,2018-04-23,19.90
279,2018-04-20,19.56
280,2018-04-19,19.95
281,2018-04-18,19.86
282,2018-04-17,20.65
283,2018-04-16,20.76
284,2018-04-13,20.82
285,2018-04-12,20.10
286,2018-04-11,19.75
287,2018-04-10,20.15
288,2018-04-09,20.16
289,2018-04-06,19.94
290,2018-04-05,19.82
291,2018-04-04,20.18
292,2018-04-03,20.28
293,2018-04-02,20.44
294,2018-03-29,19.70
295,2018-03-28,20.81
296,2018-03-27,20.81
297,2018-03-26,20.98
298,2018-03-23,20.68
299,2018-03-22,19.50
300,2018-03-21,20.10
301,2018-03-20,20.03
302,2018-03-19,19.36
303,2018-03-16,20.47
304,2018-03-15,21.00
305,2018-03-14,20.43
306,2018-03-13,20.60
307,2018-03-12,20.50
308,2018-03-09,20.50
309,2018-03-08,20.50
310,2018-03-07,20.50
311,2018-03-06,20.50
312,2018-03-05,20.77
313,2018-03-02,20.77
314,2018-03-01,20.77
315,2018-02-28,20.77
316,2018-02-27,20.77
317,2018-02-26,20.77
318,2018-02-23,21.40
319,2018-02-22,21.40
320,2018-02-21,21.40
321,2018-02-20,20.80
322,2018-02-16,20.80
323,2018-02-15,21.49
324,2018-02-14,20.12
325,2018-02-13,20.12
326,2018-02-12,20.12
327,2018-02-09,20.12
328,2018-02-08,20.12
329,2018-02-07,20.12
330,2018-02-06,20.66
331,2018-02-05,20.66
332,2018-02-02,20.87
333,2018-02-01,20.67
334,2018-01-31,20.67
335,2018-01-30,20.65
336,2018-01-29,20.65
337,2018-01-26,21.24
338,2018-01-25,21.00
339,2018-01-24,20.30
340,2018-01-23,20.30
341,2018-01-22,20.55
342,2018-01-19,20.55
343,2018-01-18,20.25
344,2018-01-17,20.00
345,2018-01-16,20.23
346,2018-01-12,19.87
347,2018-01-11,18.70
348,2018-01-10,18.51
349,2018-01-09,19.77
350,2018-01-08,19.40
351,2018-01-05,19.40
352,2018-01-04,19.55
353,2018-01-03,19.44
354,2018-01-02,19.59
355,2017-12-29,18.13
356,2017-12-28,18.13
357,2017-12-27,18.13
358,2017-12-26,19.19
359,2017-12-22,19.19
360,2017-12-21,20.00
361,2017-12-20,20.00
362,2017-12-19,20.00
363,2017-12-18,18.73
364,2017-12-15,17.89
365,2017-12-14,17.89
366,2017-12-13,17.98
367,2017-12-12,18.65
368,2017-12-11,19.11
369,2017-12-08,18.84
370,2017-12-07,18.97
371,2017-12-06,18.90
372,2017-12-05,18.90
373,2017-12-04,18.90
374,2017-12-01,19.00
375,2017-11-30,19.00
376,2017-11-29,19.00
377,2017-11-28,19.00
378,2017-11-27,19.00
379,2017-11-24,18.75
380,2017-11-22,18.75
381,2017-11-21,19.00
382,2017-11-20,21.00
383,2017-11-17,21.00
384,2017-11-16,21.20
385,2017-11-15,21.18
386,2017-11-14,18.65
387,2017-11-13,19.37
388,2017-11-10,18.00
389,2017-11-09,18.23
390,2017-11-08,17.75
391,2017-11-07,20.62
392,2017-11-06,18.18
393,2017-11-03,18.21
394,2017-11-02,18.11
395,2017-11-01,18.12
396,2017-10-31,18.51
397,2017-10-30,18.51
398,2017-10-27,18.51
399,2017-10-26,18.51
400,2017-10-25,18.70
401,2017-10-24,18.88
402,2017-10-23,18.88
403,2017-10-20,18.88
404,2017-10-19,19.14
405,2017-10-18,18.94
406,2017-10-17,18.59
407,2017-10-16,18.58
408,2017-10-13,18.34
409,2017-10-12,18.34
410,2017-10-11,18.34
411,2017-10-10,18.34
412,2017-10-09,18.34
413,2017-10-06,18.34
414,2017-10-05,18.34
415,2017-10-04,18.34
416,2017-10-03,18.34
417,2017-10-02,19.07
418,2017-09-29,18.70
419,2017-09-28,18.50
420,2017-09-27,18.80
421,2017-09-26,18.80
422,2017-09-25,19.00
423,2017-09-22,20.04
424,2017-09-21,19.65
425,2017-09-20,19.90
426,2017-09-19,19.54
427,2017-09-18,19.54
428,2017-09-15,19.44
429,2017-09-14,19.60
430,2017-09-13,19.39
431,2017-09-12,19.56
432,2017-09-11,19.82
433,2017-09-08,19.82
434,2017-09-07,19.62
435,2017-09-06,19.25
436,2017-09-05,21.00
437,2017-09-01,21.00
438,2017-08-31,19.74
439,2017-08-30,19.74
440,2017-08-29,19.74
441,2017-08-28,19.72
442,2017-08-25,19.14
443,2017-08-24,18.94
444,2017-08-23,18.78
445,2017-08-22,18.78
446,2017-08-21,18.78
447,2017-08-18,18.78
448,2017-08-17,18.59
449,2017-08-16,18.59
450,2017-08-15,18.59
451,2017-08-14,18.59
452,2017-08-11,17.88
453,2017-08-10,17.85
454,2017-08-09,17.85
455,2017-08-08,17.85
456,2017-08-07,16.85
457,2017-08-04,19.15
458,2017-08-03,19.31
459,2017-08-02,19.31
460,2017-08-01,19.31
461,2017-07-31,19.20
462,2017-07-28,18.98
463,2017-07-27,18.98
464,2017-07-26,18.55
465,2017-07-25,18.55
466,2017-07-24,18.79
467,2017-07-21,18.66
468,2017-07-20,18.59
469,2017-07-19,18.19
470,2017-07-18,18.28
471,2017-07-17,18.05
472,2017-07-14,17.96
473,2017-07-13,17.96
474,2017-07-12,17.91
475,2017-07-11,17.80
476,2017-07-10,17.84
477,2017-07-07,17.80
478,2017-07-06,17.65
479,2017-07-05,17.65
480,2017-07-03,17.33
481,2017-06-30,17.33
482,2017-06-29,17.33
483,2017-06-28,17.33
484,2017-06-27,17.33
485,2017-06-26,17.18
486,2017-06-23,17.18
487,2017-06-22,16.95
488,2017-06-21,17.15
489,2017-06-20,16.97
490,2017-06-19,17.07
491,2017-06-16,17.07
492,2017-06-15,16.76
493,2017-06-14,17.21
494,2017-06-13,17.21
495,2017-06-12,17.15
496,2017-06-09,17.15
497,2017-06-08,17.23
498,2017-06-07,17.40
499,2017-06-06,17.40
500,2017-06-05,17.40
501,2017-06-02,17.34
502,2017-06-01,17.34
503,2017-05-31,17.26
504,2017-05-30,17.26
505,2017-05-26,17.26
506,2017-05-25,17.14
507,2017-05-24,17.15
508,2017-05-23,17.36
509,2017-05-22,17.27
510,2017-05-19,17.37
511,2017-05-18,16.79
512,2017-05-17,16.79
513,2017-05-16,16.79
514,2017-05-15,16.61
515,2017-05-12,16.45
516,2017-05-11,16.19
517,2017-05-10,16.19
518,2017-05-09,16.19
519,2017-05-08,16.21
520,2017-05-05,16.74
521,2017-05-04,16.05
522,2017-05-03,16.16
523,2017-05-02,16.16
524,2017-05-01,16.17
525,2017-04-28,16.17
526,2017-04-27,16.49
527,2017-04-26,16.15
528,2017-04-25,16.02
529,2017-04-24,16.02
