,Date,NAV
1,2019-05-30,65.09
2,2019-05-29,64.81
3,2019-05-28,64.91
4,2019-05-24,65.80
5,2019-05-23,64.64
6,2019-05-22,65.16
7,2019-05-21,65.52
8,2019-05-20,65.08
9,2019-05-17,65.72
10,2019-05-16,65.92
11,2019-05-15,65.59
12,2019-05-14,65.64
13,2019-05-13,64.73
14,2019-05-10,66.37
15,2019-05-09,65.72
16,2019-05-08,66.52
17,2019-05-07,67.24
18,2019-05-06,68.36
19,2019-05-03,69.10
20,2019-05-02,68.21
21,2019-05-01,68.26
22,2019-04-30,68.41
23,2019-04-29,68.68
24,2019-04-26,68.38
25,2019-04-25,68.28
26,2019-04-24,67.86
27,2019-04-23,68.87
28,2019-04-22,68.46
29,2019-04-18,68.54
30,2019-04-17,69.07
31,2019-04-16,69.01
32,2019-04-15,68.98
33,2019-04-12,68.63
34,2019-04-11,68.23
35,2019-04-10,68.49
36,2019-04-09,68.45
37,2019-04-08,69.06
38,2019-04-05,69.39
39,2019-04-04,69.34
40,2019-04-03,69.42
41,2019-04-02,69.02
42,2019-04-01,69.49
43,2019-03-29,68.20
44,2019-03-28,68.35
45,2019-03-27,68.64
46,2019-03-26,69.08
47,2019-03-25,67.76
48,2019-03-22,67.81
49,2019-03-21,68.61
50,2019-03-20,67.89
51,2019-03-19,67.82
52,2019-03-18,67.97
53,2019-03-15,67.40
54,2019-03-14,66.64
55,2019-03-13,67.73
56,2019-03-12,67.44
57,2019-03-11,67.37
58,2019-03-08,66.74
59,2019-03-07,67.32
60,2019-03-06,68.28
61,2019-03-05,68.41
62,2019-03-04,68.45
63,2019-03-01,68.68
64,2019-02-28,68.73
65,2019-02-27,68.99
66,2019-02-26,69.29
67,2019-02-25,68.95
68,2019-02-22,68.65
69,2019-02-21,68.66
70,2019-02-20,68.80
71,2019-02-19,68.91
72,2019-02-15,68.69
73,2019-02-14,67.64
74,2019-02-13,67.81
75,2019-02-12,67.66
76,2019-02-11,66.57
77,2019-02-08,66.57
78,2019-02-07,67.20
79,2019-02-06,68.20
80,2019-02-05,68.99
81,2019-02-04,68.61
82,2019-02-01,67.80
83,2019-01-31,68.02
84,2019-01-30,67.84
85,2019-01-29,67.62
86,2019-01-28,67.42
87,2019-01-25,67.79
88,2019-01-24,67.29
89,2019-01-23,66.82
90,2019-01-22,67.14
91,2019-01-18,68.34
92,2019-01-17,67.21
93,2019-01-16,67.16
94,2019-01-15,67.01
95,2019-01-14,66.09
96,2019-01-11,66.35
97,2019-01-10,67.59
98,2019-01-09,67.11
99,2019-01-08,67.03
100,2019-01-07,66.84
101,2019-01-04,66.68
102,2019-01-03,64.48
103,2019-01-02,64.79
104,2018-12-31,64.39
105,2018-12-28,64.60
106,2018-12-27,64.01
107,2018-12-26,62.69
108,2018-12-24,60.90
109,2018-12-21,61.73
110,2018-12-20,64.17
111,2018-12-19,64.91
112,2018-12-18,65.76
113,2018-12-17,65.81
114,2018-12-14,66.88
115,2018-12-13,67.61
116,2018-12-12,67.56
117,2018-12-11,66.93
118,2018-12-10,67.39
119,2018-12-07,68.04
120,2018-12-06,69.06
121,2018-12-04,69.11
122,2018-12-03,71.84
123,2018-11-30,70.97
124,2018-11-29,70.77
125,2018-11-28,70.84
126,2018-11-27,69.85
127,2018-11-26,69.91
128,2018-11-23,68.69
129,2018-11-21,68.84
130,2018-11-20,68.04
131,2018-11-19,69.00
132,2018-11-16,69.57
133,2018-11-15,69.64
134,2018-11-14,68.85
135,2018-11-13,69.00
136,2018-11-12,69.27
137,2018-11-09,70.76
138,2018-11-08,71.00
139,2018-11-07,71.72
140,2018-11-06,70.65
141,2018-11-05,70.35
142,2018-11-02,70.17
143,2018-11-01,70.10
144,2018-10-31,69.56
145,2018-10-30,68.93
146,2018-10-29,67.56
147,2018-10-26,68.24
148,2018-10-25,69.50
149,2018-10-24,68.76
150,2018-10-23,70.78
151,2018-10-22,71.51
152,2018-10-19,71.90
153,2018-10-18,71.70
154,2018-10-17,73.18
155,2018-10-16,72.93
156,2018-10-15,71.89
157,2018-10-12,72.04
158,2018-10-11,71.82
159,2018-10-10,73.00
160,2018-10-09,74.76
161,2018-10-08,75.39
162,2018-10-05,75.00
163,2018-10-04,75.24
164,2018-10-03,75.93
165,2018-10-02,76.60
166,2018-10-01,76.92
167,2018-09-28,76.64
168,2018-09-27,76.94
169,2018-09-26,77.56
170,2018-09-25,77.04
171,2018-09-24,76.11
172,2018-09-21,76.49
173,2018-09-20,76.07
174,2018-09-19,75.95
175,2018-09-18,75.67
176,2018-09-17,73.83
177,2018-09-14,73.76
178,2018-09-13,72.96
179,2018-09-12,72.52
180,2018-09-11,72.91
181,2018-09-10,73.19
182,2018-09-07,72.90
183,2018-09-06,73.56
184,2018-09-05,73.38
185,2018-09-04,73.83
186,2018-08-31,75.11
187,2018-08-30,75.15
188,2018-08-29,75.28
189,2018-08-28,74.75
190,2018-08-27,75.06
191,2018-08-24,73.88
192,2018-08-23,73.59
193,2018-08-22,73.69
194,2018-08-21,73.12
195,2018-08-20,73.25
196,2018-08-17,73.33
197,2018-08-16,72.93
198,2018-08-15,73.22
199,2018-08-14,74.34
200,2018-08-13,73.85
201,2018-08-10,74.66
202,2018-08-09,75.69
203,2018-08-08,75.99
204,2018-08-07,75.98
205,2018-08-06,75.35
206,2018-08-03,76.25
207,2018-08-02,76.62
208,2018-08-01,76.96
209,2018-07-31,76.58
210,2018-07-30,77.41
211,2018-07-27,77.71
212,2018-07-26,77.50
213,2018-07-25,76.71
214,2018-07-24,76.05
215,2018-07-23,75.53
216,2018-07-20,74.87
217,2018-07-19,74.87
218,2018-07-18,74.98
219,2018-07-17,74.91
220,2018-07-16,73.95
221,2018-07-13,73.94
222,2018-07-12,73.35
223,2018-07-11,73.61
224,2018-07-10,74.90
225,2018-07-09,75.36
226,2018-07-06,74.26
227,2018-07-05,73.90
228,2018-07-03,74.20
229,2018-07-02,74.83
230,2018-06-29,76.27
231,2018-06-28,76.42
232,2018-06-27,76.57
233,2018-06-26,76.70
234,2018-06-25,76.06
235,2018-06-22,77.38
236,2018-06-21,76.70
237,2018-06-20,77.40
238,2018-06-19,77.58
239,2018-06-18,78.60
240,2018-06-15,79.15
241,2018-06-14,80.00
242,2018-06-13,79.94
243,2018-06-12,80.05
244,2018-06-11,80.61
245,2018-06-08,80.32
246,2018-06-07,79.91
247,2018-06-06,79.94
248,2018-06-05,79.83
249,2018-06-04,79.94
250,2018-06-01,79.35
251,2018-05-31,78.72
252,2018-05-30,79.41
253,2018-05-29,78.94
254,2018-05-25,79.77
255,2018-05-24,80.28
256,2018-05-23,80.44
257,2018-05-22,80.41
258,2018-05-21,80.75
259,2018-05-18,80.78
260,2018-05-17,80.95
261,2018-05-16,81.02
262,2018-05-15,80.63
263,2018-05-14,81.40
264,2018-05-11,81.08
265,2018-05-10,80.49
266,2018-05-09,79.92
267,2018-05-08,80.47
268,2018-05-07,80.34
269,2018-05-04,80.15
270,2018-05-03,79.70
271,2018-05-02,79.54
272,2018-05-01,79.82
273,2018-04-30,80.00
274,2018-04-27,80.15
275,2018-04-26,80.21
276,2018-04-25,79.67
277,2018-04-24,79.47
278,2018-04-23,79.91
279,2018-04-20,80.10
280,2018-04-19,80.22
281,2018-04-18,80.54
282,2018-04-17,79.87
283,2018-04-16,79.80
284,2018-04-13,79.39
285,2018-04-12,79.44
286,2018-04-11,79.57
287,2018-04-10,79.68
288,2018-04-09,79.58
289,2018-04-06,79.07
290,2018-04-05,80.13
291,2018-04-04,80.03
292,2018-04-03,79.34
293,2018-04-02,78.38
294,2018-03-29,79.92
295,2018-03-28,78.71
296,2018-03-27,77.87
297,2018-03-26,77.47
298,2018-03-23,76.48
299,2018-03-22,78.14
300,2018-03-21,78.75
301,2018-03-20,78.69
302,2018-03-19,78.16
