,Date,NAV
1,2019-05-30,50.59
2,2019-05-29,50.60
3,2019-05-28,51.00
4,2019-05-24,52.10
5,2019-05-23,51.93
6,2019-05-22,51.47
7,2019-05-21,51.74
8,2019-05-20,51.82
9,2019-05-17,51.56
10,2019-05-16,52.07
11,2019-05-15,51.89
12,2019-05-14,51.52
13,2019-05-13,51.42
14,2019-05-10,51.95
15,2019-05-09,51.89
16,2019-05-08,51.45
17,2019-05-07,51.37
18,2019-05-06,51.38
19,2019-05-03,52.00
20,2019-05-02,51.61
21,2019-05-01,51.34
22,2019-04-30,52.33
23,2019-04-29,52.20
24,2019-04-26,51.99
25,2019-04-25,51.89
26,2019-04-24,51.64
27,2019-04-23,51.99
28,2019-04-22,51.75
29,2019-04-18,51.81
30,2019-04-17,52.24
31,2019-04-16,52.28
32,2019-04-15,51.91
33,2019-04-12,51.57
34,2019-04-11,51.33
35,2019-04-10,50.91
36,2019-04-09,51.01
37,2019-04-08,51.51
38,2019-04-05,51.32
39,2019-04-04,51.95
40,2019-04-03,52.32
41,2019-04-02,52.18
42,2019-04-01,52.31
43,2019-03-29,52.29
44,2019-03-28,51.61
45,2019-03-27,51.12
46,2019-03-26,51.51
47,2019-03-25,51.11
48,2019-03-22,50.58
49,2019-03-21,50.64
50,2019-03-20,50.42
51,2019-03-19,50.74
52,2019-03-18,50.85
53,2019-03-15,50.53
54,2019-03-14,50.19
55,2019-03-13,50.30
56,2019-03-12,50.17
57,2019-03-11,50.17
58,2019-03-08,50.08
59,2019-03-07,49.48
60,2019-03-06,49.72
61,2019-03-05,49.98
62,2019-03-04,49.99
63,2019-03-01,49.90
64,2019-02-28,49.44
65,2019-02-27,49.58
66,2019-02-26,50.23
67,2019-02-25,50.16
68,2019-02-22,49.75
69,2019-02-21,49.45
70,2019-02-20,49.65
71,2019-02-19,49.57
72,2019-02-15,49.77
73,2019-02-14,49.36
74,2019-02-13,49.55
75,2019-02-12,49.01
76,2019-02-11,48.68
77,2019-02-08,48.46
78,2019-02-07,48.05
79,2019-02-06,48.47
80,2019-02-05,48.96
81,2019-02-04,48.40
82,2019-02-01,48.37
83,2019-01-31,48.60
84,2019-01-30,48.21
85,2019-01-29,48.05
86,2019-01-28,48.60
87,2019-01-25,49.03
88,2019-01-24,48.23
