,Date,NAV
1,2019-05-30,21.81
2,2019-05-29,21.77
3,2019-05-28,21.89
4,2019-05-24,22.03
5,2019-05-23,21.92
6,2019-05-22,22.06
7,2019-05-21,22.07
8,2019-05-20,21.88
9,2019-05-17,21.42
10,2019-05-16,21.59
11,2019-05-15,21.41
12,2019-05-14,21.25
13,2019-05-13,21.27
14,2019-05-10,21.71
15,2019-05-09,21.45
16,2019-05-08,21.40
17,2019-05-07,21.40
18,2019-05-06,21.62
19,2019-05-03,21.83
20,2019-05-02,21.66
21,2019-05-01,21.69
22,2019-04-30,21.77
23,2019-04-29,21.90
24,2019-04-26,21.93
25,2019-04-25,21.88
26,2019-04-24,21.87
27,2019-04-23,21.98
28,2019-04-22,21.89
29,2019-04-18,21.92
30,2019-04-17,21.90
31,2019-04-16,21.92
32,2019-04-15,21.81
33,2019-04-12,21.86
34,2019-04-11,21.65
35,2019-04-10,21.71
36,2019-04-09,21.56
37,2019-04-08,21.67
38,2019-04-05,21.53
39,2019-04-04,21.63
40,2019-04-03,21.83
41,2019-04-02,21.65
42,2019-04-01,21.76
43,2019-03-29,21.52
44,2019-03-28,21.37
45,2019-03-27,21.21
46,2019-03-26,21.43
47,2019-03-25,21.33
48,2019-03-22,21.23
49,2019-03-21,21.58
50,2019-03-20,21.45
51,2019-03-19,21.44
52,2019-03-18,21.52
53,2019-03-15,21.45
54,2019-03-14,21.36
55,2019-03-13,21.42
56,2019-03-12,21.31
57,2019-03-11,21.45
58,2019-03-08,21.26
59,2019-03-07,21.35
60,2019-03-06,21.41
61,2019-03-05,21.39
62,2019-03-04,21.32
63,2019-03-01,21.43
64,2019-02-28,21.28
65,2019-02-27,21.31
66,2019-02-26,21.40
67,2019-02-25,21.40
68,2019-02-22,21.29
69,2019-02-21,21.05
70,2019-02-20,21.14
71,2019-02-19,21.21
72,2019-02-15,21.08
73,2019-02-14,20.75
74,2019-02-13,20.74
75,2019-02-12,20.93
76,2019-02-11,20.72
77,2019-02-08,20.78
78,2019-02-07,20.82
79,2019-02-06,20.83
80,2019-02-05,21.07
81,2019-02-04,20.73
82,2019-02-01,20.56
83,2019-01-31,20.59
84,2019-01-30,20.69
85,2019-01-29,20.36
86,2019-01-28,20.43
87,2019-01-25,20.53
88,2019-01-24,20.17
89,2019-01-23,20.16
90,2019-01-22,20.07
91,2019-01-18,20.58
92,2019-01-17,20.50
93,2019-01-16,20.31
94,2019-01-15,20.26
95,2019-01-14,20.13
96,2019-01-11,20.21
97,2019-01-10,20.21
98,2019-01-09,20.12
99,2019-01-08,19.84
100,2019-01-07,19.69
101,2019-01-04,19.63
102,2019-01-03,18.96
103,2019-01-02,19.10
104,2018-12-31,19.25
105,2018-12-28,19.25
106,2018-12-27,19.11
107,2018-12-26,19.05
108,2018-12-24,18.42
109,2018-12-21,18.43
110,2018-12-20,18.87
111,2018-12-19,19.08
112,2018-12-18,19.30
113,2018-12-17,19.30
114,2018-12-14,19.30
115,2018-12-13,19.63
116,2018-12-12,19.64
117,2018-12-11,19.45
118,2018-12-10,19.30
119,2018-12-07,19.55
120,2018-12-06,19.67
121,2018-12-04,19.82
122,2018-12-03,20.37
123,2018-11-30,20.03
124,2018-11-29,20.24
