,Date,NAV
1,2019-05-30,32.79
2,2019-05-29,32.45
3,2019-05-28,32.44
4,2019-05-24,32.62
5,2019-05-23,32.50
6,2019-05-22,33.11
7,2019-05-21,33.29
8,2019-05-20,32.87
9,2019-05-17,33.11
10,2019-05-16,33.79
11,2019-05-15,34.03
12,2019-05-14,33.94
13,2019-05-13,33.68
14,2019-05-10,35.04
15,2019-05-09,34.85
16,2019-05-08,35.48
17,2019-05-07,35.45
18,2019-05-06,35.78
19,2019-05-03,36.43
20,2019-05-02,35.88
21,2019-05-01,35.72
22,2019-04-30,35.84
23,2019-04-29,35.85
24,2019-04-26,35.78
25,2019-04-25,35.86
26,2019-04-24,35.90
27,2019-04-23,36.11
28,2019-04-22,35.93
29,2019-04-18,36.14
30,2019-04-17,36.09
31,2019-04-16,35.79
32,2019-04-15,35.48
33,2019-04-12,35.51
34,2019-04-11,35.23
35,2019-04-10,35.53
36,2019-04-09,35.30
37,2019-04-08,35.30
38,2019-04-05,35.43
39,2019-04-04,35.26
40,2019-04-03,35.06
41,2019-04-02,34.84
42,2019-04-01,34.89
43,2019-03-29,34.58
44,2019-03-28,34.16
45,2019-03-27,34.02
46,2019-03-26,34.24
47,2019-03-25,33.97
48,2019-03-22,34.06
49,2019-03-21,34.67
50,2019-03-20,34.31
51,2019-03-19,34.25
52,2019-03-18,34.18
53,2019-03-15,33.92
54,2019-03-14,33.41
55,2019-03-13,33.56
56,2019-03-12,33.40
57,2019-03-11,33.27
58,2019-03-08,32.91
59,2019-03-07,33.08
60,2019-03-06,33.41
61,2019-03-05,33.48
62,2019-03-04,33.32
63,2019-03-01,33.35
64,2019-02-28,33.20
65,2019-02-27,33.62
66,2019-02-26,33.78
67,2019-02-25,33.94
68,2019-02-22,33.66
69,2019-02-21,33.38
70,2019-02-20,33.37
71,2019-02-19,33.09
72,2019-02-15,32.83
73,2019-02-14,32.64
74,2019-02-13,32.68
75,2019-02-12,32.92
76,2019-02-11,32.56
77,2019-02-08,32.82
78,2019-02-07,33.09
79,2019-02-06,33.45
80,2019-02-05,33.60
81,2019-02-04,33.23
82,2019-02-01,33.02
83,2019-01-31,33.29
84,2019-01-30,32.75
85,2019-01-29,32.23
86,2019-01-28,32.54
87,2019-01-25,32.84
88,2019-01-24,32.32
89,2019-01-23,32.05
90,2019-01-22,31.87
91,2019-01-18,32.32
92,2019-01-17,32.01
93,2019-01-16,31.88
94,2019-01-15,31.74
95,2019-01-14,31.42
96,2019-01-11,31.83
97,2019-01-10,31.87
98,2019-01-09,31.67
99,2019-01-08,31.09
100,2019-01-07,31.16
101,2019-01-04,30.89
102,2019-01-03,30.30
103,2019-01-02,31.28
104,2018-12-31,31.62
105,2018-12-28,31.71
106,2018-12-27,31.38
107,2018-12-26,31.40
108,2018-12-24,30.86
109,2018-12-21,31.26
110,2018-12-20,31.46
111,2018-12-19,31.18
112,2018-12-18,31.67
113,2018-12-17,31.37
114,2018-12-14,31.44
115,2018-12-13,31.91
116,2018-12-12,31.99
117,2018-12-11,31.50
118,2018-12-10,31.37
119,2018-12-07,31.28
120,2018-12-06,31.84
121,2018-12-04,32.36
122,2018-12-03,33.22
123,2018-11-30,32.27
124,2018-11-29,32.38
125,2018-11-28,32.75
126,2018-11-27,31.82
127,2018-11-26,31.96
128,2018-11-23,31.30
129,2018-11-21,31.84
130,2018-11-20,31.34
131,2018-11-19,31.83
132,2018-11-16,32.28
133,2018-11-15,32.67
134,2018-11-14,32.10
135,2018-11-13,32.00
136,2018-11-12,31.69
137,2018-11-09,32.10
138,2018-11-08,32.75
139,2018-11-07,33.27
140,2018-11-06,32.54
141,2018-11-05,32.82
142,2018-11-02,32.85
143,2018-11-01,32.85
144,2018-10-31,32.11
145,2018-10-30,31.63
146,2018-10-29,30.89
147,2018-10-26,30.96
148,2018-10-25,31.61
149,2018-10-24,31.13
150,2018-10-23,31.98
151,2018-10-22,32.52
152,2018-10-19,32.45
153,2018-10-18,32.10
154,2018-10-17,32.77
155,2018-10-16,33.21
156,2018-10-15,32.38
157,2018-10-12,32.78
158,2018-10-11,31.98
159,2018-10-10,33.03
160,2018-10-09,34.11
161,2018-10-08,34.19
162,2018-10-05,34.11
163,2018-10-04,34.84
164,2018-10-03,35.72
165,2018-10-02,36.02
166,2018-10-01,36.66
167,2018-09-28,36.54
168,2018-09-27,36.64
169,2018-09-26,36.18
170,2018-09-25,36.34
171,2018-09-24,36.28
172,2018-09-21,36.31
173,2018-09-20,36.04
174,2018-09-19,35.95
175,2018-09-18,35.69
176,2018-09-17,35.65
177,2018-09-14,35.93
178,2018-09-13,35.57
179,2018-09-12,35.51
180,2018-09-11,35.65
181,2018-09-10,35.45
182,2018-09-07,35.88
183,2018-09-06,36.09
184,2018-09-05,36.20
185,2018-09-04,36.42
186,2018-08-31,36.76
187,2018-08-30,36.45
188,2018-08-29,37.06
189,2018-08-28,36.62
190,2018-08-27,36.35
191,2018-08-24,36.03
192,2018-08-23,35.79
193,2018-08-22,35.93
194,2018-08-21,35.94
195,2018-08-20,35.47
196,2018-08-17,35.40
197,2018-08-16,35.39
198,2018-08-15,35.05
199,2018-08-14,35.78
200,2018-08-13,35.40
201,2018-08-10,36.17
202,2018-08-09,36.57
203,2018-08-08,36.78
204,2018-08-07,36.56
205,2018-08-06,36.52
206,2018-08-03,36.58
207,2018-08-02,36.25
208,2018-08-01,36.64
209,2018-07-31,36.63
210,2018-07-30,36.39
211,2018-07-27,36.53
212,2018-07-26,36.34
213,2018-07-25,36.43
214,2018-07-24,36.03
215,2018-07-23,35.89
216,2018-07-20,36.12
217,2018-07-19,35.53
218,2018-07-18,35.56
219,2018-07-17,35.44
220,2018-07-16,35.29
221,2018-07-13,35.30
222,2018-07-12,35.17
223,2018-07-11,34.52
224,2018-07-10,35.19
225,2018-07-09,35.21
226,2018-07-06,34.43
227,2018-07-05,34.20
228,2018-07-03,34.47
229,2018-07-02,34.60
230,2018-06-29,34.89
231,2018-06-28,34.23
232,2018-06-27,34.09
233,2018-06-26,34.54
234,2018-06-25,34.58
235,2018-06-22,34.93
236,2018-06-21,34.74
237,2018-06-20,35.34
238,2018-06-19,34.94
239,2018-06-18,35.12
240,2018-06-15,35.63
241,2018-06-14,35.86
242,2018-06-13,36.33
243,2018-06-12,36.34
244,2018-06-11,36.60
245,2018-06-08,36.50
246,2018-06-07,36.90
247,2018-06-06,37.26
248,2018-06-05,36.49
249,2018-06-04,36.73
250,2018-06-01,36.13
251,2018-05-31,35.50
252,2018-05-30,35.70
253,2018-05-29,35.41
254,2018-05-25,35.97
255,2018-05-24,35.90
256,2018-05-23,35.86
257,2018-05-22,36.02
258,2018-05-21,36.08
259,2018-05-18,35.55
260,2018-05-17,35.68
261,2018-05-16,36.12
262,2018-05-15,35.68
263,2018-05-14,36.32
264,2018-05-11,36.14
265,2018-05-10,35.93
266,2018-05-09,35.23
267,2018-05-08,35.13
268,2018-05-07,34.83
269,2018-05-04,34.96
270,2018-05-03,34.64
271,2018-05-02,34.79
272,2018-05-01,35.04
273,2018-04-30,35.18
274,2018-04-27,35.16
275,2018-04-26,34.96
276,2018-04-25,34.81
277,2018-04-24,34.71
278,2018-04-23,35.36
279,2018-04-20,35.65
280,2018-04-19,36.25
281,2018-04-18,36.62
282,2018-04-17,36.43
283,2018-04-16,36.88
284,2018-04-13,36.70
285,2018-04-12,36.95
286,2018-04-11,36.98
287,2018-04-10,37.04
288,2018-04-09,36.57
289,2018-04-06,36.33
290,2018-04-05,37.04
291,2018-04-04,36.92
292,2018-04-03,36.77
293,2018-04-02,36.30
294,2018-03-29,37.16
295,2018-03-28,36.56
296,2018-03-27,36.72
297,2018-03-26,37.23
298,2018-03-23,35.98
299,2018-03-22,36.64
300,2018-03-21,37.49
301,2018-03-20,37.32
302,2018-03-19,37.05
303,2018-03-16,37.29
304,2018-03-15,37.40
305,2018-03-14,37.30
306,2018-03-13,37.32
307,2018-03-12,37.34
308,2018-03-09,37.01
309,2018-03-08,36.48
310,2018-03-07,36.37
311,2018-03-06,36.34
312,2018-03-05,35.96
313,2018-03-02,35.89
314,2018-03-01,35.67
315,2018-02-28,35.52
316,2018-02-27,36.03
317,2018-02-26,36.75
318,2018-02-23,36.51
319,2018-02-22,35.83
320,2018-02-21,35.94
321,2018-02-20,36.06
322,2018-02-16,36.62
323,2018-02-15,36.57
324,2018-02-14,35.92
325,2018-02-13,35.35
326,2018-02-12,35.18
327,2018-02-09,34.81
328,2018-02-08,34.11
329,2018-02-07,35.36
330,2018-02-06,35.99
331,2018-02-05,35.63
332,2018-02-02,36.60
333,2018-02-01,37.35
334,2018-01-31,37.45
335,2018-01-30,37.17
336,2018-01-29,37.64
337,2018-01-26,37.96
338,2018-01-25,37.90
339,2018-01-24,37.80
