,Date,NAV
1,2019-05-30,30.62
2,2019-05-29,30.31
3,2019-05-28,30.70
4,2019-05-24,31.03
5,2019-05-23,30.22
6,2019-05-22,30.75
7,2019-05-21,30.98
8,2019-05-20,30.75
9,2019-05-17,31.20
10,2019-05-16,31.38
11,2019-05-15,31.08
12,2019-05-14,31.06
13,2019-05-13,30.19
14,2019-05-10,31.52
15,2019-05-09,31.20
16,2019-05-08,31.63
17,2019-05-07,32.03
18,2019-05-06,33.20
19,2019-05-03,33.92
20,2019-05-02,32.99
21,2019-05-01,33.06
22,2019-04-30,33.33
23,2019-04-29,33.47
24,2019-04-26,33.24
25,2019-04-25,32.72
26,2019-04-24,32.59
27,2019-04-23,33.16
28,2019-04-22,32.93
29,2019-04-18,33.28
30,2019-04-17,33.24
31,2019-04-16,33.23
32,2019-04-15,32.92
33,2019-04-12,32.87
34,2019-04-11,32.51
35,2019-04-10,32.76
36,2019-04-09,32.82
37,2019-04-08,33.08
38,2019-04-05,33.27
39,2019-04-04,33.19
40,2019-04-03,33.28
41,2019-04-02,32.94
42,2019-04-01,33.41
43,2019-03-29,32.60
44,2019-03-28,32.59
45,2019-03-27,32.53
46,2019-03-26,32.77
47,2019-03-25,31.96
48,2019-03-22,32.13
49,2019-03-21,32.67
50,2019-03-20,32.41
51,2019-03-19,32.33
52,2019-03-18,32.35
53,2019-03-15,32.13
54,2019-03-14,31.45
55,2019-03-13,32.18
56,2019-03-12,31.79
57,2019-03-11,31.79
58,2019-03-08,31.02
59,2019-03-07,31.26
60,2019-03-06,32.06
61,2019-03-05,32.41
62,2019-03-04,32.37
63,2019-03-01,32.56
64,2019-02-28,32.39
65,2019-02-27,33.12
66,2019-02-26,33.40
67,2019-02-25,33.17
68,2019-02-22,32.84
69,2019-02-21,32.61
70,2019-02-20,32.84
71,2019-02-19,32.77
72,2019-02-15,32.62
73,2019-02-14,31.79
74,2019-02-13,31.98
75,2019-02-12,31.59
76,2019-02-11,30.59
