,Date,NAV
1,2019-05-30,47.06
2,2019-05-29,46.67
3,2019-05-28,46.86
4,2019-05-24,47.35
5,2019-05-23,46.64
6,2019-05-22,47.02
7,2019-05-21,47.48
8,2019-05-20,47.26
9,2019-05-17,47.67
10,2019-05-16,47.98
11,2019-05-15,47.72
12,2019-05-14,47.77
13,2019-05-13,46.98
14,2019-05-10,47.97
15,2019-05-09,47.94
16,2019-05-08,48.50
17,2019-05-07,49.07
18,2019-05-06,49.80
19,2019-05-03,50.39
20,2019-05-02,49.76
21,2019-05-01,49.76
22,2019-04-30,50.02
23,2019-04-29,50.21
24,2019-04-26,49.91
25,2019-04-25,49.69
26,2019-04-24,49.48
27,2019-04-23,50.45
28,2019-04-22,50.14
29,2019-04-18,50.35
30,2019-04-17,50.31
31,2019-04-16,50.16
32,2019-04-15,50.33
33,2019-04-12,50.15
34,2019-04-11,50.07
35,2019-04-10,50.19
36,2019-04-09,50.14
37,2019-04-08,50.59
38,2019-04-05,50.53
39,2019-04-04,50.37
40,2019-04-03,50.53
41,2019-04-02,50.36
42,2019-04-01,50.56
43,2019-03-29,49.77
44,2019-03-28,50.09
45,2019-03-27,50.00
46,2019-03-26,50.46
47,2019-03-25,49.85
48,2019-03-22,50.01
49,2019-03-21,50.39
50,2019-03-20,50.06
51,2019-03-19,50.01
52,2019-03-18,49.96
53,2019-03-15,49.72
54,2019-03-14,49.26
55,2019-03-13,49.86
56,2019-03-12,49.48
57,2019-03-11,49.53
58,2019-03-08,48.42
59,2019-03-07,48.63
60,2019-03-06,49.29
61,2019-03-05,49.47
62,2019-03-04,49.50
63,2019-03-01,49.50
64,2019-02-28,49.67
65,2019-02-27,50.14
66,2019-02-26,50.29
67,2019-02-25,50.14
68,2019-02-22,50.00
69,2019-02-21,49.87
70,2019-02-20,50.16
71,2019-02-19,49.92
72,2019-02-15,49.74
73,2019-02-14,48.97
74,2019-02-13,49.06
75,2019-02-12,49.04
76,2019-02-11,48.11
77,2019-02-08,48.07
78,2019-02-07,48.74
79,2019-02-06,49.37
80,2019-02-05,50.06
81,2019-02-04,49.98
82,2019-02-01,49.64
83,2019-01-31,49.97
84,2019-01-30,50.11
85,2019-01-29,50.06
86,2019-01-28,50.02
87,2019-01-25,50.39
88,2019-01-24,49.93
89,2019-01-23,49.65
90,2019-01-22,49.63
91,2019-01-18,50.54
92,2019-01-17,49.89
93,2019-01-16,50.06
94,2019-01-15,49.93
95,2019-01-14,49.40
96,2019-01-11,49.54
97,2019-01-10,50.51
98,2019-01-09,50.36
99,2019-01-08,50.03
100,2019-01-07,49.90
101,2019-01-04,49.69
102,2019-01-03,47.86
103,2019-01-02,48.29
104,2018-12-31,48.09
105,2018-12-28,48.11
106,2018-12-27,48.23
107,2018-12-26,47.41
108,2018-12-24,46.52
109,2018-12-21,47.13
110,2018-12-20,48.65
111,2018-12-19,49.09
112,2018-12-18,50.06
113,2018-12-17,49.67
114,2018-12-14,50.25
115,2018-12-13,50.65
116,2018-12-12,51.04
117,2018-12-11,50.21
118,2018-12-10,50.31
119,2018-12-07,50.75
120,2018-12-06,51.39
121,2018-12-04,51.08
122,2018-12-03,52.99
123,2018-11-30,52.26
124,2018-11-29,52.29
125,2018-11-28,52.18
126,2018-11-27,51.47
127,2018-11-26,51.68
128,2018-11-23,50.77
129,2018-11-21,51.00
130,2018-11-20,50.30
131,2018-11-19,51.08
132,2018-11-16,51.47
133,2018-11-15,51.36
134,2018-11-14,50.91
135,2018-11-13,50.89
136,2018-11-12,50.99
137,2018-11-09,52.14
138,2018-11-08,52.56
139,2018-11-07,52.56
140,2018-11-06,52.17
141,2018-11-05,51.39
142,2018-11-02,51.70
143,2018-11-01,50.95
144,2018-10-31,50.87
145,2018-10-30,50.66
146,2018-10-29,49.66
147,2018-10-26,50.26
148,2018-10-25,51.54
149,2018-10-24,50.74
150,2018-10-23,52.35
151,2018-10-22,53.26
152,2018-10-19,53.34
153,2018-10-18,53.36
154,2018-10-17,54.53
155,2018-10-16,54.74
156,2018-10-15,53.79
157,2018-10-12,53.76
158,2018-10-11,53.58
159,2018-10-10,54.62
160,2018-10-09,55.89
161,2018-10-08,56.22
162,2018-10-05,56.03
163,2018-10-04,56.29
164,2018-10-03,57.05
165,2018-10-02,57.46
166,2018-10-01,57.58
167,2018-09-28,57.23
168,2018-09-27,57.41
169,2018-09-26,57.36
170,2018-09-25,57.20
171,2018-09-24,56.70
172,2018-09-21,56.87
173,2018-09-20,56.46
174,2018-09-19,56.34
175,2018-09-18,56.25
176,2018-09-17,54.55
177,2018-09-14,54.64
178,2018-09-13,53.82
179,2018-09-12,53.17
180,2018-09-11,52.96
181,2018-09-10,53.10
182,2018-09-07,53.19
183,2018-09-06,53.44
184,2018-09-05,53.57
185,2018-09-04,54.28
186,2018-08-31,54.84
187,2018-08-30,54.90
188,2018-08-29,55.16
189,2018-08-28,55.05
190,2018-08-27,55.14
191,2018-08-24,54.32
192,2018-08-23,54.07
193,2018-08-22,54.07
194,2018-08-21,53.82
195,2018-08-20,53.50
196,2018-08-17,53.58
197,2018-08-16,53.35
198,2018-08-15,53.39
199,2018-08-14,54.21
200,2018-08-13,53.82
201,2018-08-10,54.41
202,2018-08-09,55.05
203,2018-08-08,55.10
204,2018-08-07,55.43
205,2018-08-06,55.10
206,2018-08-03,55.47
207,2018-08-02,55.68
208,2018-08-01,56.09
209,2018-07-31,55.35
210,2018-07-30,55.85
211,2018-07-27,56.29
212,2018-07-26,56.30
213,2018-07-25,56.14
214,2018-07-24,55.29
215,2018-07-23,55.21
216,2018-07-20,55.06
217,2018-07-19,55.19
218,2018-07-18,55.33
219,2018-07-17,55.08
220,2018-07-16,54.48
221,2018-07-13,54.57
222,2018-07-12,53.91
223,2018-07-11,53.96
224,2018-07-10,54.99
225,2018-07-09,54.98
226,2018-07-06,54.11
227,2018-07-05,53.75
228,2018-07-03,53.96
229,2018-07-02,53.97
230,2018-06-29,54.94
231,2018-06-28,55.20
232,2018-06-27,54.98
233,2018-06-26,55.32
234,2018-06-25,55.01
235,2018-06-22,55.79
236,2018-06-21,55.67
237,2018-06-20,55.65
238,2018-06-19,55.80
