,Date,NAV
1,2019-05-30,57.17
2,2019-05-29,56.97
3,2019-05-28,57.22
4,2019-05-24,57.75
5,2019-05-23,56.84
6,2019-05-22,57.23
7,2019-05-21,57.62
8,2019-05-20,57.33
9,2019-05-17,57.66
10,2019-05-16,57.81
11,2019-05-15,57.58
12,2019-05-14,57.48
13,2019-05-13,56.64
14,2019-05-10,57.93
15,2019-05-09,57.49
16,2019-05-08,58.01
17,2019-05-07,58.34
18,2019-05-06,59.36
19,2019-05-03,59.99
20,2019-05-02,59.27
21,2019-05-01,59.19
22,2019-04-30,59.41
23,2019-04-29,59.66
24,2019-04-26,59.37
25,2019-04-25,58.89
26,2019-04-24,58.77
27,2019-04-23,59.42
28,2019-04-22,59.10
29,2019-04-18,59.29
30,2019-04-17,59.39
31,2019-04-16,59.45
32,2019-04-15,59.12
33,2019-04-12,59.05
34,2019-04-11,58.83
35,2019-04-10,58.95
36,2019-04-09,59.00
37,2019-04-08,59.34
38,2019-04-05,59.49
39,2019-04-04,59.45
40,2019-04-03,59.54
41,2019-04-02,59.29
42,2019-04-01,59.87
43,2019-03-29,59.01
44,2019-03-28,59.00
45,2019-03-27,58.91
46,2019-03-26,59.20
47,2019-03-25,58.41
48,2019-03-22,58.41
49,2019-03-21,59.10
50,2019-03-20,58.70
51,2019-03-19,58.59
52,2019-03-18,58.68
53,2019-03-15,58.40
54,2019-03-14,57.72
55,2019-03-13,58.38
56,2019-03-12,58.19
57,2019-03-11,58.07
58,2019-03-08,57.38
59,2019-03-07,57.55
60,2019-03-06,58.28
61,2019-03-05,58.62
62,2019-03-04,58.59
63,2019-03-01,58.71
64,2019-02-28,58.46
65,2019-02-27,59.09
66,2019-02-26,59.34
67,2019-02-25,59.11
68,2019-02-22,58.79
69,2019-02-21,58.64
70,2019-02-20,58.75
71,2019-02-19,58.73
72,2019-02-15,58.59
73,2019-02-14,57.82
74,2019-02-13,57.86
75,2019-02-12,57.78
76,2019-02-11,56.75
77,2019-02-08,56.60
78,2019-02-07,57.20
79,2019-02-06,58.02
80,2019-02-05,58.52
81,2019-02-04,58.29
82,2019-02-01,58.05
83,2019-01-31,58.33
84,2019-01-30,58.20
85,2019-01-29,57.49
86,2019-01-28,57.40
87,2019-01-25,57.84
88,2019-01-24,57.22
89,2019-01-23,56.82
90,2019-01-22,57.04
91,2019-01-18,58.16
92,2019-01-17,57.38
93,2019-01-16,57.40
94,2019-01-15,57.17
95,2019-01-14,56.41
96,2019-01-11,56.55
97,2019-01-10,57.24
98,2019-01-09,57.00
99,2019-01-08,56.72
100,2019-01-07,56.58
101,2019-01-04,56.45
102,2019-01-03,54.48
103,2019-01-02,54.87
104,2018-12-31,54.48
105,2018-12-28,54.72
106,2018-12-27,54.64
107,2018-12-26,53.56
108,2018-12-24,52.64
109,2018-12-21,53.19
110,2018-12-20,54.93
111,2018-12-19,55.36
112,2018-12-18,56.17
113,2018-12-17,55.91
114,2018-12-14,56.42
115,2018-12-13,57.14
116,2018-12-12,57.35
117,2018-12-11,56.61
118,2018-12-10,56.72
119,2018-12-07,57.27
120,2018-12-06,57.31
121,2018-12-04,57.62
122,2018-12-03,59.78
123,2018-11-30,59.09
124,2018-11-29,59.23
125,2018-11-28,59.02
126,2018-11-27,58.41
127,2018-11-26,58.68
128,2018-11-23,57.85
129,2018-11-21,58.08
130,2018-11-20,57.11
131,2018-11-19,57.83
132,2018-11-16,58.30
133,2018-11-15,58.13
134,2018-11-14,57.97
135,2018-11-13,57.82
136,2018-11-12,58.07
