,Date,NAV
1,2019-05-30,26.13
2,2019-05-29,26.00
3,2019-05-28,26.24
4,2019-05-24,26.33
5,2019-05-23,26.20
6,2019-05-22,26.64
7,2019-05-21,26.67
8,2019-05-20,26.45
9,2019-05-17,26.75
10,2019-05-16,26.93
11,2019-05-15,26.61
12,2019-05-14,26.36
13,2019-05-13,26.10
14,2019-05-10,26.80
15,2019-05-09,26.67
16,2019-05-08,26.89
17,2019-05-07,26.64
18,2019-05-06,27.20
19,2019-05-03,27.45
20,2019-05-02,27.17
21,2019-05-01,27.16
22,2019-04-30,27.31
23,2019-04-29,27.25
24,2019-04-26,27.18
25,2019-04-25,27.13
26,2019-04-24,27.17
27,2019-04-23,27.04
28,2019-04-22,27.02
29,2019-04-18,27.04
30,2019-04-17,26.91
31,2019-04-16,26.72
32,2019-04-15,26.51
33,2019-04-12,26.48
34,2019-04-11,26.29
35,2019-04-10,26.23
36,2019-04-09,26.05
37,2019-04-08,26.27
38,2019-04-05,26.39
39,2019-04-04,26.41
40,2019-04-03,26.30
41,2019-04-02,26.02
42,2019-04-01,25.83
43,2019-03-29,25.41
44,2019-03-28,25.28
45,2019-03-27,25.35
46,2019-03-26,25.27
47,2019-03-25,25.12
48,2019-03-22,25.07
49,2019-03-21,25.63
50,2019-03-20,25.66
51,2019-03-19,25.96
52,2019-03-18,25.79
53,2019-03-15,25.79
54,2019-03-14,25.59
55,2019-03-13,25.53
56,2019-03-12,25.39
57,2019-03-11,25.53
58,2019-03-08,25.33
59,2019-03-07,25.37
60,2019-03-06,25.56
61,2019-03-05,25.69
62,2019-03-04,25.55
63,2019-03-01,25.69
64,2019-02-28,25.36
65,2019-02-27,25.27
66,2019-02-26,25.37
67,2019-02-25,25.22
68,2019-02-22,25.21
69,2019-02-21,25.13
70,2019-02-20,25.19
71,2019-02-19,25.01
72,2019-02-15,24.97
73,2019-02-14,24.51
74,2019-02-13,24.66
75,2019-02-12,24.56
76,2019-02-11,24.30
77,2019-02-08,24.17
78,2019-02-07,24.37
79,2019-02-06,25.00
80,2019-02-05,25.11
81,2019-02-04,24.73
82,2019-02-01,24.67
83,2019-01-31,24.72
84,2019-01-30,24.83
85,2019-01-29,24.79
86,2019-01-28,24.90
87,2019-01-25,24.90
88,2019-01-24,24.65
89,2019-01-23,24.43
90,2019-01-22,24.32
91,2019-01-18,24.75
92,2019-01-17,24.18
93,2019-01-16,24.12
94,2019-01-15,24.05
95,2019-01-14,23.99
96,2019-01-11,24.03
97,2019-01-10,24.18
98,2019-01-09,24.08
99,2019-01-08,23.91
100,2019-01-07,23.70
101,2019-01-04,23.79
102,2019-01-03,22.97
103,2019-01-02,23.32
104,2018-12-31,23.30
105,2018-12-28,23.21
106,2018-12-27,23.00
107,2018-12-26,23.24
108,2018-12-24,22.54
109,2018-12-21,23.12
110,2018-12-20,23.11
111,2018-12-19,23.43
112,2018-12-18,23.63
113,2018-12-17,23.50
114,2018-12-14,23.83
115,2018-12-13,24.03
116,2018-12-12,24.04
117,2018-12-11,23.76
118,2018-12-10,23.62
119,2018-12-07,23.70
120,2018-12-06,24.01
121,2018-12-04,24.52
122,2018-12-03,25.18
123,2018-11-30,24.87
124,2018-11-29,24.97
125,2018-11-28,24.90
126,2018-11-27,24.90
127,2018-11-26,24.98
128,2018-11-23,24.59
129,2018-11-21,24.74
130,2018-11-20,24.35
131,2018-11-19,24.66
132,2018-11-16,25.02
133,2018-11-15,25.23
134,2018-11-14,25.06
135,2018-11-13,25.25
136,2018-11-12,24.97
137,2018-11-09,25.36
138,2018-11-08,25.33
139,2018-11-07,25.65
140,2018-11-06,25.35
141,2018-11-05,25.41
142,2018-11-02,25.53
143,2018-11-01,25.18
144,2018-10-31,25.30
145,2018-10-30,24.90
146,2018-10-29,24.67
147,2018-10-26,24.57
148,2018-10-25,24.95
149,2018-10-24,24.55
150,2018-10-23,24.95
151,2018-10-22,25.28
152,2018-10-19,25.36
153,2018-10-18,25.52
154,2018-10-17,25.68
155,2018-10-16,25.73
156,2018-10-15,25.34
157,2018-10-12,25.09
158,2018-10-11,25.04
159,2018-10-10,25.46
160,2018-10-09,26.16
161,2018-10-08,26.03
162,2018-10-05,26.39
163,2018-10-04,26.68
164,2018-10-03,26.80
165,2018-10-02,26.80
166,2018-10-01,26.96
167,2018-09-28,26.72
168,2018-09-27,27.13
169,2018-09-26,26.98
170,2018-09-25,26.98
171,2018-09-24,26.98
172,2018-09-21,27.15
173,2018-09-20,27.01
174,2018-09-19,26.77
175,2018-09-18,26.74
176,2018-09-17,26.52
177,2018-09-14,26.62
178,2018-09-13,26.50
179,2018-09-12,26.40
180,2018-09-11,26.38
181,2018-09-10,26.35
182,2018-09-07,26.27
183,2018-09-06,26.26
184,2018-09-05,26.48
185,2018-09-04,26.81
186,2018-08-31,27.11
187,2018-08-30,27.32
188,2018-08-29,27.52
189,2018-08-28,27.44
190,2018-08-27,27.48
191,2018-08-24,27.12
192,2018-08-23,27.08
193,2018-08-22,27.09
194,2018-08-21,27.07
195,2018-08-20,26.95
196,2018-08-17,26.75
197,2018-08-16,26.74
198,2018-08-15,26.61
199,2018-08-14,27.03
200,2018-08-13,26.99
201,2018-08-10,27.14
202,2018-08-09,27.63
203,2018-08-08,27.45
204,2018-08-07,27.62
205,2018-08-06,27.45
206,2018-08-03,27.43
207,2018-08-02,27.26
208,2018-08-01,27.65
209,2018-07-31,27.75
210,2018-07-30,27.78
211,2018-07-27,27.75
212,2018-07-26,27.77
213,2018-07-25,27.65
214,2018-07-24,27.49
215,2018-07-23,27.24
216,2018-07-20,27.17
217,2018-07-19,27.45
218,2018-07-18,27.63
219,2018-07-17,27.20
220,2018-07-16,27.20
221,2018-07-13,27.14
222,2018-07-12,27.07
223,2018-07-11,26.93
224,2018-07-10,27.31
225,2018-07-09,27.16
226,2018-07-06,27.04
227,2018-07-05,26.98
228,2018-07-03,26.71
229,2018-07-02,26.56
230,2018-06-29,26.60
231,2018-06-28,26.44
232,2018-06-27,26.70
233,2018-06-26,26.66
234,2018-06-25,26.70
235,2018-06-22,27.25
236,2018-06-21,27.12
237,2018-06-20,27.51
238,2018-06-19,27.53
239,2018-06-18,27.76
240,2018-06-15,28.19
241,2018-06-14,28.39
242,2018-06-13,27.83
243,2018-06-12,27.77
244,2018-06-11,27.81
245,2018-06-08,27.67
246,2018-06-07,27.37
247,2018-06-06,27.74
248,2018-06-05,27.56
249,2018-06-04,27.67
250,2018-06-01,27.50
251,2018-05-31,27.27
252,2018-05-30,27.60
253,2018-05-29,27.26
254,2018-05-25,27.86
255,2018-05-24,27.72
256,2018-05-23,28.02
257,2018-05-22,28.35
258,2018-05-21,28.30
259,2018-05-18,28.16
260,2018-05-17,28.21
261,2018-05-16,27.99
262,2018-05-15,27.96
263,2018-05-14,27.93
264,2018-05-11,27.94
265,2018-05-10,27.92
266,2018-05-09,27.92
267,2018-05-08,27.84
268,2018-05-07,27.83
269,2018-05-04,27.67
270,2018-05-03,27.49
271,2018-05-02,27.14
272,2018-05-01,27.14
273,2018-04-30,27.14
274,2018-04-27,27.15
275,2018-04-26,27.07
276,2018-04-25,26.81
277,2018-04-24,27.13
278,2018-04-23,27.13
279,2018-04-20,27.04
280,2018-04-19,27.09
281,2018-04-18,27.21
282,2018-04-17,27.14
283,2018-04-16,26.80
284,2018-04-13,26.87
285,2018-04-12,26.83
286,2018-04-11,26.52
287,2018-04-10,26.74
288,2018-04-09,26.51
289,2018-04-06,26.47
290,2018-04-05,26.47
291,2018-04-04,26.11
292,2018-04-03,26.08
293,2018-04-02,25.79
294,2018-03-29,26.21
295,2018-03-28,25.91
296,2018-03-27,25.63
297,2018-03-26,25.81
298,2018-03-23,25.57
299,2018-03-22,25.93
300,2018-03-21,26.44
301,2018-03-20,26.65
302,2018-03-19,26.42
303,2018-03-16,26.72
304,2018-03-15,26.68
305,2018-03-14,26.44
306,2018-03-13,26.28
307,2018-03-12,26.83
308,2018-03-09,26.78
309,2018-03-08,26.71
310,2018-03-07,26.49
311,2018-03-06,26.28
312,2018-03-05,26.25
313,2018-03-02,25.89
314,2018-03-01,26.05
315,2018-02-28,26.89
316,2018-02-27,26.82
317,2018-02-26,27.13
318,2018-02-23,27.04
319,2018-02-22,26.80
320,2018-02-21,26.75
321,2018-02-20,26.93
322,2018-02-16,26.92
323,2018-02-15,26.63
324,2018-02-14,26.70
325,2018-02-13,26.38
326,2018-02-12,26.55
327,2018-02-09,26.09
328,2018-02-08,26.21
329,2018-02-07,26.99
330,2018-02-06,27.05
331,2018-02-05,26.25
332,2018-02-02,27.22
333,2018-02-01,27.79
334,2018-01-31,28.27
335,2018-01-30,28.29
336,2018-01-29,28.49
337,2018-01-26,28.67
338,2018-01-25,28.51
339,2018-01-24,28.83
340,2018-01-23,29.06
341,2018-01-22,28.95
342,2018-01-19,28.89
343,2018-01-18,28.51
344,2018-01-17,28.43
345,2018-01-16,28.23
346,2018-01-12,28.36
347,2018-01-11,28.36
348,2018-01-10,28.34
349,2018-01-09,28.67
350,2018-01-08,28.66
351,2018-01-05,28.49
352,2018-01-04,28.16
353,2018-01-03,27.83
354,2018-01-02,27.56
355,2017-12-29,27.77
356,2017-12-28,27.77
357,2017-12-27,27.84
358,2017-12-26,27.89
359,2017-12-22,27.85
360,2017-12-21,27.94
361,2017-12-20,27.87
362,2017-12-19,28.18
363,2017-12-18,28.32
364,2017-12-15,27.95
365,2017-12-14,27.79
366,2017-12-13,27.93
367,2017-12-12,28.09
368,2017-12-11,27.96
369,2017-12-08,28.06
370,2017-12-07,27.80
371,2017-12-06,27.76
372,2017-12-05,27.73
373,2017-12-04,27.79
374,2017-12-01,27.59
375,2017-11-30,27.85
376,2017-11-29,27.84
377,2017-11-28,27.96
378,2017-11-27,27.75
379,2017-11-24,27.84
380,2017-11-22,27.67
381,2017-11-21,28.09
382,2017-11-20,27.82
383,2017-11-17,27.64
384,2017-11-16,27.80
385,2017-11-15,27.52
386,2017-11-14,27.71
387,2017-11-13,27.92
388,2017-11-10,27.97
389,2017-11-09,28.01
390,2017-11-08,28.48
391,2017-11-07,28.44
392,2017-11-06,28.60
393,2017-11-03,28.66
394,2017-11-02,28.61
395,2017-11-01,28.57
396,2017-10-31,28.21
397,2017-10-30,28.09
398,2017-10-27,28.09
399,2017-10-26,27.93
400,2017-10-25,27.56
401,2017-10-24,27.67
402,2017-10-23,27.56
403,2017-10-20,27.59
404,2017-10-19,27.62
405,2017-10-18,27.79
406,2017-10-17,27.64
407,2017-10-16,27.66
408,2017-10-13,27.63
409,2017-10-12,27.57
410,2017-10-11,27.59
411,2017-10-10,27.54
412,2017-10-09,27.47
413,2017-10-06,27.55
414,2017-10-05,27.59
415,2017-10-04,27.49
416,2017-10-03,27.43
417,2017-10-02,27.43
418,2017-09-29,27.27
419,2017-09-28,27.05
420,2017-09-27,26.95
421,2017-09-26,26.84
422,2017-09-25,26.74
423,2017-09-22,26.83
424,2017-09-21,26.81
425,2017-09-20,26.86
426,2017-09-19,26.72
427,2017-09-18,26.71
428,2017-09-15,26.65
429,2017-09-14,26.67
430,2017-09-13,26.66
431,2017-09-12,26.59
432,2017-09-11,26.55
433,2017-09-08,26.11
434,2017-09-07,26.16
435,2017-09-06,26.12
436,2017-09-05,25.69
437,2017-09-01,25.86
438,2017-08-31,25.69
439,2017-08-30,25.60
440,2017-08-29,25.47
441,2017-08-28,25.80
442,2017-08-25,25.94
443,2017-08-24,25.92
444,2017-08-23,25.94
445,2017-08-22,26.05
446,2017-08-21,25.65
447,2017-08-18,25.89
448,2017-08-17,25.88
449,2017-08-16,26.03
450,2017-08-15,25.96
451,2017-08-14,25.91
452,2017-08-11,25.53
453,2017-08-10,25.49
454,2017-08-09,25.95
455,2017-08-08,26.08
456,2017-08-07,26.08
457,2017-08-04,26.17
458,2017-08-03,25.90
459,2017-08-02,25.96
460,2017-08-01,26.06
461,2017-07-31,25.76
462,2017-07-28,25.89
463,2017-07-27,25.97
464,2017-07-26,26.14
465,2017-07-25,26.08
466,2017-07-24,26.07
467,2017-07-21,26.08
468,2017-07-20,26.48
469,2017-07-19,26.56
470,2017-07-18,26.49
471,2017-07-17,26.78
472,2017-07-14,26.90
473,2017-07-13,26.89
474,2017-07-12,26.84
475,2017-07-11,26.53
476,2017-07-10,26.46
477,2017-07-07,26.40
478,2017-07-06,26.23
479,2017-07-05,26.51
480,2017-07-03,26.48
481,2017-06-30,26.31
482,2017-06-29,26.34
483,2017-06-28,26.93
484,2017-06-27,26.77
485,2017-06-26,27.12
486,2017-06-23,27.01
487,2017-06-22,27.14
488,2017-06-21,27.10
489,2017-06-20,27.22
490,2017-06-19,27.41
491,2017-06-16,27.09
492,2017-06-15,26.98
493,2017-06-14,27.25
494,2017-06-13,27.15
