,Date,NAV
1,2019-05-30,57.62
2,2019-05-29,57.31
3,2019-05-28,57.64
4,2019-05-24,58.13
5,2019-05-23,57.63
6,2019-05-22,58.30
7,2019-05-21,58.50
8,2019-05-20,58.00
9,2019-05-17,58.43
10,2019-05-16,58.80
11,2019-05-15,58.58
12,2019-05-14,58.53
13,2019-05-13,57.94
14,2019-05-10,59.49
15,2019-05-09,58.97
16,2019-05-08,59.25
17,2019-05-07,59.32
18,2019-05-06,60.09
19,2019-05-03,60.79
20,2019-05-02,60.29
21,2019-05-01,60.60
22,2019-04-30,60.97
23,2019-04-29,60.77
24,2019-04-26,60.30
25,2019-04-25,60.33
26,2019-04-24,60.33
27,2019-04-23,60.63
28,2019-04-22,60.89
29,2019-04-18,60.88
30,2019-04-17,61.09
31,2019-04-16,60.96
32,2019-04-15,60.79
33,2019-04-12,60.48
34,2019-04-11,59.94
35,2019-04-10,59.72
36,2019-04-09,59.50
37,2019-04-08,59.98
38,2019-04-05,59.87
39,2019-04-04,59.96
40,2019-04-03,60.16
41,2019-04-02,59.36
42,2019-04-01,59.24
43,2019-03-29,58.43
44,2019-03-28,58.24
45,2019-03-27,58.48
46,2019-03-26,58.38
47,2019-03-25,58.30
48,2019-03-22,58.67
49,2019-03-21,59.83
50,2019-03-20,60.27
51,2019-03-19,60.23
52,2019-03-18,59.96
53,2019-03-15,59.78
54,2019-03-14,59.29
55,2019-03-13,59.14
56,2019-03-12,58.42
57,2019-03-11,58.33
58,2019-03-08,57.81
59,2019-03-07,58.00
60,2019-03-06,59.38
61,2019-03-05,59.45
62,2019-03-04,59.50
63,2019-03-01,59.66
64,2019-02-28,58.83
65,2019-02-27,58.99
66,2019-02-26,58.95
67,2019-02-25,58.44
68,2019-02-22,58.26
69,2019-02-21,58.06
70,2019-02-20,58.24
71,2019-02-19,57.97
72,2019-02-15,57.33
73,2019-02-14,56.91
74,2019-02-13,57.03
75,2019-02-12,56.93
76,2019-02-11,56.28
77,2019-02-08,56.41
78,2019-02-07,56.81
79,2019-02-06,57.63
80,2019-02-05,57.72
81,2019-02-04,57.79
82,2019-02-01,57.46
83,2019-01-31,57.61
84,2019-01-30,57.88
85,2019-01-29,57.34
86,2019-01-28,57.30
87,2019-01-25,57.36
88,2019-01-24,56.79
89,2019-01-23,56.74
90,2019-01-22,56.28
91,2019-01-18,56.76
92,2019-01-17,56.53
93,2019-01-16,56.08
94,2019-01-15,56.09
95,2019-01-14,56.17
96,2019-01-11,56.49
97,2019-01-10,56.52
98,2019-01-09,56.64
99,2019-01-08,55.71
100,2019-01-07,55.14
101,2019-01-04,54.25
102,2019-01-03,52.91
103,2019-01-02,52.99
104,2018-12-31,53.22
105,2018-12-28,52.77
106,2018-12-27,52.20
107,2018-12-26,52.16
108,2018-12-24,51.18
109,2018-12-21,51.62
110,2018-12-20,52.28
111,2018-12-19,52.49
112,2018-12-18,52.70
113,2018-12-17,52.52
114,2018-12-14,53.23
115,2018-12-13,54.17
116,2018-12-12,54.27
117,2018-12-11,53.25
118,2018-12-10,53.33
119,2018-12-07,54.31
120,2018-12-06,55.05
121,2018-12-04,55.14
122,2018-12-03,56.61
123,2018-11-30,56.28
124,2018-11-29,56.70
125,2018-11-28,57.00
126,2018-11-27,56.24
127,2018-11-26,56.42
128,2018-11-23,55.61
129,2018-11-21,55.56
130,2018-11-20,54.98
131,2018-11-19,56.15
132,2018-11-16,56.57
133,2018-11-15,56.59
134,2018-11-14,57.20
135,2018-11-13,57.02
136,2018-11-12,56.82
137,2018-11-09,58.37
138,2018-11-08,58.59
139,2018-11-07,59.50
140,2018-11-06,58.93
141,2018-11-05,58.84
142,2018-11-02,59.00
143,2018-11-01,58.70
144,2018-10-31,57.34
145,2018-10-30,56.89
146,2018-10-29,56.46
147,2018-10-26,56.14
148,2018-10-25,56.12
149,2018-10-24,55.53
150,2018-10-23,56.81
151,2018-10-22,57.76
152,2018-10-19,58.28
153,2018-10-18,58.42
154,2018-10-17,59.34
155,2018-10-16,59.92
156,2018-10-15,58.63
157,2018-10-12,59.15
158,2018-10-11,58.70
159,2018-10-10,59.35
160,2018-10-09,60.54
161,2018-10-08,60.77
162,2018-10-05,61.45
163,2018-10-04,61.97
164,2018-10-03,62.50
165,2018-10-02,62.49
166,2018-10-01,62.88
167,2018-09-28,62.73
168,2018-09-27,63.47
169,2018-09-26,64.06
170,2018-09-25,64.27
171,2018-09-24,64.31
172,2018-09-21,64.48
173,2018-09-20,64.96
174,2018-09-19,64.23
175,2018-09-18,64.19
176,2018-09-17,63.90
177,2018-09-14,63.33
178,2018-09-13,63.41
179,2018-09-12,63.03
180,2018-09-11,62.64
181,2018-09-10,62.62
182,2018-09-07,62.06
183,2018-09-06,62.53
184,2018-09-05,62.90
185,2018-09-04,62.86
186,2018-08-31,63.45
187,2018-08-30,63.74
188,2018-08-29,64.14
189,2018-08-28,64.13
190,2018-08-27,64.32
191,2018-08-24,63.56
192,2018-08-23,63.18
193,2018-08-22,63.67
194,2018-08-21,63.22
195,2018-08-20,62.41
196,2018-08-17,62.10
197,2018-08-16,61.57
198,2018-08-15,61.19
199,2018-08-14,62.09
200,2018-08-13,62.40
201,2018-08-10,62.81
202,2018-08-09,63.95
203,2018-08-08,64.30
204,2018-08-07,64.32
205,2018-08-06,63.95
206,2018-08-03,64.30
207,2018-08-02,64.24
208,2018-08-01,64.92
209,2018-07-31,65.14
210,2018-07-30,65.18
211,2018-07-27,64.89
212,2018-07-26,64.69
213,2018-07-25,65.32
214,2018-07-24,64.63
215,2018-07-23,64.44
216,2018-07-20,64.62
217,2018-07-19,64.46
218,2018-07-18,64.75
219,2018-07-17,64.82
220,2018-07-16,64.99
221,2018-07-13,64.76
222,2018-07-12,64.87
223,2018-07-11,64.52
224,2018-07-10,65.70
225,2018-07-09,65.40
226,2018-07-06,64.95
227,2018-07-05,64.56
228,2018-07-03,63.87
229,2018-07-02,64.03
230,2018-06-29,64.26
231,2018-06-28,63.75
232,2018-06-27,63.82
233,2018-06-26,64.77
234,2018-06-25,65.26
235,2018-06-22,65.85
236,2018-06-21,65.10
237,2018-06-20,65.73
238,2018-06-19,65.93
239,2018-06-18,66.52
240,2018-06-15,66.87
241,2018-06-14,67.35
242,2018-06-13,67.98
243,2018-06-12,67.93
244,2018-06-11,68.13
245,2018-06-08,67.63
246,2018-06-07,67.49
247,2018-06-06,67.93
248,2018-06-05,67.28
249,2018-06-04,67.14
250,2018-06-01,66.76
251,2018-05-31,66.24
252,2018-05-30,66.31
253,2018-05-29,64.97
254,2018-05-25,66.98
255,2018-05-24,67.56
256,2018-05-23,67.57
257,2018-05-22,68.33
258,2018-05-21,68.43
259,2018-05-18,67.89
260,2018-05-17,68.15
261,2018-05-16,68.19
262,2018-05-15,68.38
263,2018-05-14,68.89
264,2018-05-11,68.91
265,2018-05-10,68.79
266,2018-05-09,68.57
267,2018-05-08,68.20
268,2018-05-07,68.23
269,2018-05-04,68.01
270,2018-05-03,68.21
271,2018-05-02,67.70
272,2018-05-01,67.63
273,2018-04-30,67.88
274,2018-04-27,68.25
275,2018-04-26,68.37
276,2018-04-25,68.19
277,2018-04-24,68.69
278,2018-04-23,69.16
279,2018-04-20,69.21
280,2018-04-19,69.50
281,2018-04-18,69.54
282,2018-04-17,69.17
283,2018-04-16,68.84
284,2018-04-13,68.48
285,2018-04-12,68.47
286,2018-04-11,67.88
287,2018-04-10,68.19
288,2018-04-09,67.24
289,2018-04-06,66.92
290,2018-04-05,66.91
291,2018-04-04,66.70
292,2018-04-03,66.73
293,2018-04-02,66.10
294,2018-03-29,67.03
295,2018-03-28,66.62
296,2018-03-27,66.81
297,2018-03-26,67.72
298,2018-03-23,66.60
299,2018-03-22,66.52
300,2018-03-21,68.08
301,2018-03-20,67.96
302,2018-03-19,68.12
303,2018-03-16,68.05
304,2018-03-15,68.59
305,2018-03-14,68.66
306,2018-03-13,68.65
307,2018-03-12,69.15
308,2018-03-09,68.79
309,2018-03-08,68.33
310,2018-03-07,68.29
311,2018-03-06,68.08
312,2018-03-05,67.22
313,2018-03-02,66.70
314,2018-03-01,66.77
315,2018-02-28,67.41
316,2018-02-27,68.16
317,2018-02-26,69.23
318,2018-02-23,69.04
319,2018-02-22,68.41
320,2018-02-21,68.16
321,2018-02-20,68.56
322,2018-02-16,69.01
323,2018-02-15,68.84
324,2018-02-14,68.42
325,2018-02-13,67.31
326,2018-02-12,67.22
327,2018-02-09,66.30
328,2018-02-08,65.79
329,2018-02-07,67.18
330,2018-02-06,67.86
331,2018-02-05,66.15
332,2018-02-02,69.48
333,2018-02-01,71.21
334,2018-01-31,70.68
335,2018-01-30,70.64
336,2018-01-29,71.34
337,2018-01-26,72.33
338,2018-01-25,71.70
339,2018-01-24,71.72
340,2018-01-23,71.43
341,2018-01-22,71.43
342,2018-01-19,70.90
343,2018-01-18,70.61
344,2018-01-17,70.62
345,2018-01-16,70.43
346,2018-01-12,70.58
347,2018-01-11,69.56
348,2018-01-10,69.38
349,2018-01-09,69.66
350,2018-01-08,69.52
351,2018-01-05,69.48
352,2018-01-04,69.12
353,2018-01-03,68.52
354,2018-01-02,68.29
355,2017-12-29,67.56
356,2017-12-28,67.28
357,2017-12-27,66.96
358,2017-12-26,66.52
359,2017-12-22,66.49
360,2017-12-21,66.16
361,2017-12-20,66.20
362,2017-12-19,66.18
363,2017-12-18,65.98
364,2017-12-15,65.23
365,2017-12-14,65.34
366,2017-12-13,65.49
367,2017-12-12,65.52
368,2017-12-11,65.43
369,2017-12-08,65.46
370,2017-12-07,65.10
371,2017-12-06,64.95
372,2017-12-05,65.15
373,2017-12-04,65.42
374,2017-12-01,65.57
375,2017-11-30,65.61
376,2017-11-29,65.37
377,2017-11-28,65.31
378,2017-11-27,65.16
379,2017-11-24,65.47
380,2017-11-22,65.21
381,2017-11-21,64.67
382,2017-11-20,64.09
383,2017-11-17,63.99
384,2017-11-16,64.21
385,2017-11-15,63.63
386,2017-11-14,64.25
387,2017-11-13,64.03
388,2017-11-10,64.63
389,2017-11-09,64.71
390,2017-11-08,65.60
391,2017-11-07,65.52
392,2017-11-06,66.11
393,2017-11-03,65.84
394,2017-11-02,66.03
395,2017-11-01,66.13
396,2017-10-31,66.08
397,2017-10-30,65.94
