,Date,NAV
1,2019-05-30,61.43
2,2019-05-29,61.19
3,2019-05-28,62.58
4,2019-05-24,63.21
5,2019-05-23,62.49
6,2019-05-22,63.14
7,2019-05-21,62.43
8,2019-05-20,61.70
9,2019-05-17,62.09
10,2019-05-16,62.31
11,2019-05-15,62.02
12,2019-05-14,62.18
13,2019-05-13,61.96
14,2019-05-10,63.63
15,2019-05-09,63.27
16,2019-05-08,63.42
17,2019-05-07,62.78
18,2019-05-06,63.12
19,2019-05-03,63.42
20,2019-05-02,63.38
21,2019-05-01,64.05
22,2019-04-30,64.29
23,2019-04-29,64.36
24,2019-04-26,63.91
25,2019-04-25,63.14
26,2019-04-24,63.41
27,2019-04-23,63.73
28,2019-04-22,63.92
29,2019-04-18,63.88
30,2019-04-17,63.94
31,2019-04-16,64.47
32,2019-04-15,64.67
33,2019-04-12,64.33
34,2019-04-11,63.99
35,2019-04-10,64.19
36,2019-04-09,63.94
37,2019-04-08,64.20
38,2019-04-05,64.04
39,2019-04-04,63.50
40,2019-04-03,64.03
41,2019-04-02,64.02
42,2019-04-01,63.68
43,2019-03-29,63.05
44,2019-03-28,62.91
45,2019-03-27,63.06
46,2019-03-26,63.01
47,2019-03-25,62.78
48,2019-03-22,63.18
49,2019-03-21,64.13
50,2019-03-20,64.61
51,2019-03-19,64.21
52,2019-03-18,63.71
53,2019-03-15,63.30
54,2019-03-14,63.01
55,2019-03-13,62.66
56,2019-03-12,62.13
57,2019-03-11,61.61
58,2019-03-08,61.43
59,2019-03-07,61.19
60,2019-03-06,62.07
61,2019-03-05,62.52
62,2019-03-04,62.28
63,2019-03-01,62.15
64,2019-02-28,62.08
65,2019-02-27,61.95
66,2019-02-26,62.16
67,2019-02-25,61.63
68,2019-02-22,61.48
69,2019-02-21,61.11
70,2019-02-20,61.41
71,2019-02-19,61.25
72,2019-02-15,61.13
73,2019-02-14,60.65
74,2019-02-13,60.11
75,2019-02-12,60.44
76,2019-02-11,59.58
77,2019-02-08,59.51
78,2019-02-07,59.85
79,2019-02-06,60.23
80,2019-02-05,60.85
81,2019-02-04,59.97
82,2019-02-01,60.01
83,2019-01-31,59.17
