,Date,NAV
1,2019-05-30,36.78
2,2019-05-29,36.70
3,2019-05-28,37.00
4,2019-05-24,37.60
5,2019-05-23,37.03
6,2019-05-22,37.87
7,2019-05-21,37.86
8,2019-05-20,37.59
9,2019-05-17,37.61
10,2019-05-16,37.76
11,2019-05-15,37.01
12,2019-05-14,37.03
13,2019-05-13,36.78
14,2019-05-10,37.75
15,2019-05-09,37.37
16,2019-05-08,37.52
17,2019-05-07,37.56
18,2019-05-06,38.24
19,2019-05-03,38.69
20,2019-05-02,38.45
21,2019-05-01,38.76
22,2019-04-30,39.09
23,2019-04-29,39.39
24,2019-04-26,39.45
25,2019-04-25,39.52
26,2019-04-24,39.95
27,2019-04-23,40.29
28,2019-04-22,40.30
29,2019-04-18,40.37
30,2019-04-17,40.28
31,2019-04-16,40.28
32,2019-04-15,40.38
33,2019-04-12,40.92
34,2019-04-11,40.49
35,2019-04-10,40.54
36,2019-04-09,40.30
37,2019-04-08,40.58
38,2019-04-05,40.72
39,2019-04-04,40.46
40,2019-04-03,40.51
41,2019-04-02,39.91
42,2019-04-01,39.32
43,2019-03-29,38.70
44,2019-03-28,38.33
45,2019-03-27,38.78
46,2019-03-26,38.70
47,2019-03-25,38.78
48,2019-03-22,39.01
49,2019-03-21,40.17
50,2019-03-20,40.57
51,2019-03-19,40.47
52,2019-03-18,40.35
53,2019-03-15,40.11
54,2019-03-14,39.74
55,2019-03-13,39.27
56,2019-03-12,39.16
57,2019-03-11,38.91
58,2019-03-08,38.41
59,2019-03-07,38.27
60,2019-03-06,39.11
61,2019-03-05,39.42
62,2019-03-04,39.54
63,2019-03-01,39.66
64,2019-02-28,38.71
65,2019-02-27,39.18
66,2019-02-26,39.17
67,2019-02-25,38.84
68,2019-02-22,38.63
69,2019-02-21,38.64
70,2019-02-20,38.86
71,2019-02-19,38.75
72,2019-02-15,38.61
73,2019-02-14,38.74
74,2019-02-13,38.47
75,2019-02-12,38.35
76,2019-02-11,38.34
77,2019-02-08,38.30
78,2019-02-07,38.37
79,2019-02-06,38.90
80,2019-02-05,38.67
81,2019-02-04,38.25
82,2019-02-01,38.01
83,2019-01-31,38.11
84,2019-01-30,38.75
85,2019-01-29,38.79
86,2019-01-28,38.53
87,2019-01-25,38.86
88,2019-01-24,37.97
89,2019-01-23,37.86
90,2019-01-22,37.71
91,2019-01-18,37.96
92,2019-01-17,37.70
93,2019-01-16,37.38
94,2019-01-15,37.28
95,2019-01-14,37.21
96,2019-01-11,37.35
97,2019-01-10,37.71
98,2019-01-09,37.86
99,2019-01-08,37.24
100,2019-01-07,36.69
101,2019-01-04,36.39
102,2019-01-03,35.16
103,2019-01-02,35.41
104,2018-12-31,35.55
105,2018-12-28,35.40
106,2018-12-27,35.09
107,2018-12-26,34.83
108,2018-12-24,34.19
109,2018-12-21,34.52
110,2018-12-20,35.38
111,2018-12-19,35.75
112,2018-12-18,35.67
113,2018-12-17,35.65
114,2018-12-14,35.94
115,2018-12-13,36.31
116,2018-12-12,36.55
117,2018-12-11,35.41
118,2018-12-10,35.22
119,2018-12-07,35.36
120,2018-12-06,35.64
121,2018-12-04,35.50
122,2018-12-03,36.71
123,2018-11-30,35.84
124,2018-11-29,36.17
125,2018-11-28,36.31
126,2018-11-27,35.98
127,2018-11-26,36.45
128,2018-11-23,36.24
129,2018-11-21,36.71
130,2018-11-20,36.28
131,2018-11-19,37.71
132,2018-11-16,37.71
133,2018-11-15,37.20
134,2018-11-14,37.61
135,2018-11-13,37.43
136,2018-11-12,37.24
137,2018-11-09,37.88
138,2018-11-08,38.21
139,2018-11-07,38.65
140,2018-11-06,38.21
141,2018-11-05,38.25
142,2018-11-02,38.30
143,2018-11-01,37.64
144,2018-10-31,37.26
145,2018-10-30,36.84
146,2018-10-29,36.75
147,2018-10-26,37.24
148,2018-10-25,36.61
149,2018-10-24,35.99
150,2018-10-23,36.97
151,2018-10-22,37.65
152,2018-10-19,38.03
153,2018-10-18,38.29
154,2018-10-17,38.68
155,2018-10-16,39.18
156,2018-10-15,38.14
157,2018-10-12,38.39
158,2018-10-11,37.96
159,2018-10-10,38.35
160,2018-10-09,39.26
161,2018-10-08,39.43
162,2018-10-05,39.90
163,2018-10-04,40.32
164,2018-10-03,40.70
165,2018-10-02,40.56
166,2018-10-01,41.08
167,2018-09-28,41.47
168,2018-09-27,41.93
169,2018-09-26,41.74
170,2018-09-25,42.02
171,2018-09-24,42.02
172,2018-09-21,42.01
173,2018-09-20,41.77
174,2018-09-19,41.49
175,2018-09-18,41.32
176,2018-09-17,40.93
177,2018-09-14,40.79
178,2018-09-13,40.68
179,2018-09-12,40.41
180,2018-09-11,40.35
181,2018-09-10,40.34
182,2018-09-07,39.89
183,2018-09-06,40.32
184,2018-09-05,40.64
185,2018-09-04,40.97
186,2018-08-31,41.63
187,2018-08-30,42.00
188,2018-08-29,42.41
189,2018-08-28,42.27
190,2018-08-27,41.85
191,2018-08-24,41.16
192,2018-08-23,40.86
193,2018-08-22,40.95
194,2018-08-21,40.62
195,2018-08-20,39.97
196,2018-08-17,39.52
197,2018-08-16,39.27
198,2018-08-15,38.82
199,2018-08-14,39.35
200,2018-08-13,39.50
201,2018-08-10,39.79
202,2018-08-09,40.90
203,2018-08-08,41.07
204,2018-08-07,40.93
205,2018-08-06,40.61
206,2018-08-03,40.72
207,2018-08-02,40.73
208,2018-08-01,41.23
209,2018-07-31,40.94
210,2018-07-30,41.23
211,2018-07-27,41.01
212,2018-07-26,41.09
213,2018-07-25,41.92
214,2018-07-24,41.33
215,2018-07-23,41.21
216,2018-07-20,41.21
217,2018-07-19,41.50
218,2018-07-18,41.83
219,2018-07-17,41.60
220,2018-07-16,41.13
221,2018-07-13,40.97
222,2018-07-12,41.20
