,Date,NAV
1,2019-05-30,29.82
2,2019-05-29,29.58
3,2019-05-28,29.70
4,2019-05-24,30.20
5,2019-05-23,29.69
6,2019-05-22,30.28
7,2019-05-21,30.42
8,2019-05-20,30.14
9,2019-05-17,30.38
10,2019-05-16,30.64
11,2019-05-15,30.41
12,2019-05-14,30.30
13,2019-05-13,29.87
14,2019-05-10,30.69
15,2019-05-09,30.43
16,2019-05-08,30.74
17,2019-05-07,30.65
18,2019-05-06,31.49
19,2019-05-03,32.02
20,2019-05-02,31.62
21,2019-05-01,31.91
22,2019-04-30,32.21
23,2019-04-29,32.43
24,2019-04-26,32.31
25,2019-04-25,32.25
26,2019-04-24,32.42
27,2019-04-23,32.58
28,2019-04-22,32.65
29,2019-04-18,32.69
30,2019-04-17,32.66
31,2019-04-16,32.31
32,2019-04-15,32.25
33,2019-04-12,32.28
34,2019-04-11,31.91
35,2019-04-10,31.93
36,2019-04-09,31.67
37,2019-04-08,31.86
38,2019-04-05,31.70
39,2019-04-04,31.49
40,2019-04-03,31.57
41,2019-04-02,30.98
42,2019-04-01,30.87
43,2019-03-29,30.22
44,2019-03-28,30.22
45,2019-03-27,30.35
46,2019-03-26,30.41
47,2019-03-25,30.38
48,2019-03-22,30.29
49,2019-03-21,31.30
50,2019-03-20,31.42
51,2019-03-19,31.09
52,2019-03-18,30.91
53,2019-03-15,30.79
54,2019-03-14,30.32
55,2019-03-13,30.07
56,2019-03-12,29.74
57,2019-03-11,29.81
58,2019-03-08,29.41
59,2019-03-07,29.19
60,2019-03-06,30.03
61,2019-03-05,30.31
62,2019-03-04,30.16
63,2019-03-01,30.35
64,2019-02-28,30.16
65,2019-02-27,30.07
66,2019-02-26,30.16
67,2019-02-25,30.10
68,2019-02-22,30.16
69,2019-02-21,29.84
70,2019-02-20,30.29
71,2019-02-19,30.37
72,2019-02-15,30.32
73,2019-02-14,29.87
74,2019-02-13,29.93
75,2019-02-12,29.72
76,2019-02-11,29.43
77,2019-02-08,29.41
78,2019-02-07,29.39
79,2019-02-06,29.94
80,2019-02-05,30.06
81,2019-02-04,30.04
82,2019-02-01,29.87
83,2019-01-31,29.82
84,2019-01-30,29.76
85,2019-01-29,29.50
86,2019-01-28,29.33
87,2019-01-25,29.47
88,2019-01-24,29.21
89,2019-01-23,29.19
90,2019-01-22,29.18
91,2019-01-18,29.57
92,2019-01-17,29.21
93,2019-01-16,29.03
94,2019-01-15,28.93
95,2019-01-14,28.93
96,2019-01-11,29.13
97,2019-01-10,29.44
98,2019-01-09,29.41
99,2019-01-08,29.04
100,2019-01-07,28.79
101,2019-01-04,28.49
102,2019-01-03,27.37
103,2019-01-02,27.77
104,2018-12-31,28.24
105,2018-12-28,27.82
106,2018-12-27,27.59
107,2018-12-26,27.36
108,2018-12-24,26.79
109,2018-12-21,27.19
110,2018-12-20,27.74
111,2018-12-19,27.80
112,2018-12-18,28.10
113,2018-12-17,27.95
114,2018-12-14,28.41
115,2018-12-13,28.71
