,Date,NAV
1,2019-05-30,53.86
2,2019-05-29,53.87
3,2019-05-28,54.77
4,2019-05-24,55.05
5,2019-05-23,54.74
6,2019-05-22,55.72
7,2019-05-21,55.60
8,2019-05-20,55.22
9,2019-05-17,55.84
10,2019-05-16,56.34
11,2019-05-15,55.89
12,2019-05-14,55.62
13,2019-05-13,55.20
14,2019-05-10,56.81
15,2019-05-09,56.09
16,2019-05-08,56.14
17,2019-05-07,55.71
18,2019-05-06,56.57
19,2019-05-03,57.28
20,2019-05-02,56.89
21,2019-05-01,57.20
22,2019-04-30,57.35
23,2019-04-29,57.05
24,2019-04-26,56.62
25,2019-04-25,56.55
26,2019-04-24,57.02
27,2019-04-23,57.37
28,2019-04-22,57.40
29,2019-04-18,57.34
30,2019-04-17,57.47
31,2019-04-16,57.16
32,2019-04-15,56.82
33,2019-04-12,56.45
34,2019-04-11,55.62
35,2019-04-10,55.70
36,2019-04-09,55.69
37,2019-04-08,56.20
38,2019-04-05,56.24
39,2019-04-04,56.08
40,2019-04-03,56.14
41,2019-04-02,55.33
42,2019-04-01,55.10
43,2019-03-29,54.23
44,2019-03-28,53.68
45,2019-03-27,53.68
46,2019-03-26,53.84
47,2019-03-25,53.73
48,2019-03-22,53.74
49,2019-03-21,55.00
50,2019-03-20,55.31
51,2019-03-19,55.32
52,2019-03-18,54.74
53,2019-03-15,54.39
54,2019-03-14,54.27
55,2019-03-13,54.17
56,2019-03-12,53.69
57,2019-03-11,53.46
58,2019-03-08,53.01
59,2019-03-07,52.96
60,2019-03-06,54.18
61,2019-03-05,54.54
62,2019-03-04,54.50
63,2019-03-01,54.76
64,2019-02-28,53.83
65,2019-02-27,53.68
66,2019-02-26,54.17
67,2019-02-25,53.94
68,2019-02-22,53.77
69,2019-02-21,53.72
70,2019-02-20,53.91
71,2019-02-19,53.76
72,2019-02-15,53.27
73,2019-02-14,52.75
74,2019-02-13,52.59
75,2019-02-12,52.50
76,2019-02-11,51.51
77,2019-02-08,51.65
78,2019-02-07,52.62
79,2019-02-06,53.68
80,2019-02-05,53.76
81,2019-02-04,53.37
82,2019-02-01,53.17
83,2019-01-31,53.23
84,2019-01-30,53.61
85,2019-01-29,53.00
86,2019-01-28,53.07
87,2019-01-25,53.29
88,2019-01-24,52.32
89,2019-01-23,52.16
90,2019-01-22,51.28
91,2019-01-18,51.81
92,2019-01-17,50.92
93,2019-01-16,50.85
94,2019-01-15,50.58
95,2019-01-14,50.46
96,2019-01-11,50.97
97,2019-01-10,51.25
98,2019-01-09,51.68
99,2019-01-08,50.54
100,2019-01-07,50.21
101,2019-01-04,49.10
102,2019-01-03,47.45
103,2019-01-02,48.27
104,2018-12-31,48.19
105,2018-12-28,48.19
106,2018-12-27,47.50
107,2018-12-26,47.54
108,2018-12-24,46.49
109,2018-12-21,47.39
110,2018-12-20,47.79
111,2018-12-19,48.29
112,2018-12-18,48.56
113,2018-12-17,48.15
114,2018-12-14,49.18
115,2018-12-13,49.78
116,2018-12-12,49.97
117,2018-12-11,48.71
118,2018-12-10,49.12
119,2018-12-07,49.71
120,2018-12-06,50.52
121,2018-12-04,50.80
122,2018-12-03,52.69
123,2018-11-30,51.84
124,2018-11-29,52.56
125,2018-11-28,52.45
126,2018-11-27,51.35
127,2018-11-26,51.75
128,2018-11-23,51.21
129,2018-11-21,51.35
130,2018-11-20,50.66
131,2018-11-19,51.79
132,2018-11-16,52.48
133,2018-11-15,52.46
134,2018-11-14,52.60
135,2018-11-13,52.54
136,2018-11-12,52.39
137,2018-11-09,54.11
138,2018-11-08,54.39
139,2018-11-07,55.31
140,2018-11-06,54.41
141,2018-11-05,53.99
142,2018-11-02,54.79
143,2018-11-01,54.29
144,2018-10-31,53.18
145,2018-10-30,52.41
146,2018-10-29,51.66
147,2018-10-26,51.73
148,2018-10-25,51.98
149,2018-10-24,51.44
150,2018-10-23,53.20
151,2018-10-22,54.06
152,2018-10-19,54.47
153,2018-10-18,54.91
154,2018-10-17,55.21
155,2018-10-16,55.37
156,2018-10-15,53.77
157,2018-10-12,53.90
158,2018-10-11,53.57
159,2018-10-10,53.49
160,2018-10-09,55.49
161,2018-10-08,55.88
162,2018-10-05,56.92
163,2018-10-04,58.02
164,2018-10-03,59.23
165,2018-10-02,59.21
166,2018-10-01,59.59
167,2018-09-28,59.05
168,2018-09-27,59.47
169,2018-09-26,60.43
170,2018-09-25,60.66
171,2018-09-24,60.51
172,2018-09-21,60.91
173,2018-09-20,61.31
174,2018-09-19,60.73
175,2018-09-18,60.97
176,2018-09-17,60.75
177,2018-09-14,60.72
178,2018-09-13,60.90
179,2018-09-12,60.67
180,2018-09-11,60.43
181,2018-09-10,60.91
182,2018-09-07,59.80
183,2018-09-06,60.75
184,2018-09-05,61.15
185,2018-09-04,61.62
186,2018-08-31,62.24
187,2018-08-30,62.77
188,2018-08-29,63.35
189,2018-08-28,63.29
190,2018-08-27,63.15
191,2018-08-24,62.07
192,2018-08-23,61.41
193,2018-08-22,61.45
194,2018-08-21,61.35
195,2018-08-20,60.64
196,2018-08-17,60.02
197,2018-08-16,59.52
198,2018-08-15,59.28
199,2018-08-14,60.32
200,2018-08-13,60.77
201,2018-08-10,60.76
202,2018-08-09,61.85
203,2018-08-08,61.96
204,2018-08-07,61.93
205,2018-08-06,61.68
206,2018-08-03,61.80
207,2018-08-02,61.46
208,2018-08-01,62.00
209,2018-07-31,62.43
210,2018-07-30,62.49
211,2018-07-27,62.63
212,2018-07-26,62.42
213,2018-07-25,63.18
214,2018-07-24,62.19
215,2018-07-23,61.94
216,2018-07-20,62.09
217,2018-07-19,61.62
218,2018-07-18,62.01
219,2018-07-17,62.03
220,2018-07-16,61.68
221,2018-07-13,60.99
222,2018-07-12,60.70
223,2018-07-11,60.32
224,2018-07-10,61.28
225,2018-07-09,61.13
226,2018-07-06,60.62
227,2018-07-05,60.17
228,2018-07-03,59.72
229,2018-07-02,59.15
230,2018-06-29,59.48
231,2018-06-28,58.74
232,2018-06-27,59.05
233,2018-06-26,59.97
234,2018-06-25,60.32
235,2018-06-22,61.16
236,2018-06-21,60.77
237,2018-06-20,61.43
238,2018-06-19,61.30
239,2018-06-18,62.54
240,2018-06-15,62.79
241,2018-06-14,63.42
242,2018-06-13,64.20
243,2018-06-12,63.66
244,2018-06-11,63.72
245,2018-06-08,63.28
246,2018-06-07,63.27
247,2018-06-06,64.11
248,2018-06-05,63.11
249,2018-06-04,62.77
250,2018-06-01,62.26
251,2018-05-31,61.99
252,2018-05-30,62.12
253,2018-05-29,61.08
254,2018-05-25,63.03
255,2018-05-24,63.36
256,2018-05-23,63.19
257,2018-05-22,64.22
258,2018-05-21,64.18
259,2018-05-18,63.86
260,2018-05-17,63.93
261,2018-05-16,63.74
262,2018-05-15,63.81
263,2018-05-14,64.34
264,2018-05-11,64.52
265,2018-05-10,64.58
266,2018-05-09,63.81
267,2018-05-08,63.59
268,2018-05-07,64.19
269,2018-05-04,63.61
270,2018-05-03,63.65
271,2018-05-02,63.43
272,2018-05-01,62.48
273,2018-04-30,62.88
274,2018-04-27,63.32
275,2018-04-26,63.48
276,2018-04-25,62.99
277,2018-04-24,63.62
278,2018-04-23,64.25
279,2018-04-20,64.55
280,2018-04-19,65.01
281,2018-04-18,65.48
282,2018-04-17,64.96
283,2018-04-16,64.30
284,2018-04-13,64.14
285,2018-04-12,63.85
286,2018-04-11,63.50
287,2018-04-10,63.57
288,2018-04-09,62.70
289,2018-04-06,61.94
290,2018-04-05,62.13
291,2018-04-04,61.43
292,2018-04-03,61.96
293,2018-04-02,61.56
294,2018-03-29,62.53
295,2018-03-28,61.93
296,2018-03-27,62.61
297,2018-03-26,63.59
298,2018-03-23,62.16
299,2018-03-22,62.78
300,2018-03-21,64.07
301,2018-03-20,63.98
302,2018-03-19,63.84
303,2018-03-16,63.84
304,2018-03-15,64.43
305,2018-03-14,64.26
306,2018-03-13,64.02
307,2018-03-12,64.70
308,2018-03-09,64.34
309,2018-03-08,63.87
310,2018-03-07,63.76
311,2018-03-06,63.46
312,2018-03-05,62.61
313,2018-03-02,61.72
314,2018-03-01,61.93
315,2018-02-28,63.42
316,2018-02-27,63.39
317,2018-02-26,64.51
318,2018-02-23,64.13
319,2018-02-22,63.58
320,2018-02-21,63.60
321,2018-02-20,63.91
322,2018-02-16,64.48
323,2018-02-15,64.20
324,2018-02-14,64.08
325,2018-02-13,62.31
326,2018-02-12,62.42
327,2018-02-09,61.67
328,2018-02-08,61.20
329,2018-02-07,63.20
330,2018-02-06,64.10
331,2018-02-05,61.88
332,2018-02-02,65.12
333,2018-02-01,66.80
334,2018-01-31,66.76
335,2018-01-30,66.52
336,2018-01-29,67.36
337,2018-01-26,68.06
338,2018-01-25,67.48
339,2018-01-24,67.79
340,2018-01-23,67.73
341,2018-01-22,67.48
342,2018-01-19,67.16
343,2018-01-18,66.55
344,2018-01-17,66.40
345,2018-01-16,65.95
346,2018-01-12,66.21
347,2018-01-11,65.33
348,2018-01-10,64.67
349,2018-01-09,65.18
350,2018-01-08,65.04
351,2018-01-05,65.19
352,2018-01-04,64.67
353,2018-01-03,63.81
354,2018-01-02,63.28
355,2017-12-29,62.29
356,2017-12-28,62.25
357,2017-12-27,61.93
358,2017-12-26,61.37
359,2017-12-22,61.38
360,2017-12-21,61.32
361,2017-12-20,61.44
362,2017-12-19,61.55
363,2017-12-18,61.06
364,2017-12-15,60.23
365,2017-12-14,60.01
366,2017-12-13,60.28
367,2017-12-12,59.85
368,2017-12-11,60.24
369,2017-12-08,60.12
370,2017-12-07,59.89
371,2017-12-06,59.51
372,2017-12-05,59.78
373,2017-12-04,60.03
374,2017-12-01,60.39
375,2017-11-30,60.65
376,2017-11-29,60.28
377,2017-11-28,60.82
378,2017-11-27,60.82
379,2017-11-24,61.00
380,2017-11-22,60.18
381,2017-11-21,60.11
382,2017-11-20,59.58
383,2017-11-17,59.46
384,2017-11-16,59.31
