,Date,NAV
1,2019-05-30,17.99
2,2019-05-29,17.85
3,2019-05-28,18.09
4,2019-05-24,18.12
5,2019-05-23,17.93
6,2019-05-22,18.14
7,2019-05-21,18.08
8,2019-05-20,17.99
9,2019-05-17,18.09
10,2019-05-16,18.31
11,2019-05-15,18.18
12,2019-05-14,18.13
13,2019-05-13,17.92
14,2019-05-10,18.34
15,2019-05-09,18.23
16,2019-05-08,18.39
17,2019-05-07,18.46
18,2019-05-06,18.82
19,2019-05-03,19.01
20,2019-05-02,18.89
21,2019-05-01,19.03
22,2019-04-30,19.11
23,2019-04-29,18.96
24,2019-04-26,18.83
25,2019-04-25,18.76
26,2019-04-24,18.86
27,2019-04-23,19.15
28,2019-04-22,19.41
29,2019-04-18,19.42
30,2019-04-17,19.43
31,2019-04-16,19.42
32,2019-04-15,19.44
33,2019-04-12,19.41
34,2019-04-11,19.23
35,2019-04-10,19.11
36,2019-04-09,19.04
37,2019-04-08,19.03
38,2019-04-05,19.02
39,2019-04-04,18.89
40,2019-04-03,18.84
41,2019-04-02,18.74
42,2019-04-01,18.57
43,2019-03-29,18.40
44,2019-03-28,18.18
45,2019-03-27,18.28
46,2019-03-26,18.22
47,2019-03-25,18.08
48,2019-03-22,18.14
49,2019-03-21,18.67
50,2019-03-20,18.71
51,2019-03-19,18.65
52,2019-03-18,18.52
53,2019-03-15,18.31
54,2019-03-14,18.16
55,2019-03-13,18.16
56,2019-03-12,17.99
57,2019-03-11,17.96
58,2019-03-08,17.82
59,2019-03-07,17.78
60,2019-03-06,18.22
61,2019-03-05,18.35
62,2019-03-04,18.33
63,2019-03-01,18.36
64,2019-02-28,17.99
65,2019-02-27,17.70
66,2019-02-26,17.84
67,2019-02-25,17.74
68,2019-02-22,17.73
69,2019-02-21,17.85
70,2019-02-20,18.04
71,2019-02-19,17.90
72,2019-02-15,17.73
73,2019-02-14,17.55
74,2019-02-13,17.58
75,2019-02-12,17.60
76,2019-02-11,17.37
77,2019-02-08,17.41
78,2019-02-07,17.63
79,2019-02-06,17.83
80,2019-02-05,17.91
81,2019-02-04,17.75
82,2019-02-01,17.74
83,2019-01-31,17.68
84,2019-01-30,17.66
85,2019-01-29,17.38
86,2019-01-28,17.44
87,2019-01-25,17.52
88,2019-01-24,17.27
89,2019-01-23,17.29
90,2019-01-22,17.20
91,2019-01-18,17.38
92,2019-01-17,17.27
93,2019-01-16,17.19
94,2019-01-15,17.26
95,2019-01-14,17.17
96,2019-01-11,17.32
97,2019-01-10,17.27
98,2019-01-09,17.31
99,2019-01-08,17.12
100,2019-01-07,16.92
101,2019-01-04,16.69
102,2019-01-03,16.25
103,2019-01-02,16.25
104,2018-12-31,16.34
105,2018-12-28,16.21
106,2018-12-27,16.22
107,2018-12-26,16.31
108,2018-12-24,16.01
109,2018-12-21,16.04
110,2018-12-20,16.32
111,2018-12-19,16.53
112,2018-12-18,16.56
113,2018-12-17,16.55
114,2018-12-14,16.76
115,2018-12-13,17.05
116,2018-12-12,17.09
117,2018-12-11,16.78
118,2018-12-10,16.74
119,2018-12-07,16.86
120,2018-12-06,17.05
121,2018-12-04,17.29
122,2018-12-03,17.75
123,2018-11-30,17.60
124,2018-11-29,17.75
125,2018-11-28,17.62
126,2018-11-27,17.43
127,2018-11-26,17.44
128,2018-11-23,17.32
129,2018-11-21,17.46
130,2018-11-20,17.27
131,2018-11-19,17.68
132,2018-11-16,17.91
133,2018-11-15,17.77
134,2018-11-14,17.63
135,2018-11-13,17.38
136,2018-11-12,17.29
137,2018-11-09,17.66
138,2018-11-08,17.68
139,2018-11-07,17.96
140,2018-11-06,17.64
141,2018-11-05,17.65
142,2018-11-02,17.76
143,2018-11-01,17.72
144,2018-10-31,17.32
145,2018-10-30,17.28
146,2018-10-29,17.22
147,2018-10-26,17.09
148,2018-10-25,17.12
149,2018-10-24,17.36
150,2018-10-23,17.78
151,2018-10-22,18.11
152,2018-10-19,18.21
153,2018-10-18,18.11
154,2018-10-17,18.36
155,2018-10-16,18.52
156,2018-10-15,18.22
157,2018-10-12,18.15
158,2018-10-11,18.13
159,2018-10-10,18.22
160,2018-10-09,18.65
161,2018-10-08,18.61
162,2018-10-05,18.88
163,2018-10-04,18.94
164,2018-10-03,19.14
165,2018-10-02,18.91
166,2018-10-01,19.07
167,2018-09-28,19.06
168,2018-09-27,19.22
169,2018-09-26,19.48
170,2018-09-25,19.67
171,2018-09-24,19.65
172,2018-09-21,19.75
173,2018-09-20,19.93
174,2018-09-19,19.63
175,2018-09-18,19.55
176,2018-09-17,19.45
177,2018-09-14,19.36
178,2018-09-13,19.46
179,2018-09-12,19.27
180,2018-09-11,19.09
181,2018-09-10,19.13
182,2018-09-07,18.92
183,2018-09-06,19.09
184,2018-09-05,19.13
185,2018-09-04,19.26
186,2018-08-31,19.45
187,2018-08-30,19.75
188,2018-08-29,20.03
189,2018-08-28,20.05
190,2018-08-27,20.04
191,2018-08-24,19.83
192,2018-08-23,19.65
193,2018-08-22,19.75
194,2018-08-21,19.83
195,2018-08-20,19.60
196,2018-08-17,19.53
197,2018-08-16,19.31
198,2018-08-15,19.29
199,2018-08-14,19.53
200,2018-08-13,19.43
201,2018-08-10,19.53
202,2018-08-09,20.06
203,2018-08-08,20.06
204,2018-08-07,20.12
205,2018-08-06,19.95
206,2018-08-03,20.03
207,2018-08-02,20.06
208,2018-08-01,20.23
209,2018-07-31,20.27
210,2018-07-30,20.35
211,2018-07-27,20.25
212,2018-07-26,20.11
213,2018-07-25,20.46
214,2018-07-24,20.25
215,2018-07-23,20.17
216,2018-07-20,20.12
217,2018-07-19,20.05
218,2018-07-18,20.07
219,2018-07-17,20.10
220,2018-07-16,20.09
221,2018-07-13,20.03
222,2018-07-12,20.05
223,2018-07-11,19.92
224,2018-07-10,20.14
225,2018-07-09,20.08
226,2018-07-06,20.02
227,2018-07-05,19.79
228,2018-07-03,19.54
229,2018-07-02,19.51
230,2018-06-29,19.57
231,2018-06-28,19.42
232,2018-06-27,19.38
233,2018-06-26,19.64
234,2018-06-25,19.64
235,2018-06-22,19.75
236,2018-06-21,19.54
237,2018-06-20,19.56
238,2018-06-19,19.54
239,2018-06-18,19.68
240,2018-06-15,19.88
241,2018-06-14,19.93
242,2018-06-13,20.08
243,2018-06-12,20.06
244,2018-06-11,20.07
245,2018-06-08,19.84
246,2018-06-07,19.85
247,2018-06-06,19.98
248,2018-06-05,19.86
